,open,high,low,close,adj_close,volume
1998-01-02,94.5600,94.8800,93.3800,94.6300,22.6956,1081750
1998-01-05,94.1300,95.9400,94.0000,95.8100,22.9786,2416950
1998-01-06,95.2500,96.8100,94.8800,96.3800,23.1153,2270550
1998-01-07,96.5000,96.8800,96.0000,96.4400,23.1297,2107300
1998-01-08,95.8800,96.6900,94.2500,94.3100,22.6189,2556050
1998-01-09,93.1300,93.7500,89.8100,89.8100,21.5396,3495950
1998-01-12,88.9400,92.7500,88.8100,92.5000,22.1848,3318600
1998-01-13,93.1300,93.1900,91.8100,92.0600,22.0792,2274750
1998-01-14,93.8800,93.8800,91.6900,92.0000,22.0648,2981750
1998-01-15,92.6300,92.8800,91.5600,92.0000,22.0648,2546150
1998-01-16,92.0000,94.1300,91.6300,93.4400,22.4102,3268900
1998-01-20,94.4400,96.9400,94.3100,96.6900,23.1897,3051100
1998-01-21,96.0000,96.0000,93.5000,94.5000,22.6644,2730950
1998-01-22,94.5000,96.9400,93.5600,95.6300,22.9354,3415400
1998-01-23,95.9400,97.6300,94.6300,97.4400,23.3695,3305050
1998-01-26,97.0000,97.5000,96.3800,97.1900,23.3096,2416000
1998-01-27,96.5000,98.1300,96.5000,97.5000,23.3839,3081250
1998-01-28,97.6900,100.1000,97.6300,99.8100,23.9379,2562550
1998-01-29,99.7500,101.6000,98.6900,101.5000,24.3433,2915550
1998-01-30,101.5000,101.6000,99.5000,99.6900,23.9092,2190100
1998-02-02,102.0000,104.6000,102.0000,102.4000,24.5591,3419250
1998-02-03,101.5000,101.9000,99.1300,100.0000,23.9835,2982600
1998-02-04,99.6300,100.0000,98.5000,100.0000,23.9835,2685500
1998-02-05,100.0000,100.6000,98.0000,98.5600,23.6382,2145350
1998-02-06,98.8800,99.7500,97.8100,97.9400,23.4895,2294200
1998-02-09,98.0000,98.4400,97.3800,97.9400,23.4895,2326700
1998-02-10,98.3800,101.0000,98.3800,100.7000,24.1514,2963700
1998-02-11,100.0000,100.1000,98.0000,99.5000,23.8636,2310300
1998-02-12,99.0000,99.7500,98.0000,99.0600,23.7581,2375450
1998-02-13,98.2500,99.2500,97.8800,98.5000,23.6238,1294200
1998-02-17,99.0000,99.6900,98.5600,99.3800,23.8348,2077450
1998-02-18,99.5000,100.2000,99.2500,99.8100,23.9379,2058550
1998-02-19,99.7500,99.8800,97.0000,97.7500,23.4439,2671600
1998-02-20,97.7500,98.5000,96.6300,98.5000,23.6238,2758900
1998-02-23,98.5000,100.8000,98.5000,100.5000,24.1034,2291700
1998-02-24,100.0000,102.0000,99.6900,100.6000,24.1274,3039850
1998-02-25,101.4000,101.8000,99.9400,99.9400,23.9691,2320050
1998-02-26,100.1000,100.6000,99.8100,100.0000,23.9835,1186700
1998-02-27,100.8000,101.8000,99.8800,100.2000,24.0315,1545400
1998-03-02,100.2000,101.7000,99.7500,101.5000,24.3433,1606450
1998-03-03,101.1000,102.8000,101.0000,102.3000,24.5351,2030300
1998-03-04,101.5000,102.3000,100.1000,101.1000,24.2473,1277400
1998-03-05,100.5000,101.8000,99.5600,100.0000,23.9835,1886950
1998-03-06,100.8000,102.6000,100.7000,102.5000,24.5831,1829300
1998-03-09,102.3000,105.0000,102.0000,105.0000,25.1827,2139150
1998-03-10,105.0000,107.3000,104.3000,107.3000,25.7343,2463450
1998-03-11,106.8000,107.8000,106.1000,107.0000,25.6624,2367000
1998-03-12,106.8000,107.3000,105.8000,107.3000,25.7343,1407450
1998-03-13,107.9000,108.3000,106.3000,106.9000,25.6384,1661500
1998-03-16,106.9000,107.9000,106.4000,107.9000,25.8782,1722350
1998-03-17,108.0000,108.4000,106.4000,107.8000,25.8542,1698900
1998-03-18,107.9000,107.9000,106.5000,107.1000,25.6863,1073550
1998-03-19,107.0000,107.2000,106.4000,106.9000,25.6384,1102950
1998-03-20,107.2000,108.6000,106.6000,108.5000,26.0221,2382350
1998-03-23,107.9000,108.0000,104.5000,105.4000,25.2786,2039100
1998-03-24,105.1000,106.8000,105.0000,106.8000,25.6144,1741250
1998-03-25,107.8000,107.8000,103.5000,104.9000,25.1587,1887100
1998-03-26,103.6000,104.9000,103.3000,103.9000,24.9189,1861350
1998-03-27,104.3000,104.7000,100.0000,101.3000,24.2953,3547650
1998-03-30,101.3000,103.0000,100.8000,102.0000,24.4632,2114650
1998-03-31,102.2000,105.2000,102.0000,104.3000,25.0148,2178100
1998-04-01,104.3000,106.3000,103.6000,106.1000,25.5400,1844200
1998-04-02,106.1000,106.9000,105.5000,106.5000,25.6363,2025650
1998-04-03,106.3000,106.9000,105.6000,106.8000,25.7085,1751950
1998-04-06,106.8000,107.6000,106.4000,107.3000,25.8289,1458950
1998-04-07,107.3000,108.4000,105.5000,107.4000,25.8530,2341150
1998-04-08,107.3000,107.3000,103.1000,104.1000,25.0586,2370800
1998-04-09,104.5000,104.8000,102.8000,103.9000,25.0105,2296100
1998-04-13,103.9000,104.4000,103.0000,103.8000,24.9864,2045200
1998-04-14,103.5000,104.2000,103.3000,103.4000,24.8901,1622500
1998-04-15,103.4000,103.8000,101.6000,101.8000,24.5050,3067900
1998-04-16,101.8000,103.4000,100.4000,102.1000,24.5772,3119700
1998-04-17,102.1000,105.1000,100.3000,105.1000,25.2993,2279500
1998-04-20,105.0000,106.4000,104.4000,106.4000,25.6123,1643000
1998-04-21,108.3000,108.4000,106.4000,107.3000,25.8289,2306200
1998-04-22,107.6000,108.1000,106.3000,106.7000,25.6845,1695250
1998-04-23,105.6000,106.6000,103.9000,104.4000,25.1308,1574800
1998-04-24,104.7000,105.4000,101.8000,102.3000,24.6253,1790500
1998-04-27,100.8000,101.1000,98.8800,99.1900,23.8767,2724350
1998-04-28,101.5000,103.3000,99.6900,103.1000,24.8179,2063150
1998-04-29,103.1000,104.4000,101.1000,103.5000,24.9142,1589850
1998-04-30,103.5000,106.2000,103.1000,105.9000,25.4919,1898200
1998-05-01,105.9000,106.3000,104.6000,106.0000,25.5160,2288550
1998-05-04,111.0000,111.8000,108.7000,109.3000,26.3103,4555150
1998-05-05,109.5000,109.8000,107.0000,108.5000,26.1178,2784450
1998-05-06,109.5000,109.5000,107.3000,107.3000,25.8289,1716250
1998-05-07,107.4000,108.8000,105.5000,105.6000,25.4197,1658850
1998-05-08,105.7000,109.0000,105.6000,108.9000,26.2141,1349650
1998-05-11,108.9000,109.9000,107.6000,108.6000,26.1418,1253000
1998-05-12,109.5000,110.3000,108.6000,110.1000,26.5029,1398850
1998-05-13,109.1000,110.5000,109.1000,109.6000,26.3826,983500
1998-05-14,109.4000,111.4000,109.1000,111.2000,26.7677,1073450
1998-05-15,111.6000,111.9000,108.8000,110.1000,26.5029,1967150
1998-05-18,110.0000,110.5000,108.3000,109.1000,26.2622,1367950
1998-05-19,111.0000,112.0000,110.4000,111.2000,26.7677,1638800
1998-05-20,111.7000,111.7000,111.6000,111.6000,26.8640,1142550
1998-05-21,112.8000,113.0000,109.5000,110.4000,26.5751,1322350
1998-05-22,111.4000,112.1000,110.0000,111.8000,26.9121,986250
1998-05-26,112.0000,113.4000,110.8000,110.8000,26.6714,1506100
1998-05-27,110.5000,112.3000,108.8000,110.9000,26.6955,1627750
1998-05-28,111.0000,111.6000,109.5000,110.5000,26.5992,1182100
1998-05-29,111.0000,111.4000,107.1000,107.5000,25.8770,1294100
1998-06-01,107.5000,108.9000,106.9000,108.0000,25.9974,2157100
1998-06-02,109.0000,109.4000,106.1000,109.0000,26.2381,1637250
1998-06-03,108.8000,109.1000,106.4000,106.6000,25.6604,1329800
1998-06-04,106.5000,109.4000,105.8000,108.9000,26.2141,1102000
1998-06-05,109.5000,111.4000,109.1000,111.4000,26.8158,1600050
1998-06-08,110.4000,112.3000,109.9000,111.9000,26.9362,1261600
1998-06-09,111.4000,112.4000,110.6000,112.2000,27.0084,1353850
1998-06-10,112.3700,117.0000,112.0000,113.7500,27.3815,2371850
1998-06-11,113.0000,114.9000,111.5000,111.9000,26.9362,2097650
1998-06-12,112.8000,116.8000,112.1000,116.4000,28.0194,2517600
1998-06-15,114.3000,115.4000,113.0000,113.2000,27.2491,2113600
1998-06-16,113.3000,115.0000,112.8000,113.3000,27.2732,2358400
1998-06-17,113.5000,115.7000,113.1000,114.6000,27.5861,1809950
1998-06-18,114.0000,114.6000,113.0000,113.0000,27.2010,1770650
1998-06-19,113.5000,114.5000,112.7000,113.6000,27.3454,1739750
1998-06-22,113.4000,114.1000,111.3000,111.9000,26.9362,1172950
1998-06-23,111.9000,114.7000,111.6000,114.3000,27.5139,1699450
1998-06-24,113.0000,116.3000,112.5000,115.1000,27.7065,1509050
1998-06-25,115.4000,116.3000,114.0000,114.0000,27.4417,1764250
1998-06-26,115.9000,117.5000,115.7000,117.5000,28.2842,1280950
1998-06-29,118.0000,118.7000,116.5000,118.4000,28.5009,2210600
1998-06-30,116.6000,117.4000,114.1000,114.9000,27.7522,1799050
1998-07-01,115.9000,116.9000,115.3000,116.7000,28.1870,1191100
1998-07-02,116.9000,119.6000,116.6000,119.1000,28.7667,1238500
1998-07-06,119.9000,119.9000,118.7000,119.5000,28.8633,1576400
1998-07-07,119.5000,121.1000,119.3000,119.8000,28.9357,1991100
1998-07-08,121.0000,121.0000,119.6000,120.3000,29.0565,1389400
1998-07-09,119.1000,119.7000,117.3000,117.8000,28.4527,1658450
1998-07-10,119.0000,121.3000,118.4000,119.6000,28.8874,2603100
1998-07-13,120.0000,120.4000,119.1000,119.1000,28.7667,1114400
1998-07-14,120.4000,122.8000,119.8000,122.8000,29.6603,1471100
1998-07-15,122.0000,122.3000,120.8000,121.3000,29.2980,1300400
1998-07-16,121.1000,122.1000,120.7000,122.1000,29.4913,1140700
1998-07-17,122.1000,123.5000,122.0000,123.4000,29.8053,1641200
1998-07-20,123.3000,125.9000,122.6000,125.8000,30.3850,1276100
1998-07-21,124.8000,124.8000,119.9000,119.9000,28.9599,3085900
1998-07-22,121.3000,123.4000,119.6000,120.1000,29.0082,2470300
1998-07-23,120.1000,121.1000,116.6000,117.0000,28.2595,2072750
1998-07-24,117.2000,118.5000,115.7000,115.8000,27.9696,2318050
1998-07-27,115.8000,119.4000,115.3000,117.9000,28.4768,1679150
1998-07-28,116.9000,116.9000,113.9000,114.1000,27.5590,1693100
1998-07-29,114.8000,115.9000,114.1000,114.9000,27.7522,1282850
1998-07-30,115.0000,117.8000,115.0000,117.4000,28.3561,1587550
1998-07-31,117.2000,117.4000,112.7000,113.9000,27.5107,1458000
1998-08-03,113.3000,113.7000,111.4000,112.3000,27.1242,1803000
1998-08-04,112.4000,112.7000,106.8000,107.1000,25.8683,3337500
1998-08-05,105.5000,107.8000,104.8000,107.4000,25.9407,3471050
1998-08-06,107.1000,107.4000,105.8000,106.8000,25.7958,2115500
1998-08-07,106.8000,109.1000,106.5000,108.1000,26.1098,2697250
1998-08-10,107.0000,110.6000,107.0000,108.4000,26.1823,1641850
1998-08-11,105.8000,108.5000,105.5000,107.6000,25.9890,1918050
1998-08-12,105.8000,108.9000,105.5000,108.9000,26.3030,1790500
1998-08-13,107.5000,109.9000,107.1000,107.6000,25.9890,1318250
1998-08-14,108.0000,108.4000,105.0000,106.4000,25.6992,1548250
1998-08-17,106.0000,109.0000,105.6000,109.0000,26.3272,1664000
1998-08-18,107.8000,109.8000,107.4000,109.1000,26.3513,1842650
1998-08-19,109.9000,109.9000,107.8000,109.8000,26.5204,1470600
1998-08-20,109.5000,111.1000,109.0000,109.1000,26.3513,1575150
1998-08-21,108.3000,110.0000,105.8000,109.5000,26.4480,2155200
1998-08-24,110.3000,112.0000,109.3000,109.7000,26.4963,1566850
1998-08-25,110.8000,111.5000,107.9000,108.6000,26.2306,2130300
1998-08-26,107.9000,113.0000,107.8000,112.6000,27.1967,2398650
1998-08-27,113.0000,113.9000,109.1000,109.6000,26.4721,2702900
1998-08-28,109.9000,110.4000,107.3000,108.8000,26.2789,2704200
1998-08-31,108.9000,108.9000,97.6300,97.8800,23.6413,3591050
1998-09-01,99.5000,106.3000,99.2500,105.1000,25.3852,3802150
1998-09-02,105.1000,106.8000,102.5000,103.4000,24.9746,3302550
1998-09-03,102.3000,107.3000,102.0000,106.8000,25.7958,2592500
1998-09-04,107.0000,107.6000,102.0000,104.2000,25.1678,2794100
1998-09-08,108.5000,108.5000,106.1000,108.3000,26.1581,2994150
1998-09-09,107.3000,108.4000,106.6000,107.9000,26.0615,1927850
1998-09-10,106.0000,106.4000,101.6000,104.1000,25.1437,2911600
1998-09-11,104.0000,105.4000,102.6000,103.8000,25.0712,2395500
1998-09-14,104.0000,105.9000,104.0000,104.9000,25.3369,2416100
1998-09-15,104.9000,106.4000,104.8000,106.0000,25.6026,2364800
1998-09-16,106.3000,106.6000,103.1000,104.6000,25.2644,2406100
1998-09-17,102.8000,103.9000,102.1000,102.8000,24.8297,2065800
1998-09-18,102.4000,103.1000,101.0000,101.7000,24.5640,2932600
1998-09-21,98.5000,103.9000,98.4400,103.3000,24.9504,2833200
1998-09-22,103.0000,104.3000,101.1000,102.2000,24.6848,2403500
1998-09-23,103.8000,103.8000,99.1300,99.9400,24.1389,5552950
1998-09-24,99.9700,103.0000,99.5000,99.9400,24.1389,4993150
1998-09-25,99.9400,101.6000,99.9400,100.6000,24.2983,2794750
1998-09-28,101.0000,103.4000,100.9000,101.3000,24.4674,2380700
1998-09-29,102.4000,104.3000,101.8000,103.9000,25.0954,2106150
1998-09-30,103.0000,104.9000,102.0000,103.9000,25.1896,2953000
1998-10-01,102.8000,103.4000,97.8100,99.0000,24.0016,2752950
1998-10-02,100.8000,100.8000,95.2500,96.1300,23.3058,3906650
1998-10-05,95.6300,97.7500,94.5000,96.7500,23.4561,2798950
1998-10-06,99.7500,99.8800,96.7500,97.8800,23.7301,2707750
1998-10-07,97.5000,98.3100,91.8800,92.7500,22.4863,4427700
1998-10-08,88.5000,92.9400,88.3100,92.2500,22.3651,4781550
1998-10-09,95.0000,95.7500,93.1900,95.1300,23.0634,2454650
1998-10-12,97.5000,98.9400,96.7500,96.9400,23.5022,2151550
1998-10-13,97.3800,98.5600,97.0000,97.1300,23.5482,1807250
1998-10-14,96.0000,99.6300,95.5000,98.6900,23.9264,2669950
1998-10-15,98.6900,104.9000,97.8100,102.9000,24.9471,2411450
1998-10-16,104.8000,105.0000,103.0000,104.3000,25.2865,2860000
1998-10-19,104.1000,106.4000,104.1000,105.0000,25.4562,1654350
