,open,high,low,close,adj_close,volume
2007-04-02,19.4000,19.7000,18.8200,19.5100,15.0550,9470300
2007-04-03,19.3000,19.5000,18.4900,19.0700,14.7155,7892900
2007-04-04,19.0200,19.1600,18.8000,18.9100,14.5920,4738000
2007-04-05,18.7500,19.8100,18.7000,19.3800,14.9547,4602900
2007-04-09,19.5700,19.5700,18.9000,19.0600,14.7077,3600900
2007-04-10,18.6800,19.4400,18.6000,19.2200,14.8312,3130800
2007-04-11,19.2600,20.0600,18.9500,19.1100,14.7463,3356100
2007-04-12,19.0600,19.2700,18.8900,19.2000,14.8158,2666300
2007-04-13,20.0500,20.0500,19.1000,19.5800,15.1090,2980900
2007-04-16,19.6200,19.9000,19.6200,19.8600,15.3251,1455800
2007-04-17,19.4500,20.5800,19.3000,20.4200,15.7572,1567200
2007-04-18,20.2300,20.7200,19.9600,20.6800,15.9578,1958200
2007-04-19,20.2000,21.4600,20.1800,21.1400,16.3128,1890100
2007-04-20,21.3700,21.7700,21.0000,21.0800,16.2665,2671300
2007-04-23,20.8800,21.1000,20.5300,20.7000,15.9733,1531800
2007-04-24,20.5196,20.7000,20.5000,20.6100,15.9038,1752700
2007-04-25,20.6100,20.6700,20.2200,20.2600,15.6337,1029600
2007-04-26,19.7800,20.1400,19.7000,20.0600,15.4794,1193200
2007-04-27,20.0000,20.2700,19.8100,20.2200,15.6029,734500
2007-04-30,20.2000,20.2000,19.9600,20.0400,15.4640,1581800
2007-05-01,19.9600,20.1100,19.8600,20.0400,15.4640,1468800
2007-05-02,19.9700,20.1100,19.8500,20.0200,15.4485,1460100
2007-05-03,20.0500,20.4400,20.0090,20.3000,15.6646,1243100
2007-05-04,20.2000,21.0000,20.1300,20.7800,16.0350,1242300
2007-05-07,20.5248,21.0400,20.5248,21.0100,16.2125,1482300
2007-05-08,20.5401,21.3200,20.5400,21.2700,16.4131,1294300
2007-05-09,21.1200,21.8500,21.0800,21.4000,16.5134,2454100
2007-05-10,21.2000,21.5500,20.9400,21.1200,16.2974,1278800
