,open,high,low,close,adj_close,volume
1998-01-02,33.1300,33.1900,33.0000,33.1900,12.3973,27900
1998-01-05,33.4400,33.6900,32.9400,33.6300,12.5616,39700
1998-01-06,33.6900,33.7500,33.4400,33.6900,12.5840,53400
1998-01-07,33.6300,33.7500,33.5000,33.5600,12.5355,36400
1998-01-08,33.6900,33.7500,33.5000,33.6900,12.5840,34600
1998-01-09,33.6900,33.7500,33.3100,33.4400,12.4907,66700
1998-01-12,33.2500,33.2500,32.8100,33.0000,12.3263,22300
1998-01-13,32.8100,32.8100,32.4400,32.5000,12.1395,58400
1998-01-14,32.7500,32.9400,32.6300,32.8800,12.2815,55000
1998-01-15,32.9400,33.3100,32.9400,33.2500,12.4197,77200
1998-01-16,33.1300,34.7500,33.1300,34.5000,12.8866,140900
1998-01-20,34.2500,34.2500,33.5000,33.5600,12.5355,117100
1998-01-21,33.7500,34.2500,33.6300,34.1900,12.7708,288200
1998-01-22,34.1300,35.0000,34.1300,34.5600,12.9090,259100
1998-01-23,34.6300,35.0000,34.5600,34.9400,13.0509,94800
1998-01-26,34.8100,35.7500,34.8100,35.1300,13.1219,294700
1998-01-27,35.1300,35.6300,35.1300,35.5600,13.2825,6032500
1998-01-28,35.5000,35.7500,35.5000,35.6300,13.3087,1054100
1998-01-29,35.6900,35.9400,35.5600,35.7500,13.3535,790500
1998-01-30,35.5600,35.6300,35.3100,35.5600,13.2825,1075500
1998-02-02,35.5000,35.9400,35.5000,35.8800,13.4021,582700
1998-02-03,35.8100,36.0600,35.8100,35.8800,13.4021,596300
1998-02-04,35.8800,35.8800,35.5600,35.6900,13.3311,283900
1998-02-05,35.6300,35.8800,35.5000,35.8100,13.3759,241700
1998-02-06,35.8100,35.9400,35.6900,35.7500,13.3535,266200
1998-02-09,35.8800,35.8800,35.5600,35.6900,13.3311,234500
1998-02-10,35.6300,35.6900,35.4400,35.5600,13.2825,532700
1998-02-11,35.5000,35.5000,35.2500,35.4400,13.2377,572400
1998-02-12,35.3800,35.3800,35.1300,35.3100,13.1891,272100
1998-02-13,35.2500,35.3100,35.1300,35.1900,13.1443,330000
1998-02-17,35.1300,35.2500,35.0000,35.1300,13.1219,216100
1998-02-18,35.1900,35.1900,34.8800,35.0000,13.0734,360500
1998-02-19,35.0600,35.1300,34.8800,35.0000,13.0734,362700
1998-02-20,34.8800,35.0000,34.7500,34.8800,13.0285,190500
1998-02-23,34.8800,35.0000,34.5000,34.8800,13.0285,140700
1998-02-24,34.8800,35.0000,34.6300,35.0000,13.0734,215400
1998-02-25,35.0000,35.0600,34.5000,34.7500,12.9800,326400
1998-02-26,34.6300,34.8100,33.8800,34.1300,12.7484,372500
1998-02-27,34.2500,34.2500,34.0000,34.0000,12.6998,95000
1998-03-02,34.0000,34.0600,33.3100,33.6300,12.5616,589800
1998-03-03,33.3800,33.3800,32.7500,33.1300,12.3749,644800
1998-03-04,33.3800,34.7500,33.3800,34.1100,12.7409,360900
1998-03-05,34.0000,34.8800,33.8800,34.3100,12.8156,428000
1998-03-06,34.2500,34.6900,34.2500,34.3800,12.8418,111900
1998-03-09,34.4400,34.5600,34.1300,34.3100,12.8156,141700
1998-03-10,34.2500,34.5600,34.0000,34.4400,12.8642,509600
1998-03-11,34.3100,34.3800,34.2500,34.2500,12.7932,273200
1998-03-12,34.2500,34.5000,34.2500,34.3100,12.8156,63300
1998-03-13,34.2500,34.4400,34.2500,34.2500,12.7932,259200
1998-03-16,34.1900,34.2500,32.7500,33.1900,12.3973,655100
1998-03-17,33.2500,33.3800,32.8800,33.0000,12.3263,395300
1998-03-18,33.0000,33.1300,32.7500,32.8100,12.2553,400200
1998-03-19,32.8100,32.8800,32.7500,32.8800,12.2815,465900
1998-03-20,32.8800,33.6900,32.8800,33.5000,12.5131,575500
1998-03-23,33.5000,34.1300,33.5000,34.0000,12.6998,155400
1998-03-24,34.0600,34.5000,33.7500,34.3800,12.8418,136600
1998-03-25,34.3100,34.5000,33.8800,34.3100,12.8156,100700
1998-03-26,34.3800,35.1300,34.3800,35.0000,13.0734,151300
1998-03-27,35.0000,35.2500,34.9400,35.1900,13.1443,193900
1998-03-30,35.1900,35.4400,35.0000,35.1300,13.1219,145800
1998-03-31,35.0600,35.1900,34.9400,35.1900,13.1443,185100
1998-04-01,35.1900,35.2500,34.9400,35.0000,13.0734,136000
1998-04-02,35.0600,35.3800,34.9400,35.2500,13.1667,176500
1998-04-03,35.3100,35.3100,35.0000,35.3100,13.1891,194900
1998-04-06,35.2500,35.3100,34.5000,34.7500,12.9800,85100
1998-04-07,34.9400,35.0000,34.3800,34.8800,13.0285,132400
1998-04-08,34.8100,34.9400,34.4400,34.5000,12.8866,101100
1998-04-09,34.5000,35.1300,34.5000,35.0000,13.0734,114300
1998-04-13,35.0600,35.0600,34.5600,34.7500,12.9800,83000
1998-04-14,34.7500,35.1900,34.7500,35.1900,13.1443,57800
1998-04-15,35.0600,35.5600,35.0600,35.5600,13.2825,417200
1998-04-16,35.5600,36.0000,35.4400,35.9400,13.4245,316200
1998-04-17,35.9400,36.0000,35.2500,35.2500,13.1667,268100
1998-04-20,35.0600,35.1300,34.0600,34.3800,12.8418,267500
1998-04-21,34.1300,34.5000,34.0000,34.0000,12.6998,185300
1998-04-22,34.0600,34.1300,33.8100,33.8800,12.6550,110400
1998-04-23,33.6300,33.6300,33.0600,33.2500,12.4197,213300
1998-04-24,33.2500,33.3800,32.8800,33.0600,12.3487,139200
1998-04-27,33.0000,33.0000,32.1300,32.6300,12.1881,498200
1998-04-28,32.7500,33.0000,32.7500,32.9400,12.3039,166700
1998-04-29,33.0000,33.6900,33.0000,33.6900,12.5840,207400
1998-04-30,33.5000,33.6300,33.0000,33.0600,12.3487,390300
1998-05-01,33.1300,33.1900,32.9400,33.0600,12.3487,837900
1998-05-04,33.1300,33.3100,33.0600,33.1900,12.3973,347600
1998-05-05,33.5000,33.5600,33.2500,33.3800,12.4682,238000
1998-05-06,32.9400,33.3800,32.9400,33.2500,12.5710,156100
1998-05-07,33.3800,33.4400,33.1300,33.3800,12.6201,80600
1998-05-08,33.4400,33.5600,33.0000,33.4400,12.6428,484800
1998-05-11,33.5600,33.6300,33.3100,33.4400,12.6428,148300
1998-05-12,33.3100,33.3100,33.0000,33.1300,12.5256,499500
1998-05-13,33.3800,35.2500,33.3800,34.0000,12.8545,271800
1998-05-14,34.0000,34.1900,34.0000,34.0000,12.8545,100400
1998-05-15,34.1300,34.7500,34.0600,34.4400,13.0209,94700
1998-05-18,34.4400,34.6300,34.3800,34.5600,13.0662,212200
1998-05-19,34.4400,34.5600,34.4400,34.5600,13.0662,128400
1998-05-20,34.5600,35.1200,34.5000,34.6200,13.0889,249400
1998-05-21,34.6300,34.8800,34.3800,34.4400,13.0209,88800
1998-05-22,34.5000,34.8800,34.5000,34.8100,13.1608,270500
1998-05-26,34.8800,35.0000,34.3800,34.4400,13.0209,202800
1998-05-27,34.0000,34.3100,34.0000,34.1900,12.9264,158700
1998-05-28,34.1300,34.3100,34.0000,34.0600,12.8772,225000
1998-05-29,34.2500,34.2500,33.5600,34.0000,12.8545,280400
1998-06-01,33.8800,34.1300,33.6900,33.8800,12.8091,224900
1998-06-02,33.6300,33.8100,33.3100,33.3100,12.5936,80600
1998-06-03,33.5000,33.6300,33.3800,33.4400,12.6428,74600
1998-06-04,33.2500,33.6300,33.0600,33.5000,12.6655,134200
1998-06-05,33.5000,33.5000,33.0000,33.0600,12.4991,289200
1998-06-08,33.1900,33.3800,31.8800,32.0600,12.1211,1273600
1998-06-09,32.1900,32.5000,31.9400,32.3100,12.2156,106800
1998-06-10,32.6900,33.3800,32.6900,33.0000,12.4764,318300
1998-06-11,33.0600,33.5000,33.0000,33.0600,12.4991,379000
1998-06-12,33.0000,33.3100,31.8800,32.1900,12.1702,111000
1998-06-15,32.0600,32.5000,32.0000,32.1900,12.1702,144200
1998-06-16,32.2500,32.5000,32.1300,32.4400,12.2647,196200
1998-06-17,32.4400,32.8800,32.4400,32.6300,12.3366,69500
1998-06-18,32.5600,33.3800,32.5600,33.3800,12.6201,102400
1998-06-19,33.5000,34.0000,33.4400,34.0000,12.8545,193200
1998-06-22,34.1300,34.6300,33.7500,33.8100,12.7827,161400
1998-06-23,33.7500,34.3800,33.7500,34.1300,12.9037,152200
1998-06-24,34.2500,34.3100,33.8800,33.9400,12.8318,108300
1998-06-25,34.0000,34.1300,33.5600,33.9400,12.8318,170700
1998-06-26,34.0000,34.0000,33.8100,33.8800,12.8091,144600
1998-06-29,33.9400,34.0000,33.8100,34.0000,12.8545,182500
1998-06-30,34.0000,34.5000,33.8800,34.0000,12.8545,396600
1998-07-01,34.7500,34.9400,33.9400,34.3100,12.9717,317300
1998-07-02,34.1900,34.2500,34.0000,34.1300,12.9037,148800
1998-07-06,34.0600,34.5000,34.0600,34.5000,13.0436,229500
1998-07-07,34.4400,34.9400,34.4400,34.6900,13.1154,140700
1998-07-08,34.5600,34.6300,33.6300,34.5000,13.0436,215500
1998-07-09,34.3100,34.5000,33.8800,34.3800,12.9982,146700
1998-07-10,34.6300,34.6900,34.0600,34.1900,12.9264,204300
1998-07-13,34.3100,34.3100,34.0600,34.1300,12.9037,93800
1998-07-14,34.0600,34.3100,33.6300,33.6300,12.7146,632900
1998-07-15,33.6300,34.0000,33.6300,33.8100,12.7827,111200
1998-07-16,33.7500,34.0000,33.5000,33.5000,12.6655,164600
1998-07-17,33.4400,34.0000,33.2500,33.9400,12.8318,85300
1998-07-20,34.1300,34.1300,33.3800,33.6300,12.7146,204900
1998-07-21,33.7500,34.1900,33.6900,33.8100,12.7827,204700
1998-07-22,33.7500,33.7500,33.4400,33.7500,12.7600,63600
1998-07-23,33.5600,33.5600,32.8100,32.8100,12.4046,81900
1998-07-24,32.8800,33.3100,32.8100,33.3100,12.5936,114300
1998-07-27,33.5000,33.5000,32.8100,32.8100,12.4046,1056600
1998-07-28,32.9400,32.9400,32.0000,32.1300,12.1475,265900
1998-07-29,32.6300,32.6900,32.1900,32.1900,12.1702,166500
1998-07-30,32.1900,32.3800,32.0000,32.0600,12.1211,100800
1998-07-31,32.0600,32.7500,31.7500,32.3100,12.2156,158700
1998-08-03,32.1300,32.1300,31.7500,31.7500,12.0039,119300
1998-08-04,31.7500,31.8800,31.0600,31.0600,11.7430,145300
1998-08-05,31.0000,31.1300,30.6900,30.6900,11.6031,345600
1998-08-06,30.2500,31.2500,30.2500,31.2500,11.9679,163500
1998-08-07,31.0000,31.7500,31.0000,31.6900,12.1364,101500
1998-08-10,31.8100,32.1900,31.5000,31.6300,12.1135,119000
1998-08-11,31.3800,31.6300,31.3800,31.6300,12.1135,117200
1998-08-12,31.3800,32.1900,31.3800,32.0000,12.2552,109500
1998-08-13,32.1300,32.1300,31.9400,32.0000,12.2552,69400
