,open,high,low,close,adj_close,volume
1998-01-02,75.8800,76.6300,75.5000,76.4400,18.4605,247778
1998-01-05,76.1900,77.9400,75.9400,77.7500,18.7769,313378
1998-01-06,77.6300,77.8800,76.9400,77.5000,18.7165,240800
1998-01-07,77.5000,77.5000,75.5600,76.7500,18.5354,298844
1998-01-08,76.7500,76.7500,73.7500,74.2500,17.9316,386267
1998-01-09,74.2500,74.2500,70.8100,70.9400,17.1323,733867
1998-01-12,70.7500,73.1300,70.3800,72.1300,17.4197,395200
1998-01-13,71.8800,72.6300,71.5000,71.8100,17.3424,145467
1998-01-14,72.0000,72.0000,70.9400,71.0600,17.1612,384800
1998-01-15,71.2500,71.2500,70.2500,70.9400,17.1323,377378
1998-01-16,71.1300,71.3800,70.6900,71.0000,17.1468,348044
1998-01-20,71.0000,71.7500,71.0000,71.5000,17.2675,346978
1998-01-21,71.6900,71.6900,70.0000,70.6300,17.0574,310578
1998-01-22,70.1300,70.6300,69.6900,70.0000,16.9053,387244
1998-01-23,69.7500,71.5000,69.6900,71.2500,17.2071,328267
1998-01-26,71.5000,72.8800,71.5000,72.3800,17.4800,483644
1998-01-27,72.0000,72.6300,71.8100,72.5000,17.5090,522800
1998-01-28,73.5000,76.5000,73.5000,76.3800,18.4460,416044
1998-01-29,76.3100,78.6300,76.2500,78.0000,18.8373,465378
1998-01-30,77.7500,78.0600,77.1300,77.4400,18.7020,414000
1998-02-02,77.6300,79.5600,77.6300,79.5000,19.1995,376178
1998-02-03,79.2500,80.5600,78.8100,80.5600,19.4555,369867
1998-02-04,80.3100,80.3100,77.8800,78.1300,18.8687,369600
1998-02-05,78.3800,78.4400,76.9400,76.9400,18.5813,205644
1998-02-06,77.3800,79.3800,77.3800,79.1300,19.1102,401200
1998-02-09,79.3800,79.3800,78.2500,78.6900,19.0039,160978
1998-02-10,78.9400,81.1900,78.9400,80.8100,19.5159,357600
1998-02-11,80.8100,81.5000,80.3800,81.3100,19.6367,244844
1998-02-12,81.3100,81.9400,79.8100,81.9400,19.7888,185467
1998-02-13,81.6900,81.6900,80.6900,81.4400,19.6681,136444
1998-02-17,81.6900,81.8800,80.0600,80.4400,19.4266,197867
1998-02-18,80.5000,81.6300,80.3800,81.5000,19.6825,162844
1998-02-19,81.2500,81.5000,80.7500,81.3800,19.6536,69600
1998-02-20,81.7500,81.7500,79.7500,80.6900,19.4869,274178
1998-02-23,80.6300,86.3100,80.6300,86.0000,20.7693,525644
1998-02-24,80.2500,82.2500,79.5000,79.8100,19.2744,925867
1998-02-25,79.8100,81.9400,79.0600,81.3800,19.6536,648800
1998-02-26,81.1900,81.8800,81.1300,81.8100,19.7574,172844
1998-02-27,82.0000,82.6300,81.6300,81.8800,19.7743,483378
1998-03-02,81.3800,82.2500,81.1300,81.6900,19.7284,160178
1998-03-03,81.6300,81.6300,79.0000,79.0000,19.0788,276044
1998-03-04,77.5000,80.0000,77.2500,79.8100,19.2744,1203200
1998-03-05,79.2500,79.3100,78.3100,78.5600,18.9725,210400
1998-03-06,78.8100,80.2500,78.8100,80.0000,19.3203,196578
1998-03-09,79.7500,81.9400,79.6300,81.0000,19.5618,314444
1998-03-10,81.0600,83.2500,81.0600,83.0600,20.0593,206178
1998-03-11,83.0000,84.7500,82.6300,84.2500,20.3467,196178
1998-03-12,84.0000,85.9400,84.0000,85.9400,20.7548,269600
1998-03-13,85.9400,86.0600,85.5600,85.5600,20.6630,170978
1998-03-16,85.8100,86.0600,85.2500,85.9400,20.7548,172578
1998-03-17,85.9400,86.1300,85.5600,85.7500,20.7089,110844
1998-03-18,85.7500,85.8100,84.3800,84.3800,20.3781,141867
1998-03-19,83.8800,84.5600,83.5000,83.6300,20.1969,128978
1998-03-20,83.8800,85.2500,83.5600,85.1300,20.5592,342978
1998-03-23,85.1300,86.9400,85.0000,86.6300,20.9215,220667
1998-03-24,87.1300,87.3800,86.1300,87.0600,21.0253,290667
1998-03-25,88.1300,88.9400,86.6300,86.6300,20.9215,282000
1998-03-26,86.3100,87.2500,85.9400,87.2500,21.0712,199644
1998-03-27,87.2500,87.6300,85.9400,87.0000,21.0108,362978
1998-03-30,86.4400,87.6900,86.4400,86.6900,20.9432,181244
1998-03-31,86.9400,88.8800,86.9400,88.1900,21.3056,161067
1998-04-01,88.2500,91.7500,87.3800,91.0600,21.9989,264178
1998-04-02,91.3100,93.5600,90.8800,92.7500,22.4072,263600
1998-04-03,93.1300,94.3800,92.6300,93.6300,22.6198,206444
1998-04-06,93.3800,93.7500,92.1300,93.7500,22.6488,224844
1998-04-07,94.0000,94.8800,92.0000,93.7500,22.6488,196844
1998-04-08,93.7500,93.7500,89.6300,91.4400,22.0907,304044
1998-04-09,91.5000,93.1300,91.3800,92.9400,22.4531,103200
1998-04-13,92.0000,93.0000,90.4400,92.5600,22.3613,185200
1998-04-14,92.0000,92.1300,90.7500,91.7500,22.1656,132667
1998-04-15,91.7500,91.7500,89.5600,90.2500,21.8032,240400
1998-04-16,90.0000,90.1300,89.6900,89.8800,21.7139,210444
1998-04-17,90.0000,91.5600,89.6300,91.5600,22.1197,495467
1998-04-20,91.4400,92.4400,88.5000,90.0000,21.7428,406667
1998-04-21,89.9400,89.9400,88.3800,88.6300,21.4119,127600
1998-04-22,88.6300,94.0000,88.6300,93.1300,22.4990,473867
1998-04-23,93.0000,93.9400,91.8800,93.0000,22.4676,281867
1998-04-24,92.8800,93.2500,91.5000,92.1300,22.2574,328667
1998-04-27,91.8800,91.8800,88.5000,88.7500,21.4409,271378
