,open,high,low,close,adj_close,volume
2010-06-15,32.8000,33.7500,32.3000,32.4900,27.6104,17022500
2010-06-16,32.3700,32.7900,31.9700,32.0700,27.2535,2158800
2010-06-17,32.3500,32.4800,31.2500,31.5000,26.7691,1467700
2010-06-18,31.4500,31.6494,30.7600,31.0100,26.3527,1132200
2010-06-21,31.6600,33.0000,31.0100,32.0400,27.2280,1066900
2010-06-22,32.3800,33.1500,31.8100,32.6900,27.7804,1008800
2010-06-23,33.0000,33.5000,32.0000,33.4800,28.4517,1029400
2010-06-24,33.4900,34.1800,32.7600,33.2900,28.2903,1600800
2010-06-25,33.3000,33.3500,32.0700,32.0700,27.2535,640100
2010-06-28,32.4700,33.0500,31.7600,32.7800,27.8569,718200
2010-06-29,32.2500,32.3000,31.2700,31.7600,26.9901,622300
2010-06-30,31.9900,32.6500,31.6500,32.5500,27.6614,402400
2010-07-01,32.2500,32.5000,30.0000,30.3100,25.7578,1023200
2010-07-02,30.2500,31.0000,30.0200,30.8600,26.2252,483700
2010-07-06,31.4000,31.4000,29.7000,29.8000,25.3244,805200
2010-07-07,29.8000,30.4300,29.1700,29.2300,24.8400,583700
2010-07-08,29.0500,30.3200,28.4500,29.0100,24.6531,2176300
2010-07-09,29.2200,29.3299,28.6600,28.9700,24.6191,448600
2010-07-12,28.7500,28.8400,26.6700,26.8000,22.7750,1194500
2010-07-13,27.3800,27.9700,26.9200,27.8500,23.6673,877900
2010-07-14,27.8700,27.8700,27.1300,27.3400,23.2339,885100
2010-07-15,27.2000,27.2500,26.1000,26.5000,22.5200,642100
2010-07-16,26.2600,27.1500,26.2150,26.4500,22.4776,708700
2010-07-19,26.9300,26.9300,26.0600,26.4900,22.5115,306000
2010-07-20,26.2400,26.7000,26.0000,26.0800,22.1631,490100
2010-07-21,26.1100,27.0800,26.1100,26.6100,22.6135,854200
2010-07-22,26.9000,27.6000,26.7500,27.0300,22.9704,322600
2010-07-23,26.8900,27.1900,26.6300,27.1500,23.0724,233300
2010-07-26,27.0000,27.1399,26.1100,26.5000,22.5200,631200
2010-07-27,26.4100,27.6500,26.2500,27.1900,23.1064,537900
2010-07-28,27.0500,27.2200,26.5700,27.1500,23.0724,131300
2010-07-29,27.0000,27.2100,26.3000,26.6700,22.6645,296200
2010-07-30,26.4700,27.1900,26.3200,26.6000,22.6050,220100
2010-08-02,27.1400,27.6300,26.6800,27.5400,23.4038,356600
2010-08-03,27.3400,27.6300,27.1500,27.2500,23.1574,254100
2010-08-04,27.3000,27.5000,26.6500,26.7100,22.6985,412500
2010-08-05,26.2600,26.2600,24.2400,24.8000,21.0754,1554200
2010-08-06,24.2500,24.3560,23.1200,23.8000,20.2255,1221700
2010-08-09,24.0000,24.1900,23.5300,23.9700,20.3700,436800
2010-08-10,23.8900,23.8900,23.0000,23.0000,19.5457,396600
2010-08-11,22.8600,23.1700,22.3800,22.9500,19.5032,578900
2010-08-12,22.9400,23.5500,22.7000,23.3100,19.8091,515200
2010-08-13,23.1000,23.3600,22.8000,23.0000,19.5457,322000
2010-08-16,22.7900,23.2200,22.7300,22.7900,19.3672,190700
2010-08-17,22.8700,23.1500,22.4600,23.1200,19.6477,329500
2010-08-18,22.8800,23.1800,22.5000,23.1100,19.6392,361500
2010-08-19,23.4300,23.6500,22.8000,23.0000,19.5457,655000
2010-08-20,22.9100,23.0100,22.6300,22.8700,19.4352,326700
2010-08-23,22.7800,23.2000,22.7800,23.0000,19.5457,279500
2010-08-24,22.5000,22.6700,21.2500,21.7900,18.5174,762400
2010-08-25,21.2900,21.8300,21.2500,21.6700,18.4154,242700
2010-08-26,21.7600,22.2800,21.2500,21.2800,18.0840,213900
2010-08-27,21.3600,21.4200,20.2500,20.8700,17.7356,378500
2010-08-30,20.8700,21.1700,20.3500,20.6200,17.5231,273200
2010-08-31,20.5100,20.9800,20.4100,20.9100,17.7696,110300
2010-09-01,21.0600,21.9899,20.9500,21.6200,18.4579,257000
2010-09-02,21.7900,21.9100,21.0300,21.6700,18.5006,143800
2010-09-03,21.7500,22.4300,21.5500,22.1700,18.9275,233400
2010-09-07,22.2300,22.2300,21.7100,22.2300,18.9787,188100
2010-09-08,22.2200,22.5800,21.8100,22.0500,18.8250,263000
2010-09-09,22.5100,22.5100,21.5100,21.8000,18.6116,214400
2010-09-10,21.7900,22.2482,21.7010,21.9400,18.7311,136100
2010-09-13,22.1800,22.1800,21.3600,21.8300,18.6372,237700
2010-09-14,21.5700,22.6600,21.5200,22.1700,18.9275,375100
2010-09-15,21.9000,22.5600,21.9000,22.3400,19.0726,245800
2010-09-16,22.3400,22.6600,22.0100,22.3000,19.0385,327700
2010-09-17,22.3000,22.8500,22.2500,22.4600,19.1751,404600
2010-09-20,22.2900,22.4000,21.4200,21.8600,18.6628,379500
2010-09-21,21.9300,21.9800,21.3800,21.5200,18.3726,298500
2010-09-22,21.6100,21.8400,21.2000,21.3300,18.2104,256100
2010-09-23,21.0600,21.2200,20.5800,20.5800,17.5700,319600
2010-09-24,20.8000,20.9500,20.5300,20.6100,17.5957,237000
2010-09-27,20.6600,21.3100,20.3800,21.0700,17.9884,397100
2010-09-28,21.0300,21.4691,20.8400,21.3100,18.1933,204900
2010-09-29,21.3500,21.4697,20.7600,20.7800,17.7408,298300
2010-09-30,20.9700,21.0000,19.6000,20.2000,17.2456,1710100
2010-10-01,20.2500,20.6800,19.8300,20.6000,17.5871,480700
2010-10-04,20.5700,20.6900,20.0200,20.3900,17.4078,271400
2010-10-05,20.4700,20.9300,20.3200,20.8300,17.7835,385200
2010-10-06,20.8000,21.1000,20.5500,20.8300,17.7835,179400
2010-10-07,20.8300,20.9399,20.3220,20.6000,17.5871,176900
2010-10-08,20.5700,20.9900,20.5000,20.8500,17.8006,168900
2010-10-11,20.9000,21.4300,20.5700,21.0600,17.9798,279200
2010-10-12,21.0600,22.3800,21.0001,22.2300,18.9787,608600
2010-10-13,22.4800,22.8000,22.1000,22.2100,18.9616,714000
2010-10-14,22.3000,22.8400,22.1800,22.6300,19.3202,287000
2010-10-15,22.6900,22.6900,22.2200,22.4800,19.1922,250500
2010-10-18,22.4500,23.4900,22.3510,23.2000,19.8069,467600
2010-10-19,23.2000,23.5000,23.0700,23.1300,19.7471,432900
2010-10-20,23.2000,23.9200,22.9100,23.7300,20.2593,394200
2010-10-21,23.8800,24.0600,23.4200,23.9100,20.4130,243700
2010-10-22,24.0400,24.6100,23.9900,24.5400,20.9509,454800
2010-10-25,24.6200,24.9800,24.2500,24.3700,20.8057,329600
2010-10-26,24.6000,24.7500,24.0000,24.2300,20.6862,161600
2010-10-27,24.0000,24.2100,23.9000,24.1700,20.6350,228400
2010-10-28,24.1800,24.2399,23.5600,24.0000,20.4898,166400
2010-10-29,23.9200,24.1906,23.9200,24.0100,20.4984,195000
2010-11-01,24.0300,24.5000,23.1300,23.5900,20.1398,269800
2010-11-02,23.6900,24.1500,23.2301,24.1100,20.5838,279600
2010-11-03,24.0600,24.2500,23.6000,24.0000,20.4898,229500
2010-11-04,24.4500,24.4500,23.8000,24.0100,20.4984,456600
2010-11-05,24.0900,25.0000,23.9800,24.6540,21.0482,474200
2010-11-08,24.6700,25.0000,23.9800,24.8700,21.2326,587400
2010-11-09,25.0000,25.1800,24.5600,24.9200,21.2753,499300
2010-11-10,25.0000,25.1800,24.6100,24.8400,21.2070,159100
2010-11-11,24.6000,24.9300,24.3500,24.7100,21.0960,145900
2010-11-12,24.5800,24.7900,24.1000,24.1500,20.6179,127000
2010-11-15,24.1000,24.5000,24.0500,24.3400,20.7801,136700
2010-11-16,24.1200,24.9400,24.0800,24.6000,21.0021,482000
2010-11-17,24.7500,24.7750,24.3300,24.4000,20.8313,120000
2010-11-18,24.5500,24.8000,24.3900,24.7100,21.0960,142100
2010-11-19,24.7100,25.3000,24.2740,25.0200,21.3607,327900
