,open,high,low,close,adj_close,volume
2018-03-19,47.4500,47.5000,46.7800,47.3100,47.3100,1398603
2018-03-20,43.0000,47.9000,43.0000,47.8800,47.8800,1646496
2018-03-21,48.0300,48.3900,47.5200,47.7200,47.7200,1332499
2018-03-22,47.5300,47.7600,46.4400,46.4800,46.4800,2296955
2018-03-23,46.4700,46.7400,45.1700,45.2200,45.2200,1776993
2018-03-26,45.8500,46.8300,45.6000,46.7500,46.7500,1784380
2018-03-27,46.7800,47.6200,46.4700,46.6800,46.6800,2142720
2018-03-28,46.8300,47.0600,46.2700,46.7000,46.7000,1783194
2018-03-29,46.9700,47.4300,46.6400,47.2200,47.2200,2158086
2018-04-02,47.0300,47.2100,45.8300,46.4600,46.4600,2031793
2018-04-03,46.8900,47.6400,46.3400,46.8300,46.8300,2577401
2018-04-04,46.3500,47.3150,45.8800,47.2500,47.2500,1532078
2018-04-05,47.4900,47.9600,47.2100,47.7900,47.7900,1194173
2018-04-06,47.3700,47.6700,46.4400,46.7300,46.7300,1804882
2018-04-09,46.8800,47.8300,46.8000,47.2700,47.2700,1377207
2018-04-10,47.9200,48.0000,47.4900,47.8700,47.8700,2083250
2018-04-11,47.4000,47.7000,47.1400,47.2400,47.2400,1326072
2018-04-12,47.6400,47.7200,47.1300,47.2100,47.2100,1290769
2018-04-13,47.3900,47.5450,46.4000,46.6100,46.6100,2054709
2018-04-16,47.0600,47.7400,46.6100,47.5800,47.5800,1977830
2018-04-17,47.9700,48.3300,47.5663,48.0600,48.0600,1702460
2018-04-18,48.2600,48.4400,47.8800,47.9000,47.9000,1262535
2018-04-19,47.9600,48.0500,47.4400,47.5500,47.5500,1532252
2018-04-20,47.6300,47.9400,47.3800,47.4300,47.4300,2111681
2018-04-23,47.5700,47.8550,47.0500,47.2800,47.2800,1451206
2018-04-24,47.6300,47.7800,46.5900,46.8900,46.8900,2348980
2018-04-25,46.6400,46.7500,45.2900,45.3900,45.3900,2309825
2018-04-26,45.4500,45.9100,45.1800,45.2200,45.2200,2103788
2018-04-27,45.1700,45.7000,45.1100,45.6700,45.6700,1779951
2018-04-30,45.8200,46.1600,45.2550,45.3100,45.3100,1492229
2018-05-01,45.2500,45.8200,45.1800,45.8000,45.8000,2287179
2018-05-02,46.0100,46.5500,45.0500,46.2900,46.2900,4235204
2018-05-03,46.1900,46.4600,45.1500,45.9600,45.9600,2072530
