,open,high,low,close,adj_close,volume
2005-12-05,30.0000,30.0000,26.7000,26.7000,7.7978,1087800
2005-12-06,26.8500,26.8500,25.7500,25.7600,7.5232,1743800
2005-12-07,26.0000,26.0000,25.2500,25.5500,7.4619,1536400
2005-12-08,25.5300,25.7500,25.1000,25.3900,7.4152,2100700
2005-12-09,25.4000,25.9500,24.9500,25.6300,7.4853,2414700
2005-12-12,25.9000,26.3000,25.9000,26.2400,7.6634,898600
2005-12-13,26.2500,26.2600,25.9300,26.0000,7.5933,639700
2005-12-14,26.0000,26.0500,25.6500,25.7000,7.5057,672800
2005-12-15,25.7000,25.7000,25.2000,25.3200,7.3947,1948400
2005-12-16,25.3300,25.5000,25.1700,25.3000,7.3889,1023000
2005-12-19,25.3100,25.4000,25.1000,25.2900,7.3860,362700
2005-12-20,25.2900,25.2900,24.7400,25.0700,7.3217,385800
2005-12-21,25.1500,25.3000,24.9800,25.2500,7.3743,673000
2005-12-22,25.2500,25.2500,25.0000,25.1100,7.3334,274300
2005-12-23,25.1000,25.5200,25.1000,25.5000,7.4473,667100
2005-12-27,25.6500,25.9300,25.3000,25.6500,7.4911,511400
2005-12-28,25.7500,25.8400,25.0000,25.0500,7.3159,821600
2005-12-29,25.1500,25.2500,24.7500,25.0000,7.3013,776100
2005-12-30,25.0000,25.5000,24.8500,25.5000,7.4473,3887900
2006-01-03,25.6000,27.4000,25.6000,26.2000,19.7894,6604500
2006-01-04,26.2700,26.2700,25.8410,26.0000,19.6383,8900000
2006-01-05,26.0000,26.4400,25.8300,26.3600,19.9102,8040500
2006-01-06,26.5000,27.3000,26.4600,27.2300,20.5673,7449100
2006-01-09,27.0000,27.2100,26.8500,27.0300,20.4163,7858700
2006-01-10,27.1000,27.1700,26.4300,26.5600,20.0613,9081400
2006-01-11,26.6600,26.7500,26.0500,26.1800,19.7743,6941200
2006-01-12,25.8600,26.1500,25.4900,25.9900,19.6307,7687400
2006-01-13,25.9500,26.0000,25.4800,25.4800,19.2455,4858900
2006-01-17,25.1500,25.6600,25.0100,25.0600,18.9283,6226600
2006-01-18,25.0000,25.6700,24.8300,25.0799,18.9433,5522800
2006-01-19,25.6400,25.7100,25.3400,25.5700,19.3135,5021500
2006-01-20,25.3500,25.7200,24.9200,24.9800,18.8679,5064800
2006-01-23,25.3000,25.9000,25.0500,25.8200,19.5023,6361700
2006-01-24,26.0000,27.0000,25.8000,26.9000,20.3181,8567000
2006-01-25,27.0000,27.0000,26.0900,26.4000,19.9404,5665700
2006-01-26,26.5500,27.1099,26.4800,26.8100,20.2501,7545300
2006-01-27,26.7500,27.3500,26.4300,26.8000,20.2426,7927600
2006-01-30,26.8500,27.4500,26.7000,27.2700,20.5976,5639100
2006-01-31,27.1700,27.1700,26.0300,26.1300,19.7365,6437100
2006-02-01,26.0100,26.5600,25.9600,26.1400,19.7440,4373800
2006-02-02,26.1200,26.3000,25.4700,25.6500,19.3739,6802800
2006-02-03,25.6000,26.0200,25.3800,25.6600,19.3815,5411600
2006-02-06,25.6600,26.0800,25.6400,25.8400,19.5174,3735500
2006-02-07,25.9500,26.1400,25.5300,25.5300,19.2833,3321300
2006-02-08,25.5300,26.0700,25.5300,26.0200,19.6534,3761800
2006-02-09,25.8000,26.0000,25.5400,25.6300,19.3588,3644000
2006-02-10,25.5800,25.6500,25.2900,25.4600,19.2304,3895200
2006-02-13,25.2500,25.6300,25.1500,25.5400,19.2909,2695600
2006-02-14,25.4500,25.8300,25.2800,25.6000,19.3362,4273900
2006-02-15,25.7200,25.8100,25.5500,25.6100,19.3437,1984200
2006-02-16,25.5500,25.5800,25.1000,25.1500,18.9963,4152400
2006-02-17,25.0500,25.9500,25.0300,25.8500,19.5250,5383800
2006-02-21,26.0000,26.0200,25.1600,25.3000,19.1096,4557900
2006-02-22,25.4500,25.5200,25.1700,25.2300,19.0567,7170900
2006-02-23,25.2300,25.5500,24.8600,25.2000,19.0340,5946200
2006-02-24,25.0400,25.2700,24.5300,24.5300,18.6488,7852800
2006-02-27,24.5300,25.0500,24.5300,24.8300,18.8769,7683400
2006-02-28,24.6600,24.7500,24.3800,24.4600,18.5956,4980000
2006-03-01,24.5000,24.7400,24.2101,24.6500,18.7401,4525500
2006-03-02,24.2400,24.2900,23.9100,24.0600,18.2915,8128400
2006-03-03,24.0600,24.3100,23.8500,23.9800,18.2307,4152400
2006-03-06,24.0000,24.4500,23.9000,23.9800,18.2307,4676300
2006-03-07,23.9900,24.4400,23.9800,24.3600,18.5196,4749900
2006-03-08,24.3600,24.4200,24.0200,24.1400,18.3523,4224300
2006-03-09,24.1000,24.2000,23.9200,23.9600,18.2155,3110400
2006-03-10,24.1400,24.2300,23.8800,23.9500,18.2079,3694600
2006-03-13,24.0500,24.2700,24.0100,24.0200,18.2611,3411600
2006-03-14,24.0200,24.1200,23.9500,23.9600,18.2155,3359300
2006-03-15,24.0500,24.4500,23.8900,24.3400,18.5044,3223200
2006-03-16,24.5000,24.5000,24.1500,24.2200,18.4132,3201700
2006-03-17,24.3500,24.7500,24.1600,24.6200,18.7173,4418800
2006-03-20,24.4800,24.6000,24.2600,24.4000,18.5500,2975200
2006-03-21,24.5600,24.8000,24.5500,24.7800,18.8389,6324000
2006-03-22,24.8200,25.0900,24.7500,25.0800,19.0670,7172300
2006-03-23,25.0000,25.0000,24.8500,24.8900,18.9225,3651500
2006-03-24,24.7500,25.0600,24.7300,25.0300,19.0290,4420400
2006-03-27,24.8500,25.0400,24.5500,24.7800,18.8389,4419300
2006-03-28,24.7000,24.7700,24.2200,24.4200,18.5652,4653700
2006-03-29,24.4000,24.5400,24.2300,24.4400,18.5804,5789100
2006-03-30,24.5500,24.6900,24.2000,24.2400,18.4284,5351700
2006-03-31,24.2300,24.3800,23.9700,23.9800,18.2307,5896800
2006-04-03,24.1000,24.7400,24.0500,24.7000,18.7781,4671500
2006-04-04,24.6000,24.8000,24.4900,24.7700,18.8313,3546900
2006-04-05,24.9100,25.0000,24.6700,24.9000,18.9301,5419900
2006-04-06,24.9000,25.5000,24.7600,25.4700,19.3635,7143300
2006-04-07,25.1600,25.4600,24.9900,25.1400,19.1126,4156200
2006-04-10,25.1000,25.1600,24.8700,24.8900,18.9225,5378200
2006-04-11,25.0000,25.0000,24.4300,24.6000,18.7020,3229300
2006-04-12,24.6500,24.8000,24.5300,24.5300,18.6488,2068500
2006-04-13,24.4400,24.9000,24.4300,24.8500,18.8921,1795200
2006-04-17,24.9500,24.9500,24.5100,24.7100,18.7857,2373400
2006-04-18,24.8000,24.9100,24.1700,24.8000,18.8541,4781200
2006-04-19,24.7800,24.8200,24.3800,24.5600,18.6716,3309400
2006-04-20,24.5800,24.7100,24.4300,24.5300,18.6488,3766000
2006-04-21,24.7000,24.8400,24.5000,24.8100,18.8617,3113600
2006-04-24,24.7200,24.9300,24.7000,24.8100,18.8617,1945300
2006-04-25,24.9000,25.3700,24.6500,25.3700,19.2874,4056600
2006-04-26,25.4000,25.5800,25.0300,25.1500,19.1202,5903900
2006-04-27,25.1900,25.6000,25.1300,25.5000,19.3863,4015100
2006-04-28,25.5000,25.5700,25.3400,25.4700,19.3635,4942000
2006-05-01,25.4700,26.0100,25.4700,25.7800,19.5991,4909200
2006-05-02,25.8500,25.9000,25.5000,25.5500,19.4243,6549700
2006-05-03,25.5600,25.8000,25.5300,25.7500,19.5763,4728000
2006-05-04,25.7500,26.1500,25.7000,26.0400,19.7968,2686500
2006-05-05,26.0800,26.4400,26.0500,26.3800,20.0553,2673800
2006-05-08,26.5000,26.8100,26.4600,26.6000,20.2225,5272100
2006-05-09,26.7200,26.8000,26.6100,26.6700,20.2758,4228600
2006-05-10,26.7700,26.7700,26.2500,26.3000,19.9945,4107000
2006-05-11,26.3000,26.3500,25.8900,25.9200,19.7056,3550300
2006-05-12,25.5500,26.0500,25.4300,25.6600,19.5079,3674100
2006-05-15,25.5500,25.8000,25.2500,25.6600,19.5079,2980000
2006-05-16,25.7900,26.4300,25.7700,26.3300,20.0173,5039500
2006-05-17,26.2500,26.5100,25.7700,25.8000,19.6143,5144600
2006-05-18,25.0100,25.8600,25.0100,25.3500,19.2722,3166800
2006-05-19,25.5000,25.5000,24.9900,25.2100,19.1658,6574600
2006-05-22,25.2100,25.5500,25.1000,25.2600,19.2038,3998800
2006-05-23,25.2000,25.2000,24.8200,24.8500,18.8921,3794800
2006-05-24,25.0000,25.6000,24.9200,25.4000,19.3102,3725400
2006-05-25,25.5000,26.3300,25.5000,26.3000,19.9945,8439500
2006-05-26,26.3800,26.5000,26.0400,26.2000,19.9184,3751000
2006-05-30,26.0000,26.0900,25.5000,25.5100,19.3939,6300800
2006-05-31,25.5100,25.9300,25.4700,25.7300,19.5611,5084700
2006-06-01,25.9100,26.6700,25.7000,26.6400,20.3898,4254500
2006-06-02,26.8800,26.8800,26.3000,26.4300,20.2291,2583800
2006-06-05,26.4300,26.8500,26.2300,26.5600,20.3286,5399000
2006-06-06,26.5600,26.8800,26.0100,26.2800,20.1143,2981800
2006-06-07,26.4500,26.8000,26.2600,26.6800,20.4204,7633300
2006-06-08,26.7600,26.9700,26.4900,26.5500,20.3209,7894000
2006-06-09,26.3500,26.5000,25.8500,25.9100,19.8311,4573200
2006-06-12,26.2400,26.4000,25.7400,25.7500,19.7086,3502000
2006-06-13,25.8000,26.0800,25.7300,25.7900,19.7392,4249500
2006-06-14,26.0500,26.2600,25.7400,25.8300,19.7698,3977200
2006-06-15,25.8200,26.2800,25.5800,26.2700,20.1066,2639700
2006-06-16,26.1700,26.2600,25.6300,25.9900,19.8923,3507800
2006-06-19,26.0500,26.1100,25.9200,25.9600,19.8693,3016800
2006-06-20,26.0400,26.1600,25.7885,25.7900,19.7392,3463500
2006-06-21,25.7700,26.1000,25.7200,26.0400,19.9306,3017900
2006-06-22,26.0400,26.1500,25.8300,25.9500,19.8617,2376700
2006-06-23,25.8500,26.6100,25.8200,26.5000,20.2826,5966600
2006-06-26,26.4800,26.6000,26.3400,26.5000,20.2826,3795100
2006-06-27,26.6000,26.7300,26.2700,26.5200,20.2979,3740300
2006-06-28,26.7200,26.7200,26.3400,26.6300,20.3821,6188200
2006-06-29,26.9500,26.9900,26.7300,26.9200,20.6041,4982800
2006-06-30,27.0100,27.2400,27.0100,27.0500,20.7036,5371700
2006-07-03,27.0500,27.2000,27.0000,27.1100,20.7495,1490100
2006-07-05,27.0500,27.0600,26.6100,26.7400,20.4663,4391800
2006-07-06,27.0000,27.0300,26.7500,26.8700,20.5658,2028600
2006-07-07,26.9000,27.4100,26.8000,27.3900,20.9638,5297000
2006-07-10,27.4700,27.6300,27.2000,27.3700,20.9485,2992800
2006-07-11,27.3800,27.5200,27.3000,27.4300,20.9944,3370500
2006-07-12,27.4800,27.6400,26.7300,27.5400,21.0786,2541600
2006-07-13,27.5400,27.6000,26.8200,26.9500,20.6271,3961100
2006-07-14,26.8500,26.8600,26.3700,26.5200,20.2979,3068600
2006-07-17,26.5000,26.7300,26.3500,26.6300,20.3821,1811400
2006-07-18,26.6300,26.8300,26.4000,26.5000,20.2826,1546100
2006-07-19,26.6000,26.9000,26.4100,26.5500,20.3209,2861500
2006-07-20,26.4500,26.5800,26.3400,26.3800,20.1908,2488500
2006-07-21,26.3800,26.5200,26.1100,26.2300,20.0760,2872000
2006-07-24,26.4000,26.6300,26.1800,26.5200,20.2979,2019700
2006-07-25,26.5500,27.0000,26.5200,26.8700,20.5658,2629300
2006-07-26,26.8100,26.9200,26.6200,26.6500,20.3974,2081300
2006-07-27,26.7500,26.9500,26.6700,26.8300,20.5352,1588600
2006-07-28,26.8700,27.2700,26.7001,27.2500,20.8567,1943600
2006-07-31,27.2500,27.4400,27.0100,27.4300,20.9944,2982900
2006-08-01,27.2500,27.2700,26.7000,26.8300,20.5352,3026200
2006-08-02,26.8300,27.3100,26.8000,27.1500,20.7801,1859100
2006-08-03,26.7500,26.7600,25.5300,26.3600,20.1755,9992600
2006-08-04,26.3600,26.7000,25.8000,25.8000,19.7469,6634900
2006-08-07,25.9800,26.3300,25.9600,26.1500,20.0148,4763600
2006-08-08,26.3000,26.4200,26.1200,26.2500,20.0913,3682100
2006-08-09,26.3500,26.4100,26.1900,26.2500,20.0913,6035400
2006-08-10,26.1800,26.5600,26.1800,26.5000,20.2826,5248500
2006-08-11,26.1800,26.5800,26.1700,26.3700,20.1831,3136400
2006-08-14,26.4000,27.3500,26.3400,27.2600,20.8643,8282900
2006-08-15,27.4700,27.6800,27.2900,27.6400,21.1552,3785500
2006-08-16,27.7500,27.8300,27.4300,27.5600,21.0939,2713100
2006-08-17,27.4500,27.7300,27.3000,27.4500,21.0098,2546600
2006-08-18,27.4600,27.6100,27.2600,27.5200,21.0633,2590700
2006-08-21,27.5000,27.7400,27.4700,27.7100,21.2088,1918000
2006-08-22,27.7200,28.1900,27.6000,28.1800,21.5685,5114000
2006-08-23,28.1800,28.4500,27.9100,28.3400,21.6909,3664800
2006-08-24,28.3400,28.5000,28.2100,28.2800,21.6450,2620000
2006-08-25,28.1500,28.6000,28.0300,28.4600,21.7828,2333200
2006-08-28,28.7500,29.1900,28.5900,28.7400,21.9971,5429900
2006-08-29,28.7800,29.0000,28.5900,28.9300,22.2956,4279400
2006-08-30,28.9200,28.9700,28.5000,28.8100,22.2031,2050500
2006-08-31,28.8100,28.8700,28.5500,28.5500,22.0027,2451300
2006-09-01,28.8200,28.9900,28.7200,28.8600,22.2417,2415600
2006-09-05,29.0000,29.0000,28.5400,28.6000,22.0413,3150900
2006-09-06,28.3200,28.6300,28.1300,28.3000,21.8101,4308800
2006-09-07,28.4000,28.6100,28.0800,28.1300,21.6791,3242900
2006-09-08,28.0200,28.4900,28.0000,28.4600,21.9334,2641100
