,open,high,low,close,adj_close,volume
1998-08-18,12.8800,13.1200,12.8800,13.0000,10.7384,5783000
1998-08-19,13.0000,13.2500,13.0000,13.0000,10.7384,388700
1998-08-20,13.1200,13.2500,13.0000,13.0000,10.7384,348500
1998-08-21,13.0000,13.0000,13.0000,13.0000,10.7384,804000
1998-08-24,13.0000,13.0000,13.0000,13.0000,10.7384,119700
1998-08-25,13.0000,13.0000,12.8800,13.0000,10.7384,294100
1998-08-26,13.0000,13.0000,12.1200,12.2500,10.1189,383800
1998-08-27,12.2500,12.3800,10.7500,11.1200,9.1855,435300
1998-08-28,11.3800,11.3800,10.0000,10.0000,8.2603,192400
1998-08-31,10.0000,10.1300,7.6300,8.1300,6.7156,150800
1998-09-01,8.2500,9.0000,6.6900,8.5000,7.0213,440700
1998-09-02,8.5000,10.5000,8.5000,9.5600,7.8969,509200
1998-09-03,9.7500,9.7500,8.5000,8.7500,7.2278,165900
1998-09-04,9.0000,9.0000,8.1300,8.3800,6.9221,155700
1998-09-08,9.0000,10.0000,8.7500,9.8800,8.1612,149300
1998-09-09,9.8800,10.0000,9.5000,9.5000,7.8473,116900
1998-09-10,9.3800,9.3800,9.0000,9.2500,7.6408,80700
1998-09-11,9.3100,9.3800,9.0000,9.0000,7.4343,84800
1998-09-14,9.2500,9.6300,9.0000,9.0000,7.4343,90800
1998-09-15,9.1300,9.2500,8.6300,8.7500,7.2278,200400
1998-09-16,8.7500,8.7500,7.7500,7.8800,6.5091,221300
1998-09-17,7.8800,8.6300,7.8800,8.2800,6.8395,87300
1998-09-18,8.3800,8.6900,7.7500,8.2500,6.8148,147300
1998-09-21,7.8800,8.0000,6.8800,7.0000,5.7822,472900
1998-09-22,7.1300,8.1300,7.0600,8.0000,6.6083,728300
1998-09-23,8.2500,8.6300,8.0000,8.3800,6.9221,382500
1998-09-24,8.5000,9.3800,8.5000,9.0600,7.4838,280800
1998-09-25,8.7500,9.4400,8.7500,9.3800,7.7482,44400
1998-09-28,9.5000,9.8800,9.3800,9.3800,7.7482,26500
1998-09-29,9.5000,9.7500,9.2500,9.5300,7.8721,88300
1998-09-30,9.5000,10.0600,9.3800,9.6300,7.9547,172300
1998-10-01,9.6300,9.6300,8.8800,8.8800,7.3352,85500
1998-10-02,8.8800,9.2500,8.8800,8.8800,7.3352,58700
1998-10-05,8.7500,8.8800,8.0000,8.0000,6.6083,63000
1998-10-06,9.0000,9.1300,8.0000,8.3800,6.9221,129500
1998-10-07,8.3800,8.6300,7.8100,7.8100,6.4513,340400
1998-10-08,7.7500,7.8100,6.0000,6.3100,5.2123,346800
1998-10-09,7.0000,7.1300,6.1300,6.2500,5.1627,271500
1998-10-12,6.5000,6.5000,6.0000,6.2500,5.1627,660400
1998-10-13,6.2500,7.5000,6.2500,7.0000,5.7822,228600
1998-10-14,6.8800,7.6300,6.8800,7.6300,6.3026,46400
1998-10-15,7.5000,7.6300,7.3800,7.5600,6.2448,44100
1998-10-16,7.8100,8.3800,7.5000,7.8800,6.5091,421600
1998-10-19,8.1300,8.5600,8.0000,8.5600,7.0708,50600
1998-10-20,8.6300,9.5000,8.5000,9.3800,7.7482,354800
1998-10-21,9.4400,10.3800,9.4400,10.0000,8.2603,156000
1998-10-22,10.1300,11.5000,10.0000,11.4400,9.4498,134600
1998-10-23,11.6300,13.1300,11.3800,13.0000,10.7384,411400
1998-10-26,13.0000,13.0000,12.6300,12.7500,10.5319,125500
1998-10-27,12.8800,13.3800,12.3800,12.4400,10.2758,417500
1998-10-28,12.3800,12.7500,12.2500,12.7500,10.5319,53000
1998-10-29,12.6300,13.0600,11.7500,12.0000,9.9124,280000
1998-10-30,12.0000,12.8800,11.8800,12.8800,10.6393,198600
1998-11-02,12.9400,13.3100,12.6300,12.8800,10.6393,105900
1998-11-03,12.8100,12.8800,12.6300,12.7500,10.5319,24900
1998-11-04,12.8800,12.8800,12.2500,12.5000,10.3254,105800
1998-11-05,12.5000,13.2500,12.3100,13.2500,10.9449,81800
1998-11-06,13.2500,13.3100,12.8800,13.2500,10.9449,55600
1998-11-09,12.8800,13.3100,12.7500,13.2500,10.9449,84200
1998-11-10,13.2500,13.3100,12.8800,13.0000,10.7384,22600
1998-11-11,12.8800,13.1300,12.6300,12.7500,10.5319,22200
1998-11-12,12.7500,12.7500,12.2500,12.5000,10.3254,23700
1998-11-13,12.5600,12.5600,10.5000,11.8100,9.7554,96600
1998-11-16,11.6900,12.2500,11.2500,11.5000,9.4994,70500
1998-11-17,11.7500,12.0000,11.1300,11.7500,9.7059,188500
1998-11-18,11.5000,12.0000,11.5000,11.9400,9.8628,22500
1998-11-19,12.0000,12.0000,10.7500,10.8800,8.9872,41700
1998-11-20,11.0000,11.0000,9.8800,10.6300,8.7807,148500
1998-11-23,10.7500,12.5000,10.7500,11.6300,9.6067,151200
1998-11-24,11.4400,11.4400,11.1900,11.3100,9.3424,33400
1998-11-25,11.3800,12.6300,11.1900,12.0000,9.9124,66200
1998-11-27,11.8800,13.2500,11.8800,12.9400,10.6888,203200
1998-11-30,13.2500,13.6300,12.8800,13.4400,11.1019,265900
1998-12-01,13.2500,13.5000,12.6300,13.3100,10.9945,73100
1998-12-02,13.1300,13.7500,12.9400,13.3100,10.9945,142400
1998-12-03,13.5000,13.6300,13.2500,13.6300,11.2588,100000
1998-12-04,14.3800,16.6200,13.9400,16.3700,13.5221,377200
1998-12-07,16.5000,16.7500,15.5000,15.6900,12.9604,193400
1998-12-08,15.8800,15.9400,14.8800,15.1900,12.5474,140300
1998-12-09,14.7500,19.3700,14.7500,17.6200,14.5547,412500
1998-12-10,17.7500,17.8700,16.6200,16.9400,13.9930,200200
1998-12-11,16.5000,16.6200,15.1300,15.9400,13.1669,227800
1998-12-14,16.0000,16.2500,15.2500,15.2500,12.5970,84400
1998-12-15,16.1200,16.3700,15.0000,15.9700,13.1917,276900
1998-12-16,15.9400,17.0000,15.7500,16.8700,13.9352,226900
1998-12-17,17.1200,17.2500,16.7500,17.0600,14.0921,222700
1998-12-18,17.2500,17.2500,16.8700,17.0000,14.0425,47500
1998-12-21,17.1200,19.0000,16.8700,18.5000,15.2816,145100
1998-12-22,18.8100,18.8100,17.7500,17.9100,14.7942,652100
1998-12-23,18.3700,18.7500,17.7500,18.5000,15.2816,340000
1998-12-24,18.3700,18.7500,17.8700,18.0000,14.8686,27100
1998-12-28,18.1900,20.0000,17.8700,20.0000,16.5206,139100
1998-12-29,20.1200,20.8700,18.5000,20.8700,17.2393,103600
1998-12-30,20.6200,21.2500,20.2500,20.8700,17.2393,28700
1998-12-31,21.0600,23.5000,20.8700,23.5000,19.4117,96100
1999-01-04,23.0000,23.5000,20.0000,21.0600,17.3962,199200
1999-01-05,20.5600,20.6900,19.8100,19.9400,16.4711,116900
1999-01-06,19.8700,22.0000,19.8700,20.7500,17.1402,160300
1999-01-07,21.0000,23.2500,20.2500,22.5000,18.5857,211200
1999-01-08,23.2500,23.5000,22.3700,22.4100,18.5114,94600
1999-01-11,22.5000,22.5000,21.7500,21.8700,18.0653,37200
1999-01-12,22.0600,22.0600,20.2500,21.0000,17.3467,79800
1999-01-13,19.7500,20.8700,19.2500,20.2500,16.7271,113400
1999-01-14,20.5000,21.2500,20.2500,20.9400,17.2971,212300
1999-01-15,20.6200,21.7500,20.6200,21.7500,17.9662,42700
1999-01-19,21.7500,22.8700,21.1200,22.1200,18.2718,178900
1999-01-20,22.2500,22.9400,22.2500,22.7500,18.7922,104800
1999-01-21,22.4400,22.5000,21.5000,21.5000,17.7597,128100
1999-01-22,21.1200,21.2500,19.8700,20.0000,16.5206,72800
1999-01-25,20.0000,21.6200,19.5000,21.6200,17.8588,70400
1999-01-26,21.8700,22.7500,21.0000,21.5000,17.7597,123800
1999-01-27,21.7500,22.2500,20.7500,21.5600,17.8092,15000
1999-01-28,21.6200,22.0000,21.0000,21.3700,17.6523,31000
1999-01-29,21.6200,21.7500,21.3700,21.6200,17.8588,51900
1999-02-01,21.6200,21.7500,21.3700,21.5600,17.8092,73100
1999-02-02,21.5600,22.0000,21.5600,21.8700,18.0653,13300
1999-02-03,22.2500,22.2500,21.5000,21.6200,17.8588,9800
1999-02-04,21.3700,21.7500,21.3700,21.7500,17.9662,28800
1999-02-05,21.7500,22.0000,21.3700,21.7500,17.9662,25400
1999-02-08,21.8700,23.1200,21.2500,21.7500,17.9662,193600
1999-02-09,21.5000,21.7500,21.0000,21.1200,17.4458,23800
1999-02-10,21.1200,21.5000,20.7500,21.0000,17.3467,5400
1999-02-11,21.3700,21.5000,19.5000,19.6900,16.2646,96500
1999-02-12,19.6900,19.6900,18.1200,18.7500,15.4881,85500
1999-02-16,19.3700,19.3700,18.0000,19.0000,15.6946,78800
1999-02-17,19.1200,19.1200,17.5000,18.3700,15.1742,28400
1999-02-18,18.3700,19.0600,18.0000,18.7500,15.4881,32400
1999-02-19,18.7500,19.0000,18.6200,18.6200,15.3807,122500
1999-02-22,19.1200,19.1200,18.9400,18.9400,15.6450,97000
1999-02-23,19.1200,19.1200,18.7500,18.8700,15.5872,13100
1999-02-24,18.8700,19.1200,18.8700,18.9400,15.6450,190100
1999-02-25,18.9400,19.1200,18.6200,19.1200,15.7937,17300
1999-02-26,19.0000,19.0000,17.0000,17.0000,14.0425,173400
1999-03-01,17.0000,17.2500,16.6200,17.2500,14.2490,31700
1999-03-02,17.1200,17.2500,17.0000,17.1200,14.1417,131700
1999-03-03,17.1200,17.3100,17.0000,17.1200,14.1417,117400
1999-03-04,17.2500,18.1200,17.1200,18.1200,14.9677,247600
1999-03-05,18.3700,18.8100,18.2500,18.6200,15.3807,66100
1999-03-08,18.8700,19.0000,18.3700,18.8700,15.5872,378000
1999-03-09,21.0000,21.5000,19.2500,19.3700,16.0002,535500
1999-03-10,19.5000,19.5000,18.0000,18.1200,14.9677,158000
1999-03-11,18.0000,18.5600,17.8100,18.0600,14.9181,508800
1999-03-12,18.0000,18.8700,17.7500,18.5600,15.3311,235200
1999-03-15,18.3700,19.9400,18.3700,19.9400,16.4711,231800
1999-03-16,20.0000,20.0600,19.3700,20.0000,16.5206,57300
1999-03-17,20.0000,20.0600,19.0000,19.9100,16.4463,56600
1999-03-18,19.5000,19.7500,18.7500,19.2500,15.9011,390700
1999-03-19,19.3700,19.3700,18.7500,18.8700,15.5872,44100
1999-03-22,19.2500,19.2500,18.7500,18.9400,15.6450,122100
1999-03-23,18.8700,19.0600,18.2500,18.2500,15.0751,361500
1999-03-24,18.5000,18.5000,18.1200,18.3700,15.1742,2900
1999-03-25,18.3700,18.5000,18.0000,18.1200,14.9677,197300
1999-03-26,18.0000,18.2500,18.0000,18.0000,14.8686,24600
1999-03-29,18.0000,18.5000,18.0000,18.3700,15.1742,516800
1999-03-30,18.3700,18.5000,17.8700,18.0000,14.8686,129800
1999-03-31,17.8700,18.0600,17.5000,18.0000,14.8686,311300
1999-04-01,18.0600,19.4100,17.9400,19.0000,15.6946,47100
1999-04-05,19.0000,19.0000,18.0000,18.1200,14.9677,26200
1999-04-06,18.1200,18.1200,17.5000,17.9400,14.8190,75300
1999-04-07,18.3700,18.3700,17.8700,18.0900,14.9429,139200
1999-04-08,18.0600,18.3700,18.0600,18.2800,15.0999,70700
1999-04-09,18.2500,18.3100,18.2500,18.2500,15.0751,46200
1999-04-12,18.1900,18.3100,18.0600,18.1900,15.0255,47700
1999-04-13,18.0600,18.3100,18.0600,18.2500,15.0751,166300
1999-04-14,18.3100,18.3100,18.0000,18.0000,14.8686,177700
1999-04-15,17.9400,17.9400,17.2500,17.6200,14.5547,114000
1999-04-16,17.3700,17.7500,17.0000,17.1200,14.1417,291000
1999-04-19,17.1200,17.5000,17.0000,17.1200,14.1417,140300
1999-04-20,17.1200,17.2500,16.3700,16.9700,14.0178,71600
1999-04-21,17.0000,18.2500,16.8100,18.1900,15.0255,227000
1999-04-22,18.2500,18.6200,18.0000,18.4400,15.2320,425500
1999-04-23,18.4400,18.8700,18.3100,18.7500,15.4881,285200
1999-04-26,18.8100,19.1200,18.5000,19.0000,15.6946,150900
1999-04-27,19.1200,19.1900,19.0000,19.1900,15.8515,30500
1999-04-28,19.2500,19.5600,19.0000,19.5000,16.1076,450000
1999-04-29,19.5000,19.5000,18.7500,18.7500,15.4881,342500
1999-04-30,18.5000,19.1200,18.5000,19.1200,15.7937,57500
1999-05-03,19.1200,19.1200,18.8700,19.0000,15.6946,32100
1999-05-04,19.3700,20.2500,19.1200,20.0600,16.5702,722200
1999-05-05,20.1200,20.6200,19.9400,20.3700,16.8263,441800
1999-05-06,20.4400,20.8700,20.2500,20.5600,16.9832,818800
1999-05-07,20.6900,21.1200,20.3100,20.4400,16.8841,346400
1999-05-10,20.3700,20.3700,18.4400,18.9400,15.6450,341100
1999-05-11,18.5600,18.7500,18.0000,18.1900,15.0255,909400
1999-05-12,17.5000,18.6200,17.1200,18.2500,15.0751,10559800
1999-05-13,18.8700,20.2500,18.7500,19.8700,16.4132,3129700
1999-05-14,19.7500,19.8700,18.6200,19.5000,16.1076,1212300
