,open,high,low,close,adj_close,volume
1998-01-02,55.5000,55.6300,54.0000,54.3800,16.7991,277200
1998-01-05,54.4400,55.8100,54.0000,55.0000,16.9907,393800
1998-01-06,54.6300,55.0000,54.0000,54.0000,16.6817,218300
1998-01-07,54.0600,55.5600,54.0600,55.5000,17.1451,310700
1998-01-08,55.2500,56.0000,54.2500,55.6300,17.1853,674800
1998-01-09,55.6300,55.6300,53.0600,53.2500,16.4501,597700
1998-01-12,52.7500,53.1900,52.4400,53.1900,16.4315,503900
1998-01-13,53.3100,53.3100,51.9400,52.5000,16.2184,584200
1998-01-14,52.4400,53.0000,51.9400,53.0000,16.3728,293900
1998-01-15,53.0000,53.1300,52.6900,53.0000,16.3728,201400
1998-01-16,53.1300,54.2500,53.0000,54.2500,16.7590,349800
1998-01-20,55.2500,55.5000,54.6900,55.0000,16.9907,338800
1998-01-21,55.0000,55.0600,54.3800,54.8800,16.9536,238200
1998-01-22,54.8800,55.5000,54.8800,55.2500,17.0679,271600
1998-01-23,55.5000,55.8100,55.2500,55.3100,17.0864,456200
1998-01-26,55.0600,55.8800,55.0600,55.7500,17.2224,419300
1998-01-27,55.9400,56.2500,55.0000,56.0000,17.2996,560700
1998-01-28,55.8800,56.7500,55.7500,56.3800,17.4170,342200
1998-01-29,56.8800,57.0000,56.1300,56.3800,17.4170,352700
1998-01-30,56.4400,56.5000,55.7500,55.8100,17.2409,464200
1998-02-02,56.0000,56.8100,55.3800,56.3800,17.4170,435700
1998-02-03,56.5000,56.6300,55.2500,55.5000,17.1451,451900
1998-02-04,55.4400,56.0000,55.1900,55.6300,17.1853,421300
1998-02-05,56.1300,56.4400,55.9400,55.9400,17.2810,309800
1998-02-06,56.1300,57.1900,56.1300,56.5600,17.4726,243500
1998-02-09,57.0000,57.7500,56.8800,57.0600,17.6270,203500
1998-02-10,57.1300,57.9400,56.7500,57.5000,17.7630,266700
1998-02-11,57.5600,58.6300,57.5600,58.5600,18.1368,367800
1998-02-12,58.3100,58.3100,57.0000,57.3800,17.7713,1270100
1998-02-13,57.0000,57.4400,57.0000,57.1900,17.7125,747500
1998-02-17,57.3100,57.3100,56.3800,56.4400,17.4802,292900
1998-02-18,56.5600,57.6900,56.3800,57.5000,17.8085,323200
1998-02-19,57.4400,57.7500,57.0000,57.6300,17.8487,303300
1998-02-20,57.7500,57.9400,57.0000,57.5000,17.8085,116400
1998-02-23,57.7500,58.1300,57.1900,57.3800,17.7713,349500
1998-02-24,57.4400,57.6300,57.0600,57.0600,17.6722,285000
1998-02-25,57.5600,58.5000,57.5000,58.1300,18.0036,364100
1998-02-26,58.2500,58.7500,58.1300,58.5600,18.1368,399300
1998-02-27,58.8100,59.0600,58.3100,58.8800,18.2359,382400
1998-03-02,59.1300,59.5000,59.0600,59.3800,18.3907,220200
1998-03-03,59.2500,59.7500,59.1900,59.3800,18.3907,395900
1998-03-04,60.0000,60.8800,59.8800,60.0000,18.5827,346200
1998-03-05,59.8800,61.5000,59.7500,60.5000,18.7376,481800
1998-03-06,61.0000,62.5000,61.0000,61.8100,19.1433,371100
1998-03-09,62.0600,63.0000,61.9400,62.8800,19.4747,466900
1998-03-10,62.7500,63.3100,62.0000,62.0000,19.2022,474500
1998-03-11,62.0000,62.0000,60.5000,60.7500,18.8150,413600
1998-03-12,60.8800,61.5000,60.6300,61.5000,19.0473,481900
1998-03-13,61.5600,62.1300,60.6900,60.9400,18.8739,390000
1998-03-16,60.9400,60.9400,60.3100,60.6300,18.7779,414200
1998-03-17,61.6300,63.4400,61.5000,63.1900,19.5707,427600
1998-03-18,63.1300,63.7500,62.2500,63.1300,19.5521,477900
1998-03-19,63.1900,66.0000,63.1900,65.4400,20.2676,660000
1998-03-20,66.2500,67.5000,65.8800,66.5600,20.6145,776200
1998-03-23,67.0000,67.4400,66.1300,66.2500,20.5184,377500
1998-03-24,66.0000,66.2500,64.9400,66.2500,20.5184,1001300
1998-03-25,67.5000,68.1300,67.0000,67.6300,20.9459,645300
1998-03-26,67.5600,67.7500,67.1300,67.6900,20.9644,220800
1998-03-27,68.1300,68.5000,65.7500,65.8100,20.3822,397000
1998-03-30,66.5000,68.0000,66.2500,67.8100,21.0016,354300
1998-03-31,67.8800,69.7500,67.1900,69.2500,21.4476,511300
1998-04-01,69.7500,72.0000,69.7500,71.3800,22.1073,736400
1998-04-02,71.3800,72.0000,70.3800,72.0000,22.2993,656400
1998-04-03,71.7500,75.6900,71.7500,74.0000,22.9187,806800
1998-04-06,75.2500,76.5000,75.0600,75.8100,23.4793,715200
1998-04-07,75.5000,75.6300,71.1900,71.6900,22.2033,1069500
1998-04-08,71.5000,72.1900,71.3100,71.5000,22.1444,706500
1998-04-09,71.5000,71.5600,69.0600,69.7500,21.6024,982300
1998-04-13,69.7500,70.0600,69.5600,70.0000,21.6799,600400
1998-04-14,71.0000,72.9400,71.0000,72.2500,22.3767,1155100
1998-04-15,73.0000,73.2500,71.7500,72.0000,22.2993,631300
1998-04-16,71.7500,71.8100,70.6300,70.7500,21.9122,647700
1998-04-17,71.0000,71.3100,70.2500,70.9400,21.9710,453000
1998-04-20,70.9400,70.9400,69.3800,70.1900,21.7387,643400
