,open,high,low,close,adj_close,volume
2014-09-24,21.5000,23.2200,21.3500,23.0800,21.0706,60428679
2014-09-25,22.5600,23.4100,22.4500,23.0500,21.0432,8430006
2014-09-26,23.1800,23.3700,22.9100,23.2500,21.2258,2504353
2014-09-29,23.1400,23.4500,22.9100,23.2300,21.2076,4832586
2014-09-30,23.1100,23.5700,23.0500,23.4200,21.3810,4103103
2014-10-01,23.2200,23.6100,23.1100,23.4400,21.3993,3915508
2014-10-02,23.3400,23.5900,23.3030,23.3400,21.3080,3121384
2014-10-03,23.3800,23.4700,23.0100,23.2300,21.2076,1585901
2014-10-06,23.2800,23.3700,22.6100,22.6400,20.6689,1208403
2014-10-07,22.5600,22.7400,22.2600,22.5200,20.5594,1508726
2014-10-08,22.1100,23.1500,22.1100,22.7500,20.7693,1649208
2014-10-09,23.0000,23.0000,22.2400,22.4800,20.5229,1229058
2014-10-10,22.3900,22.5600,22.1350,22.2800,20.3403,924069
2014-10-13,22.1300,22.6600,22.1200,22.4500,20.4955,1382774
2014-10-14,22.5000,22.7900,22.3000,22.4500,20.4955,1605776
2014-10-15,22.1300,22.2000,21.5000,21.8500,19.9477,3405401
2014-10-16,21.5100,21.9500,21.4700,21.8000,19.9021,3105758
2014-10-17,21.8900,22.0700,21.7300,21.9200,20.0116,2750608
2014-10-20,21.8200,22.3800,21.8200,22.3800,20.4316,1870599
2014-10-21,22.1100,22.9300,22.1100,22.8200,20.8333,1165506
2014-10-22,22.7800,23.0000,22.4025,22.6000,20.6324,884653
2014-10-23,22.9700,23.0800,22.5900,23.0300,21.0250,1154177
2014-10-24,23.3200,23.4900,22.7700,23.1800,21.1619,1357806
2014-10-27,23.1500,23.1900,22.7250,22.8500,20.8606,2898819
2014-10-28,23.1600,23.5900,22.9300,23.2800,21.2532,1500595
2014-10-29,23.3500,23.5300,23.2000,23.4800,21.4358,1302330
2014-10-30,23.6200,23.9600,23.5800,23.8200,21.7462,1153487
2014-10-31,23.5900,23.9200,23.3700,23.6200,21.5636,1238628
2014-11-03,23.4900,24.0000,23.1600,24.0000,21.9105,1826936
2014-11-04,23.7400,23.9100,23.4300,23.6000,21.6366,1474474
2014-11-05,23.8000,23.9500,23.5500,23.9000,21.9117,1097594
2014-11-06,23.7900,24.4600,23.7500,24.3000,22.2784,1010740
2014-11-07,24.4800,24.4800,23.9600,23.9700,21.9759,600659
2014-11-10,24.0400,24.2500,23.7500,23.9500,21.9575,1531257
2014-11-11,23.9700,24.2200,23.7500,23.9400,21.9484,658274
2014-11-12,23.7500,23.9800,23.5100,23.8600,21.8750,940834
2014-11-13,23.6200,23.9600,23.5800,23.8200,21.8383,1149713
2014-11-14,23.7400,24.0000,23.7400,23.9600,21.9667,1111501
2014-11-17,24.1100,24.1100,23.5600,24.0000,22.0034,992390
2014-11-18,24.0400,24.0400,23.7100,23.7300,21.7558,586010
2014-11-19,23.8000,24.0000,23.5100,23.7200,21.7467,812772
2014-11-20,23.5700,23.8700,23.5001,23.7100,21.7375,745775
2014-11-21,23.9500,24.2100,23.6950,23.7700,21.7925,725247
2014-11-24,23.8000,24.3600,23.6800,24.2500,22.2326,836847
2014-11-25,24.2400,24.3000,24.0200,24.0300,22.0309,701615
2014-11-26,24.1100,24.2700,23.9200,24.2300,22.2142,703711
2014-11-28,24.2200,25.0900,24.0500,24.6300,22.5809,713406
2014-12-01,24.6200,24.8950,23.4900,23.9800,21.9850,2282591
2014-12-02,24.0200,24.4300,23.8000,24.2000,22.1867,1369272
2014-12-03,24.3300,24.5900,24.1900,24.2300,22.2142,1854537
2014-12-04,24.3200,24.5600,24.0900,24.4000,22.3701,1433907
