,open,high,low,close,adj_close,volume
1998-01-02,28.0000,28.5000,28.0000,28.5000,1.8192,8800
1998-01-05,28.5000,28.8100,28.5000,28.8100,1.8390,19200
1998-01-06,28.8100,28.8100,28.5000,28.5600,1.8230,8600
1998-01-07,28.5000,28.8100,28.5000,28.8100,1.8390,7900
1998-01-08,28.7500,28.8100,28.4400,28.5600,1.8230,20700
1998-01-09,28.5000,28.5000,27.6900,27.6900,1.7675,16400
1998-01-12,27.6300,27.6900,27.3800,27.6900,1.7675,5400
1998-01-13,27.7500,27.7500,27.3100,27.4400,1.7515,14000
1998-01-14,27.1900,27.8700,27.1900,27.8100,1.7751,11300
1998-01-15,27.9400,28.0000,27.8100,27.8800,1.7796,25400
1998-01-16,28.0000,28.2500,28.0000,28.0000,1.7873,37200
1998-01-20,28.1900,28.5000,28.1900,28.3100,1.8070,13800
1998-01-21,28.4400,28.5000,27.8800,27.9400,1.7834,11100
1998-01-22,27.2500,27.2500,26.6900,26.7500,1.7075,43100
1998-01-23,26.6300,27.5600,26.5600,27.4400,1.7515,26500
1998-01-26,27.5600,27.7500,26.7500,27.4400,1.7515,28300
1998-01-27,27.7500,28.0000,27.5000,28.0000,1.7873,53600
1998-01-28,28.0000,28.5000,27.8800,27.9400,1.7834,20400
1998-01-29,28.0000,28.3800,27.2500,27.3100,1.7432,49500
1998-01-30,27.4400,28.0000,27.3100,27.9400,1.7834,12300
1998-02-02,28.0600,28.3100,27.8800,27.8800,1.7796,39700
1998-02-03,27.9400,28.0000,27.3100,27.4400,1.7515,25300
1998-02-04,27.2500,27.8100,27.1300,27.1300,1.7317,44300
1998-02-05,27.0000,27.3800,26.6900,26.8100,1.7113,36400
1998-02-06,26.6300,26.8800,26.5600,26.6900,1.7113,43300
1998-02-09,26.8800,27.0000,26.7500,26.9400,1.7273,35200
1998-02-10,27.0000,27.3800,27.0000,27.2500,1.7472,36100
1998-02-11,27.2500,27.3100,27.1300,27.3100,1.7511,26000
1998-02-12,27.1900,27.1900,27.0000,27.0600,1.7350,23900
1998-02-13,27.0600,27.4400,27.0600,27.4400,1.7594,15000
1998-02-17,27.3100,27.5000,27.3100,27.5000,1.7632,6200
1998-02-18,27.5600,27.8800,27.5600,27.5600,1.7671,11000
1998-02-19,27.6900,28.0000,27.5600,27.6300,1.7716,17900
1998-02-20,27.5000,27.8800,27.5000,27.8800,1.7876,10300
1998-02-23,28.0000,28.1300,27.8800,27.8800,1.7876,33600
1998-02-24,27.8100,28.1300,27.8100,27.9400,1.7915,20900
1998-02-25,28.0000,29.3100,28.0000,29.2500,1.8754,74900
1998-02-26,29.1900,29.1900,28.2500,28.4400,1.8235,41400
1998-02-27,28.5000,28.8100,28.3800,28.6900,1.8395,17000
1998-03-02,28.7500,28.7500,28.2500,28.6300,1.8357,14900
1998-03-03,28.6300,28.8100,28.0000,28.0000,1.7953,20000
1998-03-04,27.6300,28.0000,27.6300,27.8800,1.7876,36900
1998-03-05,27.8800,27.9400,27.8100,27.8800,1.7876,10600
1998-03-06,27.8100,28.6300,27.8100,28.3800,1.8197,39800
1998-03-09,28.3800,28.7500,28.3100,28.7500,1.8434,11800
1998-03-10,28.8800,28.8800,28.3100,28.3100,1.8152,14000
1998-03-11,28.3800,28.4400,28.2500,28.3800,1.8197,20800
1998-03-12,28.3800,28.3800,28.0600,28.2500,1.8113,17800
1998-03-13,28.0600,28.5000,28.0000,28.5000,1.8274,16000
1998-03-16,28.3800,28.4400,28.0000,28.0600,1.7991,21100
1998-03-17,28.0600,28.1900,27.7500,27.9400,1.7915,20700
1998-03-18,27.9400,27.9400,27.7500,27.8800,1.7876,61400
1998-03-19,27.7500,27.9400,27.7500,27.9400,1.7915,8200
1998-03-20,27.9400,27.9400,27.6300,27.6900,1.7754,14200
1998-03-23,27.6900,28.2500,27.4400,28.1900,1.8075,27700
1998-03-24,28.3100,29.4400,28.3100,29.1900,1.8716,37100
1998-03-25,29.5000,29.8800,29.4400,29.7500,1.9075,41200
1998-03-26,29.6300,30.2500,29.6300,30.0000,1.9235,69400
1998-03-27,29.9400,29.9400,29.5000,29.6300,1.8998,50800
1998-03-30,29.5000,29.8800,29.5000,29.8800,1.9158,34700
1998-03-31,29.8800,30.6900,29.8800,30.2500,1.9396,61200
1998-04-01,30.1900,30.2500,30.0000,30.1300,1.9319,36700
1998-04-02,30.0600,30.2500,30.0600,30.1300,1.9319,16900
1998-04-03,30.1300,30.1300,30.0000,30.1300,1.9319,14100
1998-04-06,30.0600,30.2500,29.7500,30.0600,1.9274,29500
1998-04-07,30.0000,30.1300,29.5600,29.8100,1.9114,36200
1998-04-08,29.7500,30.1900,29.7500,30.0600,1.9274,12500
1998-04-09,30.0600,30.6900,30.0600,30.3100,1.9434,30100
1998-04-13,30.2500,30.2500,29.8800,30.1300,1.9319,41000
1998-04-14,30.2500,30.3800,30.1300,30.3100,1.9434,79000
1998-04-15,30.3800,30.7500,30.3800,30.5000,1.9556,63600
1998-04-16,30.3800,30.4400,30.0000,30.0600,1.9274,94400
1998-04-17,30.0000,30.3800,30.0000,30.1900,1.9357,32100
1998-04-20,30.2500,30.6300,30.1900,30.6300,1.9639,25100
1998-04-21,30.6900,30.9400,30.6300,30.8100,1.9755,34400
1998-04-22,30.8100,31.0000,30.5000,30.8800,1.9800,56900
1998-04-23,31.0000,32.5600,30.8800,31.6900,2.0319,51400
1998-04-24,31.6300,31.7500,30.8100,30.8800,1.9800,52200
1998-04-27,30.3800,30.7500,29.3100,30.7500,1.9716,72300
1998-04-28,30.7500,30.8800,30.5600,30.6300,1.9639,21800
1998-04-29,30.5000,30.5600,29.9400,30.1300,1.9319,46500
1998-04-30,30.2500,30.8800,29.8800,30.8100,1.9755,26100
1998-05-01,30.5600,30.7500,30.4400,30.7500,1.9716,13800
1998-05-04,30.6300,30.7500,30.2500,30.2500,1.9396,13600
1998-05-05,30.1900,30.1900,30.0000,30.1300,1.9319,24000
1998-05-06,30.0600,30.3100,29.9400,30.2500,1.9396,27400
1998-05-07,30.2500,30.2500,29.6300,30.0600,1.9274,34700
1998-05-08,29.9400,31.8100,29.9400,30.8100,1.9832,49900
1998-05-11,30.8100,30.8100,30.3800,30.3800,1.9555,22000
1998-05-12,30.3100,30.5000,29.9400,30.1300,1.9394,23500
1998-05-13,30.0600,30.1900,30.0000,30.0000,1.9310,26000
1998-05-14,30.0000,30.0600,29.9400,30.0000,1.9310,17200
1998-05-15,29.9400,30.0600,29.9400,30.0000,1.9310,11400
1998-05-18,29.8800,30.0600,29.7500,30.0000,1.9310,27400
1998-05-19,30.1300,30.1900,30.0000,30.1300,1.9394,36500
1998-05-20,30.1200,30.1200,29.7500,30.0000,1.9310,41800
1998-05-21,30.0000,30.1300,30.0000,30.1300,1.9394,24600
1998-05-22,30.0600,30.1300,30.0600,30.0600,1.9349,12700
1998-05-26,30.1300,30.4400,30.0600,30.0600,1.9349,29100
1998-05-27,29.9400,30.3100,29.6900,29.6900,1.9111,34800
1998-05-28,29.8100,30.7500,29.8100,30.7500,1.9793,31100
1998-05-29,30.6900,31.1900,30.3100,30.3100,1.9510,18600
1998-06-01,30.3800,31.1300,30.3800,30.5000,1.9632,33800
1998-06-02,30.6300,30.8100,30.5600,30.6900,1.9754,11400
