,open,high,low,close,adj_close,volume
1998-01-02,22.1300,23.1300,22.1300,23.1300,4.1200,28100
1998-01-05,24.1300,24.3800,22.5000,22.5000,4.0078,157400
1998-01-06,22.3800,22.3800,21.0000,21.6900,3.8635,228800
1998-01-07,21.6900,23.0000,21.6900,22.2500,3.9633,41200
1998-01-08,22.0000,23.1300,22.0000,23.0000,4.0969,59000
1998-01-09,22.6300,23.0000,22.0000,22.0000,3.9187,35100
1998-01-12,21.5000,22.1300,21.3800,21.3800,3.8083,231800
1998-01-13,22.0000,22.0000,21.2500,21.7500,3.8742,25100
1998-01-14,21.7500,22.2500,21.3800,21.4400,3.8190,146400
1998-01-15,21.7500,21.7500,21.3800,21.5000,3.8297,104300
1998-01-16,21.7500,22.3800,21.3800,22.2500,3.9633,17300
1998-01-20,22.0000,23.1300,22.0000,23.1300,4.1200,87200
1998-01-21,23.0000,23.1300,22.8800,23.0000,4.0969,35400
1998-01-22,22.8800,23.0000,22.6300,22.6300,4.0310,23100
1998-01-23,22.6300,23.5000,22.6300,23.2500,4.1414,52800
1998-01-26,23.5000,23.5000,22.5000,22.8800,4.0755,124300
1998-01-27,23.0000,23.0000,22.5000,22.5000,4.0078,24100
1998-01-28,22.5000,22.7500,22.5000,22.6300,4.0310,38700
1998-01-29,22.6300,23.2500,22.6300,22.8800,4.0755,27100
1998-01-30,23.1900,23.1900,22.6300,22.8800,4.0755,32600
1998-02-02,23.1300,24.6300,23.1300,24.0000,4.2750,145200
1998-02-03,23.7500,24.5000,23.7500,24.0000,4.2750,39800
1998-02-04,24.0000,24.3800,23.6300,23.6300,4.2091,139400
1998-02-05,23.5000,23.8800,23.5000,23.5000,4.1859,18300
1998-02-06,23.8800,24.3800,23.5000,23.7500,4.2305,61700
1998-02-09,23.6300,24.7500,23.6300,24.2500,4.3195,181200
1998-02-10,24.2500,25.2500,24.2500,25.0000,4.4531,100400
1998-02-11,24.6300,25.0000,22.1300,23.0000,4.0969,515800
1998-02-12,23.2500,23.6300,23.0000,23.6300,4.2091,116100
1998-02-13,23.8800,23.8800,23.2500,23.7500,4.2305,40800
1998-02-17,24.1300,24.1300,23.5000,23.6300,4.2091,174300
1998-02-18,24.0000,24.0000,23.6300,23.6300,4.2091,517800
1998-02-19,24.0000,24.0000,23.3800,23.3800,4.1646,46200
1998-02-20,23.3800,23.6300,23.1300,23.1300,4.1200,22300
1998-02-23,23.1300,23.3800,22.8800,22.8800,4.0755,155400
1998-02-24,22.8800,23.3100,22.0000,22.0000,3.9187,104400
1998-02-25,22.0000,22.5000,21.8800,22.3800,3.9864,50300
1998-02-26,22.2500,22.2500,21.8800,21.8800,3.8974,37300
1998-02-27,22.1300,22.7500,21.8800,22.7500,4.0523,69500
1998-03-02,22.4100,22.7500,21.6300,21.6300,3.8528,90100
1998-03-03,22.0000,22.0000,21.3800,21.5000,3.8297,103500
1998-03-04,22.0000,22.0000,21.5000,21.6300,3.8528,122400
1998-03-05,21.3800,21.7500,21.3800,21.6300,3.8528,57000
1998-03-06,21.5000,22.0000,21.5000,21.7500,3.8742,106100
1998-03-09,22.0000,22.0000,21.5000,21.7500,3.8742,26600
1998-03-10,21.7500,21.7500,21.5000,21.5000,3.8404,58100
1998-03-11,21.7500,22.2500,21.5000,22.0600,3.9404,487700
1998-03-12,22.0000,22.5000,22.0000,22.1300,3.9529,74300
1998-03-13,22.1300,23.1300,22.0000,22.7500,4.0636,61800
1998-03-16,23.0000,23.8800,22.5000,23.6300,4.2208,198100
1998-03-17,23.2500,23.3800,22.7500,23.0000,4.1083,229100
1998-03-18,22.7500,23.1300,22.7500,23.1300,4.1315,387500
1998-03-19,23.2500,23.6900,23.0000,23.5000,4.1976,149300
1998-03-20,23.2500,23.6300,23.2500,23.5000,4.1976,64500
1998-03-23,23.2500,23.6300,23.2500,23.2500,4.1530,92000
1998-03-24,23.3800,24.1300,23.2500,24.0000,4.2869,226700
1998-03-25,24.0000,24.6300,23.5000,23.5000,4.1976,102100
1998-03-26,24.2500,24.2500,23.5000,23.5000,4.1976,86200
1998-03-27,23.5000,24.0000,23.5000,23.8100,4.2530,55200
