,open,high,low,close,adj_close,volume
1998-01-02,140.0000,140.8000,134.3000,136.1000,22.1274,284400
1998-01-05,135.3000,136.5000,132.3000,135.0000,21.9486,452233
1998-01-06,133.5000,135.3000,132.5000,134.6000,21.8835,136133
1998-01-07,133.3000,134.0000,132.5000,133.4000,21.6884,289467
1998-01-08,132.3000,132.7000,128.0000,130.6000,21.2332,338333
1998-01-09,129.8000,130.6000,124.8000,127.3000,20.6967,326633
1998-01-12,125.8000,132.0000,123.5000,131.0000,21.2982,186833
1998-01-13,131.0000,137.0000,129.3000,135.0000,21.9486,248233
1998-01-14,133.0000,135.5000,131.0000,132.1000,21.4771,121667
1998-01-15,131.0000,132.9000,130.0000,132.5000,21.5421,70767
1998-01-16,133.8000,135.0000,131.0000,132.3000,21.5096,142500
1998-01-20,134.9000,135.0000,132.0000,133.8000,21.7535,212733
1998-01-21,132.0000,134.1000,131.8000,132.8000,21.5909,93567
1998-01-22,131.5000,133.4000,129.3000,129.4000,21.0381,125100
1998-01-23,129.4000,130.9000,127.5000,127.6000,20.7455,107233
1998-01-26,128.1000,128.5000,125.6000,126.3000,20.5341,54533
1998-01-27,125.6000,127.8000,125.0000,127.8000,20.7780,198400
1998-01-28,126.3000,128.1000,126.0000,127.3000,20.6967,41533
1998-01-29,128.3000,131.4000,125.0000,129.8000,21.1031,89167
1998-01-30,128.3000,130.3000,126.5000,127.5000,20.7292,82200
1998-02-02,130.0000,131.0000,127.5000,129.9000,21.1194,148900
1998-02-03,128.0000,130.6000,127.5000,129.5000,21.0544,55433
1998-02-04,129.0000,130.3000,128.0000,129.9000,21.1194,44867
1998-02-05,129.9000,130.1000,126.6000,128.3000,20.8593,43433
1998-02-06,127.9000,129.5000,127.3000,128.6000,20.9080,40667
1998-02-09,130.5000,131.5000,129.3000,131.1000,21.3145,63033
1998-02-10,130.1000,133.0000,130.1000,132.0000,21.4608,93567
1998-02-11,131.5000,133.0000,130.5000,131.5000,21.3795,56400
1998-02-12,129.5000,134.3000,129.5000,133.8000,21.7535,84000
1998-02-13,133.3000,134.5000,133.0000,133.7000,21.7372,32033
1998-02-17,134.0000,134.5000,131.5000,133.5000,21.7047,172733
1998-02-18,133.5000,135.4000,131.0000,133.8000,21.7535,84300
1998-02-19,132.2000,133.9000,131.0000,132.4000,21.5258,46700
1998-02-20,135.5000,135.9000,133.6000,135.9000,22.0949,89367
1998-02-23,135.9000,137.0000,134.5000,135.1000,21.9648,150333
1998-02-24,135.3000,135.5000,130.6000,132.0000,21.4608,56967
1998-02-25,132.8000,133.0000,131.0000,132.0000,21.4608,57833
1998-02-26,133.0000,135.9000,131.8000,135.3000,21.9973,60500
1998-02-27,135.0000,135.0000,133.1000,135.0000,21.9486,31167
1998-03-02,136.0000,136.0000,133.0000,134.8000,21.9160,41533
1998-03-03,134.5000,136.1000,133.5000,134.6000,21.8835,47267
1998-03-04,134.6000,135.8000,132.5000,134.0000,21.7860,40100
1998-03-05,133.3000,134.5000,131.0000,133.5000,21.7047,61933
1998-03-06,134.6000,134.6000,132.0000,133.3000,21.6722,70633
1998-03-09,134.0000,134.0000,130.1000,131.1000,21.3145,130967
1998-03-10,130.8000,132.0000,129.9000,130.3000,21.1844,82333
1998-03-11,129.5000,133.5000,129.5000,133.1000,21.7144,36800
1998-03-12,133.5000,133.5000,130.8000,132.5000,21.6166,28767
1998-03-13,132.5000,133.0000,130.6000,131.3000,21.4208,41067
1998-03-16,133.0000,133.0000,130.1000,130.6000,21.3066,123233
1998-03-17,130.6000,130.6000,129.4000,129.8000,21.1761,97633
1998-03-18,129.8000,130.3000,128.0000,128.6000,20.9803,54100
1998-03-19,128.9000,129.3000,126.5000,128.0000,20.8824,34133
1998-03-20,126.3000,128.5000,126.0000,127.1000,20.7356,68533
1998-03-23,126.3000,127.3000,124.5000,125.4000,20.4582,86400
1998-03-24,126.0000,126.0000,123.5000,124.8000,20.3603,85833
1998-03-25,125.0000,129.1000,124.5000,128.6000,20.9803,250533
1998-03-26,127.6000,129.0000,127.0000,128.3000,20.9314,59733
1998-03-27,128.5000,129.8000,123.5000,124.0000,20.2298,55633
1998-03-30,124.0000,124.5000,123.5000,124.5000,20.3114,77800
1998-03-31,124.5000,125.4000,123.6000,125.3000,20.4419,85833
1998-04-01,125.3000,126.0000,124.0000,124.6000,20.3277,37900
1998-04-02,124.5000,126.8000,124.0000,125.4000,20.4582,63567
1998-04-03,126.0000,126.0000,124.5000,125.3000,20.4419,58967
1998-04-06,125.4000,127.3000,125.0000,126.5000,20.6377,62133
1998-04-07,126.5000,126.5000,125.0000,125.0000,20.3930,40533
1998-04-08,125.0000,127.0000,125.0000,125.8000,20.5235,64700
1998-04-09,126.0000,127.3000,125.1000,126.3000,20.6051,24667
1998-04-13,127.3000,127.3000,124.4000,125.9000,20.5398,68100
1998-04-14,126.0000,128.8000,124.5000,128.8000,21.0129,84000
1998-04-15,128.8000,130.0000,127.0000,130.0000,21.2087,66433
1998-04-16,130.0000,131.8000,128.5000,128.5000,20.9640,82200
1998-04-17,130.9000,131.0000,128.5000,129.8000,21.1761,45267
1998-04-20,128.5000,134.0000,128.5000,133.5000,21.7797,88400
1998-04-21,136.0000,136.0000,132.5000,136.0000,22.1876,84000
1998-04-22,133.5000,135.5000,133.0000,133.5000,21.7797,42767
1998-04-23,134.0000,134.0000,131.5000,131.8000,21.5024,62033
1998-04-24,133.0000,133.0000,126.5000,129.0000,21.0456,112633
1998-04-27,127.0000,127.5000,124.5000,127.5000,20.8008,78033
1998-04-28,128.0000,129.5000,126.8000,127.5000,20.8008,83100
1998-04-29,127.5000,129.5000,126.0000,128.0000,20.8824,43933
1998-04-30,128.5000,129.0000,126.5000,127.4000,20.7845,57633
1998-05-01,126.0000,128.3000,126.0000,127.9000,20.8661,54967
1998-05-04,129.0000,129.5000,127.8000,128.5000,20.9640,85967
1998-05-05,128.5000,129.0000,128.0000,128.4000,20.9477,79000
1998-05-06,128.3000,129.0000,128.0000,128.3000,20.9314,64467
1998-05-07,128.0000,129.0000,128.0000,128.8000,21.0129,47467
1998-05-08,128.0000,130.5000,128.0000,129.5000,21.1271,52100
1998-05-11,128.5000,130.3000,128.5000,129.1000,21.0619,26667
1998-05-12,128.8000,129.8000,128.5000,128.8000,21.0129,41200
1998-05-13,128.5000,130.0000,128.5000,129.3000,21.0945,38767
1998-05-14,129.5000,129.5000,128.3000,128.5000,20.9640,42967
1998-05-15,128.9000,129.0000,128.1000,128.9000,21.0292,77800
1998-05-18,43.3800,43.3800,41.1900,41.3800,20.2527,53667
1998-05-19,41.6300,41.8800,41.2500,41.3800,20.2527,233900
1998-05-20,42.0000,42.0000,42.0000,42.0000,20.5561,160100
1998-05-21,44.0000,44.7500,43.0000,44.0000,21.5350,153000
1998-05-22,43.7500,44.2500,40.8800,41.1900,20.1597,227400
1998-05-26,41.3800,44.0000,41.2500,41.6300,20.3750,322100
1998-05-27,41.6300,43.0000,40.8800,42.7500,20.9232,190200
1998-05-28,43.0000,43.3800,41.5000,42.6300,20.8645,133600
1998-05-29,42.6300,43.1300,41.2500,42.0000,20.5561,125400
