,open,high,low,close,adj_close,volume
1998-01-02,173.0000,173.2000,172.1000,172.3000,16.9247,94800
1998-01-05,172.8000,174.6000,171.0000,172.2000,16.9149,193800
1998-01-06,172.2000,172.8000,170.9000,172.1000,16.9050,147600
1998-01-07,171.5000,171.9000,169.8000,169.8000,16.6791,192100
1998-01-08,169.3000,171.3000,169.0000,170.5000,16.7479,205000
1998-01-09,170.8000,176.1000,170.0000,170.1000,16.7086,383200
1998-01-12,169.6000,172.1000,169.5000,171.6000,16.8559,241700
1998-01-13,171.5600,173.5000,171.5600,172.1200,16.9070,165500
1998-01-14,173.0000,173.0000,170.8000,172.6000,16.9542,144500
1998-01-15,172.5000,172.5000,170.3000,170.6000,16.7577,123500
1998-01-16,173.5000,173.6000,170.5000,170.6000,16.7577,233600
1998-01-20,173.0000,176.0000,172.0000,175.9000,17.2783,186600
1998-01-21,175.8000,176.5000,174.3000,175.2000,17.2096,90600
1998-01-22,174.9000,177.0000,174.4000,176.6000,17.3471,135400
1998-01-23,176.0000,176.0000,174.1000,174.5000,17.1408,121600
1998-01-26,174.3000,176.4000,174.3000,175.3000,17.2194,119600
1998-01-27,175.2000,177.2000,174.5000,174.6000,17.1506,200200
1998-01-28,174.8000,175.5000,174.3000,175.0000,17.1899,317800
1998-01-29,175.0000,176.1000,173.3000,173.3000,17.0229,253900
1998-01-30,173.4000,173.4000,168.1000,169.6000,16.6595,270100
1998-02-02,170.5000,171.0000,168.0000,170.0000,16.6988,539500
1998-02-03,170.3000,173.8000,169.4000,173.4000,17.0327,274400
1998-02-04,173.5000,175.0000,172.4000,174.6000,17.1506,276200
1998-02-05,176.3000,178.3000,176.0000,177.8000,17.4649,210900
1998-02-06,178.3000,179.8000,178.1000,179.5000,17.6319,123700
1998-02-09,179.8000,181.0000,178.6000,180.1000,17.6909,204100
1998-02-10,182.5000,182.5000,179.0000,180.1000,17.6909,135100
1998-02-11,180.4000,182.0000,178.8000,179.5000,17.6319,304000
1998-02-12,179.3000,179.8000,178.3000,179.3000,17.6123,200000
1998-02-13,179.3000,180.3000,178.9000,179.3000,17.6123,117400
1998-02-17,180.1000,180.1000,177.6000,178.3000,17.5141,213800
1998-02-18,178.3000,178.4000,177.3000,177.9000,17.4748,165900
1998-02-19,177.9000,177.9000,176.8000,177.5000,17.4355,154900
1998-02-20,177.5000,177.7000,176.3000,177.2000,17.4060,203800
1998-02-23,177.0000,177.4000,175.5000,176.6000,17.3471,300300
1998-02-24,176.6000,178.6000,176.1000,177.6000,17.4453,316400
1998-02-25,178.1000,187.5000,178.1000,186.5000,18.3195,372700
1998-02-26,186.4000,188.8000,185.8000,187.9000,18.4571,315600
1998-02-27,190.0000,191.9000,188.8000,191.0000,18.7616,231400
1998-03-02,193.8000,195.3000,192.1000,192.2000,18.8794,276500
1998-03-03,191.8000,192.4000,191.8000,192.0000,18.8598,313400
1998-03-04,192.0000,192.0000,189.5000,190.3000,18.6928,314700
1998-03-05,190.5000,190.6000,188.8000,189.1000,18.5749,212900
1998-03-06,189.1000,191.8000,189.1000,190.9000,18.7517,264700
1998-03-09,190.9000,192.9000,190.8000,191.3000,18.7910,246300
1998-03-10,192.8000,194.8000,191.8000,194.5000,19.1054,454000
1998-03-11,194.0000,195.0000,192.4000,192.4000,18.9836,192500
1998-03-12,192.4000,194.9000,191.8000,194.7000,19.2105,330300
1998-03-13,194.7000,196.1000,193.1000,196.1000,19.3486,166900
1998-03-16,199.0000,202.1000,199.0000,201.9000,19.9209,420700
1998-03-17,201.9000,201.9000,200.8000,201.6000,19.8913,179600
1998-03-18,202.5000,204.4000,202.1000,203.8000,20.1084,190200
1998-03-19,203.6000,203.6000,201.4000,201.9000,19.9209,162800
1998-03-20,202.9000,207.0000,201.1000,207.0000,20.4241,237400
1998-03-23,207.0000,207.0000,203.2000,203.4000,20.0689,147100
1998-03-24,206.0000,206.0000,203.1000,203.6000,20.0886,246900
1998-03-25,204.0000,207.0000,204.0000,205.2000,20.2465,204300
1998-03-26,205.2000,207.5000,205.2000,207.3000,20.4537,209900
1998-03-27,207.6000,208.0000,204.3000,204.3000,20.1577,194800
1998-03-30,205.3000,205.6000,204.4000,205.1000,20.2366,178700
1998-03-31,206.0000,206.3000,205.0000,205.0000,20.2268,216800
1998-04-01,205.0000,205.6900,204.2500,205.2500,20.2514,152600
1998-04-02,205.3000,208.8000,205.0000,208.4000,20.5622,128800
1998-04-03,208.3000,208.3000,204.8000,204.9000,20.2169,276000
1998-04-06,207.5000,211.0000,207.5000,209.8000,20.7004,244200
1998-04-07,210.8000,210.8000,207.9000,208.3000,20.5524,178600
1998-04-08,208.0000,208.1000,204.4000,204.9000,20.2169,110800
1998-04-09,204.6000,206.8000,203.6000,205.8000,20.3057,220900
1998-04-13,205.8000,206.5000,204.4000,206.1000,20.3353,143000
1998-04-14,206.1000,207.6000,205.5000,207.0000,20.4241,196100
1998-04-15,207.1000,212.8000,207.1000,212.8000,20.9964,207300
1998-04-16,212.0000,212.1000,209.9000,210.8000,20.7990,153900
1998-04-17,210.8000,214.3000,210.0000,214.3000,21.1444,152200
1998-04-20,214.1000,214.1000,210.4000,210.4000,20.7596,90600
1998-04-21,209.0000,211.1000,208.1000,209.8000,20.7004,108500
1998-04-22,209.5000,214.9000,208.5000,212.6000,20.9766,208500
1998-04-23,212.3000,212.5000,206.3000,207.9000,20.5129,98900
1998-04-24,208.0000,208.8000,204.4000,205.9000,20.3156,154200
1998-04-27,206.1000,208.4000,202.1000,205.0000,20.2268,331500
1998-04-28,206.8000,206.8000,202.1000,205.5000,20.2761,252500
1998-04-29,205.3000,205.3000,201.8000,202.7000,19.9998,95700
1998-04-30,204.0000,208.2000,204.0000,206.9000,20.4142,235400
1998-05-01,208.5000,212.0000,208.5000,212.0000,20.9174,164400
1998-05-04,210.0000,212.0000,209.1000,209.1000,20.6313,111400
1998-05-05,209.2000,210.6000,209.1000,210.1000,20.7300,164300
1998-05-06,210.0000,210.4000,209.1000,209.6000,20.6806,181700
1998-05-07,209.4000,211.6000,208.9000,209.6000,20.6806,144600
1998-05-08,210.4000,213.0000,210.4000,211.9000,20.9076,313200
1998-05-11,211.9000,214.4000,211.4000,211.4000,20.8582,165900
1998-05-12,211.1000,211.8000,209.6000,211.4000,20.8582,118500
1998-05-13,210.9000,213.5000,210.9000,213.4000,21.0556,146300
1998-05-14,213.4000,214.1000,212.8000,213.0000,21.0161,146000
1998-05-15,212.8000,213.9000,212.0000,212.8000,20.9964,235100
1998-05-18,71.5000,71.7500,69.5600,70.0600,20.7379,94733
1998-05-19,70.7500,70.7500,69.5000,70.3100,20.8119,343800
1998-05-20,70.3700,70.6900,69.7500,70.4400,20.8503,267400
1998-05-21,70.4400,70.7500,70.0000,70.0600,20.7379,396500
1998-05-22,69.7500,70.1900,69.3800,70.0000,20.7201,344100
1998-05-26,70.0000,70.9400,69.1300,69.1300,20.4626,259400
1998-05-27,69.1900,69.3100,67.6900,68.2500,20.2021,614100
1998-05-28,68.6300,69.2400,68.2500,68.6300,20.3146,502100
1998-05-29,68.8800,69.5000,68.5000,68.5000,20.2761,454600
1998-06-01,68.2500,69.0000,68.2500,68.4400,20.2583,420500
1998-06-02,68.8800,69.2500,68.8800,68.9400,20.4063,615000
1998-06-03,68.8800,68.8800,68.1300,68.3100,20.2199,434700
1998-06-04,68.0000,68.0000,67.3800,67.9400,20.1103,343400
1998-06-05,67.9400,69.6300,67.6900,69.5000,20.5721,427400
1998-06-08,70.5000,71.0600,70.0600,70.0600,20.7379,420500
1998-06-09,70.0600,71.2500,70.0600,70.6900,20.9243,391000
1998-06-10,70.2500,71.5000,70.1900,70.5600,20.9708,469000
1998-06-11,70.3800,70.3800,69.3800,69.5000,20.6558,276300
1998-06-12,69.3800,69.8800,68.9400,69.1300,20.5458,383100
1998-06-15,68.8800,69.6900,67.5000,67.5000,20.0614,536100
1998-06-16,67.6300,68.0000,66.8100,67.8800,20.1743,875400
1998-06-17,68.2500,70.1300,68.1300,69.7500,20.7301,320100
1998-06-18,69.5000,69.7500,68.8100,68.8100,20.4507,259200
1998-06-19,68.0000,69.2500,68.0000,68.8800,20.4715,867100
1998-06-22,69.1300,70.6300,69.1300,69.1900,20.5636,486000
1998-06-23,69.7500,70.2500,69.5000,69.7500,20.7301,374500
1998-06-24,69.3800,70.2500,69.3800,69.8800,20.7687,457800
1998-06-25,70.1300,70.9400,69.5000,69.5000,20.6558,416500
1998-06-26,69.5000,70.6300,69.5000,70.1300,20.8430,353800
1998-06-29,70.2500,71.5600,70.2500,71.1900,21.1580,277000
1998-06-30,71.0600,71.5000,69.0000,69.0000,20.5072,636100
1998-07-01,69.7500,71.0000,69.7500,70.2500,20.8787,525900
1998-07-02,70.5000,71.5000,70.2500,71.0600,21.1194,449300
1998-07-06,71.1300,73.5600,71.1300,73.1300,21.7346,458400
1998-07-07,73.1300,73.6300,72.2500,72.3800,21.5117,381400
1998-07-08,72.6300,73.5000,72.5000,73.1300,21.7346,330900
1998-07-09,73.0000,73.1300,72.3100,72.3100,21.4909,297900
1998-07-10,72.1300,73.2500,71.6300,72.9400,21.6782,267300
1998-07-13,72.6900,73.0000,72.0000,72.0600,21.4166,217100
1998-07-14,72.0600,74.5000,72.0600,74.2500,22.0675,432200
1998-07-15,74.0000,74.0000,71.9400,72.0000,21.3988,392900
1998-07-16,72.2500,72.5000,71.4400,72.3800,21.5117,441900
1998-07-17,72.2500,72.5000,72.0000,72.2500,21.4731,259200
1998-07-20,72.0000,72.1900,71.2500,71.5600,21.2680,107500
1998-07-21,71.8100,72.0000,71.0000,71.4400,21.2323,338000
1998-07-22,71.6900,72.7500,71.6900,72.1300,21.4374,340100
1998-07-23,71.8800,72.1300,69.1300,69.8100,20.7479,350100
1998-07-24,69.6300,69.6300,68.1900,68.5000,20.3586,319800
1998-07-27,68.1300,69.9400,68.1300,69.3100,20.5993,300100
1998-07-28,69.0600,69.0600,65.3100,65.3100,19.4105,1154600
1998-07-29,66.2500,67.7500,66.1300,66.2500,19.6899,546600
1998-07-30,66.0000,66.2500,63.6300,64.7500,19.2440,1001000
1998-07-31,67.2500,68.4400,65.6300,66.0600,19.6334,924200
1998-08-03,66.2500,67.1900,66.2500,66.8800,19.8771,457100
1998-08-04,67.0000,67.8800,66.5000,66.6300,19.8028,1637500
1998-08-05,66.5000,67.6300,65.8100,67.0000,19.9128,798100
1998-08-06,66.7500,66.8800,64.2500,65.5600,19.4848,976500
1998-08-07,65.0000,65.1900,64.2500,64.3800,19.1341,574300
1998-08-10,64.5000,65.0000,64.0000,64.9400,19.3005,503600
1998-08-11,64.5000,64.6300,63.8800,63.8800,18.9855,474200
1998-08-12,64.5000,64.7500,63.8800,64.6900,19.2262,769000
1998-08-13,64.3800,64.8800,63.8800,64.0000,19.0211,546500
1998-08-14,63.0000,63.1300,61.4400,62.0000,18.4267,530600
1998-08-17,62.2500,63.9400,62.0000,63.9400,19.0033,349000
1998-08-18,63.6900,65.6900,63.4400,64.0000,19.0211,536300
1998-08-19,64.3800,66.5000,64.3800,65.8100,19.5591,402800
1998-08-20,65.9400,67.8800,65.9400,66.8100,19.8563,574200
1998-08-21,65.8100,66.6300,64.0600,66.3100,19.7077,530600
1998-08-24,66.3800,67.2500,66.3800,66.6300,19.8028,339400
1998-08-25,67.5000,67.9400,66.7500,66.7500,19.8385,763900
1998-08-26,66.6300,67.5000,66.0000,66.3800,19.7285,451300
1998-08-27,66.3800,66.3800,63.5600,64.3800,19.1341,602500
1998-08-28,64.3100,65.1300,62.2500,62.3800,18.5397,590800
1998-08-31,62.6300,63.0000,58.1300,58.1900,17.2944,853700
1998-09-01,58.3100,61.5600,57.1900,60.6300,18.0196,603500
1998-09-02,60.3800,62.5000,60.0000,61.8800,18.3911,899900
1998-09-03,60.5000,62.1300,60.2500,61.4400,18.2603,1105700
1998-09-04,62.2500,62.2500,60.0600,61.5600,18.2960,806900
1998-09-08,61.5600,61.9400,61.3800,61.9400,18.4089,536300
1998-09-09,61.7500,62.3800,60.8800,62.0000,18.5120,470700
1998-09-10,61.7500,61.8100,58.7500,59.5000,17.7656,900100
1998-09-11,59.0000,60.6300,58.5000,60.4400,18.0462,494600
1998-09-14,62.2500,62.6300,61.5600,61.6900,18.4195,866600
1998-09-15,61.7500,63.3100,61.5000,62.8100,18.7539,807800
1998-09-16,62.7500,64.5000,62.7500,64.1300,19.1480,500400
1998-09-17,63.5000,65.0000,63.0000,64.8800,19.3719,683000
1998-09-18,64.7500,66.0000,64.5600,65.5000,19.5571,719400
1998-09-21,64.7500,66.2500,64.3100,65.9400,19.6884,536700
1998-09-22,67.0000,67.4400,66.8100,67.3100,20.0975,371600
1998-09-23,67.4400,68.5000,66.7500,68.5000,20.4528,568900
1998-09-24,68.3800,69.3800,67.3100,67.6900,20.2110,523600
1998-09-25,67.4400,69.3800,67.1300,68.0600,20.3214,354500
1998-09-28,68.1300,69.3100,67.5600,68.8800,20.5663,328500
1998-09-29,68.9400,70.1300,68.7500,69.3100,20.6947,425100
1998-09-30,68.8800,68.8800,66.1300,66.1300,19.7452,416900
1998-10-01,65.5000,66.3800,64.5000,64.5600,19.2764,754900
1998-10-02,64.6900,66.3800,64.6300,64.7500,19.3331,767900
1998-10-05,65.0000,65.0600,63.6900,65.0000,19.4078,496300
1998-10-06,66.0000,67.5000,66.0000,66.1300,19.7452,393300
1998-10-07,66.4400,66.9400,65.8800,66.3800,19.8198,678000
1998-10-08,64.5000,65.5000,63.7500,65.0000,19.4078,767600
1998-10-09,64.9400,65.2500,64.0000,64.0000,19.1092,960900
1998-10-12,64.3800,64.8800,62.0000,62.0000,18.5120,482900
1998-10-13,62.6300,63.1300,62.0600,63.1300,18.8494,487600
1998-10-14,63.0000,64.6300,62.8800,63.3800,18.9241,696600
1998-10-15,62.5000,67.6300,62.5000,67.2500,20.0796,1193200
1998-10-16,68.7500,68.8800,67.1300,67.3100,20.0975,591900
1998-10-19,66.7500,68.7500,66.7500,68.4400,20.4349,421100
1998-10-20,68.4400,70.2500,68.2500,69.7500,20.8260,415100
1998-10-21,69.6300,70.6300,67.7500,70.1900,20.9574,814700
1998-10-22,69.9400,71.2500,68.1900,71.2500,21.2739,588800
1998-10-23,71.2500,72.0000,69.3800,71.3100,21.2918,462100
1998-10-26,71.5600,71.5600,68.5000,68.8800,20.5663,703800
1998-10-27,69.1300,70.0000,69.0600,69.6300,20.7902,568800
1998-10-28,69.5000,69.6900,68.0000,68.8800,20.5663,453800
1998-10-29,68.8800,69.3800,67.2500,69.1900,20.6588,599100
1998-10-30,70.0000,73.2500,69.6900,72.9400,21.7785,766600
1998-11-02,72.7500,74.6300,72.5000,74.6300,22.2831,534600
1998-11-03,74.6300,77.5000,74.3800,77.2500,23.0654,977200
1998-11-04,78.2500,80.5600,78.2500,78.8100,23.5312,1455100
1998-11-05,78.2500,78.2500,76.1900,77.1900,23.0475,624400
1998-11-06,77.0000,77.1300,74.8100,75.0600,22.4115,570500
1998-11-09,73.2500,75.6900,73.2500,75.3800,22.5070,496300
1998-11-10,75.3100,75.3100,73.0000,73.1900,21.8531,629400
1998-11-11,74.2500,75.2500,73.7500,73.8100,22.0383,261300
