,open,high,low,close,adj_close,volume
1998-01-02,79.2500,79.4400,78.0000,79.1200,23.0541,99400
1998-01-05,78.6200,79.1200,77.8800,79.1200,23.0541,193200
1998-01-06,78.7500,79.7500,77.5000,78.0600,22.7453,122500
1998-01-07,77.5000,77.6200,76.6200,77.3100,22.5267,146600
1998-01-08,77.3800,77.8800,76.7500,76.8800,22.4015,172200
1998-01-09,76.6200,77.9400,75.9400,77.5000,22.5821,287900
1998-01-12,76.7500,78.6200,75.1900,77.0000,22.4364,357700
1998-01-13,76.1200,77.6200,76.1200,77.1200,22.4714,287400
1998-01-14,77.3800,79.2500,76.5000,79.0600,23.0367,312800
1998-01-15,78.8100,79.3800,77.0000,77.5000,22.5821,180200
1998-01-16,78.0000,78.1200,77.0000,77.5000,22.5821,209600
1998-01-20,75.5000,77.3800,75.5000,76.4400,22.2732,410800
1998-01-21,76.0000,76.4400,74.3800,75.0600,21.8711,473700
1998-01-22,74.8100,77.2500,74.6900,76.6900,22.3461,416100
1998-01-23,76.4400,76.7500,74.8100,75.9400,22.1276,222600
1998-01-26,76.3100,76.3800,75.5000,76.1200,22.1800,125000
1998-01-27,75.7500,77.0600,75.7500,76.4400,22.2732,264200
1998-01-28,76.1900,76.3800,75.5000,76.0600,22.2558,260700
1998-01-29,76.3100,78.2500,76.1200,76.5600,22.4021,227700
1998-01-30,76.6200,77.3800,76.2500,76.6200,22.4196,142900
1998-02-02,77.4400,79.5000,77.4400,78.1200,22.8585,198200
1998-02-03,77.8800,79.0000,77.8800,79.0000,23.1160,108900
1998-02-04,79.0000,79.0000,78.2500,78.5000,22.9697,345000
1998-02-05,78.3800,79.0000,78.3100,78.5000,22.9697,240300
1998-02-06,78.8800,79.9400,78.8800,79.4400,23.2448,100200
1998-02-09,79.3100,79.7500,78.5000,79.2500,23.1892,139200
1998-02-10,79.2500,80.8800,79.1900,79.8100,23.3530,285000
1998-02-11,79.4400,81.2500,79.4400,80.8800,23.6661,272800
1998-02-12,80.5000,82.4400,79.8800,82.3100,24.0846,202400
1998-02-13,81.8800,83.1200,81.7500,82.7500,24.2133,228300
1998-02-17,82.9400,83.1900,80.9400,81.6200,23.8827,250400
1998-02-18,81.5000,83.6200,81.5000,82.6200,24.1753,378600
1998-02-19,82.8100,83.4400,82.4400,82.9400,24.2689,250700
1998-02-20,83.3800,84.7500,82.7500,84.5600,24.7429,271000
1998-02-23,84.8100,86.5000,84.6900,85.5000,25.0180,302300
1998-02-24,85.4400,86.3100,85.0600,85.4400,25.0004,241900
1998-02-25,85.4400,87.1900,85.3800,86.5600,25.3281,164500
1998-02-26,86.6900,87.0000,86.1900,86.9400,25.4393,153400
1998-02-27,86.6900,88.0000,86.5600,87.7500,25.6763,165100
1998-03-02,87.8100,88.2500,87.1900,87.6900,25.6588,161600
1998-03-03,87.8100,88.6200,87.6200,88.3800,25.8607,239100
1998-03-04,87.7500,87.7500,85.5600,85.8100,25.1087,529400
1998-03-05,85.3800,86.3800,85.3800,86.1200,25.1994,431200
1998-03-06,86.3100,87.5000,86.2500,87.2500,25.5300,407400
1998-03-09,87.3100,89.2500,87.3100,89.0000,26.0421,291800
1998-03-10,88.8100,89.4400,88.0000,88.8800,26.0070,236800
1998-03-11,89.1200,89.9400,88.5600,88.6900,25.9514,165000
1998-03-12,89.0000,89.0000,87.0000,87.8100,25.6939,161800
1998-03-13,87.8100,87.8100,86.6200,86.8100,25.4013,183900
1998-03-16,87.0600,87.4400,86.5000,86.6900,25.3662,175200
1998-03-17,86.6900,87.1200,86.6900,86.8800,25.4218,340400
1998-03-18,87.5000,88.5000,87.1900,87.5000,25.6032,225800
1998-03-19,87.2500,88.5600,87.1900,88.2500,25.8227,98500
1998-03-20,88.5000,88.6900,87.8800,88.5600,25.9134,126300
1998-03-23,88.0000,88.1900,87.0000,87.6900,25.6588,131000
1998-03-24,87.2500,87.2500,86.5000,87.0600,25.4744,297100
1998-03-25,87.0000,87.5000,85.1200,86.0000,25.1643,265300
1998-03-26,86.3800,87.0600,85.5600,86.6200,25.3457,265900
1998-03-27,85.7500,86.3800,83.7500,84.0000,24.5791,306500
1998-03-30,84.0000,85.8800,84.0000,85.0600,24.8892,288700
1998-03-31,85.9400,86.1900,84.5000,85.9400,25.1467,170300
1998-04-01,85.6900,87.3100,84.6200,87.3100,25.5476,310900
1998-04-02,87.0600,89.0000,86.6200,88.5600,25.9134,229000
1998-04-03,88.5600,89.4400,88.0000,89.4400,26.1709,234400
1998-04-06,89.4400,90.1900,89.1200,89.5000,26.1884,289600
1998-04-07,89.3800,90.0000,87.5600,88.1200,25.7846,232400
1998-04-08,88.3800,88.3800,87.0000,87.7500,25.6763,200600
