,open,high,low,close,adj_close,volume
1998-01-02,31.8100,32.4400,30.8800,32.1300,4.2913,449600
1998-01-05,32.6300,33.0000,30.8800,31.0000,4.1403,906400
1998-01-06,30.8800,31.0000,30.3800,30.6300,4.0909,645000
1998-01-07,30.5000,31.0000,29.9400,30.5600,4.0816,872400
1998-01-08,30.6300,31.6300,30.5000,30.9700,4.1363,454400
1998-01-09,31.0000,31.1300,29.9400,30.3800,4.0575,353600
1998-01-12,30.1300,30.2500,29.5000,30.1300,4.0241,658200
1998-01-13,30.1300,31.0000,30.1300,30.8100,4.1150,310400
1998-01-14,30.8800,32.6900,30.8800,32.6900,4.3660,2186200
1998-01-15,32.7500,32.8100,31.5000,32.2500,4.3073,1401800
1998-01-16,32.3800,33.3800,32.2500,33.1300,4.4248,894200
1998-01-20,33.1300,33.3800,32.3800,32.8100,4.3821,923400
1998-01-21,32.6300,33.0000,32.5000,32.5000,4.3407,167200
1998-01-22,32.2500,33.1900,32.2500,32.8800,4.3914,305800
1998-01-23,32.0000,33.5000,31.0000,33.2500,4.4408,1148600
1998-01-26,33.2500,33.5000,32.5000,32.5600,4.3487,332800
1998-01-27,32.5000,32.7500,31.0000,31.7500,4.2405,575800
1998-01-28,31.7500,31.8800,30.3100,30.3100,4.0482,601400
1998-01-29,30.3800,32.1300,30.3800,31.7500,4.2405,766800
1998-01-30,31.8800,32.1300,31.0600,31.0600,4.1483,271000
1998-02-02,31.2500,31.6300,30.8800,31.1300,4.1577,261800
1998-02-03,31.1300,31.2500,30.5600,30.7500,4.1069,308800
1998-02-04,30.7500,30.9400,30.1300,30.3800,4.0575,357000
1998-02-05,30.6300,32.3100,30.2500,30.3100,4.0482,1511600
1998-02-06,30.3100,32.0000,30.3100,31.7500,4.2405,486400
1998-02-09,32.0600,32.4400,31.7500,32.3800,4.3246,351200
1998-02-10,32.2500,33.6300,32.1300,33.3800,4.4582,753400
1998-02-11,33.5000,34.1300,33.2500,33.7500,4.5076,689000
1998-02-12,33.7500,34.1300,33.0000,34.0000,4.5410,570400
1998-02-13,33.8800,34.0000,33.3100,33.3100,4.4489,148000
1998-02-17,33.5600,33.5600,32.1900,32.8100,4.3821,451800
1998-02-18,32.6300,33.1300,32.3800,32.4400,4.3327,353600
1998-02-19,32.5600,32.9400,32.4400,32.7500,4.3741,333200
1998-02-20,32.6300,33.0000,32.3800,32.6300,4.3580,230400
1998-02-23,32.5000,32.7500,31.7500,32.0000,4.2739,251400
1998-02-24,32.1300,33.5000,32.1300,33.1900,4.4328,431200
1998-02-25,33.1300,33.7500,33.0600,33.5000,4.4742,484000
1998-02-26,33.5000,35.0600,33.5000,34.8100,4.6492,636200
1998-02-27,34.7500,35.0000,34.3800,34.8100,4.6492,821200
1998-03-02,34.7500,35.3800,34.6300,34.9700,4.6706,1045600
1998-03-03,34.7500,35.5600,34.5000,35.5600,4.7525,878400
1998-03-04,35.6300,36.3100,35.5000,36.2500,4.8447,706400
1998-03-05,35.8800,36.1300,35.6300,36.1300,4.8287,494000
1998-03-06,36.1300,36.3800,35.9400,36.1300,4.8287,202400
1998-03-09,36.0000,36.5000,35.8800,36.3100,4.8527,160800
1998-03-10,36.3100,36.8800,36.3100,36.8800,4.9289,195600
1998-03-11,37.0000,37.0000,36.5000,36.5000,4.8781,367800
1998-03-12,36.7500,36.7500,36.0000,36.1300,4.8287,146800
1998-03-13,36.1900,36.5000,36.0000,36.4400,4.8701,163600
1998-03-16,36.5000,36.5000,36.1300,36.4400,4.8701,110800
1998-03-17,36.5000,36.5000,36.1300,36.2500,4.8447,433200
1998-03-18,36.3800,36.3800,35.8100,36.1900,4.8367,329200
1998-03-19,36.2500,36.8800,36.1900,36.7500,4.9115,765400
1998-03-20,36.8800,37.2500,36.5000,36.6300,4.8955,695200
1998-03-23,36.6900,36.8800,36.2500,36.5000,4.8781,505800
1998-03-24,36.6900,36.7500,36.3100,36.6300,4.8955,355400
1998-03-25,36.6300,36.6900,36.4400,36.5600,4.8861,367000
1998-03-26,36.4400,36.6300,36.0000,36.0000,4.8113,1177000
1998-03-27,36.0000,36.1900,35.2500,35.3100,4.7191,633800
1998-03-30,35.4400,35.5000,34.1300,34.1300,4.5614,761200
1998-03-31,34.3800,35.0000,34.3800,34.6900,4.6362,444000
1998-04-01,34.8100,35.0000,34.0000,34.3800,4.5948,722000
1998-04-02,34.3800,34.5000,33.6900,34.3800,4.5948,503600
1998-04-03,34.4400,35.2500,34.0600,35.1900,4.7030,535600
1998-04-06,36.1300,36.4400,35.1300,35.2500,4.7110,997000
1998-04-07,35.2500,35.5000,34.3800,34.8800,4.6616,285800
1998-04-08,34.5000,35.0000,34.5000,34.6900,4.6362,166600
1998-04-09,34.8800,34.8800,34.3800,34.3800,4.5948,85800
1998-04-13,34.5000,34.5000,33.3800,33.8800,4.5279,347400
1998-04-14,33.9400,34.0000,33.5000,33.8800,4.5279,432600
1998-04-15,33.8100,34.3100,33.8100,34.0000,4.5440,135800
1998-04-16,34.3800,36.8800,34.2500,36.1900,4.8367,1066400
1998-04-17,36.1900,36.1900,35.6300,36.1300,4.8287,827800
1998-04-20,36.0600,36.2500,35.8800,36.1300,4.8287,184000
1998-04-21,36.5000,37.6900,36.3800,36.5000,4.8781,593200
1998-04-22,36.3800,36.8100,35.8800,36.3800,4.8621,1537000
1998-04-23,36.5000,36.5000,34.8800,34.8800,4.6616,343600
