,open,high,low,close,adj_close,volume
1998-01-02,58.9400,59.8100,58.9400,59.8100,9.2236,130900
1998-01-05,60.0600,60.1900,59.2500,59.7500,9.2144,138000
1998-01-06,59.7500,60.0000,58.6300,58.7500,9.0602,309400
1998-01-07,58.7500,58.8800,57.8800,58.1300,8.9645,235400
1998-01-08,57.8800,57.9400,55.0000,55.5600,8.5682,360300
1998-01-09,55.8100,55.8100,51.8800,52.3800,8.0778,432100
1998-01-12,51.0000,53.6900,51.0000,53.6900,8.2798,327400
1998-01-13,53.6300,54.1300,53.1900,53.6300,8.2706,147400
1998-01-14,53.6300,55.1300,53.6300,54.5600,8.4140,160900
1998-01-15,55.0600,55.5000,54.4400,54.6900,8.4340,91700
1998-01-16,54.9400,55.5000,53.5600,54.5600,8.4140,146000
1998-01-20,54.8100,56.2500,54.1300,56.2500,8.6746,204800
1998-01-21,56.2500,57.1900,53.1300,53.2500,8.2120,1500400
1998-01-22,53.2500,54.2500,53.1300,53.5600,8.2598,226600
1998-01-23,53.8100,54.3100,53.4400,53.9400,8.3184,176800
1998-01-26,54.1900,54.6300,53.5600,53.6900,8.2798,107000
1998-01-27,53.6900,54.8800,53.4400,53.6300,8.2706,166600
1998-01-28,55.0000,55.5000,54.5600,55.2500,8.5204,300300
1998-01-29,54.5000,54.5000,52.6300,53.1300,8.1935,409100
1998-01-30,53.2500,53.9400,53.2500,53.5000,8.2505,139400
1998-02-02,54.0600,55.0000,54.0000,54.5600,8.4140,245100
1998-02-03,54.8800,55.4400,54.8100,54.8800,8.4633,283300
1998-02-04,54.6300,55.6300,54.6300,54.9400,8.4726,278200
1998-02-05,55.1900,55.4400,54.8100,55.3100,8.5297,176000
1998-02-06,55.3100,56.2500,55.3100,55.8800,8.6176,208900
1998-02-09,56.1300,56.6300,55.6900,56.0000,8.6361,180900
1998-02-10,55.9400,56.1300,55.2500,55.8100,8.6068,366400
1998-02-11,55.7500,56.0600,55.2500,55.9400,8.6268,380500
1998-02-12,55.6900,55.8100,55.3800,55.5600,8.5682,181900
1998-02-13,55.8100,57.2500,55.8100,56.0600,8.6453,218500
1998-02-17,56.3100,57.5600,56.3100,57.1900,8.8196,188700
1998-02-18,56.1900,57.8800,56.1900,57.4400,8.8581,156200
1998-02-19,57.4400,58.1900,57.4400,57.6300,8.8874,253200
1998-02-20,58.3100,58.3100,57.3800,58.2500,8.9831,122100
1998-02-23,58.4400,58.5000,57.1900,57.1900,8.8196,167400
1998-02-24,57.0600,57.3100,56.0600,56.4400,8.7039,126100
1998-02-25,56.6900,56.9400,56.4400,56.5000,8.7132,144900
1998-02-26,56.3100,56.9400,56.3100,56.9400,8.8234,83900
1998-02-27,57.0000,58.5000,56.6300,57.8800,8.9691,155800
1998-03-02,57.6300,57.8800,56.7500,57.5600,8.9195,180900
1998-03-03,58.0000,58.2500,56.7500,57.4400,8.9009,250700
1998-03-04,57.5000,57.9400,57.0000,57.3100,8.8808,269800
1998-03-05,57.0000,57.1300,56.4400,56.4400,8.7460,137400
1998-03-06,56.5600,57.6900,56.5600,57.5600,8.9195,87100
1998-03-09,57.6900,57.7500,56.3100,56.9400,8.8234,281500
1998-03-10,57.0600,57.5000,56.6300,56.8800,8.8141,147700
1998-03-11,56.6300,57.3800,55.7500,56.1300,8.6979,182500
1998-03-12,56.3800,58.7500,56.3800,58.6300,9.0853,237600
1998-03-13,59.6300,60.5600,58.6300,59.9400,9.2883,300300
1998-03-16,60.5000,61.1900,60.3100,61.1300,9.4727,376700
1998-03-17,61.7500,61.7500,60.7500,61.0600,9.4619,188600
1998-03-18,61.1300,62.3100,61.1300,62.0600,9.6168,145100
1998-03-19,62.1300,62.7500,61.5000,61.6900,9.5595,176200
1998-03-20,55.7500,57.0000,55.6900,56.1300,8.6979,883800
1998-03-23,56.1900,56.1900,55.1300,55.2500,8.5616,364400
1998-03-24,55.2500,55.3100,54.6900,55.1900,8.5523,378200
1998-03-25,55.1300,55.2500,54.7500,55.0600,8.5321,119400
1998-03-26,55.0600,55.4400,54.4400,54.8100,8.4934,450300
1998-03-27,54.6900,55.1300,54.4400,54.9400,8.5135,348100
1998-03-30,54.9400,55.0600,54.0600,54.6900,8.4748,219500
1998-03-31,54.8800,55.6300,54.8800,55.1300,8.5430,238600
1998-04-01,55.1900,55.8100,53.2500,55.7500,8.6390,733200
1998-04-02,55.7500,56.0000,54.8100,56.0000,8.6778,220700
1998-04-03,56.0000,57.0000,55.3800,56.6300,8.7754,216400
1998-04-06,56.5600,57.1300,55.3800,55.4400,8.5910,104800
1998-04-07,55.1900,55.1900,53.7500,54.1900,8.3973,315800
1998-04-08,54.4400,54.4400,52.8800,53.1900,8.2423,234200
1998-04-09,53.2500,53.2500,50.6300,50.8800,7.8844,510800
1998-04-13,51.0000,51.0000,49.6300,49.8800,7.7294,545200
1998-04-14,49.6300,51.7500,49.6300,51.5000,7.9805,437300
1998-04-15,51.7500,52.2500,51.1300,51.8800,8.0393,384800
