,open,high,low,close,adj_close,volume
1998-01-02,43.9400,43.9400,43.6300,43.8800,22.6137,200700
1998-01-05,43.8800,44.0000,43.7500,43.8800,22.6137,557300
1998-01-06,43.7500,44.1900,43.7500,44.0000,22.6756,636200
1998-01-07,44.0000,44.4400,43.8100,44.4400,22.9023,718800
1998-01-08,44.2500,44.2500,43.5000,43.8800,22.6137,1678300
1998-01-09,44.0000,44.1300,43.7500,43.9400,22.6446,369400
1998-01-12,43.9400,44.0600,43.5600,43.9400,22.6446,479700
1998-01-13,44.0000,44.0600,43.8800,44.0000,22.6756,368000
1998-01-14,44.0000,44.0000,43.7500,43.9400,22.6446,306800
1998-01-15,43.8800,43.9400,43.6300,43.6900,22.5158,220000
1998-01-16,43.6900,44.3100,43.6900,43.7500,22.5467,433800
1998-01-20,43.8800,44.3100,43.8100,44.0000,22.6756,225800
1998-01-21,43.7500,44.1300,43.6900,44.1300,22.7426,301900
1998-01-22,44.0000,44.2500,43.9400,44.1900,22.7735,355800
1998-01-23,44.1900,44.1900,43.7500,43.8100,22.5776,131900
1998-01-26,43.7500,43.9400,43.6300,43.8100,22.5776,122600
1998-01-27,43.6900,43.8100,43.5000,43.5000,22.4179,219800
1998-01-28,43.7500,44.1900,43.6300,43.6900,22.5158,268700
1998-01-29,43.5000,43.6900,43.1900,43.2500,22.2891,449800
1998-01-30,43.1300,43.1300,42.5600,42.5600,22.0881,158100
1998-02-02,42.8100,42.9400,42.8100,42.8800,22.2541,130200
1998-02-03,42.8800,42.8800,42.5000,42.6300,22.1244,213600
1998-02-04,42.6300,42.6900,42.2500,42.2500,21.9272,201700
1998-02-05,42.2500,42.4400,41.8800,41.9400,21.7663,323200
1998-02-06,41.9400,42.7500,41.9400,42.4400,22.0258,525800
1998-02-09,42.6900,43.0000,42.3800,42.8800,22.2541,562600
1998-02-10,43.0000,43.0000,42.7500,42.9400,22.2853,206800
1998-02-11,42.9400,43.0000,42.5000,42.8100,22.2178,268500
1998-02-12,42.9400,43.1900,42.8100,43.1900,22.4150,163200
1998-02-13,43.2500,43.2500,42.8800,43.1300,22.3839,119500
1998-02-17,43.2500,43.3100,42.9400,42.9400,22.2853,286000
1998-02-18,42.9400,43.2500,42.7500,42.9400,22.2853,404400
1998-02-19,43.0600,43.1300,42.9400,42.9400,22.2853,213800
1998-02-20,43.0000,43.2500,42.8800,43.1300,22.3839,166300
1998-02-23,44.0000,44.0000,43.4400,43.5600,22.6070,147200
1998-02-24,43.5000,43.5600,43.0000,43.3100,22.4773,184600
1998-02-25,43.1900,44.0000,43.1900,43.6900,22.6745,238500
1998-02-26,43.6300,44.1900,43.6300,44.1900,22.9340,183600
1998-02-27,44.2500,44.2500,44.1300,44.2500,22.9651,167500
1998-03-02,44.2500,44.5000,44.1300,44.3100,22.9963,185300
1998-03-03,44.4400,44.7500,44.3800,44.6900,23.1935,279900
1998-03-04,44.6900,44.7500,44.3100,44.5000,23.0949,94700
1998-03-05,44.2500,44.2500,44.0000,44.1300,22.9029,248100
1998-03-06,44.1300,44.1300,43.7500,44.0000,22.8354,214100
1998-03-09,43.8800,44.1300,43.7500,44.1300,22.9029,106400
1998-03-10,44.1300,44.9400,44.1300,44.7500,23.2246,86100
1998-03-11,45.0000,45.0000,44.5000,44.8100,23.2558,130500
1998-03-12,44.8100,44.8100,44.1900,44.6300,23.1624,120100
1998-03-13,44.6300,44.9400,44.5600,44.8800,23.2921,110800
1998-03-16,45.0000,45.0000,44.4400,44.6900,23.1935,316100
1998-03-17,44.6900,44.7500,44.4400,44.7500,23.2246,197400
1998-03-18,44.6300,44.8100,44.6300,44.8100,23.2558,149300
1998-03-19,44.8800,45.3100,44.8800,45.3100,23.5153,340100
1998-03-20,45.3800,46.1300,45.3100,45.9400,23.8422,573600
1998-03-23,45.9400,46.5600,45.9400,46.2500,24.0031,166000
1998-03-24,46.1900,46.5000,45.6300,46.0000,23.8734,127900
1998-03-25,46.1900,47.0600,46.1900,47.0000,24.3924,451200
1998-03-26,47.0000,47.0000,46.3100,46.3100,24.0343,174200
1998-03-27,46.3800,46.6900,46.1300,46.4400,24.1017,182300
1998-03-30,46.3800,46.4400,46.2500,46.4400,24.1017,132900
1998-03-31,46.5000,47.3100,46.5000,46.9400,24.3612,622400
1998-04-01,47.0600,47.0600,46.2500,46.3100,24.0343,469200
1998-04-02,46.3800,47.0000,46.3100,46.9400,24.3612,291300
1998-04-03,46.9400,46.9400,46.5600,46.7500,24.2626,102500
1998-04-06,46.8800,47.1900,46.3100,46.4400,24.1017,195300
1998-04-07,46.6300,46.6300,46.0000,46.1900,23.9720,150500
1998-04-08,46.0600,46.5000,45.8800,46.5000,24.1329,121100
1998-04-09,46.4400,46.6900,46.3100,46.5000,24.1329,140700
1998-04-13,46.4400,46.8800,45.4400,45.7500,23.7436,231400
1998-04-14,45.8100,46.5000,45.7500,46.3100,24.0343,79000
1998-04-15,46.3100,46.3800,45.8100,46.2500,24.0031,132300
1998-04-16,46.1300,46.1300,45.5600,45.8800,23.8111,283500
1998-04-17,45.6300,46.3100,45.6300,46.2500,24.0031,125700
1998-04-20,46.1900,46.5000,45.5000,45.6300,23.6814,335700
1998-04-21,45.0000,45.0600,44.6300,45.0000,23.3544,573600
1998-04-22,45.0000,45.0000,44.1900,44.5000,23.0949,148500
1998-04-23,44.5000,44.5000,43.6300,43.8800,22.7731,195400
1998-04-24,43.8800,43.8800,43.6300,43.7500,22.7057,323100
1998-04-27,43.5000,43.6300,43.0600,43.4400,22.5448,379800
1998-04-28,43.4400,43.5000,43.3800,43.3800,22.5136,280700
1998-04-29,43.3800,43.6300,43.3100,43.5600,22.6070,316500
1998-04-30,43.5000,44.0000,43.5000,43.6900,22.8302,1094800
1998-05-01,43.8800,44.0000,43.6300,43.6900,22.8302,573100
1998-05-04,43.5000,43.5000,42.9400,43.3100,22.6316,326400
1998-05-05,43.1900,43.1900,42.6900,42.9400,22.4383,294100
1998-05-06,43.0000,43.0000,42.8800,42.9400,22.4383,119600
1998-05-07,42.9400,43.0000,42.6300,42.9400,22.4383,379600
1998-05-08,42.8100,43.2500,42.7500,42.8100,22.3704,643800
1998-05-11,42.8800,43.3100,42.6900,42.8100,22.3704,272500
1998-05-12,42.8100,42.8100,42.1900,42.6300,22.2763,232900
1998-05-13,42.7500,42.9400,42.0000,42.0000,21.9471,169200
1998-05-14,42.0000,42.3100,41.8100,42.0000,21.9471,147400
1998-05-15,42.2500,42.6300,41.5000,41.5000,21.6858,131100
1998-05-18,41.5000,42.0000,41.1300,41.2500,21.5552,115900
1998-05-19,41.2500,42.0000,41.2500,41.3100,21.5865,177500
1998-05-20,41.5000,41.5000,41.5000,41.5000,21.6858,207200
1998-05-21,41.5000,41.5600,41.2500,41.3800,21.6231,216400
1998-05-22,41.3800,41.8800,41.3800,41.3800,21.6231,296200
1998-05-26,41.1900,41.2500,41.1300,41.1300,21.4925,137500
1998-05-27,41.0000,42.0000,40.6900,42.0000,21.9471,215100
1998-05-28,42.0600,42.8800,41.5600,42.6900,22.3077,410300
1998-05-29,42.5600,43.7500,42.5600,43.5600,22.7623,216000
1998-06-01,43.5000,44.5000,43.3800,44.1900,23.0915,214700
1998-06-02,44.6900,44.7500,44.0600,44.0600,23.0236,202200
1998-06-03,44.0600,44.6300,44.0600,44.3100,23.1542,389000
1998-06-04,44.4400,44.5600,44.1300,44.4400,23.2221,235400
1998-06-05,44.4400,44.4400,44.0600,44.3800,23.1908,170600
1998-06-08,44.3800,44.8800,44.2500,44.3800,23.1908,445600
1998-06-09,44.3800,44.9400,44.3800,44.6900,23.3528,110000
1998-06-10,44.6200,45.5000,44.3800,44.5000,23.2535,242900
1998-06-11,44.5000,44.6300,44.1300,44.5000,23.2535,167300
1998-06-12,44.5000,44.9400,44.5000,44.9400,23.4834,187900
1998-06-15,45.0000,45.7500,44.8100,45.0600,23.5461,345200
1998-06-16,45.1900,45.1900,44.8100,44.8800,23.4520,363800
1998-06-17,44.8800,44.8800,44.5600,44.7500,23.3841,212900
1998-06-18,44.6900,44.8100,44.4400,44.6900,23.3528,133600
1998-06-19,44.3800,44.5000,43.8100,43.9400,22.9609,373000
1998-06-22,44.1900,44.1900,43.8800,43.9400,22.9609,111800
1998-06-23,43.9400,43.9400,43.0000,43.0000,22.4697,506100
1998-06-24,43.0600,43.3800,43.0600,43.3800,22.6682,1102200
1998-06-25,43.5000,43.8100,43.0000,43.1900,22.5689,355700
1998-06-26,43.3800,43.4400,42.8800,43.3100,22.6316,616200
1998-06-29,44.0000,44.3100,43.8800,44.1900,23.0915,204200
1998-06-30,44.1300,44.3800,44.0000,44.0000,22.9922,249600
1998-07-01,44.1300,44.5600,44.1300,44.5600,23.2848,125000
