,open,high,low,close,adj_close,volume
1998-01-02,19.0600,19.1300,19.0000,19.0000,1.4243,41800
1998-01-05,19.0000,19.2500,18.3100,18.5000,1.3868,83267
1998-01-06,18.3100,18.3100,17.5000,17.7500,1.3306,83467
1998-01-07,17.7500,18.3100,17.7500,18.3100,1.3726,78067
1998-01-08,18.1300,18.1300,17.8100,18.0000,1.3493,35000
1998-01-09,17.9400,17.9400,17.3800,17.3800,1.3029,61200
1998-01-12,17.2500,17.2500,16.8800,17.0600,1.2789,50267
1998-01-13,17.1300,18.0600,17.1300,18.0600,1.3538,44067
1998-01-14,18.0600,18.6300,18.0600,18.6300,1.3966,21667
1998-01-15,18.5000,18.6300,18.1300,18.3800,1.3778,63600
1998-01-16,18.3800,19.3800,18.3800,19.3800,1.4528,49600
1998-01-20,19.5000,21.0000,19.5000,20.9400,1.5697,138000
1998-01-21,20.8100,20.8100,19.5600,19.6300,1.4715,100667
1998-01-22,19.3800,19.4400,18.0600,18.3100,1.3726,56000
1998-01-23,18.3100,18.8100,18.3100,18.7500,1.4056,37267
1998-01-26,18.6900,18.8100,18.5600,18.8100,1.4101,20667
1998-01-27,18.5600,18.9400,18.5600,18.7500,1.4056,6867
1998-01-28,18.9400,20.0000,18.9400,19.9400,1.4948,140067
1998-01-29,19.6900,20.3100,19.6900,20.0000,1.4993,40200
1998-01-30,20.0000,20.1300,19.8100,19.8100,1.4850,78000
1998-02-02,19.8800,20.7500,19.5900,19.7500,1.4805,85467
1998-02-03,19.7500,20.2500,19.7500,20.2500,1.5180,77067
1998-02-04,20.2500,20.3100,20.2500,20.3100,1.5225,33667
1998-02-05,20.3800,20.3800,19.8800,19.9400,1.4948,147467
1998-02-06,20.2500,20.2500,20.0000,20.2500,1.5180,65200
1998-02-09,20.2500,20.2500,19.8100,19.8100,1.4850,193800
1998-02-10,19.8800,20.3800,19.8800,20.3100,1.5225,83000
1998-02-11,20.3800,20.3800,19.8800,19.8800,1.4933,61000
1998-02-12,20.0000,20.0000,19.7500,20.0000,1.5023,125400
1998-02-13,20.0000,20.1900,20.0000,20.1300,1.5120,52867
1998-02-17,20.0600,20.3100,20.0600,20.3100,1.5256,59667
1998-02-18,20.2500,20.5000,20.1900,20.5000,1.5398,40400
1998-02-19,20.5000,20.6300,20.3800,20.4400,1.5353,38600
1998-02-20,20.4400,21.0600,20.4400,21.0600,1.5819,29000
1998-02-23,20.5000,20.5000,19.8800,20.1300,1.5120,71667
1998-02-24,20.0000,20.0000,19.7500,20.0000,1.5023,60800
1998-02-25,20.0600,20.1300,19.9400,20.0000,1.5023,102800
1998-02-26,20.0600,20.8100,19.9400,20.6900,1.5541,67600
1998-02-27,20.6900,21.0000,20.6900,21.0000,1.5774,40067
1998-03-02,21.0600,21.4400,21.0600,21.1900,1.5917,38267
1998-03-03,21.2500,21.5000,21.0000,21.4400,1.6104,55000
1998-03-04,21.4400,21.8100,21.3800,21.6900,1.6292,91400
1998-03-05,21.5600,21.6300,21.3100,21.3100,1.6007,69067
1998-03-06,21.3100,21.6300,21.2500,21.6300,1.6247,36067
1998-03-09,21.8800,21.8800,21.1900,21.3100,1.6007,123867
1998-03-10,21.3100,21.6300,21.3100,21.6300,1.6247,116467
1998-03-11,21.5000,21.6900,21.1300,21.1300,1.5872,57467
1998-03-12,21.1300,21.1300,20.7500,21.0600,1.5819,27000
1998-03-13,21.1300,21.1900,21.0000,21.0000,1.5774,34667
1998-03-16,21.0000,21.2500,21.0000,21.1900,1.5917,44200
1998-03-17,21.1300,21.1900,19.8100,20.0000,1.5023,92200
1998-03-18,20.1300,20.8100,20.0600,20.8100,1.5631,86267
1998-03-19,20.8100,20.9400,20.3800,20.9400,1.5729,79600
1998-03-20,20.8100,21.2500,20.8100,21.1300,1.5872,81200
1998-03-23,21.3100,22.5600,21.3100,21.7500,1.6337,186600
1998-03-24,21.3100,21.7500,21.2500,21.6900,1.6292,70067
1998-03-25,21.6900,21.8100,20.7500,21.0000,1.5774,87600
1998-03-26,21.0000,21.1900,20.7500,21.1900,1.5917,31867
1998-03-27,21.0600,21.4400,21.0000,21.1300,1.5872,51000
1998-03-30,21.2500,21.6900,21.1900,21.2500,1.5962,34000
1998-03-31,23.0000,23.0000,21.9400,22.6300,1.6998,337800
1998-04-01,22.6300,23.0600,22.3100,23.0000,1.7276,101800
1998-04-02,23.0000,23.0600,22.5600,22.7500,1.7088,46467
1998-04-03,22.9400,23.0000,22.6900,22.6900,1.7043,39667
1998-04-06,22.8800,23.3800,22.8800,22.9400,1.7231,274667
1998-04-07,23.0000,23.0000,22.2500,22.3100,1.6758,125867
1998-04-08,22.3100,22.7500,22.3100,22.5000,1.6901,37200
1998-04-09,22.5600,22.7500,22.4400,22.6300,1.6998,78267
1998-04-13,22.6900,22.6900,22.3800,22.3800,1.6810,40467
1998-04-14,22.3800,22.8100,22.3800,22.7500,1.7088,83800
1998-04-15,22.8100,23.0600,22.5000,22.6300,1.6998,88667
1998-04-16,22.5000,22.5000,22.1300,22.1900,1.6668,40000
1998-04-17,22.1900,22.8100,22.1300,22.8100,1.7133,53600
1998-04-20,22.8800,23.3100,22.8100,23.0600,1.7321,46667
1998-04-21,23.1300,23.8800,23.1300,23.8800,1.7937,99800
1998-04-22,23.7500,24.0000,23.3800,23.5000,1.7652,82067
1998-04-23,23.4400,23.4400,23.0000,23.1300,1.7374,106200
1998-04-24,23.1900,23.3800,22.8100,23.1300,1.7374,49400
1998-04-27,23.0000,23.0000,21.8100,22.1900,1.6668,171267
1998-04-28,22.5000,22.9400,22.5000,22.6900,1.7043,42867
1998-04-29,22.6900,23.4400,22.6900,23.3100,1.7509,64000
1998-04-30,23.0600,23.5000,23.0600,23.4400,1.7607,145867
1998-05-01,23.3100,23.7500,23.3100,23.6900,1.7794,34400
1998-05-04,23.8100,24.0000,23.6900,23.6900,1.7794,66467
1998-05-05,23.5600,23.6300,23.1900,23.6300,1.7749,43400
1998-05-06,23.5000,23.5000,23.0000,23.2500,1.7464,73000
1998-05-07,23.2500,23.3100,23.0000,23.1300,1.7374,29200
1998-05-08,23.1300,23.3800,23.0000,23.3800,1.7562,16400
1998-05-11,23.3800,23.3800,22.5000,22.6900,1.7043,24067
1998-05-12,22.8100,22.8800,22.1900,22.2500,1.6713,47200
1998-05-13,22.3100,22.3800,21.9400,22.1900,1.6668,22467
1998-05-14,22.0000,22.1300,21.7500,21.8100,1.6382,23467
1998-05-15,22.0600,22.1300,21.5000,21.5000,1.6149,47067
1998-05-18,21.8800,21.8800,21.2500,21.3100,1.6007,35067
1998-05-19,21.4400,21.8100,21.4400,21.7500,1.6337,11267
1998-05-20,21.5000,21.5000,21.5000,21.5000,1.6180,12067
1998-05-21,21.6300,21.7500,21.1300,21.3100,1.6037,70600
1998-05-22,21.1900,21.1900,20.7500,21.0600,1.5848,20400
1998-05-26,21.0600,21.0600,20.5000,20.5000,1.5427,15267
1998-05-27,20.2500,20.3100,19.9400,20.1300,1.5149,60800
1998-05-28,20.1300,20.2500,20.0600,20.2500,1.5239,58400
1998-05-29,20.2500,20.2500,20.1900,20.2500,1.5239,38667
1998-06-01,20.1900,20.5600,20.1900,20.1900,1.5194,36467
1998-06-02,20.1900,20.1900,19.7500,19.7500,1.4863,55467
1998-06-03,19.7500,20.1300,19.6300,19.8800,1.4960,38067
1998-06-04,19.8800,20.5000,19.8800,20.5000,1.5427,58400
1998-06-05,20.5000,21.0000,20.5000,20.8100,1.5660,32600
1998-06-08,20.6300,20.8100,20.6300,20.6300,1.5525,23667
1998-06-09,20.5600,20.5600,19.5000,19.6300,1.4772,35667
1998-06-10,19.6300,19.6300,19.2500,19.3100,1.4531,33200
1998-06-11,19.3100,19.3100,19.0000,19.0600,1.4343,61867
1998-06-12,19.0600,19.3100,19.0000,19.3100,1.4531,45600
1998-06-15,19.0600,19.3800,18.9400,18.9400,1.4253,38467
1998-06-16,18.9400,19.3100,18.9400,19.0000,1.4298,83000
1998-06-17,19.1300,19.3800,19.0000,19.1300,1.4396,63267
1998-06-18,19.1300,19.1900,18.0000,18.0600,1.3591,34467
1998-06-19,18.1900,19.5600,18.0000,19.1900,1.4441,161667
1998-06-22,19.1900,20.0600,19.1900,20.0600,1.5096,59600
1998-06-23,20.0600,20.4400,19.8800,20.1900,1.5194,26200
1998-06-24,20.1300,20.3800,20.0000,20.1900,1.5194,19400
1998-06-25,20.4400,20.4400,19.8800,20.0600,1.5096,56600
1998-06-26,19.9400,20.1300,19.9400,20.1300,1.5149,28667
1998-06-29,20.2500,20.2500,19.6900,19.6900,1.4817,31667
1998-06-30,19.6900,20.0000,19.5000,20.0000,1.5051,211000
1998-07-01,20.0000,20.5000,20.0000,20.4400,1.5382,22600
1998-07-02,20.3800,20.4400,20.1300,20.3800,1.5337,15467
1998-07-06,20.2500,20.3100,19.6900,19.6900,1.4817,37867
1998-07-07,19.7500,19.7500,19.5000,19.6300,1.4772,44600
1998-07-08,19.5600,19.9400,19.5000,19.8800,1.4960,18000
1998-07-09,20.1300,20.1300,19.5600,19.6900,1.4817,12467
1998-07-10,19.6300,19.7500,19.4400,19.5000,1.4674,5000
1998-07-13,19.4400,19.4400,18.8800,18.9400,1.4253,22000
1998-07-14,19.0000,19.1900,18.8800,18.9400,1.4253,18400
1998-07-15,19.0600,19.0600,18.8800,19.0000,1.4298,13867
1998-07-16,18.9400,19.0000,18.7500,18.8800,1.4208,26067
1998-07-17,18.8800,18.8800,18.6900,18.6900,1.4065,17000
1998-07-20,18.8100,18.8800,18.6300,18.7500,1.4110,27267
1998-07-21,18.8800,19.1900,18.3100,18.3100,1.3779,48467
1998-07-22,18.1300,18.1300,17.6900,17.8800,1.3455,49400
1998-07-23,17.8800,18.0000,17.6300,17.9400,1.3501,75200
1998-07-24,17.8100,17.9400,17.6300,17.6300,1.3267,42467
1998-07-27,17.6900,17.6900,16.8800,17.0000,1.2793,27467
1998-07-28,17.2500,17.2500,16.7500,17.0600,1.2838,42467
1998-07-29,17.1300,17.5000,17.1300,17.5000,1.3169,43467
1998-07-30,17.5000,17.5600,17.3800,17.5000,1.3169,33600
1998-07-31,17.5000,17.5000,17.1300,17.1300,1.2891,20400
1998-08-03,17.1900,17.1900,16.6300,16.6300,1.2515,23800
1998-08-04,16.8800,17.0000,16.3800,16.4400,1.2372,21667
1998-08-05,16.5000,16.5000,15.2500,15.9400,1.1995,140467
1998-08-06,16.0000,16.0000,15.8100,16.0000,1.2041,122067
1998-08-07,16.0000,16.1300,15.8800,16.0600,1.2086,162867
1998-08-10,16.0000,16.0000,15.5000,15.5600,1.1709,21267
1998-08-11,15.1900,15.5000,15.0000,15.3800,1.1574,102000
1998-08-12,15.1900,15.5000,15.0000,15.0600,1.1363,66600
1998-08-13,15.1900,15.5000,14.7500,15.0000,1.1318,234067
1998-08-14,15.0600,15.2500,14.6900,14.8800,1.1227,54467
1998-08-17,14.8800,15.0000,14.8100,14.8800,1.1227,22400
1998-08-18,14.8100,15.6200,14.8100,15.1300,1.1416,92067
1998-08-19,15.1900,15.2500,14.9400,14.9400,1.1273,140400
1998-08-20,14.9400,14.9400,14.0000,14.3100,1.0797,157200
1998-08-21,14.3100,14.3100,13.7500,14.1900,1.0707,152200
1998-08-24,14.1900,14.6300,14.1900,14.4400,1.0895,89800
1998-08-25,14.5000,14.6900,14.1900,14.1900,1.0707,99267
1998-08-26,14.0600,14.1300,13.8100,14.0600,1.0609,117000
1998-08-27,14.0000,14.0000,13.5000,13.6900,1.0330,204467
1998-08-28,13.6900,13.8100,13.3100,13.3800,1.0096,72600
1998-08-31,13.3800,13.3800,12.6300,12.7500,0.9620,44400
1998-09-01,12.8800,13.2500,12.7500,12.9400,0.9764,94400
1998-09-02,12.9400,13.3100,12.9400,13.2500,0.9998,44667
1998-09-03,13.0000,13.1300,12.8100,13.0600,0.9854,51200
1998-09-04,13.2500,14.5000,13.2500,14.5000,1.0941,37400
1998-09-08,14.4400,15.0600,14.4400,15.0600,1.1363,147600
1998-09-09,15.0600,15.0600,14.8100,14.8100,1.1175,11000
1998-09-10,14.8100,15.0000,14.5600,15.0000,1.1318,44000
1998-09-11,15.0000,16.1900,15.0000,15.9400,1.2027,43267
1998-09-14,15.8100,15.9400,15.5600,15.5600,1.1741,71000
1998-09-15,15.3800,16.6300,15.1300,16.6300,1.2548,67067
1998-09-16,16.5600,17.1300,16.5600,16.7500,1.2638,45800
1998-09-17,16.8100,16.8100,16.0000,16.0000,1.2073,9667
1998-09-18,16.6300,16.6300,16.0600,16.0600,1.2118,87600
1998-09-21,15.8800,15.9400,15.8100,15.9400,1.2027,12400
1998-09-22,15.6900,15.7500,15.3800,15.4400,1.1650,92067
