,open,high,low,close,adj_close,volume
1998-01-02,41.1200,41.1200,39.6200,40.3800,19.7053,54800
1998-01-05,40.3800,40.5000,39.8800,40.5000,19.7639,84700
1998-01-06,40.7500,40.8800,40.3800,40.6200,19.8225,53800
1998-01-07,40.5000,42.5000,40.5000,41.5000,20.2519,180100
1998-01-08,41.7500,42.0600,41.6200,41.9400,20.4666,89400
1998-01-09,41.9400,41.9400,39.8800,40.1900,19.6126,76000
1998-01-12,39.9400,40.0600,39.3800,39.8800,19.4613,64300
1998-01-13,40.1200,41.5000,40.1200,41.3800,20.1933,60800
1998-01-14,41.4400,42.1200,41.4400,41.9400,20.4666,44700
1998-01-15,41.7500,42.7500,41.7500,42.1900,20.5886,125000
1998-01-16,42.6200,44.5000,42.5000,43.9400,21.4426,287300
1998-01-20,44.1200,46.1200,44.0000,46.0600,22.4772,262400
1998-01-21,46.1900,49.6900,45.3800,47.5000,23.1799,529500
1998-01-22,47.3800,47.3800,44.6200,45.7500,22.3259,448700
1998-01-23,45.8800,45.9400,44.8800,45.6900,22.2966,152000
1998-01-26,45.7500,46.3100,45.7500,46.0600,22.4772,61700
1998-01-27,46.0000,46.5600,45.5000,46.5000,22.6919,88500
1998-01-28,46.6200,48.0000,46.6200,47.8100,23.3312,73300
1998-01-29,47.8800,48.0000,47.3800,47.7500,23.3019,39200
1998-01-30,48.0000,50.0000,48.0000,49.6200,24.2144,162600
1998-02-02,50.5000,51.6900,50.3800,51.1200,24.9464,194500
1998-02-03,51.1900,51.3100,48.6200,49.8800,24.3413,126400
1998-02-04,49.7500,50.3100,49.6900,50.0000,24.3999,190900
1998-02-05,50.0000,50.6200,49.7500,50.4400,24.6146,69900
1998-02-06,50.3800,50.6900,49.7500,50.2500,24.5219,58100
1998-02-09,49.5000,50.0000,49.3800,49.6900,24.2486,71000
1998-02-10,49.6900,50.5000,49.6900,50.0600,24.4291,78900
1998-02-11,49.8800,50.6200,49.6900,50.0000,24.3999,40500
1998-02-12,49.8800,50.0000,48.8800,49.3800,24.0973,53000
1998-02-13,49.4400,49.5600,49.2500,49.5000,24.1559,16400
1998-02-17,49.7500,49.7500,48.1900,48.2500,23.5459,109800
1998-02-18,48.1200,49.1200,48.0000,48.8800,23.8533,57000
1998-02-19,48.9400,48.9400,47.7500,47.9400,23.3946,59600
1998-02-20,47.6900,47.8800,46.3800,46.9400,22.9066,123200
1998-02-23,47.0000,47.0000,44.5000,45.2500,22.0819,238700
1998-02-24,44.7500,44.8800,43.3800,44.0000,21.4719,180200
1998-02-25,44.2500,46.2500,44.0000,45.5000,22.2039,268500
1998-02-26,45.7500,47.3800,45.5000,47.3800,23.1213,191800
1998-02-27,47.5000,47.7500,46.6200,46.7500,22.8139,47500
1998-03-02,46.8100,47.5000,46.8100,47.0600,22.9652,45400
1998-03-03,46.8100,46.8800,45.5600,45.7500,22.3259,50200
1998-03-04,45.7500,46.1900,45.7500,45.8800,22.3893,78200
1998-03-05,45.8800,46.0000,45.6200,45.6900,22.2966,124200
1998-03-06,45.6900,46.5000,45.6900,46.0600,22.4772,89900
1998-03-09,45.8800,47.6200,45.8800,47.1200,22.9944,61000
1998-03-10,47.0600,47.2500,46.2500,46.5600,22.7212,45000
1998-03-11,46.4400,47.6200,46.4400,47.0000,22.9359,65900
1998-03-12,47.0000,47.0000,46.3100,46.5000,22.6919,143300
1998-03-13,46.5000,46.5000,44.6200,45.0000,21.9599,56800
1998-03-16,44.7500,44.7500,41.8800,42.0600,20.5252,338600
1998-03-17,41.3800,42.0600,38.5000,41.9400,20.4666,557000
1998-03-18,42.1200,43.5000,42.1200,42.6200,20.7984,123900
1998-03-19,42.6200,42.6200,41.2500,41.5000,20.2519,108900
1998-03-20,41.5000,41.5000,40.7500,41.0000,20.0079,70000
1998-03-23,41.1200,41.5600,40.6900,40.7500,19.8859,128900
1998-03-24,40.2500,40.2500,39.0000,39.3800,19.2173,294300
1998-03-25,39.5000,40.6200,39.3800,39.7500,19.3979,191200
1998-03-26,39.8100,39.8100,38.8800,39.1200,19.0905,201600
1998-03-27,39.2500,39.8800,39.2500,39.5000,19.2759,52100
1998-03-30,41.2500,41.2500,40.1900,40.4400,19.7346,197900
1998-03-31,41.1200,42.5000,41.0000,42.4400,20.7106,196500
1998-04-01,42.1900,42.3100,41.6200,41.6200,20.3105,78600
1998-04-02,42.5000,43.1900,42.5000,42.8800,20.9253,105500
1998-04-03,43.0000,44.5000,43.0000,43.8100,21.3792,134000
1998-04-06,44.0600,44.4400,41.5600,41.9400,20.4666,114400
1998-04-07,42.0000,42.3800,41.3100,41.5600,20.2812,49900
1998-04-08,41.5000,42.2500,40.5000,40.6900,19.8566,98700
1998-04-09,40.7500,41.2500,40.4400,40.6900,19.8566,51200
1998-04-13,40.9400,41.0000,40.2500,40.5000,19.7639,45500
1998-04-14,40.4400,41.0000,40.2500,40.9400,19.9786,32000
1998-04-15,40.8800,41.1200,40.3800,40.5000,19.7639,26800
