,open,high,low,close,adj_close,volume
1998-01-02,48.5000,48.6900,47.5000,48.0000,9.5299,351650
1998-01-05,47.9400,48.4400,47.0000,47.1300,9.3572,1353600
1998-01-06,46.2500,46.2500,44.8800,45.1900,8.9720,1215100
1998-01-07,45.0600,45.5000,44.5600,45.5000,9.0336,2101200
1998-01-08,45.0000,45.1300,44.1300,44.5600,8.8469,1493200
1998-01-09,44.8100,44.8100,42.8100,43.2500,8.5869,1259300
1998-01-12,42.8100,43.9400,42.7500,43.5600,8.6484,1120000
1998-01-13,44.5600,45.0600,43.9400,44.6900,8.8728,1055850
1998-01-14,45.0000,45.0000,43.8100,45.0000,8.9343,1165650
1998-01-15,45.1300,45.3100,44.3800,44.5000,8.8350,936350
1998-01-16,45.5000,45.5000,44.8100,44.8800,8.9105,1024200
1998-01-20,45.0000,45.1900,44.4700,45.1300,8.9601,512250
1998-01-21,44.9400,45.1300,44.6300,44.8100,8.8966,766050
1998-01-22,44.7500,44.7500,44.1900,44.2500,8.7854,1070650
1998-01-23,44.2500,44.3800,43.5000,43.7500,8.6861,1246450
1998-01-26,44.5000,45.1300,43.9400,44.1300,8.7616,995900
1998-01-27,44.1300,45.1300,44.1300,44.8100,8.8966,613500
1998-01-28,44.8100,45.0600,44.1300,44.5000,8.8350,1367800
1998-01-29,43.7500,44.9400,43.5000,43.5000,8.7040,1294200
1998-01-30,44.2500,44.2500,43.5000,44.0000,8.8040,1266650
1998-02-02,44.0000,44.9400,43.8800,44.8100,8.9661,1131900
1998-02-03,44.6900,45.1300,44.4400,45.0000,9.0041,727500
1998-02-04,44.7500,45.2500,44.6300,45.1900,9.0421,849600
1998-02-05,45.1300,45.3100,44.3800,44.5600,8.9161,750600
1998-02-06,44.6900,45.1900,44.6300,44.8100,8.9661,761350
1998-02-09,44.9400,44.9400,43.9400,44.0000,8.8040,1035000
1998-02-10,44.6300,45.0000,44.3100,45.0000,9.0041,1320700
1998-02-11,45.2500,46.0600,45.2500,45.7500,9.1542,1113050
1998-02-12,45.6900,46.5000,45.4400,46.1900,9.2422,1020400
1998-02-13,46.0000,47.0600,45.9400,46.9400,9.3923,1125900
1998-02-17,47.1900,47.1900,46.4400,47.0600,9.4163,1012550
1998-02-18,46.9400,47.5000,46.7500,47.2500,9.4543,779550
1998-02-19,47.1300,47.3100,46.5000,47.0000,9.4043,572050
1998-02-20,47.0000,47.3100,46.3100,47.1900,9.4423,463700
1998-02-23,46.9400,46.9400,45.6900,46.1300,9.2302,685400
1998-02-24,45.8800,45.9400,45.5000,45.7500,9.1542,1157100
1998-02-25,45.8800,46.8800,45.5600,46.6300,9.3303,782450
1998-02-26,46.8100,48.1300,46.6900,47.8800,9.5804,850400
1998-02-27,47.6300,49.0600,47.4400,49.0000,9.8045,767900
1998-03-02,48.8800,49.1300,48.5000,48.6300,9.7305,940550
1998-03-03,48.3800,50.0000,48.3800,49.9400,9.9926,747550
1998-03-04,49.6900,50.1300,49.3800,50.0600,10.0166,1642350
1998-03-05,49.9400,50.0000,49.6900,49.8800,9.9806,1246550
1998-03-06,50.0000,50.1900,49.5600,49.5600,9.9166,659800
1998-03-09,49.6300,49.6300,48.4400,48.5000,9.7045,564200
1998-03-10,48.8100,49.7500,48.8100,49.7500,9.9546,789000
1998-03-11,50.0000,50.1300,49.3800,49.7500,9.9546,912850
1998-03-12,49.6300,49.7500,49.0000,49.1300,9.8305,423700
1998-03-13,49.1900,49.3800,48.8100,49.0000,9.8045,480200
1998-03-16,48.9400,49.5000,48.9400,49.4400,9.8925,377100
1998-03-17,49.1900,49.1900,47.3100,48.1900,9.6424,904450
