,open,high,low,close,adj_close,volume
1998-01-02,44.6300,44.7500,43.5000,44.0000,15.8739,1725900
1998-01-05,43.8100,45.0000,43.6300,44.8800,16.1914,1083800
1998-01-06,44.7500,44.8800,43.8800,43.8800,15.8306,1688200
1998-01-07,43.8800,44.3800,42.5000,43.4400,15.6719,1414800
1998-01-08,43.4400,45.2500,43.4400,44.8100,16.1661,3642200
1998-01-09,44.9400,45.0000,42.7500,43.5000,15.6935,2170300
1998-01-12,42.8100,43.8800,42.2500,43.7500,15.7837,2036200
1998-01-13,44.0000,44.0000,43.3800,43.5600,15.7152,1237100
1998-01-14,43.8800,44.1300,43.3100,43.3100,15.6250,2056700
1998-01-15,43.5000,43.5000,42.5000,43.0000,15.5131,635300
1998-01-16,43.6900,44.5000,43.2500,44.5000,16.0543,1179200
1998-01-20,44.3800,45.5000,44.1300,45.5000,16.4151,1208600
1998-01-21,45.1300,45.6300,44.1300,44.5000,16.0543,2889900
1998-01-22,44.1300,44.7500,43.7500,44.6300,16.1012,709000
1998-01-23,44.9400,45.0000,43.1300,43.3800,15.6502,1285200
1998-01-26,43.3800,43.8800,42.0000,42.1300,15.1993,1522200
1998-01-27,42.1900,44.2500,42.0000,43.5600,15.7152,1799600
1998-01-28,43.9400,44.0000,42.5000,43.2500,15.6033,1269100
1998-01-29,43.0000,43.5000,43.0000,43.4400,15.6719,1485200
1998-01-30,43.6300,43.8800,43.2500,43.3800,15.6502,808500
1998-02-02,43.5000,44.6300,43.3800,44.1300,15.9208,993400
1998-02-03,44.1300,45.0000,43.8800,44.6900,16.1228,602100
1998-02-04,44.5600,46.2500,44.2500,45.8800,16.5521,987000
1998-02-05,46.1300,47.1300,44.8800,45.5000,16.4151,2090400
1998-02-06,45.7500,46.7500,45.5000,46.6300,16.8227,1137400
1998-02-09,46.2500,46.3100,44.5000,44.6900,16.1228,1328500
1998-02-10,44.8800,46.1900,44.5600,45.0000,16.2347,1409500
1998-02-11,45.1300,45.9400,44.7500,44.7500,16.1445,1046200
1998-02-12,44.8800,46.1300,44.3800,45.3800,16.3718,1012600
1998-02-13,45.2500,45.9400,44.7500,45.5000,16.4151,463900
1998-02-17,45.7500,46.1900,45.6900,45.7500,16.5052,860600
1998-02-18,45.6300,46.9400,45.5000,46.8100,16.8877,1148400
1998-02-19,46.8800,46.8800,45.5000,45.7500,16.5052,796900
1998-02-20,45.9400,46.7500,44.7500,46.5000,16.7758,1323500
1998-02-23,46.7500,49.2500,46.3800,48.8800,17.6345,2760800
1998-02-24,48.7500,50.2500,48.5000,49.3800,17.8148,2614300
1998-02-25,49.5000,49.9400,48.8100,49.7500,17.9483,2405100
1998-02-26,49.4400,50.7500,48.8100,50.5000,18.2189,1996900
1998-02-27,50.7500,50.7500,48.8800,48.8800,17.6345,2889200
1998-03-02,49.1300,50.0000,48.0000,49.7500,17.9483,1123500
1998-03-03,49.6300,50.0600,49.2500,49.5000,17.8581,743000
1998-03-04,50.1300,51.3100,49.8800,50.8800,18.3560,2679400
1998-03-05,50.0000,51.6300,49.7500,50.8800,18.3560,1593100
1998-03-06,50.9400,52.7500,50.8800,52.6300,18.9873,1880000
1998-03-09,52.5600,54.7500,52.2500,54.3800,19.6187,2385200
1998-03-10,54.7500,55.5600,54.1900,55.3100,19.9542,1676400
1998-03-11,55.8800,56.0000,53.5000,54.8800,19.7991,1841900
1998-03-12,55.6300,55.7500,53.5000,53.8800,19.4383,1897900
1998-03-13,53.8800,55.1300,53.8800,54.8100,19.7738,1659800
