,open,high,low,close,adj_close,volume
2013-06-13,17.5000,17.5200,16.9000,17.3600,15.2450,46263100
2013-06-14,17.4500,17.5500,17.2000,17.5200,15.3855,9049500
2013-06-17,17.6100,17.6500,17.3100,17.3900,15.2713,5489500
2013-06-18,17.3900,17.4200,17.1600,17.3000,15.1923,6717200
2013-06-19,17.2500,17.3500,16.4000,17.1900,15.0957,7128600
2013-06-20,16.8000,16.8500,16.3100,16.7500,14.7093,2785200
2013-06-21,16.7500,17.0700,16.5000,16.9900,14.9200,2542800
2013-06-24,16.8000,16.8200,16.4600,16.6100,14.5863,1206100
2013-06-25,16.7000,16.8800,16.5500,16.7500,14.7093,1074800
2013-06-26,16.8000,17.1400,16.8000,17.0200,14.9464,3420800
2013-06-27,17.0700,17.2400,16.9700,17.2400,15.1396,1773800
2013-06-28,17.2000,17.2300,16.9100,17.1800,15.0869,1904600
2013-07-01,17.1800,17.2500,17.0700,17.1800,15.0869,1188800
2013-07-02,17.1800,17.3500,17.1000,17.2600,15.1571,665300
2013-07-03,17.2000,17.2800,17.1400,17.2500,15.1484,332000
2013-07-05,17.3000,17.3100,17.1900,17.2600,15.1571,573400
2013-07-08,17.3400,17.3400,17.0200,17.2700,15.1659,855900
2013-07-09,17.2500,17.4000,17.2400,17.3800,15.2625,521300
2013-07-10,17.4000,17.4800,17.3000,17.3900,15.2713,524300
2013-07-11,17.4500,17.4900,17.2600,17.4500,15.3240,990200
2013-07-12,17.4000,17.5200,17.3500,17.5000,15.3679,1258600
2013-07-15,17.5000,17.5500,17.1200,17.1800,15.0869,242900
2013-07-16,17.2900,17.3400,17.2000,17.3200,15.2098,507600
2013-07-17,17.1300,17.4000,17.0500,17.3000,15.1923,995700
2013-07-18,17.3500,17.4300,17.1100,17.1500,15.0605,682700
2013-07-19,17.1500,17.2700,17.0500,17.0800,14.9991,599500
2013-07-22,17.0800,17.0800,16.9300,16.9500,14.8849,462000
2013-07-23,17.1500,17.2200,16.8500,17.0600,14.9815,1619500
2013-07-24,17.1800,17.2200,16.9201,17.1300,15.0430,373600
2013-07-25,17.0600,17.4000,16.9700,17.3500,15.2362,743800
2013-07-26,17.3200,17.3400,17.0000,17.1100,15.0254,311800
2013-07-29,17.0500,17.2600,16.9100,17.2200,15.1220,400800
2013-07-30,17.2500,17.2897,17.0100,17.1300,15.0430,531000
2013-07-31,17.1500,17.3000,17.0200,17.1900,15.0957,291100
2013-08-01,17.2700,17.3900,17.1200,17.2700,15.1659,577100
2013-08-02,17.3400,17.3600,17.0700,17.2600,15.1571,344100
2013-08-05,17.2500,17.5400,17.1700,17.4800,15.3503,1976900
2013-08-06,17.4600,17.7400,17.2800,17.5100,15.3767,1702000
2013-08-07,17.5000,17.5000,17.1000,17.2800,15.1747,801000
2013-08-08,17.2800,17.3600,16.6500,16.8100,14.7620,1275600
2013-08-09,16.7700,17.1100,16.7000,16.9400,14.8761,381300
2013-08-12,16.8500,17.0500,16.8500,16.9600,14.8937,276200
2013-08-13,16.9300,17.0700,16.5500,16.5900,14.5688,508200
2013-08-14,16.6200,16.7600,16.3300,16.7600,14.7181,742500
2013-08-15,16.7100,17.0700,16.4500,16.9900,14.9200,611000
2013-08-16,16.9000,17.0000,16.7390,16.8900,14.8322,238800
2013-08-19,16.9200,17.0000,16.8600,16.9900,14.9200,109800
2013-08-20,16.9800,17.0200,16.9000,16.9900,14.9200,226400
2013-08-21,17.0200,17.0800,16.8200,16.8400,14.7883,237700
2013-08-22,16.8800,16.9600,16.7100,16.7800,14.7356,253500
2013-08-23,16.8000,16.8600,16.5000,16.5800,14.5600,228100
2013-08-26,16.5700,16.7000,16.5000,16.5300,14.5161,154200
2013-08-27,16.4300,16.5100,15.7900,15.9100,13.9716,518200
2013-08-28,15.9600,15.9600,15.3100,15.6300,13.7257,651300
2013-08-29,15.6000,16.0100,15.4700,16.0100,14.0594,571100
2013-08-30,15.9700,16.3500,15.8500,16.3000,14.3141,422000
2013-09-03,16.3000,16.3600,16.0600,16.1400,14.1736,268300
2013-09-04,16.1500,16.2250,16.0200,16.2100,14.2351,228400
2013-09-05,16.1500,16.2000,15.9200,16.0100,14.0594,1042900
2013-09-06,15.9800,16.1299,15.7300,15.8000,13.8750,286000
2013-09-09,15.7500,15.8100,15.4300,15.5600,13.6643,491600
2013-09-10,15.6200,15.6500,15.3600,15.4400,13.5589,907300
2013-09-11,15.3900,15.5000,15.2800,15.4300,13.5501,669500
2013-09-12,15.4500,15.4900,15.3500,15.4100,13.5325,691600
2013-09-13,15.4800,15.9200,15.4700,15.8700,13.9365,1190900
2013-09-16,15.9400,16.3400,15.8200,16.2500,14.2702,1171500
2013-09-17,16.2500,16.4767,14.9900,15.6400,13.7345,4292800
2013-09-18,15.2100,15.5900,15.2100,15.5600,13.6643,2002900
2013-09-19,15.5600,15.8100,15.3600,15.7400,13.8223,2296600
2013-09-20,15.6800,15.8500,15.4600,15.8500,13.9189,968600
2013-09-23,15.7500,15.9500,15.5100,15.7300,13.8136,1582200
2013-09-24,15.6400,15.7500,14.4600,15.6400,13.7345,2822600
2013-09-25,15.6500,15.7500,15.3700,15.5100,13.6204,102228
2013-09-26,15.4400,15.8500,15.4400,15.6200,13.7170,144242
2013-09-27,15.5500,15.9900,15.3900,15.9800,14.0331,864700
