,open,high,low,close,adj_close,volume
1998-01-02,54.0000,54.0000,53.0000,53.7500,5.8725,404700
1998-01-05,53.7500,54.0600,53.6200,54.0600,5.9064,806600
1998-01-06,53.8100,54.9400,53.7500,54.5000,5.9545,554800
1998-01-07,54.5000,54.9400,53.7500,54.7500,5.9818,527700
1998-01-08,54.9400,55.0000,53.8800,54.1900,5.9206,448700
1998-01-09,54.0600,54.0600,51.5600,51.8700,5.6671,603600
1998-01-12,51.7500,53.2500,51.7500,52.6900,5.7567,316800
1998-01-13,52.8800,53.1900,52.6900,53.1300,5.8048,213000
1998-01-14,53.2500,53.3100,52.8800,53.2500,5.8179,196800
1998-01-15,53.5000,53.5000,52.6200,52.8800,5.7775,495600
1998-01-16,53.0000,53.2500,52.6900,52.7500,5.7633,535700
1998-01-20,53.0000,53.5000,52.8100,53.3700,5.8310,610600
1998-01-21,53.0000,53.1900,51.2500,51.5600,5.6332,823400
1998-01-22,50.5600,50.7500,49.2500,50.0000,5.4628,746200
1998-01-23,49.8800,50.9400,49.7500,50.3100,5.4967,493400
1998-01-26,50.5600,51.0000,50.5600,50.6900,5.5382,446900
1998-01-27,50.6200,51.5600,50.5600,51.4400,5.6201,585900
1998-01-28,51.2500,52.0000,50.9400,51.9400,5.6748,284300
1998-01-29,51.8100,53.7500,51.8100,52.8800,5.7775,311500
1998-01-30,52.8800,53.4400,52.5600,53.0000,5.7906,447700
1998-02-02,53.5000,53.9400,53.3100,53.9400,5.8933,216100
1998-02-03,54.0000,54.8700,54.0000,54.5000,5.9545,348600
1998-02-04,54.2500,55.8800,54.2500,55.3800,6.0506,376200
1998-02-05,56.0000,56.4400,55.3800,56.0600,6.1249,537600
1998-02-06,56.1300,57.7500,56.0600,57.5600,6.2888,618400
1998-02-09,57.5600,57.6300,56.5000,57.0600,6.2341,461700
1998-02-10,57.1200,57.8100,57.0000,57.4400,6.2757,451200
1998-02-11,57.3800,58.5000,57.3800,58.5000,6.3915,341000
1998-02-12,58.3800,59.9400,57.8700,59.4400,6.4942,383400
1998-02-13,58.3800,59.0000,58.0600,59.0000,6.4461,302900
1998-02-17,58.8800,59.3700,58.8100,59.0000,6.4461,376200
1998-02-18,59.0000,59.8100,58.2500,58.4400,6.3849,545500
1998-02-19,58.3800,58.4400,57.3100,57.8700,6.3226,347200
1998-02-20,57.7500,58.3100,57.6900,58.1200,6.3500,435800
1998-02-23,58.1200,58.4400,57.1200,57.8700,6.3554,229200
1998-02-24,57.7500,57.8700,56.5600,57.0000,6.2599,200700
1998-02-25,56.3700,57.1200,56.1300,56.5000,6.2050,433000
1998-02-26,56.2500,56.5600,55.1200,56.3700,6.1907,396800
1998-02-27,56.3700,56.6900,55.4400,55.9400,6.1435,330100
1998-03-02,56.2500,56.8100,56.1900,56.4400,6.1984,343700
1998-03-03,56.5600,57.1200,56.3700,57.0000,6.2599,635100
1998-03-04,56.7500,57.0000,56.3100,56.6200,6.2181,623900
1998-03-05,56.4400,56.7500,55.1900,55.5000,6.0951,747400
1998-03-06,55.7500,56.3100,55.7500,56.0000,6.1501,870500
1998-03-09,55.7500,56.5000,55.6900,56.1900,6.1709,934100
1998-03-10,56.4400,56.5600,56.2500,56.5000,6.2050,370200
1998-03-11,56.3700,57.0000,56.1300,56.4400,6.1984,655400
1998-03-12,56.4400,56.5000,56.0000,56.1900,6.1709,275200
1998-03-13,56.2500,56.6900,56.1300,56.6900,6.2258,604000
1998-03-16,56.8100,57.3800,56.7500,57.1200,6.2731,390200
1998-03-17,57.3800,58.0000,57.3800,57.8700,6.3554,361600
1998-03-18,57.8100,58.1200,57.6900,57.6900,6.3357,344000
