,open,high,low,close,adj_close,volume
1998-01-02,39.0000,41.0000,39.0000,40.0000,20.7466,188000
1998-01-05,40.5000,42.5000,40.0000,42.3100,21.9447,199467
1998-01-06,42.5000,42.5000,40.8800,40.8800,21.2030,90400
1998-01-07,41.2500,42.2500,40.8800,41.5000,21.5246,321800
1998-01-08,41.5000,43.8800,41.5000,43.6900,22.6604,537800
1998-01-09,43.2500,44.5000,42.6300,42.6300,22.1107,201667
1998-01-12,42.2500,42.2500,40.5000,41.3800,21.4623,254267
1998-01-13,41.7500,42.0000,41.0000,41.5600,21.5557,158467
1998-01-14,42.0000,42.0000,39.2500,41.0000,21.2652,242800
1998-01-15,41.3800,41.5000,40.0000,40.2500,20.8762,101400
1998-01-16,40.3800,41.7500,40.2500,41.7500,21.6542,428867
1998-01-20,42.0000,44.1300,40.8800,43.0000,22.3026,213600
1998-01-21,42.5000,43.0000,41.5000,42.5000,22.0432,186400
1998-01-22,42.2500,44.0000,41.5000,42.7500,22.1729,189667
1998-01-23,43.0000,43.0000,41.5000,42.5000,22.0432,107800
1998-01-26,41.5000,42.5000,41.5000,42.0600,21.8150,137000
1998-01-27,42.1300,42.6300,41.5000,42.5000,22.0432,120067
1998-01-28,42.6300,43.2500,41.0000,43.2500,22.4322,140000
1998-01-29,43.2500,43.5000,42.1300,42.7500,22.1729,437267
1998-01-30,43.6300,43.7500,41.7500,41.7500,21.6542,90467
1998-02-02,42.6300,43.2500,41.7500,43.0600,22.3337,161267
1998-02-03,43.2500,43.2500,42.0000,42.1300,21.8513,75267
1998-02-04,42.0000,42.5000,41.0000,42.0000,21.8773,100667
1998-02-05,41.8800,41.8800,40.0000,40.0000,20.8355,131267
1998-02-06,40.7500,42.1300,39.8800,42.1300,21.9450,101667
1998-02-09,41.0000,43.0000,41.0000,41.2500,21.4866,86867
1998-02-10,42.8800,43.5000,41.2500,43.1300,22.4659,334400
1998-02-11,43.2500,44.0000,42.5000,43.5000,22.6586,191200
1998-02-12,41.8800,43.6300,41.8800,43.6300,22.7263,201467
1998-02-13,44.0000,44.0000,43.3800,43.7500,22.7888,129467
1998-02-17,43.0000,44.5000,43.0000,44.2500,23.0493,143600
1998-02-18,44.5000,45.0000,43.8800,45.0000,23.4399,80200
1998-02-19,44.5000,45.7500,44.2500,45.4400,23.6691,274400
1998-02-20,45.7500,46.0000,44.7500,46.0000,23.9608,223667
1998-02-23,46.0000,46.0000,44.8800,45.5000,23.7004,173467
1998-02-24,45.7500,45.7500,44.0000,44.0000,22.9190,169200
1998-02-25,45.0000,45.0000,43.0000,44.0000,22.9190,151000
1998-02-26,44.5000,45.0000,43.1300,44.3800,23.1170,81400
1998-02-27,43.9400,44.6300,42.5000,42.5000,22.1377,110000
1998-03-02,44.0000,44.6300,42.7500,43.2500,22.5284,120600
1998-03-03,43.1300,45.0000,43.1300,45.0000,23.4399,121267
1998-03-04,45.0000,45.8800,43.5000,45.6300,23.7681,82400
1998-03-05,45.2500,48.0600,44.0000,46.5000,24.2212,252867
1998-03-06,47.5000,49.0000,46.8800,49.0000,25.5235,169800
1998-03-09,48.8800,49.2500,47.1900,47.1900,24.5807,336667
1998-03-10,47.0000,48.5000,46.8800,48.1300,25.0703,418267
1998-03-11,48.7500,49.8800,47.5000,49.5000,25.7839,188600
1998-03-12,50.0000,50.7500,49.3800,50.3800,26.2423,297067
1998-03-13,50.0000,50.7500,49.6300,50.3800,26.2423,164400
1998-03-16,50.6300,51.5000,49.5000,51.2500,26.6955,124800
1998-03-17,51.5000,52.1300,49.0000,49.0000,25.5235,225267
1998-03-18,49.2500,51.3800,48.0000,51.1300,26.6330,209400
1998-03-19,50.2500,51.7500,50.2500,51.6300,26.8934,136400
1998-03-20,52.6900,52.7500,51.2500,51.5300,26.8413,173000
1998-03-23,50.9400,52.0000,50.5000,51.5000,26.8257,95667
1998-03-24,51.0000,51.7500,50.5000,51.6300,26.8934,141200
1998-03-25,50.7500,52.8800,50.7500,52.6300,27.4143,99067
1998-03-26,52.7500,52.7500,51.2500,52.0000,27.0861,140867
1998-03-27,52.5000,52.5000,50.0000,50.2500,26.1746,155200
1998-03-30,50.9400,51.0000,50.0000,50.3800,26.2423,70600
1998-03-31,50.0000,52.1900,50.0000,51.7500,26.9559,146867
1998-04-01,51.8800,51.8800,50.5000,50.7500,26.4350,123800
1998-04-02,51.7500,51.7500,49.5000,49.6300,25.8516,150267
1998-04-03,50.2500,51.3800,49.2500,50.0000,26.0444,168667
1998-04-06,50.1300,50.7500,48.7500,49.0000,25.5235,46667
1998-04-07,48.5000,50.8800,48.5000,48.6900,25.3620,124667
1998-04-08,49.7500,49.7500,47.5000,48.2500,25.1328,85467
1998-04-09,48.7500,49.6300,47.7500,49.6300,25.8516,107867
1998-04-13,49.6300,50.5000,48.7500,48.8800,25.4610,87600
1998-04-14,50.0000,50.0000,47.7500,48.6300,25.3307,130667
1998-04-15,48.0000,49.0000,47.7500,48.0000,25.0026,82267
1998-04-16,47.6300,48.0000,46.6300,46.8800,24.4192,174867
1998-04-17,46.8800,49.0000,46.7500,49.0000,25.5235,118400
1998-04-20,49.2500,50.0600,48.2500,50.0600,26.0756,61067
1998-04-21,49.5000,50.0000,48.5000,49.5000,25.7839,138267
1998-04-22,49.1300,49.6300,48.9400,49.1300,25.5912,131200
1998-04-23,49.1300,49.8800,49.1300,49.5000,25.7839,133200
1998-04-24,49.2500,49.8800,48.8800,48.8800,25.4610,184667
1998-04-27,48.8800,49.2500,48.0000,48.1300,25.0703,142267
1998-04-28,49.5000,49.5000,46.6300,47.1300,24.5494,254600
1998-04-29,47.6300,47.6300,47.1300,47.4400,24.7109,139800
1998-04-30,48.0000,48.3800,47.0000,47.6300,24.8098,238867
1998-05-01,48.0000,48.0000,46.7500,46.7500,24.3515,84200
1998-05-04,46.6300,47.7500,46.2500,46.5000,24.2212,157000
1998-05-05,46.2500,46.8800,45.3800,46.5000,24.2212,71200
1998-05-06,46.7500,47.0000,43.2500,45.6300,23.7681,917600
1998-05-07,46.0000,46.0000,45.2500,45.5000,23.7004,732267
1998-05-08,46.0000,47.6300,45.5000,47.1300,24.5494,270267
1998-05-11,47.5000,47.7500,45.5000,45.8800,23.8983,363800
1998-05-12,46.1300,47.2500,45.7500,47.0000,24.4817,124200
1998-05-13,46.8800,47.1300,46.0000,47.0000,24.4817,148667
1998-05-14,47.2500,47.6300,46.5000,47.5000,24.7421,97667
1998-05-15,47.7500,48.8800,47.5000,48.2500,25.1328,139800
1998-05-18,47.5000,49.1300,47.5000,48.5000,25.2630,162667
1998-05-19,49.5000,50.2500,48.5000,50.2500,26.1746,236467
1998-05-20,50.5000,50.5000,49.5000,49.6200,25.8464,247467
1998-05-21,50.2500,50.2500,49.3100,49.5300,25.7995,158667
1998-05-22,49.2500,49.7500,48.0000,48.0000,25.0026,220000
1998-05-26,48.0000,48.8100,47.6900,48.0600,25.0338,180600
1998-05-27,46.2500,47.7500,46.1300,46.3800,24.1587,298200
1998-05-28,46.7500,47.0000,46.0600,46.2500,24.0910,160800
1998-05-29,46.0600,46.3800,45.6300,45.6900,23.7993,185067
1998-06-01,45.6300,46.1300,45.5000,45.8800,23.8983,149200
1998-06-02,45.5000,46.6300,45.3800,46.6300,24.2890,152600
1998-06-03,46.6300,47.3800,46.2500,46.6300,24.2890,102267
1998-06-04,46.7500,48.2500,46.6300,48.0000,25.0026,153800
1998-06-05,48.5000,49.5000,47.6300,49.4400,25.7527,143800
1998-06-08,48.7500,50.7500,48.7500,49.0000,25.5235,359067
1998-06-09,49.0000,50.2500,49.0000,50.0600,26.0756,134000
1998-06-10,50.0000,50.2500,49.0600,49.3400,25.7006,237200
1998-06-11,49.8800,50.0000,47.0000,48.1900,25.1015,246867
1998-06-12,48.1900,48.1900,47.0000,47.7500,24.8724,115867
1998-06-15,47.0000,47.7500,46.7500,47.1300,24.5494,195267
1998-06-16,47.5000,49.0000,46.7500,49.0000,25.5235,93600
1998-06-17,48.6300,50.2500,48.6300,49.9400,26.0131,199200
1998-06-18,50.1300,50.1300,48.9400,49.6300,25.8516,67600
1998-06-19,51.0000,51.1300,49.0000,49.0000,25.5235,204067
1998-06-22,49.7500,50.1900,48.7500,50.1900,26.1433,45400
1998-06-23,49.5000,51.5000,49.5000,51.5000,26.8257,109800
1998-06-24,50.6300,51.5600,49.0000,50.5000,26.3048,134867
1998-06-25,50.5000,51.2500,50.0000,51.1300,26.6330,119667
1998-06-26,51.3800,51.5600,50.7500,51.4700,26.8101,82867
1998-06-29,52.0000,52.0000,50.6300,51.0900,26.6121,116200
1998-06-30,51.1300,51.2500,50.3800,51.0000,26.5652,80067
1998-07-01,51.1300,52.3800,50.5000,51.2500,26.6955,159000
1998-07-02,51.5000,51.5000,50.0600,50.0600,26.0756,63267
1998-07-06,51.2500,53.6300,49.7500,53.5000,27.8675,269800
1998-07-07,52.7500,53.7500,50.5000,51.3800,26.7632,134067
1998-07-08,51.7500,52.0000,50.8800,51.6300,26.8934,155867
1998-07-09,52.0000,54.8800,51.5000,54.2500,28.2581,367400
1998-07-10,54.2500,54.5000,52.6300,52.6300,27.4143,175467
1998-07-13,53.7500,53.7500,51.7500,51.9400,27.0549,128400
1998-07-14,50.7500,51.2500,49.0000,50.2500,26.1746,221267
1998-07-15,50.1300,51.8800,50.0000,51.8800,27.0236,226800
1998-07-16,51.6300,52.8800,51.2500,52.7500,27.4768,147800
1998-07-17,52.8800,53.6300,51.6300,53.5600,27.8987,243200
1998-07-20,52.8800,53.8800,52.8800,53.0000,27.6070,190000
1998-07-21,53.0000,53.8800,51.1300,51.5000,26.8257,144200
1998-07-22,51.0000,52.5000,50.5000,50.5600,26.3360,66867
1998-07-23,51.0600,51.0600,49.5000,49.5000,25.7839,135200
1998-07-24,49.7500,50.8800,49.5000,50.8800,26.5027,55267
1998-07-27,49.7500,52.0000,49.7500,52.0000,27.0861,90200
1998-07-28,50.7500,52.4400,50.3800,50.3800,26.2423,149800
1998-07-29,50.8800,51.0000,50.2500,50.6300,26.3725,151600
1998-07-30,50.6300,52.6300,50.6300,52.5000,27.3466,92867
1998-07-31,51.2500,52.5000,50.6300,50.8100,26.4663,131667
1998-08-03,52.0000,52.7500,51.0000,52.1900,27.1851,245200
1998-08-04,52.0000,52.5000,49.7500,49.7500,25.9141,120467
1998-08-05,50.0000,50.0000,46.0000,46.0000,23.9608,158400
1998-08-06,47.0000,50.0000,45.5000,50.0000,26.0444,245267
1998-08-07,50.0000,51.2500,49.6300,50.5000,26.3048,242267
1998-08-10,49.7500,50.7500,48.1900,49.5000,25.7839,97400
1998-08-11,48.0000,48.8800,47.7500,47.8100,24.9036,109867
1998-08-12,48.0000,52.2500,47.7500,51.6300,26.8934,222267
1998-08-13,51.4400,51.5600,49.5000,50.0000,26.0444,209600
1998-08-14,50.0000,52.0000,49.7500,51.2500,26.6955,168200
1998-08-17,50.7500,52.1300,50.0600,50.2500,26.1746,365400
1998-08-18,50.0000,50.6300,49.2500,50.5000,26.3048,337467
1998-08-19,50.6300,50.6300,49.7500,50.1300,26.1121,476600
1998-08-20,50.6300,50.8100,48.0000,48.7500,25.3932,192600
1998-08-21,48.5000,48.5000,46.7500,46.9400,24.4504,331000
1998-08-24,48.0000,49.7500,47.3100,49.4400,25.7527,201000
1998-08-25,49.1300,50.2500,48.5600,50.2500,26.1746,104467
1998-08-26,48.3800,50.2500,48.3800,49.0000,25.5235,109400
1998-08-27,47.1300,48.6900,44.7500,48.1300,25.0703,393667
1998-08-28,48.1300,48.5000,46.6900,47.6900,24.8411,271800
1998-08-31,48.2500,48.5000,39.8800,40.7500,21.2261,361667
1998-09-01,43.0000,49.0000,42.5000,49.0000,25.5235,709867
1998-09-02,48.7500,49.0000,47.9400,48.5000,25.2630,188800
1998-09-03,46.8800,48.2500,46.4400,47.0000,24.4817,352267
1998-09-04,46.8800,48.2500,46.8800,48.2500,25.1328,112867
1998-09-08,48.3800,50.7500,47.6300,50.7500,26.4350,609400
1998-09-09,50.5000,50.8800,50.2500,50.3800,26.2423,261800
1998-09-10,50.2500,50.7500,48.0000,49.3800,25.7214,387200
1998-09-11,48.3800,50.8800,48.3800,50.5600,26.3360,342000
1998-09-14,50.5000,51.8800,50.4400,51.1300,26.6330,151267
1998-09-15,50.3800,51.2500,49.8800,50.7500,26.4350,264600
1998-09-16,51.3800,51.7500,50.2500,50.8800,26.5027,181800
1998-09-17,49.8800,50.2500,48.7500,49.2500,25.6537,255600
1998-09-18,49.3800,50.5000,49.2500,50.0600,26.0756,239400
1998-09-21,49.5000,50.1300,49.0000,50.0600,26.0756,121667
1998-09-22,49.7500,51.0000,49.5000,49.6300,25.8516,251400
1998-09-23,50.0000,50.3800,49.0600,49.6300,25.8516,582200
1998-09-24,49.0000,49.5000,48.0000,49.4400,25.7527,232667
1998-09-25,49.0000,50.2500,48.3800,50.1300,26.1121,256800
1998-09-28,50.5600,51.5000,49.4400,51.2500,26.6955,180000
1998-09-29,49.8800,51.2500,49.1300,49.8800,25.9818,434200
1998-09-30,49.8800,50.1300,49.5000,50.1300,26.1121,206600
1998-10-01,50.1300,50.1300,47.0600,47.6300,24.8098,247800
1998-10-02,48.2500,48.8800,47.5000,48.3800,25.2005,129800
1998-10-05,48.3800,48.3800,45.0000,46.0600,23.9921,268067
1998-10-06,46.6900,47.8800,46.1300,47.1300,24.5494,341800
1998-10-07,47.3800,47.3800,45.8800,46.2500,24.0910,400800
1998-10-08,45.3800,45.8800,43.0000,44.0000,22.9190,580867
1998-10-09,45.5000,48.3800,44.5000,48.3800,25.2005,485400
