,open,high,low,close,adj_close,volume
1998-01-02,49.8100,49.9400,49.0600,49.3800,8.3794,119778
1998-01-05,49.5600,50.5600,49.5000,50.3100,8.5372,348578
1998-01-06,50.7500,52.3100,50.7500,52.3100,8.8766,314578
1998-01-07,51.8100,52.3100,51.1300,51.2500,8.6967,240978
1998-01-08,51.3800,51.6900,50.6900,50.8100,8.6220,152667
1998-01-09,50.8800,50.8800,49.6900,49.7500,8.4422,166800
1998-01-12,49.0000,49.8800,48.5000,48.9400,8.3047,217600
1998-01-13,49.1300,50.1300,49.0600,49.9400,8.4744,177867
1998-01-14,50.0000,50.7500,50.0000,50.7500,8.6119,165200
1998-01-15,50.6300,51.1300,50.3800,50.7500,8.6119,231200
1998-01-16,50.7500,51.7500,50.6900,51.5000,8.7391,84400
1998-01-20,51.5000,51.8800,51.3100,51.6300,8.7612,147200
1998-01-21,51.5600,51.5600,51.2500,51.4400,8.7289,142667
1998-01-22,51.6300,52.1900,51.3100,51.5000,8.7391,247200
1998-01-23,51.5000,51.8800,51.1900,51.5600,8.7493,124667
1998-01-26,51.5600,52.4400,51.5600,52.0000,8.8240,117244
1998-01-27,52.0600,53.4400,52.0000,52.5600,8.9190,163200
1998-01-28,52.5000,52.6300,52.0000,52.0000,8.8240,78844
1998-01-29,52.0000,53.1300,51.6900,51.8100,8.7917,334267
1998-01-30,51.9400,53.2500,51.9400,52.7500,8.9512,252578
1998-02-02,52.9400,54.0000,52.9400,53.6900,9.1107,216444
1998-02-03,53.7500,54.8100,53.5000,54.8100,9.3008,344000
1998-02-04,54.8800,57.3100,54.8800,57.0000,9.6724,386578
1998-02-05,57.2500,57.7500,56.0000,56.2500,9.5452,294267
1998-02-06,56.3800,57.1900,56.3800,56.8100,9.6402,292044
1998-02-09,56.7500,57.0600,55.8800,56.1300,9.5248,258178
1998-02-10,56.4400,56.6900,56.0600,56.1300,9.5248,244578
1998-02-11,56.1900,56.5000,55.7500,55.8100,9.4705,134444
1998-02-12,55.8800,56.1300,55.5000,56.0000,9.5027,168667
1998-02-13,56.0000,57.5000,55.9400,56.8800,9.6521,319244
1998-02-17,57.3800,58.1900,57.2500,57.7500,9.7997,178178
1998-02-18,57.7500,59.7500,57.7500,59.5000,10.0967,283600
1998-02-19,59.7500,59.7500,58.0600,58.3800,9.9066,529867
1998-02-20,58.1900,58.2500,57.5600,58.1900,9.8744,227644
1998-02-23,58.4400,59.1300,58.4400,58.7500,9.9694,182667
1998-02-24,59.0000,59.1300,58.5600,58.6300,9.9490,158844
1998-02-25,58.8100,59.8100,58.8100,59.3100,10.0644,163600
1998-02-26,59.5600,60.8800,59.5000,60.8800,10.3308,174578
1998-02-27,60.7500,61.6300,60.6900,61.0000,10.3512,149644
1998-03-02,59.0600,60.7500,59.0000,60.4400,10.2562,448178
1998-03-03,60.1900,60.5000,59.8800,59.9400,10.1713,352978
1998-03-04,59.6900,59.6900,58.1300,58.5000,9.9270,322267
1998-03-05,57.6300,57.8100,57.2500,57.7500,9.8162,260044
1998-03-06,57.5600,59.0000,57.5000,58.7500,9.9861,248978
1998-03-09,59.0000,59.6300,58.5000,59.0000,10.0286,243244
1998-03-10,59.2500,59.2500,58.5600,58.9400,10.0184,140844
1998-03-11,58.8800,59.9400,58.6900,58.9400,10.0184,178044
1998-03-12,59.0600,60.3800,59.0000,60.3800,10.2632,186844
1998-03-13,60.1300,61.5000,60.1300,61.0000,10.3686,235600
1998-03-16,61.0000,61.3100,60.5000,60.6900,10.3159,165200
1998-03-17,60.4400,60.8100,60.1300,60.6300,10.3057,117600
1998-03-18,60.7500,61.0000,60.6300,60.7500,10.3261,134267
1998-03-19,60.6900,60.9400,59.1900,59.2500,10.0711,192578
1998-03-20,59.6300,61.0000,59.4400,59.5000,10.1136,346267
1998-03-23,59.5000,59.7500,59.3100,59.5600,10.1238,153467
1998-03-24,59.5000,59.9400,59.3800,59.6300,10.1357,138044
1998-03-25,59.7500,59.8800,59.0000,59.3800,10.0932,232578
1998-03-26,59.1300,60.3800,59.1300,60.1300,10.2207,135067
1998-03-27,60.3800,60.8800,59.3800,59.7500,10.1561,150844
1998-03-30,59.6300,60.0000,59.3800,59.8100,10.1663,125867
1998-03-31,59.7500,61.3100,59.5000,61.1300,10.3907,420267
1998-04-01,40.7500,41.5600,40.6300,41.0600,10.4689,209778
1998-04-02,40.9400,42.1300,40.9400,42.0000,10.7085,365800
1998-04-03,42.0000,43.5000,42.0000,42.7500,10.8998,337000
1998-04-06,42.6300,44.3800,41.5600,42.0600,10.7238,303067
1998-04-07,42.0600,42.0600,41.1300,41.6900,10.6295,230400
1998-04-08,41.4400,41.6900,41.1900,41.6300,10.6142,232067
1998-04-09,42.0000,42.7500,41.4400,42.4400,10.8207,434200
1998-04-13,42.6900,43.3100,42.0600,43.3100,11.0425,375200
1998-04-14,43.1300,45.0000,42.8800,44.4400,11.3306,504000
1998-04-15,44.5000,44.6300,43.6900,44.1300,11.2516,211800
1998-04-16,44.0600,44.8800,43.6300,43.9400,11.2032,398467
1998-04-17,43.7500,44.5000,43.3800,44.1900,11.2669,136400
1998-04-20,45.0000,45.5000,44.6900,45.0000,11.4734,261467
