,open,high,low,close,adj_close,volume
1998-06-19,10.0000,10.5000,9.5000,10.0000,0.2042,1280300
1998-06-22,9.9380,10.1300,9.8750,10.0000,0.2042,145400
1998-06-23,9.9690,10.1300,9.6250,10.0000,0.2042,200800
1998-06-24,10.0000,10.2500,9.8750,10.2500,0.2093,36100
1998-06-25,10.5000,11.7500,10.4400,11.2500,0.2298,383700
1998-06-26,11.3800,12.7500,11.1900,12.1300,0.2477,213900
1998-06-29,12.1300,12.8800,12.1300,12.4400,0.2541,95600
1998-06-30,12.6900,12.6900,11.8800,12.0600,0.2463,98900
1998-07-01,12.0000,12.1300,11.8800,11.8800,0.2426,341700
1998-07-02,12.0000,12.1300,11.8800,12.0000,0.2451,69900
1998-07-06,12.1300,12.1300,11.8800,12.1300,0.2477,46000
1998-07-07,12.1300,12.1300,11.8800,12.0600,0.2463,76100
1998-07-08,12.1300,12.1300,11.8800,12.1300,0.2477,26800
1998-07-09,12.0600,15.6300,12.0000,14.1300,0.2886,307700
1998-07-10,14.1300,14.5000,14.1300,14.3800,0.2937,26900
1998-07-13,14.6900,14.7500,13.8100,13.8100,0.2820,104700
1998-07-14,14.0000,15.2500,13.7500,15.1300,0.3090,113700
1998-07-15,15.5000,17.7500,15.3800,16.0000,0.3268,167000
1998-07-16,15.9400,16.2500,15.0000,15.6300,0.3192,98200
1998-07-17,15.7500,16.1300,15.5000,16.1300,0.3294,20300
1998-07-20,16.1300,17.5600,16.0000,16.8800,0.3447,111400
1998-07-21,17.7500,18.5000,17.5000,17.8800,0.3652,222600
1998-07-22,18.2500,18.3800,15.5000,17.3800,0.3550,96700
1998-07-23,17.3800,17.8800,15.7500,16.8800,0.3447,44100
1998-07-24,16.8800,16.8800,15.5000,16.1300,0.3294,39200
1998-07-27,16.0000,16.2500,15.3800,16.1300,0.3294,973900
1998-07-28,16.1300,16.1300,14.8800,15.3800,0.3141,63600
1998-07-29,15.7500,16.0000,15.0000,16.0000,0.3268,52800
1998-07-30,15.8800,16.3800,15.3800,16.3800,0.3345,62800
1998-07-31,16.5000,16.5000,15.6300,16.0000,0.3268,19200
1998-08-03,15.7500,16.1300,15.6300,15.8800,0.3243,84000
1998-08-04,15.9400,16.3100,15.6300,15.9400,0.3255,75700
1998-08-05,16.0000,17.7500,15.8800,16.5600,0.3382,179000
1998-08-06,16.1900,16.3800,16.0000,16.0600,0.3280,4400
1998-08-07,16.8100,17.5000,16.6900,17.0000,0.3472,68800
1998-08-10,18.1300,18.1300,16.8800,17.0600,0.3484,45500
1998-08-11,17.3800,17.3800,15.5000,16.8800,0.3447,47200
