,open,high,low,close,adj_close,volume
1998-01-02,76.0000,77.3800,73.7500,74.8800,7.8311,484800
1998-01-05,76.0000,76.0000,70.0000,70.8800,7.4128,872000
1998-01-06,71.1900,74.7500,69.7500,74.3800,7.7788,940267
1998-01-07,72.2500,75.5000,70.1300,72.0000,7.5299,538467
1998-01-08,71.7500,73.7500,70.2500,71.0000,7.4253,372267
1998-01-09,70.5000,71.0000,65.3800,67.0600,7.0133,1046400
1998-01-12,63.1300,69.5000,63.0000,69.2500,7.2423,1327867
1998-01-13,72.0000,72.5000,68.2500,71.8800,7.5173,806267
1998-01-14,73.6300,74.2500,71.5000,73.5000,7.6868,916867
1998-01-15,73.7500,75.2500,72.2500,74.2500,7.7652,663600
1998-01-16,74.7500,74.9400,72.7500,73.5000,7.6868,831000
1998-01-20,75.3800,78.3800,74.7500,77.7500,8.1312,1196000
1998-01-21,76.0000,77.0000,71.7500,75.0000,7.8436,3245600
1998-01-22,73.5000,74.8800,70.6300,71.2500,7.4515,1772667
1998-01-23,72.5000,72.8800,66.7500,67.3800,7.0467,1664267
1998-01-26,69.0000,69.5000,63.5000,65.0600,6.8041,1596200
1998-01-27,65.7500,68.9400,64.5000,67.0600,7.0133,1276267
1998-01-28,68.6300,70.3800,68.2500,69.5000,7.2684,913800
1998-01-29,69.7500,71.7500,66.8800,68.0000,7.1116,1091000
1998-01-30,67.5000,69.1300,66.3800,68.7500,7.1900,713267
1998-02-02,71.0000,72.0000,69.0000,69.8800,7.3082,870467
1998-02-03,70.5000,74.0600,69.7500,72.7500,7.6083,1637867
1998-02-04,72.7500,75.0000,71.3800,73.0600,7.6408,927467
1998-02-05,73.5000,75.2500,71.5600,72.1600,7.5466,1339067
1998-02-06,72.1300,72.6300,69.7500,71.8800,7.5173,1440867
1998-02-09,72.1300,72.2500,69.5000,71.1600,7.4420,598200
1998-02-10,71.2500,72.1300,70.3800,71.0000,7.4253,372867
1998-02-11,70.7500,72.8800,70.7500,71.7500,7.5038,379200
1998-02-12,71.5000,71.5000,68.5000,68.8100,7.1963,776200
1998-02-13,69.2500,69.7500,67.5000,68.8100,7.1963,623000
1998-02-17,69.0600,69.3800,63.0000,65.5600,6.8564,2663000
1998-02-18,65.6900,68.0000,64.7500,66.5000,6.9547,1148267
1998-02-19,67.1900,68.2500,64.2500,65.0900,6.8072,929867
1998-02-20,65.5000,65.7500,63.3800,64.9400,6.7915,1027800
1998-02-23,45.1300,45.3800,42.6300,42.6600,6.6922,652333
1998-02-24,43.2500,43.2500,39.8800,41.0000,6.4318,2240400
1998-02-25,42.5000,43.6900,41.8800,43.6900,6.8538,2861700
1998-02-26,44.0000,45.0000,42.2500,42.7500,6.7063,1633800
1998-02-27,42.6300,44.3800,41.2500,42.0600,6.5981,1208400
1998-03-02,43.1300,43.2500,39.1300,39.3100,6.1667,2102900
1998-03-03,37.5000,38.2500,36.3800,37.5000,5.8827,3255100
1998-03-04,39.3800,40.7500,38.5000,40.0000,6.2749,1955700
1998-03-05,38.7500,40.8800,37.8800,39.3800,6.1777,1619000
1998-03-06,40.8800,41.0000,38.5000,39.8800,6.2561,1082200
1998-03-09,39.7500,41.5000,39.0000,40.8800,6.4130,1245200
1998-03-10,42.0000,43.0000,39.7500,40.6300,6.3737,951800
1998-03-11,41.2500,44.8800,40.1300,44.7500,7.0201,3508200
1998-03-12,46.1200,47.7500,45.5000,46.5000,7.2946,3610600
1998-03-13,47.5000,47.5000,45.0000,46.2500,7.2554,1326800
1998-03-16,46.5000,47.1300,45.5000,46.3800,7.2758,836100
1998-03-17,46.8100,47.1300,45.6300,45.7200,7.1722,682300
1998-03-18,45.5600,48.3800,45.1300,47.7800,7.4954,1884200
1998-03-19,48.2500,50.7500,47.8800,49.5000,7.7652,2153300
1998-03-20,50.0000,50.0000,48.0000,48.0600,7.5393,907500
1998-03-23,48.3100,50.2500,48.1900,49.0000,7.6868,858600
