,open,high,low,close,adj_close,volume
1998-01-02,64.7500,64.8800,63.3100,63.6900,12.5037,285200
1998-01-05,63.2500,65.6300,62.8100,65.6300,12.8846,503900
1998-01-06,64.5000,64.9400,62.5600,62.9400,12.3565,548500
1998-01-07,63.2500,63.6900,61.8100,63.2500,12.4174,464800
1998-01-08,63.2500,63.2500,61.3800,62.3100,12.2328,637500
1998-01-09,62.0600,62.9400,61.0000,62.1900,12.2093,830900
1998-01-12,61.0000,63.0000,60.8800,63.0000,12.3683,298700
1998-01-13,62.8800,63.0600,61.6300,63.0000,12.3683,251100
1998-01-14,63.0000,65.2500,63.0000,65.0000,12.7609,454500
1998-01-15,65.0600,65.1900,64.3800,64.5000,12.6628,318300
1998-01-16,65.0000,65.6900,64.5000,65.6300,12.8846,307700
1998-01-20,67.0000,67.2500,65.6900,67.2500,13.2027,409000
1998-01-21,67.0000,67.0600,65.2500,65.6900,12.9180,305500
1998-01-22,65.0600,66.5600,65.0600,65.3100,12.8433,332700
1998-01-23,65.5000,66.0000,64.3800,64.6300,12.7095,335200
1998-01-26,64.7500,65.3100,64.0000,64.3800,12.6604,353600
1998-01-27,64.5000,66.0000,64.5000,64.8800,12.7587,288700
1998-01-28,64.6300,66.6300,64.5600,66.1900,13.0163,315600
1998-01-29,66.1900,66.5000,65.6900,65.8100,12.9416,457800
1998-01-30,65.7500,65.7500,64.9400,65.5600,12.8924,281900
1998-02-02,66.5600,67.5600,66.3800,67.5600,13.2857,418000
1998-02-03,67.7500,68.3100,67.6900,68.0600,13.3840,357000
1998-02-04,67.5600,68.5600,67.1900,68.5600,13.4824,267800
1998-02-05,68.8100,69.5000,68.4400,68.6900,13.5079,453900
1998-02-06,69.9400,71.0000,69.6900,70.5600,13.8757,364200
1998-02-09,69.6300,71.5000,69.0600,70.0600,13.7773,1023800
1998-02-10,70.3100,71.1300,70.3100,70.4400,13.8521,623300
1998-02-11,70.4400,73.3400,70.4400,73.0600,14.3673,909900
1998-02-12,72.6300,75.0000,72.5600,74.4400,14.6387,556300
1998-02-13,73.7500,74.0000,72.5000,73.0600,14.3673,370500
1998-02-17,73.7500,74.1300,73.5600,74.0000,14.5522,435100
1998-02-18,73.7500,74.1900,73.6300,74.1900,14.5895,411300
1998-02-19,74.1900,74.1900,71.9400,72.3800,14.2336,378000
1998-02-20,72.6300,74.5600,72.4400,74.5600,14.6623,578500
1998-02-23,74.8800,74.8800,74.0000,74.3800,14.6269,403100
1998-02-24,74.4400,74.4400,73.6300,73.8100,14.5148,269700
1998-02-25,73.8100,74.1900,73.5000,73.8100,14.5148,410200
1998-02-26,73.7500,73.8100,72.8800,73.7500,14.5030,336100
1998-02-27,73.5000,74.1800,72.6300,74.0600,14.5639,484200
1998-03-02,73.9400,73.9400,73.3100,73.5600,14.4656,238300
1998-03-03,73.3800,73.4400,73.0000,73.2500,14.4047,347200
1998-03-04,73.0000,73.4400,72.7500,72.8800,14.3319,283100
1998-03-05,72.7500,74.1300,72.6300,73.8100,14.5148,512100
1998-03-06,73.7500,74.7500,73.7500,74.3100,14.6131,576300
1998-03-09,74.3100,76.7500,74.3100,76.7500,15.0929,662900
1998-03-10,77.7500,77.8100,75.5900,75.7500,14.8963,750000
1998-03-11,75.7500,76.0000,74.5000,74.8800,14.7252,445400
1998-03-12,74.8100,75.0000,74.2500,74.3800,14.6269,379800
1998-03-13,74.6900,74.7500,73.6900,73.8800,14.5286,461100
1998-03-16,73.9400,73.9400,72.8800,73.2500,14.4047,556700
1998-03-17,73.2500,73.5000,72.3100,72.8800,14.3319,514400
1998-03-18,72.9400,73.0000,72.0000,72.4400,14.2454,276200
1998-03-19,72.2500,73.0000,71.7500,72.4400,14.2454,235100
1998-03-20,72.8800,72.8800,71.0600,71.5000,14.0605,426800
1998-03-23,70.5000,72.1900,70.0000,72.1900,14.1962,693100
1998-03-24,73.5000,73.5000,72.3800,72.6300,14.2827,702100
1998-03-25,72.6900,74.5600,72.6900,73.1300,14.3811,1012100
1998-03-26,73.0600,74.0000,73.0600,73.9400,14.5404,615700
1998-03-27,74.0000,74.7500,73.8800,74.3100,14.6131,899700
1998-03-30,74.3100,74.3800,73.8800,74.0600,14.5639,780200
1998-03-31,75.0000,75.7500,74.7500,75.5000,14.8471,1151300
1998-04-01,75.5000,76.0000,75.0000,76.0000,14.9455,787100
1998-04-02,76.0000,76.4400,74.7500,75.6300,14.8727,1441300
1998-04-03,76.0000,79.0000,76.0000,78.9400,15.5236,1265300
1998-04-06,78.9400,80.0000,78.6300,79.3800,15.6101,789400
1998-04-07,79.1300,79.5000,77.3100,77.9400,15.3270,465000
1998-04-08,77.6300,78.3800,77.5000,77.7500,15.2896,713500
1998-04-09,77.8800,77.9400,76.1300,76.3800,15.0202,526900
1998-04-13,76.0000,76.0000,75.2500,75.6300,14.8727,986100
1998-04-14,75.3800,75.3800,74.3100,74.3800,14.6269,863700
1998-04-15,74.7500,74.7500,73.1900,73.1900,14.3929,548700
1998-04-16,72.9400,74.3800,72.9400,73.5600,14.4656,433600
1998-04-17,73.6300,74.3100,73.1900,73.8800,14.5286,356100
1998-04-20,73.5000,73.9400,73.0600,73.7500,14.5030,435900
1998-04-21,73.6300,73.7500,72.8800,73.5600,14.4873,442300
1998-04-22,73.3100,73.5600,72.6300,73.0600,14.3888,475700
1998-04-23,73.0600,73.9400,72.8800,73.0000,14.3770,558600
1998-04-24,73.1300,73.4400,71.9400,73.0000,14.3770,362000
1998-04-27,71.5000,71.5600,70.0000,70.5000,13.8846,422300
1998-04-28,70.7500,71.5000,70.1300,70.7500,13.9338,458600
1998-04-29,71.2500,71.5000,69.8100,71.0000,13.9831,502100
1998-04-30,72.0000,74.0000,71.6300,73.7500,14.5247,819500
1998-05-01,73.7500,73.7500,71.7500,72.3800,14.2549,548900
1998-05-04,72.2500,73.2500,72.1900,72.3800,14.2549,320700
1998-05-05,72.2500,72.2500,70.5600,71.4400,14.0697,370300
1998-05-06,70.7500,71.0000,68.4400,69.3800,13.6640,1419000
1998-05-07,69.8800,70.5000,69.4400,69.8100,13.7487,1158900
1998-05-08,69.5000,69.8800,68.2500,68.5600,13.5025,886500
1998-05-11,68.6300,68.8800,67.0000,67.6900,13.3312,808400
1998-05-12,67.5000,67.7500,66.1300,66.7500,13.1461,1055300
1998-05-13,67.5000,69.8800,67.4400,68.8800,13.5656,1456700
1998-05-14,68.8800,70.1300,68.6900,68.6900,13.5281,850100
1998-05-15,68.6900,68.9400,67.7500,68.1300,13.4178,427300
1998-05-18,68.0000,68.6300,67.6900,68.0000,13.3922,332700
1998-05-19,68.0000,69.4400,67.5000,69.2500,13.6384,1047600
1998-05-20,69.2500,70.5000,68.8100,70.5000,13.8846,911200
1998-05-21,71.0000,71.2500,70.5000,71.0000,13.9831,1528700
1998-05-22,71.0000,71.0600,70.6300,70.6900,13.9220,740100
1998-05-26,70.8100,71.1300,69.1900,69.1900,13.6266,581700
1998-05-27,68.1900,70.2500,68.0000,69.0000,13.5892,799600
1998-05-28,69.2500,70.3100,68.9400,70.3100,13.8472,533400
1998-05-29,70.6900,71.0000,69.6900,70.1900,13.8236,509900
1998-06-01,70.4400,71.6300,69.9400,71.0000,13.9831,509900
1998-06-02,72.5000,72.6300,71.5000,72.1900,14.2174,543800
1998-06-03,72.3100,72.9400,71.9400,72.1900,14.2174,548200
1998-06-04,72.0000,72.6900,71.6300,72.3100,14.2411,663900
1998-06-05,73.0000,73.6300,72.8800,73.0000,14.3770,451500
1998-06-08,73.0600,75.8800,73.0000,75.6900,14.9067,594300
1998-06-09,75.6900,76.5000,74.9400,75.9400,14.9560,528100
1998-06-10,74.5000,76.3800,74.5000,75.8100,14.9304,672400
1998-06-11,75.9400,76.5600,75.8800,76.3100,15.0289,385100
1998-06-12,76.1900,76.5000,73.7500,74.0000,14.5739,485700
1998-06-15,74.0000,75.7500,74.0000,74.8100,14.7334,516200
1998-06-16,36.8800,37.1900,36.5600,37.1300,14.6251,390450
1998-06-17,37.3100,38.1900,37.0600,37.3100,14.6960,1177400
1998-06-18,37.4400,38.3100,37.1300,38.2500,15.0663,1191600
1998-06-19,38.5600,38.5600,37.6900,37.8800,14.9205,926200
1998-06-22,38.2500,38.4400,37.9400,38.1900,15.0426,518100
1998-06-23,38.3100,38.8800,38.1300,38.7500,15.2632,1073100
1998-06-24,38.6300,38.7500,37.7500,38.6900,15.2396,1341000
1998-06-25,38.6300,39.6300,38.5000,39.6300,15.6098,1050600
1998-06-26,39.5000,39.5000,38.1300,38.1300,15.0190,4896500
1998-06-29,38.1900,39.3800,38.1900,39.2500,15.4602,956100
1998-06-30,39.2500,39.3800,38.7500,38.9400,15.3381,699200
1998-07-01,39.0000,39.2500,38.7500,39.2500,15.4602,804700
1998-07-02,39.2500,39.2500,38.7500,39.1300,15.4129,517400
1998-07-06,39.2500,40.4400,39.1300,40.4400,15.9289,864200
1998-07-07,40.4400,41.4400,40.1900,41.2500,16.2479,1800700
1998-07-08,41.5000,41.8800,41.3100,41.8800,16.4961,1415300
1998-07-09,41.8100,41.8100,40.1900,40.2500,15.8541,1500200
1998-07-10,40.3800,42.8100,40.3100,41.8800,16.4961,1379100
1998-07-13,42.0600,45.0000,42.0600,44.8800,17.6778,1374000
1998-07-14,44.0000,44.0000,43.3100,43.9400,17.3075,839200
1998-07-15,43.9400,45.0000,43.8100,44.3100,17.4532,844900
1998-07-16,44.3800,44.9400,43.8100,44.9400,17.7014,695500
1998-07-17,45.2500,45.2500,44.5000,44.5000,17.5281,452500
1998-07-20,44.7500,45.5000,44.1300,44.4400,17.5044,522600
1998-07-21,44.6900,44.6900,43.0000,43.4400,17.1334,859600
1998-07-22,43.6300,43.6900,42.3800,43.1300,17.0111,1329200
1998-07-23,43.0000,43.3800,42.3100,42.3800,16.7153,767200
1998-07-24,42.5000,42.8100,41.8100,42.8100,16.8849,574400
1998-07-27,42.7500,42.8100,41.5000,42.5000,16.7627,539700
1998-07-28,42.4400,42.9400,41.0000,42.1900,16.6404,668300
