,open,high,low,close,adj_close,volume
1998-01-02,76.5000,78.0600,76.4400,77.9400,18.7962,1414000
1998-01-05,78.0000,78.0000,75.3800,75.6900,18.2536,2154600
1998-01-06,75.0000,75.1300,72.7500,73.7500,17.7858,3125600
1998-01-07,73.8800,76.3800,73.6300,76.3800,18.4200,2270900
1998-01-08,75.6300,75.8100,73.0600,73.5000,17.7255,1471900
1998-01-09,72.1300,72.9400,70.6900,71.1300,17.1539,1800300
1998-01-12,68.7500,73.5000,67.7500,73.3100,17.6796,2144000
1998-01-13,73.3100,75.0000,72.7500,74.6300,17.9980,1469800
1998-01-14,74.8100,75.8800,74.3100,75.5000,18.2078,1193200
1998-01-15,76.0000,77.0000,75.8800,76.0600,18.3428,1290000
1998-01-16,76.9400,77.1900,76.1300,76.7500,18.5092,1780800
1998-01-20,76.8100,78.0000,76.5000,77.9400,18.7962,1152500
1998-01-21,77.5600,78.3100,76.5600,77.0000,18.5695,1468300
1998-01-22,76.7500,76.8100,74.3800,75.4400,18.1933,1484900
1998-01-23,75.6900,75.7500,73.5000,74.0000,17.8460,1254100
1998-01-26,74.0000,75.8800,74.0000,75.5600,18.2223,1200400
1998-01-27,75.5600,77.0000,75.3800,76.4400,18.4345,1076900
1998-01-28,75.8800,76.3800,74.2500,76.1300,18.3597,2523800
1998-01-29,75.9400,77.4400,75.8800,76.9400,18.5551,1362400
1998-01-30,76.0000,76.8800,74.7500,74.7500,18.0269,1925800
1998-02-02,75.0000,76.6900,75.0000,75.6300,18.2391,1262000
1998-02-03,74.8800,76.1900,74.8800,75.9400,18.3139,1173000
1998-02-04,75.9400,76.6900,75.8100,76.0000,18.3284,1080700
1998-02-05,76.6300,77.3800,76.1300,77.1300,18.6009,1471500
1998-02-06,77.1300,77.7500,76.5000,77.6900,18.7359,762500
1998-02-09,77.8100,78.0600,76.2500,76.4400,18.4345,1180300
1998-02-10,76.2500,76.5000,74.8100,75.5000,18.2078,2329800
1998-02-11,75.3800,77.0600,75.2500,76.3100,18.4031,1597600
1998-02-12,75.8100,77.3800,75.2500,77.3800,18.6612,944800
1998-02-13,77.5600,78.1300,77.3100,77.8800,18.7818,1226100
1998-02-17,78.0000,78.2500,77.1900,77.4400,18.6756,1243500
1998-02-18,76.5600,78.7500,76.5000,78.7500,19.1387,1768600
1998-02-19,78.6900,79.1300,77.6300,78.3800,19.0488,1774400
1998-02-20,78.1300,79.3100,77.5000,79.1900,19.2456,1415600
1998-02-23,77.8800,78.7500,76.1900,77.0000,18.7134,1426000
1998-02-24,77.4400,79.1900,77.2500,78.8100,19.1533,1908400
1998-02-25,78.8800,79.9400,78.3100,79.5000,19.3209,1418500
1998-02-26,79.4400,80.5000,79.1300,80.2500,19.5032,1427400
1998-02-27,80.5000,82.8100,79.8100,80.8800,19.6563,2119400
1998-03-02,81.1300,82.7500,81.1300,82.5600,20.0646,1681100
1998-03-03,82.6900,84.1300,82.5000,83.7500,20.3538,1794300
1998-03-04,83.6300,84.0000,82.6300,83.5000,20.2931,1653500
1998-03-05,82.6900,84.8800,82.6900,84.5600,20.5507,1958600
1998-03-06,84.8100,84.9400,83.9400,84.4400,20.5215,1452700
1998-03-09,84.1900,84.2500,81.6300,81.9400,19.9139,1577300
1998-03-10,82.1300,83.7500,81.5000,83.5600,20.3077,1716800
1998-03-11,83.8100,84.3800,83.3800,84.0000,20.4146,1340500
1998-03-12,83.2500,83.5000,82.3800,82.7500,20.1108,1053800
1998-03-13,82.9400,83.8800,82.5600,82.8800,20.1424,1298200
1998-03-16,82.7500,82.8800,82.1900,82.8800,20.1424,1194000
1998-03-17,82.5000,82.5000,80.9400,82.0600,19.9431,1609300
1998-03-18,81.3800,83.8100,81.0000,83.6300,20.3247,1579700
1998-03-19,83.8800,84.0000,83.0600,83.8100,20.3684,1145100
1998-03-20,84.3800,87.7500,84.1300,86.8800,21.1145,3830100
1998-03-23,89.5000,90.1900,86.8800,86.8800,21.1145,2684300
1998-03-24,86.6300,86.6300,84.6900,85.4400,20.7646,1603600
1998-03-25,85.6900,86.2500,83.0600,83.8100,20.3684,1677400
1998-03-26,83.9400,85.0600,83.8800,84.3100,20.4899,1650900
1998-03-27,84.5600,84.6900,82.5000,83.0000,20.1716,1105900
1998-03-30,83.4400,83.7500,82.4400,83.0600,20.1861,722200
1998-03-31,83.0600,83.7500,80.1900,80.3100,19.5178,2006300
1998-04-01,81.3800,82.5600,81.1200,82.5000,20.0500,1612900
1998-04-02,82.5600,83.5600,81.6300,83.4400,20.2785,1165800
1998-04-03,83.5600,83.8100,81.5000,81.9400,19.9139,1850900
1998-04-06,81.9400,81.9400,80.0000,80.1300,19.4741,1443700
1998-04-07,80.2500,81.2500,79.9400,80.7500,19.6247,1258500
1998-04-08,80.6900,80.7500,78.7500,79.0600,19.2140,1286700
1998-04-09,79.8800,81.0000,79.2500,80.3100,19.5178,1508200
1998-04-13,80.5600,80.5600,78.5000,78.8800,19.1703,1536100
1998-04-14,78.9400,79.5000,78.6900,78.8800,19.1703,1330300
1998-04-15,80.0600,80.6900,79.5600,80.0600,19.4570,1647400
1998-04-16,80.2500,83.7500,80.0000,83.7500,20.3538,2375300
