,open,high,low,close,adj_close,volume
1998-01-02,54.0000,54.0000,53.1300,53.5000,174.3550,2144000
1998-01-05,54.2500,54.3800,52.3100,53.1300,173.1492,3794000
1998-01-06,52.5000,53.8800,52.4400,53.3800,173.9640,3939000
1998-01-07,53.5600,53.9400,50.9400,51.6300,168.2608,4066000
1998-01-08,50.5600,51.1900,50.0000,50.2500,163.7634,3503500
1998-01-09,50.0600,50.3800,46.7500,47.6900,155.4204,7034500
1998-01-12,45.2500,48.4400,45.1300,47.2500,153.9865,5687500
1998-01-13,49.0000,49.6900,48.8100,49.6300,161.7428,4034500
1998-01-14,49.9400,50.6900,49.6900,50.2500,163.7634,3624000
1998-01-15,50.1900,50.5000,49.6300,49.7500,162.1339,2311000
1998-01-16,50.1900,51.0600,50.1900,50.6900,165.1973,3019500
1998-01-20,51.0600,51.3100,49.3800,50.7500,165.3929,3819500
1998-01-21,50.7500,50.7500,49.5600,50.0000,162.9486,2862000
1998-01-22,49.2500,49.5000,48.0600,48.3100,157.4410,5408500
1998-01-23,48.5600,49.1300,46.7500,48.0000,156.4307,3625000
1998-01-26,47.8800,48.7500,46.8800,47.0600,153.3673,2695000
1998-01-27,47.0600,49.8100,47.0600,49.3800,160.9281,3467000
1998-01-28,50.0000,50.5000,49.3100,50.1300,163.3723,3575500
1998-01-29,50.0000,51.1900,49.6900,50.1300,163.3723,3020500
1998-01-30,50.1300,50.6900,49.5000,49.5600,161.5147,1996000
1998-02-02,50.6300,52.2500,50.6300,52.1300,169.8903,4356500
1998-02-03,51.8800,53.3800,51.6300,53.2500,173.5403,4702500
1998-02-04,52.8800,53.3800,52.4400,53.1900,173.3448,3210000
1998-02-05,53.3100,53.3800,52.1300,53.0000,173.1329,2153000
1998-02-06,52.8800,53.5000,52.6300,52.9400,172.9369,2371500
1998-02-09,53.2500,53.4400,52.5000,53.1300,173.5576,2690500
1998-02-10,53.3800,54.9400,53.0000,54.3800,177.6409,3215500
1998-02-11,54.4400,54.9400,54.1300,54.1300,176.8243,1629500
1998-02-12,54.1300,55.5000,53.2500,54.8800,179.2742,2448000
1998-02-13,54.5000,55.0600,54.3100,54.6300,178.4576,1823500
1998-02-17,55.4400,55.9400,55.0600,55.2500,180.4829,2177500
1998-02-18,55.5000,55.8800,55.2500,55.7500,182.1162,1897500
1998-02-19,55.7500,55.7500,54.6300,55.1300,180.0909,2518000
1998-02-20,55.6900,56.2500,55.1900,56.0600,183.1289,2872000
1998-02-23,56.0600,56.1900,55.5000,55.6300,181.7242,2641000
1998-02-24,55.5000,55.6900,54.8100,55.0600,179.8622,2349000
1998-02-25,55.7500,56.3100,55.5600,56.0000,182.9329,2161000
1998-02-26,55.5600,56.0000,55.3100,56.0000,182.9329,1400000
1998-02-27,55.8800,55.8800,55.1300,55.6300,181.7242,1579500
1998-03-02,55.0600,55.8100,54.4400,54.8800,179.2742,1759000
1998-03-03,54.3100,55.8100,54.2500,55.6300,181.7242,2134000
1998-03-04,55.6900,56.3800,54.6300,55.1300,180.0909,1994500
1998-03-05,54.5000,55.6300,54.0600,55.6300,181.7242,2089000
1998-03-06,55.5600,56.3800,54.8800,55.7500,182.1162,2939000
1998-03-09,55.5600,56.8800,55.3100,55.5000,181.2996,2432500
1998-03-10,57.5000,58.0000,56.5000,57.7500,188.6496,3266500
1998-03-11,58.5600,59.3100,58.3100,59.0000,192.7329,4537000
1998-03-12,59.0000,60.7500,58.8100,60.0000,195.9995,2279500
1998-03-13,60.6900,61.0600,59.8800,60.3800,197.2409,1954500
1998-03-16,60.1300,60.7500,59.6300,60.2500,196.8162,2707000
1998-03-17,60.4400,61.2500,60.1300,61.0000,199.2662,3003000
1998-03-18,60.0000,61.0000,60.0000,60.6300,198.0575,1996500
1998-03-19,60.5600,61.2500,60.5000,60.8100,198.6455,1729000
1998-03-20,61.1300,62.7500,60.7500,62.0000,202.5329,3832500
1998-03-23,61.4400,61.5000,60.5000,60.5600,197.8289,2634000
1998-03-24,61.6900,62.0600,61.1300,62.0000,202.5329,1958000
1998-03-25,63.0000,63.3100,62.1300,62.5000,204.1662,3877000
1998-03-26,62.6300,63.1300,62.3100,63.1300,206.2242,2737000
1998-03-27,63.0600,63.3800,61.5600,62.0000,202.5329,2601000
1998-03-30,61.7500,61.9400,59.5000,60.5000,197.6329,2889000
1998-03-31,60.7500,61.1300,59.5000,60.0000,195.9995,3450500
1998-04-01,60.4400,60.4400,59.1900,59.6300,194.7909,4567500
1998-04-02,60.1300,61.3800,59.8800,61.2500,200.0829,3094500
1998-04-03,61.8800,62.1900,61.2500,61.6900,201.5202,2790000
1998-04-06,67.2500,73.5000,67.2500,73.0000,238.4661,19963500
1998-04-07,70.2500,71.0000,66.7500,68.3800,223.3741,10004500
1998-04-08,68.5000,68.5600,66.7500,67.2500,219.6828,7385500
1998-04-09,67.1300,67.7500,66.8800,67.3100,219.8788,4777000
1998-04-13,67.5000,67.5000,64.3800,66.5000,217.2328,5686000
1998-04-14,66.5600,66.9400,65.8100,66.8800,218.4742,3909000
1998-04-15,67.0000,67.0000,64.6300,64.7500,211.5162,3675000
1998-04-16,64.6900,64.6900,63.3100,63.3100,206.8122,2979500
1998-04-17,64.0000,65.1300,63.7500,64.7500,211.5162,3519500
1998-04-20,65.8800,66.0000,63.6900,64.3800,210.3075,4175000
1998-04-21,64.8800,65.2500,64.5000,65.0000,212.3328,4482500
1998-04-22,65.2500,65.6900,64.6900,65.2500,213.1495,2658500
1998-04-23,64.1300,64.5600,63.6900,63.7500,208.2495,2094500
1998-04-24,63.8800,64.5000,62.4400,62.8800,205.4075,3018000
1998-04-27,61.0600,62.0000,59.6900,61.2500,200.0829,4582000
1998-04-28,62.0000,63.0000,60.1300,60.7500,198.4495,3416000
1998-04-29,61.1300,61.3800,60.1300,60.6900,198.2535,3855000
1998-04-30,61.6300,62.5000,61.0000,61.1900,200.2952,4500500
1998-05-01,62.0000,62.5000,61.7500,62.1900,203.5685,2792000
1998-05-04,62.4400,63.0000,61.8800,61.8800,202.5538,2138000
1998-05-05,62.6300,62.6300,60.8100,61.1300,200.0988,2672000
1998-05-06,61.2500,61.5600,59.8800,59.8800,196.0071,2677000
1998-05-07,60.0600,60.6300,59.5600,60.2500,197.2183,3065500
1998-05-08,60.1900,61.1900,59.3800,59.6300,195.1888,4282000
1998-05-11,59.9400,61.0000,59.9400,60.6900,198.6585,3126500
1998-05-12,60.8100,62.0000,60.5000,61.9400,202.7502,4540000
1998-05-13,62.2500,62.3800,61.4400,61.6300,201.7355,2944000
1998-05-14,61.1300,61.8100,60.5600,60.7500,198.8549,2551000
1998-05-15,61.4400,62.9400,61.0000,62.6300,205.0088,4440000
1998-05-18,62.5600,63.7500,62.3800,62.6300,205.0088,4039000
1998-05-19,63.6300,63.9400,63.2500,63.5600,208.0530,3722000
1998-05-20,64.5000,64.8800,63.7500,64.8800,212.3738,3208000
1998-05-21,65.0000,65.0000,63.3800,63.4400,207.6602,2440500
1998-05-22,63.6300,63.7500,63.0000,63.1300,206.6455,1784500
1998-05-26,64.3100,64.3100,62.7500,62.7500,205.4016,2264000
1998-05-27,62.0000,62.2500,60.0600,61.0600,199.8697,3666000
1998-05-28,60.9400,61.8100,60.9400,61.6300,201.7355,2315500
1998-05-29,62.3800,62.3800,61.0000,61.2500,200.4916,2147500
1998-06-01,61.0600,63.0000,61.0000,63.0000,206.2199,2573000
1998-06-02,63.0000,63.8800,63.0000,63.8800,209.1005,3296500
1998-06-03,64.0000,64.2500,62.4400,62.5000,204.5833,2631000
1998-06-04,62.5000,63.1300,62.0000,63.1300,206.6455,2503500
1998-06-05,63.4400,64.4400,62.8800,64.3800,210.7371,3009000
1998-06-08,64.9400,65.1300,64.5000,64.8800,212.3738,3563000
1998-06-09,65.1300,65.3100,64.4400,64.6300,211.5555,2558000
1998-06-10,64.3800,64.6900,63.5000,63.6300,208.2821,2916000
1998-06-11,63.5600,63.9400,61.8100,62.0000,202.9466,2896500
1998-06-12,61.5600,62.2500,60.8800,62.2500,203.7649,2885000
1998-06-15,61.3800,61.3800,59.8100,59.8800,196.0071,4684500
1998-06-16,59.8800,60.4400,59.1300,60.0000,196.3999,4767500
1998-06-17,60.0000,62.5000,60.0000,62.0000,202.9466,6225500
1998-06-18,62.3800,62.3800,61.2500,61.6300,201.7355,4927000
1998-06-19,62.1300,62.1300,60.8800,61.3100,200.6880,3746000
1998-06-22,61.2500,61.5000,60.6300,60.6900,198.6585,2812000
1998-06-23,61.1900,61.5000,60.8100,60.9400,199.4769,2940500
1998-06-24,60.9400,62.9400,60.6300,62.6900,205.2052,5470000
1998-06-25,63.0000,63.5600,61.6900,62.0000,202.9466,4792500
1998-06-26,62.5600,62.6300,60.8800,61.5000,201.3099,2871000
1998-06-29,61.5000,62.1300,61.3800,61.4400,201.1135,3316000
1998-06-30,61.5600,61.6300,60.3100,60.6300,198.4621,2687000
1998-07-01,61.4400,63.1900,61.1300,63.1300,206.6455,4097000
1998-07-02,63.1300,63.9400,62.8100,63.6300,208.2821,2559000
1998-07-06,64.1900,64.1900,63.0600,63.8100,208.8713,3506000
1998-07-07,64.2500,65.6300,63.5000,64.5600,211.3263,5669000
1998-07-08,67.5000,69.3800,67.0000,69.2500,226.6783,11921000
1998-07-09,69.0000,69.6300,68.0600,68.3800,223.8305,4960500
1998-07-10,68.6300,69.6900,67.8800,69.0000,225.8599,4621500
1998-07-13,69.2500,70.7500,68.7500,70.0600,229.3297,4435000
1998-07-14,70.6900,71.3800,70.4400,71.0600,232.6030,3894500
1998-07-15,72.1300,72.1900,70.2500,70.3800,230.3771,4872500
1998-07-16,70.3100,71.2500,69.5600,70.9400,232.2102,2754000
1998-07-17,71.1900,72.1900,70.5600,71.6900,234.6652,3327000
1998-07-20,72.0600,72.8800,71.7500,72.6300,237.7421,4274500
1998-07-21,72.6300,72.9400,68.9400,69.0000,225.8599,5037000
1998-07-22,68.9400,70.0600,68.1300,69.2500,226.6783,4807000
1998-07-23,69.5600,69.6300,66.8800,67.1300,219.7388,3346500
1998-07-24,67.9400,68.1300,65.1300,66.5000,217.6766,3970000
1998-07-27,65.7500,67.7500,65.1300,67.5000,220.9499,3998500
1998-07-28,67.1300,67.3100,64.7500,66.0000,216.0399,4256000
1998-07-29,66.3800,67.0000,65.3800,66.2500,216.8583,3575500
1998-07-30,66.7500,68.3800,66.3100,68.3100,224.0105,4314000
1998-07-31,68.2500,69.1300,65.8100,67.2500,220.5344,4381000
1998-08-03,67.0000,67.2500,65.1900,65.3100,214.1725,3377000
1998-08-04,66.0000,66.2500,61.7500,61.8100,202.6949,7894500
1998-08-05,62.3800,63.6900,60.7500,62.7500,205.7775,5774000
1998-08-06,62.5000,63.5000,61.8100,63.1300,207.0236,4355500
1998-08-07,63.3800,63.6900,61.1300,61.1900,200.6617,4732500
1998-08-10,61.1300,61.6900,60.5600,61.5600,201.8751,4065500
1998-08-11,59.5000,59.7500,57.4400,58.7500,192.6602,8967000
1998-08-12,60.6300,60.6300,58.7500,59.1900,194.1031,7080500
