,open,high,low,close,adj_close,volume
2007-05-03,21.7500,21.9500,20.5500,20.7200,18.9084,8052800
2007-05-04,21.0500,21.3500,20.7000,20.9800,19.1457,5437300
2007-05-07,21.2000,21.2900,20.2000,20.3600,18.5799,2646300
2007-05-08,20.0000,20.0000,19.3000,19.6300,17.9137,4166100
2007-05-09,19.7500,20.2000,19.6300,19.7900,18.0598,7541100
2007-05-10,19.7900,19.9900,19.5500,19.7000,17.9776,3170600
2007-05-11,19.7100,19.8000,19.1100,19.3000,17.6126,3539400
2007-05-14,19.1500,19.3900,18.7500,18.8900,17.2384,1924800
2007-05-15,18.6600,18.8500,18.1500,18.2000,16.6088,3438700
2007-05-16,18.0600,18.4800,18.0200,18.3400,16.7365,2607600
2007-05-17,18.7500,19.7500,18.6700,19.0200,17.3571,8979000
2007-05-18,19.2500,19.4900,18.5400,19.3100,17.6217,6562200
2007-05-21,19.2000,19.3400,19.0000,19.0000,17.3388,2077700
2007-05-22,19.1000,19.5300,19.0000,19.4800,17.7769,4014700
2007-05-23,19.5000,19.7000,19.1000,19.2100,17.5305,2387100
2007-05-24,19.2100,19.3300,18.8500,19.0200,17.3571,2362000
2007-05-25,19.0200,19.0500,18.6900,18.7600,17.1198,895000
2007-05-29,18.9100,19.2000,18.8500,19.0900,17.4210,2918800
2007-05-30,19.0500,19.1500,18.8100,18.9800,17.3206,2829300
2007-05-31,19.1500,19.2800,19.0300,19.0500,17.3845,3435200
2007-06-01,19.1000,19.8000,19.0500,19.5500,17.8407,2299400
2007-06-04,18.7300,19.0500,18.6900,18.8400,17.1928,5692700
2007-06-05,18.8500,19.0400,18.7300,18.9500,17.2932,4510000
2007-06-06,18.7000,18.9300,18.6500,18.9300,17.2749,2595300
2007-06-07,18.7700,18.8500,18.1500,18.4800,16.8643,3062100
2007-06-08,18.2000,18.8300,18.2000,18.8300,17.1837,2124100
2007-06-11,18.5500,18.8200,18.2200,18.3800,16.7730,1870000
2007-06-12,18.0300,18.7100,18.0200,18.4000,16.7913,8636200
2007-06-13,18.4800,18.7000,18.3600,18.6400,17.0103,3110200
2007-06-14,18.5000,19.0100,18.4250,18.9000,17.2476,8069700
2007-06-15,18.8900,19.1400,18.4500,18.8800,17.2293,3418900
2007-06-18,18.6500,18.9000,18.5000,18.5400,16.9190,1339900
2007-06-19,18.5900,19.0800,18.5500,18.8700,17.2202,3113000
2007-06-20,19.0000,19.4900,18.8200,19.3600,17.6674,4031500
2007-06-21,19.2000,19.6000,19.0200,19.5100,17.8042,3985700
2007-06-22,19.5000,19.8500,19.3700,19.7500,18.0233,11822000
2007-06-25,19.6900,19.7400,19.1100,19.4300,17.7312,1974400
2007-06-26,19.5000,19.6600,19.2700,19.4900,17.7860,2237000
2007-06-27,19.4000,19.5900,19.1300,19.4200,17.7221,2216000
2007-06-28,19.7500,19.8900,19.6225,19.6700,17.9502,2547200
2007-06-29,19.5500,19.8300,19.5100,19.7000,17.9776,2022200
2007-07-02,19.5700,19.7600,19.5300,19.5800,17.8681,1831600
2007-07-03,19.7100,20.2600,19.7100,20.2500,18.4795,2960900
2007-07-05,20.0100,20.7300,19.9200,20.5200,18.7259,2640100
2007-07-06,20.5500,20.9000,20.3800,20.8300,19.0088,1966900
2007-07-09,20.9400,21.3900,20.8550,21.3300,19.4651,2872800
2007-07-10,21.1800,21.2500,20.5300,20.6500,18.8446,2367100
2007-07-11,20.1800,20.5900,20.0000,20.1200,18.3609,2387700
2007-07-12,20.4300,20.6300,20.1100,20.4300,18.6438,3455400
2007-07-13,20.3500,20.5400,20.0800,20.5000,18.7077,1751700
2007-07-16,20.4500,21.0000,20.3100,20.9400,19.1092,2891700
2007-07-17,21.0000,21.2500,20.7800,21.1900,19.3374,4383100
2007-07-18,21.7900,21.8000,21.1500,21.3700,19.5016,9011300
2007-07-19,21.4800,21.8000,21.4000,21.5100,19.6294,8636500
2007-07-20,21.4100,21.5800,21.0000,21.4000,19.5290,4248400
2007-07-23,21.4000,21.5000,21.0100,21.1100,19.2643,4399000
2007-07-24,21.1500,21.6000,20.7300,21.3300,19.4651,6101200
