,open,high,low,close,adj_close,volume
1998-01-02,58.1300,58.1300,56.8800,57.4400,18.1711,510500
1998-01-05,57.6900,58.0000,56.2500,56.4400,17.8547,748500
1998-01-06,56.1900,56.5000,55.5000,56.2500,17.7946,629200
1998-01-07,55.5600,56.1300,55.3800,55.5600,17.5763,709100
1998-01-08,54.3800,54.4400,53.0000,53.8100,17.0227,1144800
1998-01-09,53.5600,53.5600,50.2500,50.8100,16.0737,1208100
1998-01-12,49.8100,53.1300,49.6300,52.6900,16.6684,1256400
1998-01-13,52.8800,52.9400,51.6300,51.9400,16.4312,890800
1998-01-14,51.8800,53.1300,51.6300,53.0000,16.7665,597300
1998-01-15,52.9400,52.9400,51.5000,51.5000,16.2920,545100
1998-01-16,51.6900,52.6900,51.6300,51.9400,16.4312,752000
1998-01-20,52.1300,52.9400,51.8800,52.9400,16.7475,877400
1998-01-21,52.7500,52.7500,51.3800,51.6300,16.3331,1384800
1998-01-22,51.1300,52.3800,51.0600,51.1900,16.1939,995700
1998-01-23,51.1900,51.8100,50.9400,51.4400,16.2730,1197100
1998-01-26,51.6300,52.1300,50.0600,50.7500,16.0547,805600
1998-01-27,50.6900,51.2500,49.3800,49.3800,15.6213,2046800
1998-01-28,49.7500,51.5600,49.7500,51.0000,16.1338,791900
1998-01-29,51.0000,52.5000,51.0000,52.2500,16.5292,816000
1998-01-30,52.2500,52.7500,51.3100,52.7500,16.6874,725200
1998-02-02,53.7500,55.1300,53.3800,54.8100,17.3391,1248500
1998-02-03,55.0000,55.2500,54.0600,54.1300,17.1240,840300
1998-02-04,54.3100,54.7500,53.8100,54.1300,17.1240,555600
1998-02-05,54.1900,54.6300,53.5000,53.7500,17.0037,527500
1998-02-06,54.5000,54.9400,54.2500,54.5000,17.2410,627000
1998-02-09,54.3100,56.1900,54.2500,55.6300,17.5985,890500
1998-02-10,56.3100,56.7500,55.6900,56.0600,17.7345,962200
1998-02-11,56.6300,56.6900,55.2500,55.8100,17.6554,447400
1998-02-12,55.8100,56.9400,55.3800,56.6900,17.9338,439000
1998-02-13,56.6900,57.6300,56.6300,57.5000,18.1900,690000
1998-02-17,57.5000,57.5000,56.0000,56.2500,17.7946,651000
1998-02-18,56.0000,56.0000,54.9400,55.8100,17.6554,660400
1998-02-19,55.9400,56.4400,55.1900,55.9400,17.6965,654500
1998-02-20,55.9400,56.9400,55.1900,56.7500,17.9528,825000
1998-02-23,56.6300,56.7500,55.9400,56.0000,17.7155,569500
1998-02-24,55.7500,56.4400,55.1900,55.1900,17.4593,635200
1998-02-25,55.1300,55.5600,54.9400,55.0600,17.4182,643200
1998-02-26,55.0600,56.5000,54.7500,56.3800,17.8357,535200
1998-02-27,56.5000,56.6900,55.9400,56.1300,17.7567,689600
1998-03-02,56.2500,57.1300,55.8800,57.0000,18.0319,1045700
1998-03-03,56.5000,57.1300,56.4400,56.4400,17.8547,668800
1998-03-04,56.9400,57.5000,56.6300,57.1300,18.0730,1175500
1998-03-05,56.5000,57.3100,56.3800,56.8800,17.9939,669100
1998-03-06,56.8100,58.0000,56.5000,58.0000,18.3482,883200
1998-03-09,58.0000,58.3800,56.7500,56.8800,17.9939,661300
1998-03-10,56.6300,57.3100,56.6300,56.8100,17.9718,570300
1998-03-11,56.7500,57.8100,56.6900,57.6300,18.2312,703900
1998-03-12,57.6900,57.7500,56.8800,57.1300,18.0730,837400
1998-03-13,57.1900,58.3100,56.7500,56.8800,17.9939,689000
1998-03-16,56.8800,58.8100,56.8800,58.6900,18.5665,1273100
1998-03-17,59.0000,59.6300,58.7500,59.2500,18.7437,1118500
1998-03-18,58.9400,59.5000,58.8800,59.3100,18.7626,619400
1998-03-19,59.2500,61.0600,59.2500,60.5600,19.1581,1065700
1998-03-20,60.8800,61.8800,60.8100,61.6900,19.5156,1526500
1998-03-23,62.0000,62.0000,61.1900,61.5600,19.4744,791200
1998-03-24,61.6900,63.0000,61.3100,62.7500,19.8509,918100
1998-03-25,63.7500,64.1300,62.5600,62.8800,19.8920,1103900
1998-03-26,62.5000,63.5600,61.8800,63.0000,19.9300,1260800
1998-03-27,64.1300,64.1300,62.1300,62.8800,19.9616,741300
1998-03-30,62.7500,62.7500,61.5000,61.8100,19.6219,623000
1998-03-31,62.6300,62.8800,61.5000,61.9400,19.6632,630500
1998-04-01,60.2500,61.3800,60.0600,61.2500,19.4441,967800
1998-04-02,61.3100,61.7500,60.7500,61.6900,19.5838,585600
1998-04-03,61.7500,61.7500,60.5000,60.8800,19.3267,743200
1998-04-06,60.0600,61.0600,59.8100,59.8800,19.0092,1043500
1998-04-07,59.3800,59.8800,59.0000,59.6900,18.9489,1385300
1998-04-08,59.8800,60.2500,59.5000,59.5000,18.8886,725700
1998-04-09,59.6300,59.9400,59.2500,59.7500,18.9680,592800
1998-04-13,59.5600,59.7500,58.6900,58.6900,18.6315,895900
1998-04-14,58.9400,62.0000,58.8800,61.0000,19.3648,960100
1998-04-15,61.5000,62.5000,61.3800,62.1300,19.7235,1262800
1998-04-16,62.1300,62.1300,61.4400,61.6900,19.5838,668000
1998-04-17,62.1300,62.5000,61.1900,62.4400,19.8219,744500
1998-04-20,62.0000,62.2500,61.2500,61.5000,19.5235,533100
1998-04-21,61.1300,62.5600,60.8100,62.5600,19.8600,829800
1998-04-22,62.4400,62.7500,62.1300,62.4400,19.8219,669400
1998-04-23,62.0000,62.2500,61.7500,61.8100,19.6219,484000
1998-04-24,61.8100,62.2500,60.1300,60.2500,19.1267,754700
1998-04-27,59.1300,59.1900,56.7500,56.8100,18.0346,1249700
1998-04-28,57.8100,57.8100,56.4400,56.5000,17.9362,1587900
1998-04-29,57.0000,57.1900,56.5000,56.6300,17.9775,869500
1998-04-30,57.0000,59.0000,56.8800,58.4400,18.5521,810600
1998-05-01,58.0000,58.9400,58.0000,58.9400,18.7108,378800
1998-05-04,59.0000,59.5000,58.1300,58.1900,18.4727,636100
1998-05-05,57.6300,57.9400,56.1900,56.5600,17.9553,1103200
1998-05-06,56.8800,57.2500,56.2500,56.5000,17.9362,851800
1998-05-07,57.2500,57.5600,56.7500,57.1300,18.1362,718600
1998-05-08,57.0000,57.8100,56.9400,57.3100,18.1934,698600
1998-05-11,57.1300,57.2500,56.6300,56.8100,18.0346,445200
1998-05-12,56.3100,56.9400,56.2500,56.9400,18.0759,689400
1998-05-13,56.3100,56.7500,55.5600,56.0000,17.7775,716100
1998-05-14,55.9400,56.2500,55.7500,56.0600,17.7966,634500
1998-05-15,56.0600,56.1300,55.5600,55.6300,17.6600,336600
1998-05-18,55.8100,55.9400,54.6300,55.0000,17.4601,713000
1998-05-19,56.0000,56.1300,54.8100,54.9400,17.4410,1020200
1998-05-20,53.1300,53.1300,53.1300,53.1300,16.8664,2024000
1998-05-21,53.0600,53.1900,51.1300,52.5000,16.6664,2323300
1998-05-22,52.6300,53.1900,52.1300,52.4400,16.6474,923300
1998-05-26,52.5000,53.1900,52.3100,52.3800,16.6283,1073900
1998-05-27,52.0000,52.5600,51.6300,51.7500,16.4283,1138600
