,open,high,low,close,adj_close,volume
2007-06-14,28.0000,30.5000,28.0000,28.7500,24.0870,3279100
2007-06-15,29.5000,29.8000,28.8800,29.0800,24.3635,790100
2007-06-18,29.3200,30.2000,29.3000,29.9300,25.0757,1591000
2007-06-19,30.0000,30.3000,29.6000,29.7000,24.8830,1585100
2007-06-20,30.0400,30.1000,29.5700,29.8100,24.9751,855900
2007-06-21,30.0600,31.9500,29.6100,31.2100,26.1481,842700
2007-06-22,31.5000,32.1700,31.0000,31.7000,26.5586,1490700
2007-06-25,31.5000,32.0000,31.0100,31.3000,26.2235,490000
2007-06-26,31.3000,31.6500,30.2500,30.4100,25.4778,853900
2007-06-27,30.6000,30.8000,29.5700,29.5800,24.7824,1127300
2007-06-28,29.8800,29.9000,29.1600,29.5000,24.7154,488900
2007-06-29,29.9900,30.3000,27.9300,28.5000,23.8776,3085200
2007-07-02,28.5500,29.1500,27.2000,27.5000,23.0398,10999000
2007-07-03,27.5000,27.5000,26.1500,26.6700,22.3444,8600100
2007-07-05,26.2500,26.9200,25.7400,25.9300,21.7244,8422000
2007-07-06,25.6400,25.8600,25.2100,25.6400,21.4815,7211800
2007-07-09,25.7200,26.5400,25.4400,25.5400,21.3977,11675200
2007-07-10,25.6000,25.6500,24.8000,24.9000,20.8615,8591800
2007-07-11,25.0200,25.2700,24.7500,25.2100,21.1212,10251400
2007-07-12,25.5900,26.5900,25.2100,26.3400,22.0679,10297300
2007-07-13,26.4700,27.4300,26.0200,27.1600,22.7549,6752500
2007-07-16,27.2100,27.4500,26.6600,26.8400,22.4868,9892000
2007-07-17,26.9600,26.9900,26.3100,26.5000,22.2020,5434600
2007-07-18,26.4500,26.5000,25.7000,26.3600,22.0847,4594800
2007-07-19,26.2500,26.9500,26.2500,26.7100,22.3779,4868900
2007-07-20,26.7100,27.1200,26.2500,26.3000,22.0344,5751300
2007-07-23,26.3000,26.5100,26.1000,26.1200,21.8836,4711800
2007-07-24,25.5400,25.6000,24.9300,25.0000,20.9453,5483800
2007-07-25,24.7600,24.8400,23.7500,24.1000,20.1912,8391500
2007-07-26,23.2600,24.8800,22.7500,24.6200,20.6269,9834900
2007-07-27,24.2600,24.7000,23.3300,23.3300,19.5461,6678000
2007-07-30,23.4000,23.9300,22.3700,23.5700,19.7472,5056000
2007-07-31,23.6500,24.1000,22.8300,23.0500,19.3115,4132300
2007-08-01,22.6800,23.0700,22.0500,22.8800,19.1691,5583900
2007-08-02,22.5000,24.0500,22.4800,23.3700,19.5796,3032900
2007-08-03,22.6600,23.1100,21.5300,21.9900,18.4234,5256100
2007-08-06,22.2400,23.5300,21.2500,22.1500,18.5575,6010700
2007-08-07,22.0500,23.5300,21.7200,22.8800,19.1691,3885200
2007-08-08,23.5000,24.5700,23.0000,24.2900,20.3504,5645200
2007-08-09,23.4000,23.9600,22.0600,22.1600,18.5659,4554600
2007-08-10,21.7500,21.9500,20.3500,20.8600,17.4767,10813200
2007-08-13,21.2600,22.2900,21.2600,22.1000,18.5156,7115200
2007-08-14,22.2900,22.6600,21.7100,21.9600,18.3983,3845000
2007-08-15,21.8900,22.4000,21.1600,21.6600,18.1470,3690300
2007-08-16,20.5000,23.1400,20.4700,22.8500,19.1440,5503500
2007-08-17,23.8900,23.9900,22.9100,23.1800,19.4204,5668600
2007-08-20,23.1000,23.5000,22.4800,23.4500,19.6466,3786500
2007-08-21,23.0900,23.9600,23.0700,23.6700,19.8310,2471000
2007-08-22,23.6600,24.0000,23.2500,23.7300,19.8812,3601000
