,open,high,low,close,adj_close,volume
1998-01-02,16.8800,17.1300,16.7500,17.1300,3.5114,47200
1998-01-05,17.0000,17.0000,16.8800,16.9400,3.4725,43000
1998-01-06,16.7500,16.8100,16.3800,16.6300,3.4090,22900
1998-01-07,16.5000,16.5000,16.3100,16.3800,3.3577,50700
1998-01-08,16.1300,16.3800,16.1300,16.3800,3.3577,38000
1998-01-09,16.2500,16.3100,15.9400,16.0000,3.2798,18000
1998-01-12,15.8800,16.2500,15.6900,16.0600,3.2921,26000
1998-01-13,16.0000,16.1300,16.0000,16.0600,3.2921,4600
1998-01-14,16.0000,16.1900,16.0000,16.1300,3.3065,12800
1998-01-15,16.0600,16.3100,16.0600,16.3100,3.3434,11500
1998-01-16,16.4400,16.6300,16.3100,16.4400,3.3700,27800
1998-01-20,16.2500,16.3100,16.2500,16.3100,3.3434,40100
1998-01-21,16.2500,16.3800,16.1300,16.1300,3.3065,44600
1998-01-22,16.1900,16.3800,16.1300,16.3100,3.3434,64700
1998-01-23,16.1900,16.3100,16.1300,16.1300,3.3065,19500
1998-01-26,16.1300,16.2500,16.0600,16.1900,3.3188,43500
1998-01-27,16.1900,16.7500,16.1900,16.6900,3.4213,58200
1998-01-28,16.6900,17.0600,16.6300,16.9400,3.4725,323600
1998-01-29,16.8100,16.9400,16.6900,16.6900,3.4213,65500
1998-01-30,16.6900,16.7500,16.6300,16.6300,3.4090,68800
1998-02-02,16.5600,16.6300,16.0000,16.2500,3.3311,111200
1998-02-03,16.1900,16.3800,16.1300,16.2500,3.3311,32200
1998-02-04,16.1900,16.4400,16.1900,16.3800,3.3577,180900
1998-02-05,16.3100,16.4400,16.2500,16.3100,3.3434,49000
1998-02-06,16.1900,16.2500,16.1300,16.1900,3.3188,23400
1998-02-09,16.0600,16.2500,16.0600,16.1300,3.3065,33800
1998-02-10,16.0000,16.1900,16.0000,16.1300,3.3065,21700
1998-02-11,16.1300,16.1900,16.0600,16.1900,3.3188,16100
1998-02-12,16.1300,16.2500,16.1300,16.1300,3.3065,12100
1998-02-13,16.0000,16.1300,15.9400,16.0000,3.2798,46300
1998-02-17,15.9400,16.2500,15.9400,16.0600,3.2921,15800
1998-02-18,15.9400,16.0000,15.8800,15.9400,3.2675,84100
1998-02-19,15.9400,16.0600,15.9400,16.0000,3.2798,13400
1998-02-20,15.9400,16.0000,15.6300,15.9400,3.2675,44200
1998-02-23,15.9400,16.0600,15.9400,16.0000,3.2798,89800
1998-02-24,16.1300,16.1900,15.5600,15.5600,3.1896,127600
