,open,high,low,close,adj_close,volume
2009-11-13,22.0000,23.1000,21.7500,22.7300,21.6377,22079100
2009-11-16,22.9000,23.1000,22.1300,23.1000,21.9899,2080000
2009-11-17,23.0300,23.1700,22.5000,23.0400,21.9328,1328000
2009-11-18,23.0000,23.0200,22.5000,22.5500,21.4664,918300
2009-11-19,22.2700,23.1400,22.2700,22.8700,21.7710,1031500
2009-11-20,22.5000,23.3300,22.5000,23.2100,22.0947,1080900
2009-11-23,23.7000,23.9800,23.1800,23.4000,22.2755,741100
2009-11-24,23.6000,23.6500,23.2500,23.5000,22.3707,633100
2009-11-25,23.0000,23.8000,22.9900,23.7400,22.5992,362600
2009-11-27,22.7400,23.3000,22.7400,23.1500,22.0375,141400
2009-11-30,23.1200,23.1200,22.6200,23.0000,21.8947,853000
2009-12-01,23.4400,23.5700,23.0000,23.3100,22.1898,803500
2009-12-02,23.2900,23.7500,23.2500,23.6000,22.4659,571300
2009-12-03,23.8200,23.8200,23.0000,23.3100,22.1898,410000
2009-12-04,23.4700,23.9800,23.3000,23.8500,22.7039,318100
2009-12-07,23.7700,23.7700,23.2800,23.6300,22.4945,271500
2009-12-08,23.5000,23.7500,23.0000,23.6300,22.4945,652900
2009-12-09,23.6300,24.1200,23.5000,24.0000,22.8467,609400
2009-12-10,24.7700,24.7700,23.3900,23.7000,22.5611,848400
2009-12-11,23.6000,23.7400,23.1130,23.3400,22.2184,600300
2009-12-14,23.2900,23.3300,22.7500,22.8000,21.7044,489100
2009-12-15,22.8000,22.8900,22.5200,22.6900,21.5996,700100
2009-12-16,22.8400,23.0500,22.5500,22.7300,21.6377,585400
2009-12-17,22.7500,22.7500,22.0800,22.4400,21.3617,634000
2009-12-18,22.6100,22.6100,22.1100,22.5700,21.4854,2105100
2009-12-21,22.5000,22.6100,22.1700,22.6000,21.5140,536400
2009-12-22,22.5800,22.6100,22.3000,22.4000,21.3236,766100
2009-12-23,23.2200,23.2500,22.4000,22.4100,21.3331,1103000
2009-12-24,22.4600,22.5999,22.1000,22.1500,21.0856,254300
2009-12-28,22.1500,22.6800,22.1500,22.6200,21.5330,804300
2009-12-29,22.6900,22.8000,22.5300,22.6100,21.5235,123500
2009-12-30,22.5200,22.8000,22.5200,22.6100,21.5235,173300
2009-12-31,22.8000,22.8400,22.3800,22.4300,21.3521,156700
2010-01-04,22.5500,23.4000,22.4000,23.0800,21.9709,437200
2010-01-05,23.0000,23.2600,22.9600,23.2600,22.1422,283600
2010-01-06,23.6000,23.9000,23.4100,23.5800,22.4469,968100
2010-01-07,23.5500,23.7800,23.4000,23.7400,22.5992,360700
2010-01-08,23.6400,24.1500,23.3200,23.8700,22.7229,967300
2010-01-11,23.8500,24.0800,23.7600,24.0000,22.8467,253500
2010-01-12,23.8500,24.0000,23.5600,23.9500,22.7991,517700
2010-01-13,23.9500,24.3981,23.8100,24.3000,23.1323,596300
2010-01-14,24.1800,24.2000,23.9250,24.2000,23.0371,201500
2010-01-15,24.4400,24.5000,24.1000,24.3600,23.1894,202100
2010-01-19,24.4000,24.9000,24.2301,24.5500,23.3703,679300
2010-01-20,24.5100,24.8000,24.2500,24.5100,23.3322,589800
2010-01-21,24.5300,24.7180,23.9001,23.9800,22.8276,203300
2010-01-22,23.9900,24.0400,22.7700,23.3400,22.2184,892700
2010-01-25,23.6400,23.6400,23.0600,23.3500,22.2279,119500
2010-01-26,23.4000,23.6800,23.3200,23.5300,22.3993,164800
2010-01-27,23.6000,23.6000,23.3700,23.5500,22.4183,175300
2010-01-28,23.7900,24.1200,23.3900,23.8400,22.6944,131400
2010-01-29,24.0000,24.0000,23.2300,23.4900,22.3612,337800
2010-02-01,23.6800,23.6800,23.1300,23.3700,22.2470,407500
2010-02-02,23.3300,23.7200,23.1900,23.6300,22.4945,208300
2010-02-03,23.6000,23.8600,23.4100,23.8400,22.6944,827700
2010-02-04,23.6400,23.7500,22.3500,22.4700,21.3902,714000
2010-02-05,22.4100,22.5700,21.3000,21.7100,20.6667,1137100
2010-02-08,21.8800,22.6300,21.7601,22.3900,21.3141,208100
2010-02-09,22.4900,22.7600,22.2700,22.5600,21.4759,220700
2010-02-10,22.3800,22.3800,21.8700,22.0500,20.9904,403900
2010-02-11,21.9700,22.1799,21.9450,22.0600,20.9999,107600
2010-02-12,21.9100,22.5500,21.8800,22.5500,21.4664,125600
2010-02-16,22.6500,23.0700,22.2700,23.0300,21.9233,248000
2010-02-17,23.0400,23.3900,22.5900,22.7600,21.6663,189800
2010-02-18,22.6400,23.5000,22.5000,23.2800,22.1613,121400
2010-02-19,23.2900,23.9600,23.2900,23.5800,22.4469,187600
2010-02-22,23.5000,23.5200,23.0900,23.2400,22.1232,155500
2010-02-23,23.2000,23.7300,23.1000,23.6400,22.5040,134300
2010-02-24,23.8100,24.3500,23.7500,24.1600,22.9990,208400
2010-02-25,23.8200,24.0700,23.5200,23.8000,22.6563,258000
2010-02-26,23.9100,23.9600,23.5100,23.8900,22.7420,265000
2010-03-01,24.0100,24.5700,23.8800,24.0900,22.9324,271500
2010-03-02,24.1300,24.3000,23.7700,24.0400,22.8848,279500
2010-03-03,24.0000,24.1076,23.8200,23.9900,22.8372,114700
2010-03-04,24.0200,24.4000,23.9900,24.2000,23.0371,149900
2010-03-05,24.2500,24.7400,24.1800,24.5200,23.3417,189900
2010-03-08,24.5500,24.8800,24.5100,24.6700,23.4845,144800
2010-03-09,24.5500,25.2400,24.5000,25.1200,23.9129,185200
2010-03-10,25.1100,25.1800,24.9100,25.0600,23.8557,248200
2010-03-11,24.9900,25.1900,24.8100,25.1100,23.9033,99800
2010-03-12,25.1400,25.2500,24.9800,25.1300,23.9224,55300
2010-03-15,25.1600,25.2500,24.8700,25.0300,23.8272,195600
2010-03-16,25.0200,25.2000,24.8600,25.1200,23.9129,109300
2010-03-17,25.1100,26.5100,24.9400,25.8200,24.5792,503500
2010-03-18,25.8800,25.9299,25.2300,25.2400,24.0271,156700
2010-03-19,25.2900,25.7500,25.0000,25.6000,24.3698,741400
2010-03-22,25.5600,25.7155,24.9500,25.0100,23.8082,234000
2010-03-23,25.0000,25.2500,24.9000,25.1800,23.9700,152500
2010-03-24,25.1700,25.9700,25.0000,25.2500,24.0366,1307200
2010-03-25,25.4400,25.4800,24.2900,24.4300,23.2560,367900
2010-03-26,24.5900,25.1800,24.3465,24.9900,23.7891,793000
2010-03-29,25.2300,25.6000,25.1600,25.3500,24.1318,336700
2010-03-30,25.5000,25.9100,25.2000,25.7900,24.5507,553100
2010-03-31,26.4000,26.4000,24.8500,25.2500,24.0366,1212100
2010-04-01,25.3500,25.8000,25.2900,25.5200,24.2936,1232200
2010-04-05,25.7300,25.8000,25.3900,25.8000,24.5602,621500
2010-04-06,26.1100,27.0100,26.0800,27.0100,25.7120,716600
2010-04-07,27.0200,27.1000,26.4300,26.5500,25.2741,731700
2010-04-08,26.6000,26.7600,26.2300,26.5100,25.2361,210300
2010-04-09,26.6000,26.6400,26.2500,26.4700,25.1980,305300
2010-04-12,26.4500,26.5800,26.1800,26.2400,24.9790,252100
2010-04-13,26.2500,27.1800,26.1900,27.0300,25.7311,1792000
2010-04-14,27.1500,27.8600,26.6900,27.5200,26.1975,1010100
2010-04-15,27.5000,27.6300,26.9500,27.0000,25.7025,11184100
2010-04-16,27.0000,28.8800,27.0000,28.6000,27.2256,3306900
2010-04-19,28.6000,29.5500,28.1200,29.0100,27.6159,1889200
2010-04-20,29.2500,29.2500,28.0800,28.2500,26.8925,1273300
2010-04-21,28.2000,28.4500,27.9000,28.1900,26.8353,1229100
2010-04-22,28.0100,29.6200,28.0000,29.5300,28.1109,1441400
2010-04-23,29.6700,29.6900,29.1700,29.3800,27.9682,668300
2010-04-26,28.5500,29.7000,28.4300,29.5800,28.1585,1181100
2010-04-27,29.3400,29.7400,28.9400,28.9900,27.5969,952900
2010-04-28,29.0300,29.9100,28.5400,29.0100,27.6159,795200
2010-04-29,29.0600,29.4500,28.5800,29.1300,27.7302,830100
2010-04-30,29.1300,29.2400,28.3200,28.5700,27.1971,879600
2010-05-03,28.5900,29.2900,28.4300,29.0200,27.6255,424200
2010-05-04,28.5500,28.9300,27.8700,28.6400,27.2637,754800
2010-05-05,28.2900,28.7600,28.1400,28.5200,27.1495,556000
2010-05-06,28.3500,29.0500,27.5900,27.9100,26.5688,1625600
2010-05-07,27.9000,28.1300,26.7400,27.1900,25.8834,1395700
2010-05-10,27.9000,28.6500,27.3200,27.7200,26.3879,1048200
2010-05-11,27.3100,28.3600,27.3100,27.9800,26.6354,686400
2010-05-12,28.2800,29.4800,28.1400,29.3600,27.9491,1070400
2010-05-13,29.3600,29.9400,28.9800,29.4400,28.0253,1661400
2010-05-14,29.3900,29.7250,29.0100,29.2700,27.8634,2256400
2010-05-17,29.3600,30.0000,29.0600,29.4500,28.0348,1259900
2010-05-18,29.7100,29.9600,29.0600,29.2900,27.8825,763100
2010-05-19,29.2400,30.2000,29.1300,29.7000,28.2728,949400
2010-05-20,29.3100,29.5600,28.9100,29.0300,27.6350,969900
2010-05-21,28.7400,29.8300,28.6300,29.5500,28.1300,1039500
2010-05-24,29.6000,30.3400,29.5400,30.0100,28.5679,1703300
2010-05-25,29.3800,30.6400,29.2250,30.6100,29.1390,1768800
2010-05-26,31.0000,31.3800,30.2200,30.4400,28.9772,4955600
2010-05-27,31.0700,31.2100,30.3600,30.6400,29.1676,1256000
2010-05-28,30.4600,30.8200,30.1400,30.2300,28.7773,968700
2010-06-01,30.2300,30.9800,30.0800,30.5400,29.0724,667200
2010-06-02,30.8400,31.3600,30.6100,31.3600,29.8530,1251100
2010-06-03,31.0600,31.4099,30.2900,30.7000,29.2247,773600
2010-06-04,30.2500,30.5000,29.5800,30.0400,28.5964,895800
2010-06-07,30.1900,30.5000,28.8400,29.2300,27.8254,1242800
2010-06-08,30.3500,30.3500,29.2500,29.8300,28.3965,3250900
2010-06-09,30.1900,30.4500,29.8500,30.0000,28.5584,1581400
2010-06-10,30.9500,31.2300,29.6600,29.9800,28.5393,1345000
2010-06-11,29.6900,30.0100,29.4100,29.9700,28.5298,485700
2010-06-14,30.1750,30.6600,29.9000,30.2200,28.7678,2304900
2010-06-15,30.1900,30.5000,29.4900,30.0000,28.5584,1501100
2010-06-16,29.9800,30.5300,29.8860,30.3000,28.8439,1516800
2010-06-17,30.2600,30.4900,29.5000,29.9000,28.4632,909600
2010-06-18,29.7100,30.2900,29.6800,30.1500,28.7012,739300
2010-06-21,30.3900,30.3900,29.5000,29.6300,28.2061,1226500
2010-06-22,29.6400,30.0800,28.7800,28.8900,27.5017,2754400
2010-06-23,29.0300,29.4100,28.7600,29.1300,27.7302,1023800
2010-06-24,29.0900,29.1600,28.6600,29.1300,27.7302,881200
2010-06-25,29.0000,29.3400,28.1600,29.0800,27.6826,2382600
2010-06-28,29.0700,29.1300,28.7400,28.9100,27.5207,310500
2010-06-29,28.3900,28.7300,27.8400,28.3900,27.0257,1157900
2010-06-30,28.2800,28.7200,27.2100,27.5500,26.2261,1636800
2010-07-01,27.5100,28.1600,27.3700,28.1300,26.7782,1658000
2010-07-02,28.2800,28.5900,27.8500,28.0100,26.6640,424700
2010-07-06,28.1600,28.4000,27.7700,28.0000,26.6545,560000
2010-07-07,27.4400,27.9700,26.6100,27.9500,26.6069,3463700
2010-07-08,28.1300,28.3900,27.3400,27.6300,26.3022,1826600
2010-07-09,27.6000,28.1500,27.3600,28.1400,26.7877,866400
2010-07-12,28.1200,28.1200,27.2800,27.4700,26.1499,1033200
2010-07-13,27.6400,27.9000,27.4300,27.7000,26.3689,672600
2010-07-14,27.7100,28.4600,27.6200,28.2300,26.8734,1069600
