,open,high,low,close,adj_close,volume
1998-01-02,17.3800,17.3800,17.0000,17.0600,2.6137,183200
1998-01-05,17.0600,17.0600,16.5600,16.7500,2.5662,258800
1998-01-06,16.8800,17.3100,16.8800,17.3100,2.6520,872833
1998-01-07,17.5000,18.0600,17.5000,17.8100,2.7286,810833
1998-01-08,17.8800,18.3100,17.7500,18.0600,2.7669,387067
1998-01-09,18.0600,18.1900,17.3100,17.5600,2.6903,221200
1998-01-12,17.5600,18.1900,17.2500,18.1900,2.7868,407633
1998-01-13,18.2500,18.8800,18.2500,18.8800,2.8925,804967
1998-01-14,18.8700,19.3800,18.8700,19.3800,2.9691,1277867
1998-01-15,19.5000,19.8800,19.3800,19.3800,2.9691,889233
1998-01-16,19.4400,19.5600,19.3800,19.5000,2.9875,585367
1998-01-20,19.9400,20.2500,19.8100,20.2500,3.1053,1043867
1998-01-21,20.2500,20.2500,19.9400,20.0600,3.0762,830800
1998-01-22,20.0000,20.1300,19.9400,20.0600,3.0762,313867
1998-01-23,20.0600,20.1300,19.8100,19.8800,3.0486,822433
1998-01-26,19.8100,19.8800,19.6300,19.8100,3.0379,332433
1998-01-27,19.7500,19.7500,19.5600,19.6300,3.0103,734033
1998-01-28,19.6300,19.8800,19.6300,19.8100,3.0379,328400
1998-01-29,19.7500,20.1300,19.6900,20.0000,3.0670,663767
1998-01-30,20.0600,20.0600,19.7500,19.7500,3.0287,186167
1998-02-02,19.8100,20.1300,19.6900,20.0600,3.0762,586433
1998-02-03,20.0000,20.8800,19.9400,20.4400,3.1345,704800
1998-02-04,20.5000,21.1900,20.3100,20.9400,3.2111,733233
1998-02-05,21.1900,21.6300,20.1900,21.5000,3.2970,698000
1998-02-06,21.5600,21.5600,21.0000,21.2500,3.2587,241600
1998-02-09,21.4400,21.8800,21.3800,21.4400,3.2878,194800
1998-02-10,21.4400,21.8100,21.0000,21.8100,3.3446,276667
1998-02-11,21.8100,21.8100,21.3100,21.6300,3.3170,353867
1998-02-12,21.5600,22.0000,21.0600,21.8100,3.3446,300167
1998-02-13,21.8100,21.8800,21.3100,21.8100,3.3446,237467
1998-02-17,21.8800,22.3100,21.8800,22.2500,3.4120,218000
1998-02-18,22.3800,22.8800,22.1300,22.8800,3.5086,432033
1998-02-19,22.7500,22.8100,22.2500,22.7500,3.4887,328567
1998-02-20,22.5000,22.5000,22.1900,22.5000,3.4504,303600
