,open,high,low,close,adj_close,volume
1998-01-02,62.9400,62.9400,62.4400,62.5000,5.6349,36900
1998-01-05,62.3800,63.0000,62.3800,62.7500,5.6575,78100
1998-01-06,62.3800,63.0000,62.2500,63.0000,5.6800,57100
1998-01-07,62.2500,64.6300,62.2500,64.4400,5.8098,113700
1998-01-08,64.4400,64.9400,63.8800,64.7500,5.8378,99400
1998-01-09,64.5000,64.5000,61.0000,61.0000,5.4997,90200
1998-01-12,60.7500,60.7500,59.4400,60.3100,5.4375,195900
1998-01-13,60.3100,60.5600,59.2500,60.2500,5.4321,126500
1998-01-14,60.5000,60.7500,59.7500,59.9400,5.4041,121900
1998-01-15,59.9400,59.9400,58.7500,59.6300,5.3762,114700
1998-01-16,59.6300,59.8800,59.2500,59.5600,5.3699,95200
1998-01-20,59.3100,59.4400,58.6300,59.3800,5.3536,80700
1998-01-21,59.3800,59.9400,58.7500,59.1900,5.3365,94600
1998-01-22,58.5000,59.0000,58.3800,59.0000,5.3194,93300
1998-01-23,59.0000,59.9400,58.8800,59.5600,5.3699,156400
1998-01-26,60.0000,60.0000,58.7500,59.5600,5.3699,76500
1998-01-27,59.4400,60.1900,59.4400,60.0000,5.4095,92700
1998-01-28,60.2500,61.7500,60.2500,61.4400,5.5394,61900
1998-01-29,61.2500,61.9400,60.6300,61.8800,5.5790,144100
1998-01-30,61.6300,63.3100,60.7500,63.1300,5.6917,342800
1998-02-02,63.1900,65.1900,63.1900,65.0000,5.8603,138700
1998-02-03,65.5600,67.0000,65.3800,66.2500,5.9730,108500
1998-02-04,66.0000,67.6300,66.0000,67.3100,6.0686,84900
1998-02-05,67.5600,67.8100,67.3100,67.5600,6.0911,78100
1998-02-06,67.7500,68.7500,67.7500,68.6300,6.1876,165800
1998-02-09,69.2500,69.3800,68.6900,69.0000,6.2210,101700
1998-02-10,69.0000,69.1900,68.7500,68.8100,6.2038,112000
1998-02-11,68.8100,69.2500,68.5600,68.9400,6.2155,39300
1998-02-12,69.0000,69.5000,68.1300,69.5000,6.2660,98000
1998-02-13,69.5000,69.5000,68.7500,69.0600,6.2264,21100
1998-02-17,69.3100,70.3800,69.3100,69.8100,6.2940,82800
1998-02-18,69.8800,70.9400,69.8800,70.4400,6.3508,31700
1998-02-19,70.5000,70.5600,70.0600,70.0600,6.3165,61700
1998-02-20,70.1300,70.4400,70.0000,70.2500,6.3337,37700
1998-02-23,70.3800,70.6900,70.0000,70.6900,6.3733,119900
1998-02-24,70.8100,72.2500,70.7500,72.0000,6.4914,137800
1998-02-25,72.0000,73.3800,72.0000,72.8800,6.5708,139300
1998-02-26,72.9400,72.9400,72.3100,72.3800,6.5257,52100
1998-02-27,72.1300,72.1300,71.7500,71.9400,6.4860,54800
1998-03-02,71.6900,72.8100,71.2500,72.6900,6.5536,143500
