,open,high,low,close,adj_close,volume
1998-01-02,99.8100,99.8100,98.6300,99.6300,25.7629,988533
1998-01-05,100.5000,100.8000,97.6900,98.8100,25.5509,3964933
1998-01-06,98.5000,98.6900,98.0000,98.4400,25.4552,1434500
1998-01-07,98.0600,98.5000,97.3800,98.5000,25.5051,1490667
1998-01-08,98.3100,98.4400,96.9400,97.6900,25.2954,942300
1998-01-09,97.6900,97.7500,96.0000,96.0000,24.8578,1809667
1998-01-12,94.0600,96.1300,93.5600,94.4400,24.4538,2049067
1998-01-13,94.3800,95.5000,93.7500,95.0000,24.5988,1690233
1998-01-14,95.0600,97.1300,94.1900,96.5000,24.9872,1142667
1998-01-15,95.7500,96.0600,94.6900,95.6900,24.7775,1011033
1998-01-16,96.2500,96.5600,95.2500,96.1300,24.8914,1496233
1998-01-20,97.0000,99.7500,96.7500,99.3800,25.7330,1354900
1998-01-21,99.0000,99.5000,98.0600,98.8800,25.6035,1187467
1998-01-22,98.6300,98.6300,96.3100,96.5000,24.9872,898900
1998-01-23,97.5000,99.1900,96.8100,98.6300,25.5388,1844967
1998-01-26,98.8800,99.3100,97.0000,97.3800,25.2151,1032333
1998-01-27,98.9400,104.1000,98.8800,102.8000,26.6185,3278667
1998-01-28,103.9000,106.8000,103.5000,105.0000,27.1882,2986933
1998-01-29,104.8000,108.4000,104.6000,106.3000,27.5248,1854900
1998-01-30,106.1000,107.9000,105.3000,106.9000,27.6802,1443000
1998-02-02,106.9000,109.3000,106.8000,108.8000,28.1721,1861700
1998-02-03,107.8000,108.3000,106.8000,108.0000,27.9650,1409533
1998-02-04,107.4000,108.8000,107.3000,108.3000,28.0427,1150667
1998-02-05,108.8000,109.4000,107.4000,108.3000,28.0427,1179767
1998-02-06,108.3000,109.1000,108.1000,108.6000,28.1204,748933
1998-02-09,109.2000,109.6000,107.6000,107.7000,27.8873,872233
1998-02-10,108.2000,109.1000,106.5000,108.5000,28.0945,1133233
1998-02-11,108.5000,110.8000,108.3000,110.8000,28.6900,1308767
1998-02-12,110.0000,110.4000,108.9000,110.1000,28.5088,1388667
1998-02-13,109.3000,111.6000,109.3000,111.4000,28.8454,977367
1998-02-17,112.2000,113.0000,111.8000,113.0000,29.2597,1493100
1998-02-18,112.9000,115.3000,112.1000,114.9000,29.7516,1215267
