,open,high,low,close,adj_close,volume
1998-01-02,35.8800,36.3100,35.7500,35.8800,16.1988,183400
1998-01-05,36.2500,36.4400,35.6900,36.0600,16.2801,315200
1998-01-06,35.8800,36.1900,35.6900,36.0600,16.2801,297800
1998-01-07,35.8800,35.9400,35.0600,35.2500,15.9144,474600
1998-01-08,35.2500,35.2500,34.3800,34.8800,15.7474,545300
1998-01-09,34.6900,34.9400,34.0000,34.0600,15.3772,407500
1998-01-12,33.5000,34.5600,33.0600,34.2500,15.4629,782800
1998-01-13,34.1900,34.2500,33.8100,34.0600,15.3772,347200
1998-01-14,34.0600,35.6300,33.6900,35.2500,15.9144,654300
1998-01-15,35.1300,35.1900,34.3700,34.7500,15.6887,455700
1998-01-16,35.0000,35.0600,34.5000,34.5000,15.5758,632300
1998-01-20,34.0000,35.3100,33.1300,35.3100,15.9415,680200
1998-01-21,35.1900,35.6300,34.8800,35.3800,15.9731,352800
1998-01-22,35.2500,35.2500,33.6300,33.8100,15.2643,456200
1998-01-23,34.0000,34.6900,33.8800,34.1300,15.4088,372700
1998-01-26,34.1300,34.3800,33.3800,33.7500,15.2372,216900
1998-01-27,33.9400,34.5000,32.5000,33.0000,14.8986,714200
1998-01-28,33.1900,33.5000,33.0000,33.3100,15.0386,766300
1998-01-29,33.1900,34.5600,33.0000,34.4400,15.5487,700800
1998-01-30,34.5000,35.0600,33.8100,34.0600,15.3772,889500
1998-02-02,34.7500,35.6900,34.7500,35.3800,15.9731,631600
1998-02-03,35.7500,35.7500,34.7500,35.3100,15.9415,499100
1998-02-04,35.3100,35.3800,34.6300,35.1900,15.8873,395600
1998-02-05,35.0600,35.2500,34.7500,35.0600,15.8286,598500
1998-02-06,35.1900,35.6300,35.0600,35.1900,15.8873,518500
1998-02-09,35.2500,35.8800,35.2500,35.8800,16.1988,396800
1998-02-10,35.7500,37.5000,35.7500,37.3800,16.8760,1062600
1998-02-11,37.3100,37.3100,36.2500,36.6300,16.5374,289500
1998-02-12,36.3800,36.6300,35.6300,36.5000,16.4788,668000
1998-02-13,36.2500,36.9400,36.1900,36.3100,16.3930,247100
1998-02-17,36.5600,37.1900,36.1300,36.1900,16.3388,251400
1998-02-18,36.3100,38.0000,36.1900,37.6900,17.0160,351900
1998-02-19,37.4400,37.9400,37.3100,37.6900,17.0160,301900
1998-02-20,37.9400,37.9400,37.1300,37.3100,16.8444,373100
1998-02-23,37.3800,37.7500,36.8100,37.0000,16.7045,350800
1998-02-24,37.0000,37.7500,36.6900,36.9400,16.6774,427000
1998-02-25,36.6900,37.7500,36.6900,37.5000,16.9731,316900
1998-02-26,37.5600,39.1900,37.5000,39.1900,17.7380,436400
1998-02-27,39.0600,39.1900,38.0000,38.6300,17.4846,452400
1998-03-02,38.5600,38.6300,38.0000,38.1900,17.2854,294100
