,open,high,low,close,adj_close,volume
1998-01-02,24.3800,24.3800,24.0000,24.0600,7.0023,68900
1998-01-05,24.3100,24.3100,24.0600,24.1200,7.0198,159100
1998-01-06,24.1900,24.1900,23.5000,23.6900,6.8947,202400
1998-01-07,24.0000,24.0600,23.5000,23.5600,6.8568,166300
1998-01-08,23.6200,24.1900,23.3800,23.9400,6.9674,299200
1998-01-09,24.1900,24.2500,23.6200,23.6200,6.8743,78800
1998-01-12,23.3800,23.5000,23.0600,23.3800,6.8044,111600
1998-01-13,23.6200,24.1200,23.0600,23.7500,6.9121,261800
1998-01-14,24.0000,24.0000,23.7500,24.0000,6.9849,185400
1998-01-15,24.4400,24.5600,23.8800,24.0000,6.9849,266300
1998-01-16,24.3800,24.4400,23.7500,23.7500,6.9121,145500
1998-01-20,24.0000,24.6900,23.8100,24.6200,7.1653,145800
1998-01-21,24.6200,25.0000,24.5000,24.6200,7.1653,159100
1998-01-22,24.4400,24.5600,23.9400,23.9400,6.9674,141000
1998-01-23,23.6900,24.1200,23.6900,23.9400,6.9674,98500
1998-01-26,23.6900,24.1900,23.5600,24.0000,6.9849,95100
1998-01-27,24.1900,24.3800,24.0000,24.3100,7.0751,102300
1998-01-28,24.5600,24.6900,24.1200,24.2500,7.0576,109800
1998-01-29,24.3100,24.9400,24.1200,24.5600,7.1479,167500
1998-01-30,24.8100,24.8100,23.6900,23.7500,6.9121,110100
1998-02-02,24.0000,24.2500,23.8100,23.8100,6.9296,230900
1998-02-03,24.0000,24.0000,23.6200,23.6900,6.8947,155100
1998-02-04,23.6200,23.9400,23.6200,23.7500,6.9121,198400
1998-02-05,23.7500,24.0000,23.6900,23.7500,6.9121,139100
1998-02-06,23.9400,24.1200,23.7500,24.0000,6.9849,164600
1998-02-09,24.1200,24.1200,23.9400,23.9400,6.9674,44600
1998-02-10,23.6900,24.0000,23.6900,23.8800,6.9500,110800
1998-02-11,23.6200,23.8800,23.6200,23.8100,7.0169,140000
1998-02-12,23.9400,23.9400,23.2500,23.7500,6.9992,189400
1998-02-13,23.5000,23.7500,23.0000,23.1900,6.8342,156000
1998-02-17,23.3800,23.4400,23.1900,23.2500,6.8519,125200
1998-02-18,23.3100,23.3100,22.8800,23.0000,6.7782,106000
1998-02-19,23.2500,23.2500,22.8100,22.9400,6.7605,186100
1998-02-20,23.0000,23.0600,22.7500,22.7500,6.7045,169300
1998-02-23,22.9400,22.9400,22.3100,22.6200,6.6662,335800
1998-02-24,22.8800,22.8800,22.6200,22.6900,6.6868,84200
1998-02-25,22.5600,22.9400,22.5600,22.8100,6.7222,114000
1998-02-26,22.9400,23.0000,22.8100,22.8800,6.7428,60600
1998-02-27,23.0600,23.0600,22.6200,22.9400,6.7605,152800
1998-03-02,22.6900,22.9400,22.5000,22.7500,6.7045,243300
1998-03-03,22.5000,22.7500,22.5000,22.7500,6.7045,148100
1998-03-04,22.6200,22.7500,22.5600,22.6200,6.6662,107400
1998-03-05,22.5000,22.9400,22.5000,22.9400,6.7605,100200
1998-03-06,22.9400,23.6200,22.8800,23.2500,6.8519,140800
1998-03-09,23.0000,23.6200,23.0000,23.3100,6.8695,112300
1998-03-10,23.3100,23.8100,23.3100,23.4400,6.9078,111300
1998-03-11,23.2500,23.6200,23.2500,23.3800,6.8902,67500
