,open,high,low,close,adj_close,volume
1998-01-02,34.6300,34.7500,34.5000,34.6300,13.1939,226100
1998-01-05,34.5000,34.6900,33.5600,33.9400,12.9310,269900
1998-01-06,33.8800,34.2500,33.8100,33.8800,12.9082,271800
1998-01-07,33.7500,33.8800,33.4400,33.8800,12.9082,351800
1998-01-08,33.8800,34.3800,33.8100,34.3800,13.0987,695400
1998-01-09,34.3100,34.5000,34.0600,34.0600,12.9767,210500
1998-01-12,33.6300,34.6300,33.6300,34.5000,13.1444,343100
1998-01-13,34.5000,34.8100,34.1900,34.5600,13.1672,173900
1998-01-14,34.6900,34.6900,34.1900,34.5600,13.1672,337200
1998-01-15,34.5600,34.5600,33.9400,34.0600,12.9767,383900
1998-01-16,34.5600,34.9400,34.3100,34.7500,13.2396,463700
1998-01-20,34.6300,34.8100,34.3800,34.8100,13.2625,299400
1998-01-21,34.8100,34.9400,34.5600,34.9400,13.3120,324300
1998-01-22,34.8100,34.9400,34.5600,34.9400,13.3120,322100
1998-01-23,34.9400,35.0000,34.7500,34.8800,13.2892,298400
1998-01-26,34.7500,34.8800,34.4400,34.7500,13.2396,209400
1998-01-27,34.8100,35.6900,34.7500,35.4400,13.5025,765800
1998-01-28,35.5000,36.0600,35.1300,35.3800,13.4797,591500
1998-01-29,35.3800,36.5000,35.1300,36.3800,13.8607,591600
1998-01-30,36.4400,36.4400,35.8800,35.8800,13.6702,388400
1998-02-02,36.0000,36.3800,36.0000,36.3100,13.8340,271300
1998-02-03,36.1900,37.0600,36.1900,37.0000,14.0969,886000
1998-02-04,36.8800,37.1300,36.8100,37.1300,14.1464,683600
1998-02-05,37.0000,37.0000,36.5000,36.5000,13.9064,745600
1998-02-06,36.5600,36.7500,36.3100,36.6900,13.9788,648700
1998-02-09,36.6900,36.6900,36.4400,36.6300,13.9559,692100
1998-02-10,36.6300,36.9400,36.5600,36.7500,14.0016,879000
1998-02-11,36.8100,36.8100,36.3800,36.6300,13.9559,428000
1998-02-12,36.6300,36.6300,36.5000,36.6300,13.9559,487500
1998-02-13,36.5600,36.9400,36.4400,36.8100,14.0245,416800
1998-02-17,36.8800,37.3100,36.8800,37.3100,14.2150,564900
1998-02-18,37.2500,37.4400,37.1900,37.4400,14.2645,792100
1998-02-19,37.3100,37.3800,37.1300,37.2500,14.1921,610800
1998-02-20,37.5600,37.7500,37.4400,37.5600,14.3102,322900
1998-02-23,37.6300,37.6300,37.2500,37.3100,14.2150,269200
1998-02-24,37.2500,37.2500,36.7500,36.8100,14.0245,288300
