,open,high,low,close,adj_close,volume
1998-01-02,27.5000,27.5000,27.0600,27.1300,9.0433,230200
1998-01-05,27.1300,27.1900,26.8700,27.0000,9.0000,213867
1998-01-06,27.0600,27.0600,26.7500,26.7500,8.9167,219067
1998-01-07,26.7500,26.8100,26.0000,26.0600,8.6867,582800
1998-01-08,26.0000,26.1900,25.2500,25.2500,8.4167,196800
1998-01-09,25.5000,25.5000,24.3800,24.5000,8.1667,279600
1998-01-12,24.3800,24.3800,23.6900,23.7500,7.9167,314267
1998-01-13,23.8700,24.3800,23.8100,24.3800,8.1267,318467
1998-01-14,24.3100,24.8800,24.1900,24.8800,8.2933,299000
1998-01-15,25.0000,25.0000,24.7500,24.8800,8.2933,206200
1998-01-16,25.0000,25.0600,24.7500,24.9400,8.3133,695600
1998-01-20,24.8800,25.1200,24.8800,25.0000,8.3333,550467
1998-01-21,25.0000,25.0000,24.8800,24.9400,8.3133,204467
1998-01-22,24.8800,25.0000,24.7500,24.8800,8.2933,871067
1998-01-23,25.0000,25.0000,24.8100,24.8100,8.2700,546867
1998-01-26,24.8100,24.8100,24.0000,24.0000,8.0000,182000
1998-01-27,24.0600,24.0600,23.1200,23.2500,7.7500,236467
1998-01-28,23.3800,23.5000,22.3700,22.8800,7.6267,603667
1998-01-29,22.6300,24.5000,22.6300,24.3100,8.1033,1357000
1998-01-30,24.4400,24.8800,24.0600,24.3800,8.1267,514200
1998-02-02,24.2500,26.4400,24.2500,26.0000,8.6667,550000
1998-02-03,26.0000,29.0000,26.0000,28.7500,9.5833,937267
1998-02-04,28.6300,30.1300,28.5000,29.7500,9.9167,1171267
1998-02-05,29.8100,30.0600,29.0600,29.0600,9.6867,410667
1998-02-06,29.0600,29.6900,29.0000,29.1200,9.7067,229800
1998-02-09,29.2500,29.2500,28.6900,29.1200,9.7067,143267
1998-02-10,29.0000,29.1200,28.8100,28.9400,9.6467,58000
1998-02-11,29.0600,29.0600,28.9400,29.0000,9.6667,195467
1998-02-12,29.0600,29.0600,28.7500,29.0000,9.6667,107800
1998-02-13,29.0000,29.8700,29.0000,29.8100,9.9367,684067
1998-02-17,29.6200,29.7500,29.0600,29.4400,9.8133,301800
1998-02-18,29.5000,29.8100,29.5000,29.7500,9.9167,457000
1998-02-19,29.6900,29.7500,29.5000,29.6200,9.8733,252200
1998-02-20,29.8100,31.1900,29.8100,31.0000,10.3333,876600
1998-02-23,31.0000,31.1200,30.6200,31.1200,10.3733,394267
