,open,high,low,close,adj_close,volume
1998-01-02,38.5000,38.5000,38.2500,38.3800,15.9334,25800
1998-01-05,38.0000,38.0600,36.8800,36.9400,15.3356,35300
1998-01-06,36.7500,37.9400,36.2500,37.9400,15.7507,122600
1998-01-07,38.1300,38.1900,35.3100,35.3800,14.6879,76300
1998-01-08,35.1300,35.1300,34.0000,34.0000,14.1150,160600
1998-01-09,34.0000,34.1300,33.3800,33.3800,13.8576,38400
1998-01-12,33.1300,33.3800,32.8800,33.0000,13.6999,123000
1998-01-13,33.0600,33.6900,33.0000,33.6300,13.9614,259000
1998-01-14,33.5600,34.2500,33.3800,34.1900,14.1939,114400
1998-01-15,34.0000,34.3800,33.5000,33.9400,14.0901,66700
1998-01-16,34.1900,35.5000,34.1900,35.2500,14.6340,90100
1998-01-20,36.0000,37.9400,35.8800,37.9400,15.7507,139000
1998-01-21,37.7500,37.7500,36.5600,36.7500,15.2567,80500
1998-01-22,36.7500,36.7500,35.5000,35.6300,14.7917,172500
1998-01-23,35.5900,35.6300,35.5600,35.6300,14.7917,13900
1998-01-26,35.6300,35.8100,35.5600,35.6600,14.8042,141800
1998-01-27,35.8800,35.8800,34.7500,34.8100,14.4513,93900
1998-01-28,34.7500,35.2500,34.6900,35.0600,14.5551,70400
1998-01-29,34.8100,36.2500,34.8100,35.8800,14.8955,48300
1998-01-30,35.6300,35.6900,34.8800,34.8800,14.4804,47100
1998-02-02,35.0000,35.0000,34.5000,34.5600,14.3475,89200
1998-02-03,34.5600,34.8100,34.5000,34.6900,14.4015,78100
1998-02-04,34.4400,34.7500,34.3100,34.3800,14.2728,86200
1998-02-05,34.0000,34.8800,34.0000,34.0000,14.1150,324500
1998-02-06,34.0000,34.6300,33.8800,34.4400,14.2977,87800
1998-02-09,34.4400,34.9400,34.1300,34.8800,14.4804,65900
1998-02-10,34.8800,35.7500,34.8800,35.7500,14.8415,93500
1998-02-11,35.5000,36.0000,34.7500,34.7500,14.4264,82500
1998-02-12,34.5000,34.7500,33.7500,34.6900,14.4015,59100
