,open,high,low,close,adj_close,volume
2017-08-03,64.3100,64.5300,63.2400,63.4300,61.2148,6185100
2017-08-04,63.5500,64.1600,63.5200,64.1100,61.8711,4015500
2017-08-14,63.5300,63.9000,63.2400,63.4100,61.1955,3168900
2017-08-25,64.5900,64.7400,64.2700,64.5400,62.2860,2676500
2017-09-01,66.6600,67.3000,65.6600,67.1800,64.8338,7204419
2017-09-05,67.0200,67.1700,64.9800,64.9800,62.7107,10832692
2017-09-06,65.2000,65.3300,64.0100,64.8700,62.6045,9965743
2017-09-07,64.6000,64.9500,64.2200,64.6800,62.4211,6321024
2017-09-08,64.9000,65.2000,64.6400,64.8500,62.5852,8099999
2017-09-11,65.2500,67.1600,65.2000,66.8500,64.5154,11567033
2017-09-12,68.2000,69.2500,67.8007,68.5200,66.1270,14419059
2017-09-13,68.9000,69.6000,68.2900,69.5000,67.0728,8734377
2017-09-14,69.6000,70.3000,69.2200,70.0200,67.5747,11262962
2017-09-15,70.2600,70.7000,69.5000,69.8600,67.4202,32382148
2017-09-18,70.0000,70.3700,69.6200,69.7700,67.3334,7193103
2017-09-19,70.0200,70.1100,69.6400,70.0500,67.6036,6676368
2017-09-20,70.2800,70.5000,69.6601,70.4100,67.9510,6639388
2017-09-21,70.4100,70.5000,70.1000,70.3200,67.8642,4450108
2017-09-22,70.1400,70.2300,69.6800,69.9600,67.5167,4013074
2017-09-25,70.0700,70.3800,69.2100,70.3400,67.8835,6366314
2017-09-26,70.2600,70.4757,69.3300,69.3500,66.9281,5231424
2017-09-27,69.5200,69.5200,68.2700,68.8000,66.3973,6594167
2017-09-28,68.4400,69.0700,67.7700,69.0600,66.6482,7868752
2017-09-29,69.0000,69.4100,68.5700,69.2300,66.8122,5635752
2017-10-02,69.4000,70.4200,69.1500,70.4200,67.9607,5973290
2017-10-03,70.4100,70.6200,69.9001,70.3600,67.9028,6609275
2017-10-04,70.5800,70.9100,70.4400,70.4500,67.9896,5999176
2017-10-05,70.8200,71.0000,70.2400,70.9700,68.4915,5478167
2017-10-06,70.8000,71.2300,70.6200,71.2200,68.7327,3916285
2017-10-09,71.2000,71.8800,71.0000,71.6800,69.1767,5278815
2017-10-10,71.5600,71.7500,71.1600,71.5700,69.0705,4828995
2017-10-11,71.5000,71.6300,70.9200,71.6200,69.1188,4969383
2017-10-12,71.5000,71.6300,71.2100,71.4000,68.9065,4464653
2017-10-13,71.5300,71.7000,71.1500,71.4300,68.9354,5135077
2017-10-16,71.8000,71.8100,70.8100,70.9300,68.4529,4264175
2017-10-17,70.8000,70.9350,70.5300,70.8800,68.4046,5580414
2017-10-18,70.8600,70.9700,70.5600,70.7800,68.3081,4755211
2017-10-19,70.6500,71.0750,70.2900,70.8900,68.4143,5846213
2017-10-20,71.2000,71.3901,71.0000,71.1800,68.6941,7323008
2017-10-23,71.9500,72.1798,71.4000,71.5500,69.0512,11089734
2017-10-24,71.8400,72.1200,71.6100,71.8600,69.3504,10221914
2017-10-25,71.8600,72.1000,70.9300,71.1200,68.6362,6556254
2017-10-26,72.3300,73.8500,72.0300,73.0500,70.4988,16680416
2017-10-27,73.0000,73.1000,72.2300,72.5400,70.0066,8373245
2017-10-30,72.3200,72.6100,71.5199,71.6800,69.1767,5736786
2017-10-31,71.9100,72.4650,71.6000,72.3100,69.7847,5925916
2017-11-01,73.1100,73.5800,72.3200,73.3200,70.7594,7785670
2017-11-02,72.0200,73.2000,71.5600,72.0400,69.5241,10239822
2017-11-03,72.0900,72.2700,70.8600,71.1600,68.6748,8505147
2017-11-06,71.4000,71.7300,70.1300,70.2400,67.7870,8919535
2017-11-07,70.8900,71.1500,70.3200,71.1400,68.6555,6654903
2017-11-08,71.3100,71.5000,70.7100,70.8100,68.3371,6091437
2017-11-09,70.5000,70.5400,70.0100,70.2300,67.7773,4528620
2017-11-10,70.2300,70.4900,69.7400,69.9700,67.5264,7118712
2017-11-13,69.4400,70.6500,69.3100,70.4600,67.9993,6105426
2017-11-14,69.8000,69.9300,68.3350,68.5700,66.5420,8126127
2017-11-15,68.2200,69.1400,67.9950,68.9700,66.9302,13546227
2017-11-16,69.3600,70.7700,69.0700,70.6800,68.5896,9589996
2017-11-17,70.6500,71.2100,70.5000,70.7400,68.6478,8734674
2017-11-20,70.6600,71.2700,70.5400,70.8500,68.7546,5521435
2017-11-21,71.4000,71.7750,71.1000,71.2600,69.1525,8085686
2017-11-22,71.3500,71.3800,70.6000,70.6000,68.5120,6352993
2017-11-24,70.6000,71.3900,70.5300,71.1600,69.0554,2636225
2017-11-27,71.0300,71.0500,70.0200,70.1300,68.0559,6720193
2017-11-28,70.3000,71.2000,70.1300,71.0900,68.9875,8231453
2017-11-29,71.1700,71.9300,70.8700,71.7800,69.6571,6437722
2017-11-30,71.8200,72.8300,71.4396,71.9600,69.8318,8947524
2017-12-01,72.3200,72.6100,70.6700,71.0100,68.9099,7635467
2017-12-04,71.7200,72.9875,71.5000,72.1300,69.9967,8552310
2017-12-05,72.9400,73.2000,71.5000,71.5400,69.4242,8641962
2017-12-06,71.6600,71.7900,70.9500,71.0800,68.9778,5717782
2017-12-07,71.0000,71.5000,70.8499,71.3700,69.2592,6160392
2017-12-08,71.2100,71.5200,70.3200,70.7300,68.6381,8511037
2017-12-11,70.7800,71.4100,70.6800,70.8100,68.7158,6603957
2017-12-12,70.9100,71.1500,70.6650,70.7900,68.6964,9228604
2017-12-13,70.6800,71.0500,70.4200,70.5600,68.4732,9666650
2017-12-14,70.6100,70.9300,70.0700,70.3200,68.2403,7042053
2017-12-15,70.0450,70.4400,69.8600,70.0000,67.9297,14783747
2017-12-18,70.4000,71.6900,70.2400,71.3900,69.2786,6718420
2017-12-19,71.4100,71.7450,71.2200,71.4200,69.3077,5109184
2017-12-20,71.6700,72.0600,71.2400,71.2700,69.1622,5817729
2017-12-21,71.7400,71.8000,71.0100,71.6400,69.5212,7166441
2017-12-22,71.9900,72.3500,71.7600,72.1100,69.9773,4370788
2017-12-26,72.1100,72.1700,71.3100,71.4400,69.3271,3093544
2017-12-27,71.6500,71.7500,71.2900,71.4400,69.3271,4097522
2017-12-28,71.3800,71.6300,70.8900,71.5100,69.3951,4269915
2017-12-29,71.8100,71.8500,71.2200,71.2200,69.1136,4708711
2018-01-02,71.5700,72.1900,71.4000,71.9000,69.7735,7407279
2018-01-03,72.0100,73.1400,71.6900,73.0500,70.8895,7884048
2018-01-04,73.1700,74.7350,73.1400,74.4500,72.2481,9431983
2018-01-05,74.5000,75.5400,74.4900,75.4200,73.1894,8874760
2018-01-08,75.3400,75.4900,74.4700,75.1600,72.9371,5808534
2018-01-09,74.9400,76.3400,74.6600,75.3400,73.1118,7549584
2018-01-10,75.0000,75.3700,73.9000,74.2000,72.0055,7126620
2018-01-11,74.4000,75.2300,74.2100,75.2200,72.9953,5935423
2018-01-12,75.5700,75.6268,74.9900,75.4100,73.1797,4809786
2018-01-16,75.7600,76.3505,74.3400,74.9500,72.7333,6478582
2018-01-17,75.9700,76.3500,75.0900,75.7700,73.5291,7685511
2018-01-18,75.5700,76.6500,75.1200,76.0300,73.7814,9902301
2018-01-19,76.4900,76.4900,75.7600,76.0100,73.7620,8157916
2018-01-22,75.7900,76.1800,75.2900,76.1800,73.9270,6064341
2018-01-23,75.8600,76.3700,75.6057,76.1400,73.8881,5568764
2018-01-24,76.2800,77.0800,75.6100,76.0100,73.7620,9178822
2018-01-25,76.3300,76.9700,76.2100,76.6500,74.3831,6424666
2018-01-26,76.5700,77.0200,75.2600,77.0200,74.7421,5963096
2018-01-29,77.0200,77.0600,75.8300,75.8700,73.6261,5652076
2018-01-30,75.4900,75.9800,74.9200,75.1300,72.9080,7448651
2018-01-31,75.3800,76.0500,74.7900,75.5800,73.3447,10046915
2018-02-01,74.6800,76.0000,73.4300,73.5000,71.3262,13247352
2018-02-02,73.0600,73.2900,70.6400,70.8900,68.7934,12705438
2018-02-05,70.1900,71.8652,67.0300,67.8400,65.8336,18340685
2018-02-06,66.6300,71.9500,66.1900,71.8900,69.7638,23087108
