,open,high,low,close,adj_close,volume
2017-02-01,62.3800,62.8300,61.6900,62.2500,53.0652,14632
2017-02-02,62.0400,63.0800,61.6000,62.9500,53.6619,14242
2017-02-03,65.4500,70.4700,65.0100,69.9500,59.6291,86383
2017-02-06,69.9500,71.5000,69.8100,71.3800,60.8481,44191
2017-02-07,71.4500,71.7900,70.5600,70.6900,60.2599,26749
2017-02-08,70.6400,71.1800,70.3300,70.7700,60.3281,17361
2017-02-09,70.3700,71.2200,70.2800,71.0000,60.5242,14249
2017-02-10,71.0900,71.6000,70.7900,70.8200,60.3707,11178
2017-02-13,71.3000,71.4400,70.2900,70.3900,60.0042,21933
2017-02-14,69.9600,70.7900,69.6100,70.1400,59.7911,13189
2017-02-15,70.2300,70.8100,69.9500,70.2000,59.8422,12724
2017-02-16,70.6100,70.9300,70.2900,70.8400,60.3878,18500
2017-02-17,70.5700,70.8000,70.1800,70.5600,60.1491,8180
2017-02-21,70.9400,71.2400,70.4100,71.0600,60.5753,10085
2017-02-22,70.7100,71.6000,70.5300,70.7300,60.2940,7405
2017-02-23,71.1100,71.1200,68.9900,69.7500,59.4586,12544
2017-02-24,67.9900,69.2900,67.2700,69.1000,58.9045,21117
2017-02-27,69.1600,69.1600,67.4100,68.5600,58.4442,13194
2017-02-28,68.5400,69.2700,68.2900,68.5600,58.4442,22170
2017-03-01,69.1700,71.1900,69.1700,70.5800,60.1662,16211
2017-03-02,70.2100,70.7700,69.7200,70.0300,59.6973,11945
2017-03-03,70.1400,70.1800,69.2700,69.8500,59.5439,11100
2017-03-06,69.2000,69.3600,68.6100,68.6600,58.5294,8277
2017-03-07,68.4100,68.9500,68.1800,68.2900,58.2140,10139
2017-03-08,68.3500,68.9800,68.1000,68.5900,58.4698,6808
2017-03-09,68.4100,69.2400,68.3700,69.0000,58.8193,7643
2017-03-10,68.7300,69.3300,67.9800,69.0600,58.8704,9491
2017-03-13,68.9800,69.2200,68.5400,68.8100,58.6573,15457
2017-03-14,68.3100,68.7900,67.6300,68.5400,58.4272,6870
2017-03-15,68.7200,69.5900,68.7200,69.3800,59.1432,10831
2017-03-16,69.4800,70.0100,68.5900,68.7900,58.6403,8672
2017-03-17,69.1800,69.2100,66.3400,66.5800,56.7563,30224
2017-03-20,66.7700,67.6200,66.0000,66.7500,56.9013,13057
2017-03-21,66.8000,67.4100,63.9400,65.0300,55.4350,29042
2017-03-22,65.4900,66.4000,64.7900,65.8300,56.1170,15079
2017-03-23,65.2500,67.7700,65.2200,67.2400,57.3190,12433
2017-03-24,67.9000,69.0400,67.6000,67.8400,57.8304,13766
2017-03-27,67.0100,68.1600,65.5300,68.0500,58.1288,31267
2017-03-28,68.3500,70.1000,68.2000,69.0700,59.0001,21514
2017-03-29,69.2800,74.9200,67.5000,72.7200,62.1179,73256
2017-03-30,72.9900,73.5400,70.2800,71.1500,60.7768,45002
2017-03-31,71.0900,71.0900,68.9000,69.0100,58.9488,55257
2017-04-03,69.3200,71.8300,67.7600,67.9500,58.0434,34496446
2017-04-04,68.5800,70.6250,68.1100,69.4000,59.2820,6991755
2017-04-05,69.9700,72.6400,69.6100,71.7900,61.3235,5244219
2017-04-06,72.7200,75.0900,72.5500,74.6800,63.7922,9425095
2017-04-07,74.4000,76.2400,74.3900,75.8700,64.8087,3981631
2017-04-10,75.9000,76.1600,73.8400,74.7100,63.8178,3184751
2017-04-11,74.1100,75.1800,73.5400,74.2800,63.4505,2928972
2017-04-12,74.0400,76.7500,74.0000,76.1300,65.0308,3587192
2017-04-13,75.6900,77.3400,75.5200,76.5100,65.3554,2960952
2017-04-17,76.8000,77.9900,76.8000,77.0000,65.7739,2065550
2017-04-18,76.7000,76.8400,74.7700,75.3900,64.3987,3131160
2017-04-19,76.1600,76.1600,74.7000,75.2500,64.2791,3219498
2017-04-20,75.5200,75.7800,74.8800,75.4900,64.4841,2624505
2017-04-21,75.7200,76.5200,75.0100,76.3200,65.1931,2727860
2017-04-24,76.9700,77.0300,75.4300,75.6900,64.6549,2156462
2017-04-25,75.4100,76.4200,75.0900,76.1300,65.0308,2042220
2017-04-26,76.3300,76.7500,75.6500,76.1400,65.0393,1539411
2017-04-27,76.3300,76.4700,75.3500,75.8800,64.8172,1185210
2017-04-28,75.8800,75.8800,74.9600,75.3400,64.3560,2006403
2017-05-01,75.3800,76.8000,74.9500,76.4000,65.2614,2961214
