,open,high,low,close,adj_close,volume
1998-01-02,42.4400,42.5000,42.1300,42.2500,8.4994,290200
1998-01-05,42.2500,42.9400,41.6900,41.8800,8.4249,595400
1998-01-06,41.6300,41.8800,41.3800,41.5600,8.3606,663400
1998-01-07,40.8800,41.2500,40.8800,41.1900,8.2861,494000
1998-01-08,41.3100,41.8800,41.1900,41.8100,8.4108,485600
1998-01-09,42.0000,42.1300,40.5000,40.5000,8.1473,916900
1998-01-12,40.2500,40.8800,40.1300,40.8100,8.2097,549400
1998-01-13,41.0000,41.0000,40.2500,40.3100,8.1091,245800
1998-01-14,40.3100,40.7500,39.9400,40.7500,8.1976,382400
1998-01-15,40.6900,40.7500,40.6300,40.6300,8.1735,1875800
1998-01-16,40.7500,40.8100,40.6300,40.6900,8.1855,487600
1998-01-20,40.6300,40.7500,40.6300,40.6900,8.1855,404400
1998-01-21,40.6300,40.8100,40.6300,40.8100,8.2097,457300
1998-01-22,40.6300,40.6300,39.8800,40.3100,8.1091,380900
1998-01-23,40.1900,40.4400,39.5000,39.5600,7.9582,317800
1998-01-26,39.6300,40.1900,39.6300,40.0000,8.0467,289200
1998-01-27,39.9400,40.0000,39.5600,39.5600,7.9582,374100
1998-01-28,39.4400,39.7500,39.3800,39.6900,7.9844,340300
1998-01-29,39.5600,40.2500,39.5000,40.2500,8.0970,729800
1998-01-30,40.0000,40.6300,39.8100,39.9400,8.0347,761000
1998-02-02,40.0000,40.1300,39.5600,39.8100,8.0085,612900
1998-02-03,39.6900,39.9400,39.5600,39.9400,8.0347,385300
1998-02-04,39.8800,40.2500,39.5600,40.1300,8.0729,392400
1998-02-05,40.2500,40.3800,39.7500,39.8800,8.0226,274000
1998-02-06,40.3800,40.5600,40.1300,40.3800,8.1232,462800
1998-02-09,40.3100,40.4400,40.0600,40.2500,8.0970,298300
1998-02-10,40.3800,40.7500,40.3100,40.4400,8.1352,807600
1998-02-11,40.6300,40.6900,40.3100,40.5000,8.1473,245700
