,open,high,low,close,adj_close,volume
1998-01-02,55.2500,55.6300,55.0000,55.5600,10.7646,59100
1998-01-05,56.8800,56.8800,56.0600,56.0600,10.8615,119900
1998-01-06,56.0600,56.2500,55.1900,55.5600,10.7646,111000
1998-01-07,55.3100,55.9400,55.1300,55.4400,10.7413,129100
1998-01-08,55.2500,55.5600,55.0000,55.0000,10.6561,83300
1998-01-09,55.0000,55.2500,54.3800,54.3800,10.5360,140600
1998-01-12,54.0000,54.6300,53.6900,54.1900,10.4992,138600
1998-01-13,54.2500,54.3100,53.5000,54.1300,10.4875,147100
1998-01-14,54.3100,54.3800,53.5000,54.1300,10.4875,94900
1998-01-15,54.0600,54.1300,53.2500,53.6900,10.4023,77600
1998-01-16,27.2500,28.0000,26.8800,27.8100,10.7762,95100
1998-01-20,28.5000,28.5000,27.4400,27.6300,10.7065,147800
1998-01-21,27.3800,27.6900,27.0000,27.5600,10.6793,167000
1998-01-22,27.3100,27.6900,27.0600,27.6900,10.7297,116300
1998-01-23,27.5600,27.8100,26.6900,27.3800,10.6096,189200
1998-01-26,27.6300,27.6900,26.9400,27.3800,10.6096,169800
1998-01-27,27.2500,27.6300,27.1900,27.3100,10.5825,115000
1998-01-28,27.2500,27.5000,26.7500,27.1900,10.5360,148200
1998-01-29,27.0600,27.7500,27.0000,27.0000,10.4623,190300
1998-01-30,27.5000,27.6900,27.1300,27.3800,10.6096,166600
1998-02-02,27.7500,27.7500,27.4400,27.6300,10.7065,161900
1998-02-03,27.4400,27.9400,27.4400,27.7500,10.7530,215000
1998-02-04,27.7500,27.9400,27.2500,27.2500,10.5592,138200
1998-02-05,27.2500,27.6300,26.8800,27.4400,10.6328,192400
1998-02-06,27.6900,27.9400,27.6300,27.6300,10.7065,149000
1998-02-09,27.3800,27.8100,27.2500,27.6900,10.7297,224000
1998-02-10,27.9400,28.3100,27.7500,28.1900,10.9235,341800
1998-02-11,28.1900,28.2500,27.7500,28.1300,10.9002,227100
1998-02-12,28.0000,28.3800,27.6300,28.1300,10.9002,232000
1998-02-13,28.0000,28.2500,27.8100,27.9400,10.8266,140900
1998-02-17,27.6900,28.5600,27.6900,28.3100,10.9700,138000
1998-02-18,28.3800,28.5600,28.1900,28.2500,10.9467,106800
1998-02-19,28.2500,28.3100,27.7500,27.8100,10.7762,234100
1998-02-20,28.0600,28.4400,27.8800,28.4400,11.0203,161900
1998-02-23,28.5000,28.8800,27.9400,28.4400,11.0203,198000
1998-02-24,28.3800,28.4400,28.1300,28.3100,10.9700,213400
1998-02-25,28.4400,28.7500,28.3100,28.6900,11.1172,126300
1998-02-26,28.5000,28.8100,28.2500,28.7500,11.1405,94600
1998-02-27,28.5000,29.1100,28.5000,28.8100,11.1637,93300
1998-03-02,28.8800,29.1300,28.8100,29.0600,11.2606,90600
1998-03-03,28.8800,29.1300,28.8800,29.0000,11.2373,229900
1998-03-04,29.1900,29.1900,28.6900,28.8800,11.1908,157000
1998-03-05,28.6300,28.8800,28.5000,28.5600,11.0668,102600
1998-03-06,27.7500,29.4400,27.7500,29.1300,11.2877,329400
1998-03-09,29.1300,29.1300,28.6900,28.8100,11.1637,128300
1998-03-10,28.8800,29.0000,28.5000,28.7500,11.1405,413500
1998-03-11,28.7500,29.1300,28.5600,29.0000,11.2373,100100
1998-03-12,28.8100,29.0000,28.0600,28.4400,11.0203,156300
1998-03-13,28.4400,28.8800,28.1900,28.1900,10.9603,225000
1998-03-16,28.2500,28.5000,28.1300,28.3800,11.0341,212800
1998-03-17,28.3800,29.1300,28.3800,29.1300,11.3257,194600
1998-03-18,28.9400,29.4400,28.9400,29.1300,11.3257,239900
1998-03-19,29.2500,29.3100,28.9400,29.0000,11.2752,279500
1998-03-20,29.0000,29.6300,28.3800,28.6900,11.1547,387000
1998-03-23,28.5000,28.7500,28.5000,28.7500,11.1780,261800
1998-03-24,28.7500,28.8100,28.5000,28.7500,11.1780,393200
1998-03-25,28.7500,28.7500,28.3100,28.3800,11.0341,143900
1998-03-26,28.3800,28.5600,28.0000,28.3800,11.0341,457000
1998-03-27,28.3800,28.4400,28.1300,28.3100,11.0069,188200
1998-03-30,28.0600,28.4400,28.0600,28.4400,11.0575,199100
1998-03-31,28.3100,29.3800,28.3100,29.0000,11.2752,413600
1998-04-01,28.8100,29.4400,28.1900,29.4400,11.4463,336700
1998-04-02,29.1900,29.9400,29.1300,29.6300,11.5201,187700
1998-04-03,29.5600,29.8800,29.0600,29.6900,11.5435,135200
1998-04-06,29.6300,30.3800,29.6300,29.7500,11.5668,205100
1998-04-07,29.5000,29.6900,28.7500,29.2500,11.3724,137300
1998-04-08,29.0000,29.3800,29.0000,29.1300,11.3257,149400
1998-04-09,29.0000,29.5600,28.8800,29.5000,11.4696,135600
1998-04-13,29.2500,29.3100,28.6300,28.6300,11.1313,249000
1998-04-14,28.5000,29.5000,28.5000,29.3800,11.4229,148500
1998-04-15,29.6300,30.5000,29.6300,30.0000,11.6640,219200
1998-04-16,30.0000,30.0000,29.4400,29.8800,11.6173,298900
1998-04-17,30.0000,30.5000,29.5000,30.1900,11.7379,195500
1998-04-20,30.0000,30.8800,29.8100,30.8100,11.9789,188700
1998-04-21,30.5600,32.0000,30.3100,31.6300,12.2977,298000
1998-04-22,31.3800,31.5000,30.9400,31.2500,12.1500,175400
1998-04-23,31.0000,31.3800,31.0000,31.3100,12.1733,135200
1998-04-24,31.5600,31.6300,30.5600,31.0600,12.0761,169900
1998-04-27,30.7500,30.8800,30.5000,30.8800,12.0061,292500
1998-04-28,30.8800,31.0000,30.5600,30.9400,12.0295,79800
1998-04-29,30.8100,31.1900,30.5000,31.0000,12.0528,113200
1998-04-30,31.0000,31.8800,30.7500,31.6900,12.3211,191400
1998-05-01,32.0000,32.2500,31.4400,31.9400,12.4183,100100
1998-05-04,32.0000,32.3800,31.5000,31.8800,12.3949,166600
1998-05-05,31.7500,32.5000,31.4400,32.2500,12.5388,151000
1998-05-06,32.2500,32.2500,31.4400,31.5000,12.2472,118400
1998-05-07,31.3800,31.7500,30.8800,31.5600,12.2705,103400
1998-05-08,31.6300,33.0000,31.6300,32.4400,12.6127,131700
1998-05-11,32.2500,32.3800,31.8800,32.1900,12.5155,78500
1998-05-12,32.1900,32.3800,31.6900,32.3800,12.5893,88300
1998-05-13,32.2500,32.2500,31.8800,32.0000,12.4416,88700
1998-05-14,31.8800,32.0600,31.5000,31.6300,12.2977,225400
1998-05-15,31.5600,31.9400,31.5600,31.8800,12.3949,109900
1998-05-18,31.6900,32.2500,31.1900,31.4400,12.2239,172200
1998-05-19,31.4400,31.6900,31.1300,31.5000,12.2472,153900
1998-05-20,31.6200,31.6200,31.0600,31.3100,12.1733,182000
1998-05-21,31.3800,31.4400,31.2500,31.4400,12.2239,258700
1998-05-22,31.4400,31.8800,31.4400,31.7500,12.3444,50700
1998-05-26,31.7500,31.7500,31.2500,31.2500,12.1500,74900
1998-05-27,31.0600,31.2500,30.6900,30.9400,12.0295,148600
1998-05-28,31.0000,31.1300,30.9400,31.0600,12.0761,130300
1998-05-29,31.1900,31.8800,30.8100,30.8800,12.0061,197700
1998-06-01,30.8100,31.2500,30.6300,30.8800,12.0061,257700
1998-06-02,30.9400,30.9400,30.5000,30.6300,11.9089,205000
1998-06-03,30.6300,31.0000,30.1900,30.4400,11.8351,152700
1998-06-04,30.3800,31.0000,30.1900,30.8100,11.9789,170100
1998-06-05,31.0000,31.3100,30.7500,31.1300,12.1033,109500
1998-06-08,31.0600,31.4400,30.8800,31.1900,12.1267,155700
1998-06-09,31.1300,31.3100,31.0000,31.1900,12.1267,70900
1998-06-10,30.9400,31.3100,30.8800,31.0000,12.0528,122700
1998-06-11,30.8800,30.9400,29.6300,29.8800,11.6173,225100
1998-06-12,29.5000,30.8800,29.5000,30.5600,11.9187,255800
1998-06-15,30.3100,31.0600,30.1900,30.6300,11.9460,301100
1998-06-16,30.5000,31.1300,30.2500,31.0600,12.1137,158100
1998-06-17,31.3100,31.8800,31.0600,31.3100,12.2112,147100
1998-06-18,31.5000,31.8100,31.4400,31.6300,12.3360,83300
1998-06-19,31.0000,31.1900,30.5000,30.9400,12.0669,236700
1998-06-22,30.7500,31.4400,30.7500,31.0000,12.0903,113400
