,open,high,low,close,adj_close,volume
1998-01-02,41.0000,41.1900,40.7500,41.0000,13.8572,488900
1998-01-05,41.2500,41.3800,40.3100,40.5600,13.7085,537700
1998-01-06,40.6900,40.6900,39.9400,40.0600,13.5395,728800
1998-01-07,39.6300,39.7500,39.3800,39.6900,13.4145,485300
1998-01-08,39.6900,40.0000,39.4400,40.0000,13.5192,803100
1998-01-09,40.0000,40.0600,39.5000,39.5600,13.3705,717100
1998-01-12,39.0600,40.2500,39.0600,40.0000,13.5192,433600
1998-01-13,39.8800,39.9400,39.5600,39.9400,13.4990,396200
1998-01-14,39.8100,39.8800,39.5600,39.8100,13.4550,571100
1998-01-15,39.8800,39.9400,39.8100,39.8800,13.4787,413300
1998-01-16,40.0000,40.0000,39.8800,39.8800,13.4787,689100
1998-01-20,39.8800,40.0000,39.6900,39.9400,13.4990,457200
1998-01-21,39.8800,40.6900,39.8800,40.4400,13.6679,934200
1998-01-22,40.4400,40.6300,40.2500,40.4400,13.6679,619000
1998-01-23,40.4400,41.0000,40.4400,40.8800,13.8167,1847100
1998-01-26,41.0000,41.3100,40.8800,41.0600,13.8775,608200
1998-01-27,41.0600,41.3800,40.8800,41.0000,13.8572,334300
1998-01-28,41.0600,41.2500,40.9400,41.2500,13.9417,627900
1998-01-29,41.0000,41.8800,40.9400,41.6300,14.0701,721200
1998-01-30,41.6300,41.6300,41.2500,41.3100,13.9620,644300
1998-02-02,41.6300,42.0600,41.6300,42.0600,14.2155,763200
1998-02-03,42.0600,42.6300,42.0600,42.4400,14.3439,868600
1998-02-04,42.0000,42.7500,42.0000,42.6300,14.4081,713200
1998-02-05,42.6300,42.7500,42.0600,42.5000,14.3642,1604400
1998-02-06,42.5600,42.9400,42.5600,42.8100,14.4690,459300
1998-02-09,42.7500,42.8800,42.6900,42.8100,14.4690,396600
1998-02-10,42.8800,43.1300,42.8100,43.0000,14.5332,581300
1998-02-11,43.0000,43.3800,43.0000,43.3800,14.6616,745600
1998-02-12,43.2500,43.6900,43.0600,43.5000,14.7022,2088800
1998-02-13,42.5000,42.6300,42.1900,42.3100,14.4791,3564900
1998-02-17,42.0600,43.0000,42.0600,43.0000,14.7152,1178300
1998-02-18,42.8800,43.4400,42.7500,42.8100,14.6502,1178000
1998-02-19,42.8100,42.8800,42.4400,42.6900,14.6091,342800
1998-02-20,42.6300,42.8800,42.3100,42.8100,14.6502,445600
1998-02-23,42.6300,42.7500,42.4400,42.5600,14.5646,411000
1998-02-24,42.6300,42.6300,42.3800,42.6300,14.5886,622500
1998-02-25,42.6300,42.9400,42.5600,42.8100,14.6502,536200
1998-02-26,42.5600,42.7500,42.5000,42.7500,14.6297,262300
1998-02-27,42.5600,42.7500,42.3800,42.5000,14.5441,604300
1998-03-02,42.2500,42.5600,42.1300,42.4400,14.5236,445900
1998-03-03,42.4400,42.8100,42.2500,42.8100,14.6502,621200
1998-03-04,42.5600,42.9400,42.5000,42.9400,14.6947,340100
1998-03-05,42.6300,43.3100,42.6300,43.2500,14.8008,451300
1998-03-06,43.2500,43.6900,43.1900,43.6300,14.9308,900400
1998-03-09,43.5600,44.0000,43.4400,44.0000,15.0574,422200
1998-03-10,44.0000,44.8100,44.0000,44.7500,15.3141,501400
1998-03-11,44.7500,45.5000,44.6300,45.3800,15.5297,483800
1998-03-12,45.3800,45.5000,45.0000,45.2500,15.4852,427000
1998-03-13,45.2500,45.2500,44.8100,44.9400,15.3791,261700
1998-03-16,45.0000,45.7500,45.0000,45.7500,15.6563,347100
1998-03-17,45.7500,46.1300,45.3800,46.0600,15.7624,349700
1998-03-18,45.8800,46.5600,45.7500,46.5000,15.9130,335800
1998-03-19,46.5600,47.0000,46.2500,46.8800,16.0430,248800
