,open,high,low,close,adj_close,volume
1998-01-02,35.3800,35.8100,35.0000,35.3100,17.0266,212000
1998-01-05,35.1900,35.5600,34.2500,34.6900,16.7276,250200
1998-01-06,34.5000,35.0000,34.1900,34.8800,16.8192,219700
1998-01-07,34.6200,34.8100,34.1200,34.2500,16.5154,273100
1998-01-08,34.2500,35.5000,34.2500,35.3100,17.0266,237300
1998-01-09,35.1900,35.2500,33.5000,33.6200,16.2117,383300
1998-01-12,32.6200,34.1200,32.2500,34.1200,16.4528,517000
1998-01-13,34.2500,34.5000,33.8800,34.0000,16.3949,153900
1998-01-14,34.1200,34.1900,33.4400,34.0000,16.3949,106000
1998-01-15,34.0000,34.1200,33.6900,33.8100,16.3033,139100
1998-01-16,34.1200,34.2500,33.3100,34.0000,16.3949,274500
1998-01-20,34.0000,35.3100,33.9400,35.3100,17.0266,193800
1998-01-21,35.2500,35.3100,33.9400,33.9400,16.3660,129700
1998-01-22,34.0000,34.2500,33.2500,33.5000,16.1538,177000
1998-01-23,32.6200,32.6200,31.7500,32.1200,15.4884,820100
1998-01-26,32.3800,33.1900,32.3800,33.0000,15.9127,416200
1998-01-27,33.1900,33.1900,32.1900,32.2500,15.5510,282700
1998-01-28,32.5000,32.8100,32.3800,32.6900,15.7632,251000
1998-01-29,32.7500,34.5000,32.3800,33.9400,16.3660,548400
1998-01-30,33.6900,33.6900,32.5000,32.8800,15.8548,491900
1998-02-02,33.5000,34.5000,33.5000,34.3100,16.5444,427600
1998-02-03,34.0600,34.3100,33.0000,33.0600,15.9416,408700
1998-02-04,33.1900,33.1900,31.8800,32.1900,15.5221,925500
1998-02-05,32.3800,32.4400,31.8800,32.1900,15.5221,420200
1998-02-06,32.0000,32.5000,31.8800,31.9400,15.4016,368700
1998-02-09,31.9400,32.5000,31.9400,32.3800,15.6137,518600
1998-02-10,32.4400,32.9400,32.4400,32.6200,15.7295,437200
1998-02-11,32.6200,34.0000,32.6200,33.8100,16.3033,399700
1998-02-12,33.5600,34.2500,33.5000,34.2500,16.5154,343000
1998-02-13,34.1900,34.6900,33.3800,33.3800,16.0959,413900
1998-02-17,33.4400,34.4400,33.4400,34.0600,16.4238,387100
1998-02-18,34.0600,34.2500,33.9400,34.1900,16.5287,337900
1998-02-19,34.1900,34.5000,34.0600,34.4400,16.6496,460000
1998-02-20,34.6900,34.6900,33.7500,34.1900,16.5287,318400
1998-02-23,34.1900,34.6900,33.7500,34.1200,16.4949,246800
1998-02-24,34.0600,34.8800,33.8800,34.7500,16.7994,469800
1998-02-25,34.8100,35.2500,34.6200,34.6200,16.7366,438100
1998-02-26,34.6200,35.6200,34.3800,35.4400,17.1330,412800
1998-02-27,35.4400,35.9400,35.0600,35.9400,17.3747,316800
1998-03-02,35.8100,35.8800,35.0600,35.2500,17.0411,304800
1998-03-03,35.2500,35.7500,35.1200,35.7500,17.2829,195600
1998-03-04,35.5600,36.0000,35.0600,35.8100,17.3119,254700
1998-03-05,35.7500,36.1200,35.5000,35.8800,17.3457,332600
1998-03-06,35.8800,37.0000,35.8800,37.0000,17.8872,149200
1998-03-09,36.8800,36.9400,35.8800,36.3800,17.5874,330500
1998-03-10,36.6200,36.9400,36.3800,36.6200,17.7035,177400
1998-03-11,36.5000,36.9400,36.0600,36.9400,17.8582,160500
1998-03-12,36.7500,36.7500,36.2500,36.2500,17.5246,117800
1998-03-13,36.5000,36.8800,36.2500,36.3800,17.5874,135200
1998-03-16,36.3100,37.0000,36.3100,37.0000,17.8872,119800
1998-03-17,37.0000,37.0000,36.1900,36.5000,17.6454,133000
1998-03-18,36.5000,37.1900,36.2500,36.7500,17.7663,255500
1998-03-19,37.0000,37.4400,36.5000,37.3100,18.0370,223600
1998-03-20,37.4400,37.6200,37.1900,37.1900,17.9790,247500
1998-03-23,37.1200,37.1900,36.4400,36.6200,17.7035,150000
1998-03-24,36.5600,36.9400,36.5000,36.8100,17.7953,148100
1998-03-25,37.0000,37.0600,36.2500,36.5000,17.6454,195700
1998-03-26,36.3800,36.3800,35.6900,36.1900,17.4956,178600
1998-03-27,36.1900,37.1900,36.1200,36.8100,17.7953,222900
1998-03-30,36.7500,36.9400,36.0600,36.0600,17.4327,177900
1998-03-31,36.0600,36.9400,36.0600,36.5000,17.6454,277500
1998-04-01,36.6200,36.8100,35.8800,36.5600,17.6745,320100
1998-04-02,36.6900,37.5600,36.5600,37.5600,18.1579,121400
1998-04-03,37.6900,38.0000,37.1900,37.1900,17.9790,279200
1998-04-06,37.4400,38.3800,37.2500,38.1200,18.4286,278400
1998-04-07,38.1900,38.8100,37.7500,38.3800,18.5543,396500
1998-04-08,38.1200,38.1900,37.5000,37.7500,18.2497,243700
1998-04-09,37.6900,39.2500,37.6200,39.0600,18.8830,179000
1998-04-13,38.8100,39.1200,38.0000,39.0600,18.8830,216800
1998-04-14,39.1900,39.3800,38.7500,38.8100,18.7622,210600
1998-04-15,38.8100,40.6900,38.8100,40.1200,19.3955,252800
1998-04-16,40.0600,40.0600,39.1200,39.1200,18.9120,325800
1998-04-17,39.1200,40.1900,38.9400,40.0600,19.3665,245600
1998-04-20,39.9400,40.2500,39.5600,39.6900,19.1876,181700
1998-04-21,39.5000,40.0000,39.3100,39.8100,19.2456,98600
1998-04-22,39.6200,40.3800,39.6200,40.1900,19.4293,115900
1998-04-23,40.0000,40.1200,39.3100,39.6200,19.1538,205100
1998-04-24,39.5600,39.9400,38.5000,38.6900,18.7042,245200
1998-04-27,38.5600,38.5600,37.3100,37.3800,18.0709,221400
1998-04-28,38.0000,38.4400,37.0600,37.1200,17.9452,517400
1998-04-29,37.2500,38.2500,36.9400,38.1200,18.4286,227200
1998-04-30,38.1200,39.5000,38.1200,38.6900,18.7042,146900
1998-05-01,38.9400,39.2500,38.1200,38.8100,18.7622,124300
1998-05-04,38.8100,39.9400,38.6900,38.6900,18.7042,119800
1998-05-05,38.6200,38.6200,37.8100,38.2500,18.4915,138100
1998-05-06,38.3100,38.3100,36.5000,36.6200,17.7035,247600
1998-05-07,36.6200,37.3800,36.3100,37.1200,17.9452,149600
1998-05-08,37.0600,37.9400,37.0000,37.5600,18.1579,127400
1998-05-11,37.4400,38.5000,37.4400,38.5000,18.6123,201600
1998-05-12,38.4400,39.3100,37.7500,38.4400,18.5833,295100
1998-05-13,38.4400,38.7500,37.8800,38.0600,18.3996,85100
1998-05-14,37.8800,38.2500,37.5000,37.6900,18.2207,84200
1998-05-15,37.5600,37.6900,36.1900,36.1900,17.4956,264400
1998-05-18,36.3800,36.5600,36.0600,36.3100,17.5536,111100
1998-05-19,36.5600,37.0000,36.3800,37.0000,17.8872,140000
1998-05-20,37.1200,37.1200,36.2500,36.2500,17.5669,174200
1998-05-21,36.2500,36.9400,35.8100,36.7500,17.8092,159200
1998-05-22,36.5000,36.5000,35.8800,35.8800,17.3876,183100
1998-05-26,35.8800,36.0000,34.5000,34.6200,16.7770,242100
1998-05-27,34.1200,36.2500,33.9400,36.1200,17.5039,265900
1998-05-28,35.9400,36.6200,35.7500,36.0600,17.4748,482700
1998-05-29,36.3100,37.1200,36.3100,36.3800,17.6299,235900
1998-06-01,36.3800,37.4400,36.3100,37.2500,18.0515,265400
1998-06-02,37.5000,37.6200,36.4400,36.5600,17.7171,331600
1998-06-03,36.4400,36.7500,35.0000,35.3800,17.1453,276800
1998-06-04,35.3800,35.9400,35.0000,35.8800,17.3876,120200
1998-06-05,36.0000,36.4400,35.8100,36.0000,17.4457,105300
1998-06-08,36.3800,36.9400,36.3800,36.8800,17.8722,198600
1998-06-09,37.0000,37.7500,36.7500,37.4400,18.1436,147900
1998-06-10,37.4400,37.9400,37.0000,37.1200,17.9885,171700
1998-06-11,37.0000,37.0000,35.8800,36.5600,17.7171,238700
1998-06-12,36.6900,36.6900,35.6200,36.3100,17.5960,241700
1998-06-15,36.0600,36.5000,35.7500,35.7500,17.3246,189300
1998-06-16,35.5000,35.5600,34.6200,35.1900,17.0532,298300
1998-06-17,35.0000,37.5000,35.0000,36.6900,17.7801,289300
