,open,high,low,close,adj_close,volume
1998-01-02,59.5600,60.2500,59.5600,60.1300,15.4220,146300
1998-01-05,60.3800,60.5600,60.1300,60.2500,15.4528,133600
1998-01-06,60.2500,60.4400,59.8800,60.1300,15.4220,169600
1998-01-07,60.0000,60.2500,59.1900,59.3800,15.2297,220000
1998-01-08,59.3800,59.6900,59.0000,59.1300,15.1656,84000
1998-01-09,59.6300,59.6300,58.0600,58.3100,14.9553,240300
1998-01-12,57.6900,58.6300,57.3800,58.6300,15.0373,202400
1998-01-13,58.5600,58.6300,57.1900,58.0000,14.8757,320400
1998-01-14,58.0000,58.6900,57.6900,58.6900,15.0527,127200
1998-01-15,58.6900,58.6900,58.0000,58.2500,14.9399,374800
1998-01-16,58.7500,59.6300,58.7500,59.5600,15.2759,143300
1998-01-20,59.5600,59.5600,58.8100,59.4400,15.2451,304600
1998-01-21,59.1900,59.2500,57.8100,58.8100,15.0835,258500
1998-01-22,58.5600,59.0000,58.0000,58.9400,15.1168,262500
1998-01-23,58.6900,59.0000,58.3800,58.6300,15.0373,210000
1998-01-26,58.8100,58.9400,58.6300,58.6900,15.0527,106400
1998-01-27,57.6300,58.4400,57.6300,58.1900,14.9245,106000
1998-01-28,58.3800,58.8100,56.8100,58.8100,15.0835,387400
1998-01-29,58.5000,61.0000,58.4400,60.0000,15.3887,531400
1998-01-30,59.8800,59.8800,59.0600,59.5600,15.2759,186500
1998-02-02,59.8100,60.5000,59.7500,60.4400,15.5016,215100
1998-02-03,60.2500,60.4400,59.6900,60.4400,15.5016,122100
1998-02-04,60.6900,60.6900,59.5000,60.1300,15.4220,192300
1998-02-05,60.0000,60.2500,59.6900,60.0600,15.4041,149600
1998-02-06,60.3100,60.6300,59.6900,60.0000,15.3887,219600
1998-02-09,60.0000,60.5000,59.7500,60.4400,15.5016,91200
1998-02-10,60.4400,62.2500,60.4400,62.1300,15.9350,240400
1998-02-11,62.3800,63.0000,62.3100,62.7500,16.0940,249800
1998-02-12,62.7500,63.5000,62.0600,63.3100,16.2376,241300
1998-02-13,63.0600,63.2500,62.5000,62.6300,16.0632,73600
1998-02-17,62.6300,62.8800,62.3800,62.6900,16.0786,83500
1998-02-18,62.8800,63.2500,62.7500,63.1300,16.1915,128400
1998-02-19,63.1300,63.9400,62.7500,63.6900,16.3351,218100
1998-02-20,64.1300,64.1300,63.3100,64.1300,16.4480,204400
1998-02-23,64.1300,64.1300,63.5600,63.7500,16.3505,149000
1998-02-24,63.7500,64.1900,63.5600,63.8800,16.3838,185200
1998-02-25,64.0000,64.9400,63.9400,64.7500,16.6070,112900
1998-02-26,64.8800,65.3800,64.6900,65.2500,16.7352,117300
1998-02-27,65.2500,65.7400,64.9400,65.5000,16.7993,151600
1998-03-02,65.3800,66.3800,65.2500,65.9400,16.9122,126100
1998-03-03,66.0000,66.7500,65.7500,66.6300,17.0892,106900
1998-03-04,66.7500,66.9400,65.7500,65.9400,16.9122,84400
1998-03-05,65.3100,65.7500,64.7500,65.3800,16.7686,120100
1998-03-06,65.3800,66.5000,64.8800,66.0600,17.0558,130700
1998-03-09,65.8100,65.9400,65.2500,65.8100,16.9913,80500
1998-03-10,66.0600,66.4400,65.5600,66.0600,17.0558,190800
1998-03-11,65.8100,66.1300,65.0000,66.1300,17.0739,291200
1998-03-12,66.2500,66.3800,65.4400,65.5000,16.9112,65200
1998-03-13,65.4400,65.8800,65.2500,65.6900,16.9603,215200
1998-03-16,65.6900,66.3800,65.5600,66.1300,17.0739,207200
1998-03-17,66.6900,66.9400,66.1300,66.9400,17.2830,176900
1998-03-18,66.8800,67.6300,66.8100,67.2500,17.3631,126900
1998-03-19,67.5000,67.5000,67.0000,67.2500,17.3631,188300
1998-03-20,67.2500,67.3800,67.0600,67.1900,17.3476,177300
1998-03-23,67.1900,67.2500,66.8800,67.1300,17.3321,102100
1998-03-24,67.0000,67.9400,67.0000,67.2500,17.3631,255700
1998-03-25,67.2500,68.0000,67.0000,67.2500,17.3631,158900
1998-03-26,67.3100,67.6900,67.2500,67.3100,17.3785,78600
1998-03-27,67.1300,67.4400,65.8800,66.8800,17.2675,137600
1998-03-30,66.6300,66.9400,66.5000,66.7500,17.2340,192900
1998-03-31,66.9400,68.1300,66.8800,67.4400,17.4121,111300
1998-04-01,67.3100,67.7500,67.0600,67.7500,17.4921,110800
1998-04-02,68.4400,68.8800,67.8800,68.8800,17.7839,112400
1998-04-03,68.8800,69.5000,68.6300,68.8100,17.7658,639900
1998-04-06,68.9400,68.9400,68.1300,68.1300,17.5903,209900
1998-04-07,68.8800,69.6900,68.6300,69.5600,17.9595,145900
1998-04-08,69.5000,70.0000,69.0600,69.5000,17.9440,204500
1998-04-09,69.5000,70.5000,69.4400,70.1900,18.1221,96800
1998-04-13,70.0600,70.1300,68.8800,69.6300,17.9775,135000
1998-04-14,69.6300,71.4400,69.5600,71.4400,18.4449,270500
1998-04-15,71.6900,72.6900,71.1300,72.5000,18.7185,163700
1998-04-16,72.5000,72.8100,71.3800,72.6300,18.7521,220700
1998-04-17,72.7500,72.9400,71.8800,72.9400,18.8321,108100
1998-04-20,72.6900,72.6900,71.0600,71.2500,18.3958,84600
1998-04-21,71.2500,71.8100,71.0000,71.4400,18.4449,75200
1998-04-22,71.4400,72.0000,71.4400,71.8100,18.5404,81400
1998-04-23,71.7500,71.8800,70.1900,70.5000,18.2022,100500
1998-04-24,70.0000,70.0000,68.6300,68.8800,17.7839,173700
1998-04-27,68.7500,69.9400,68.5000,69.0600,17.8304,147000
1998-04-28,69.1300,69.3800,67.5000,67.8800,17.5257,112000
1998-04-29,67.7500,68.0000,67.6300,67.8800,17.5257,118700
1998-04-30,68.0000,69.3100,67.9400,68.7500,17.7503,213000
1998-05-01,69.0000,69.0000,68.0000,68.7500,17.7503,72800
1998-05-04,68.7500,70.3100,68.6900,69.9400,18.0576,121400
1998-05-05,69.6900,69.6900,68.2500,69.0600,17.8304,463800
1998-05-06,68.8100,68.8100,68.0600,68.3800,17.6548,301200
1998-05-07,68.3100,68.7500,68.2500,68.2500,17.6212,253900
1998-05-08,68.0600,69.9400,68.0600,69.0000,17.8149,94000
1998-05-11,69.0000,69.7500,68.8800,69.6900,17.9930,360800
1998-05-12,69.8800,69.8800,69.0000,69.7500,18.0085,67400
1998-05-13,69.9400,70.7500,69.8100,70.6900,18.2512,77100
1998-05-14,70.5000,70.8100,70.2500,70.6900,18.2512,73800
1998-05-15,70.8800,71.0000,70.4400,70.6300,18.2357,82900
1998-05-18,70.5000,70.5000,69.3800,69.8100,18.0240,75200
1998-05-19,69.6900,70.1900,69.5000,69.5000,17.9440,116200
1998-05-20,69.3800,69.8800,69.2500,69.6900,17.9930,116100
1998-05-21,69.5600,69.5600,69.0000,69.1300,17.8484,310000
1998-05-22,69.3800,69.4400,69.0000,69.1300,17.8484,67300
1998-05-26,69.0000,69.0000,68.3100,68.3100,17.6367,129500
1998-05-27,68.2500,68.4400,67.3800,67.6900,17.4767,195400
1998-05-28,67.5600,67.7500,67.0000,67.0000,17.2985,122200
1998-05-29,66.9400,67.4400,66.9400,67.0000,17.2985,141100
1998-06-01,66.7500,67.3100,66.1300,66.5000,17.1694,145700
1998-06-02,66.5000,66.6300,65.3100,65.5600,16.9267,92500
1998-06-03,65.7500,66.0000,64.5000,65.0000,16.7821,160000
1998-06-04,65.0000,65.3800,64.5000,64.9400,16.7666,103800
1998-06-05,64.9400,66.7500,64.8800,66.7500,17.2340,162100
1998-06-08,66.7500,66.8100,66.0600,66.4400,17.1539,71800
1998-06-09,66.4400,68.2500,66.1900,67.2500,17.3631,164400
1998-06-10,67.1900,67.8800,66.5600,66.6200,17.2004,172000
1998-06-11,66.3800,66.4400,64.8800,65.1900,16.9448,86900
1998-06-12,64.9400,65.5600,63.6900,63.9400,16.6199,96400
1998-06-15,63.3100,63.8100,62.1900,62.1900,16.1650,228800
1998-06-16,62.2500,62.6900,61.7500,62.0600,16.1312,166300
1998-06-17,62.6900,64.6300,62.5600,63.9400,16.6199,109900
1998-06-18,63.8800,64.6300,63.4400,63.8100,16.5861,83800
1998-06-19,63.5600,64.1300,62.6300,62.7500,16.3106,124900
1998-06-22,62.7500,62.9400,62.0000,62.0000,16.1156,111400
1998-06-23,62.0000,62.0000,60.6300,61.2500,15.9207,161700
1998-06-24,61.2500,62.0000,61.2500,61.9400,16.1000,144400
1998-06-25,62.0000,62.8100,61.6900,61.6900,16.0350,134900
1998-06-26,61.9400,62.5000,61.6900,62.4400,16.2300,124300
1998-06-29,62.6300,63.5000,61.8800,62.0000,16.1156,133100
1998-06-30,62.2500,62.7500,62.0600,62.2500,16.1806,226000
1998-07-01,62.1900,62.1900,60.6300,61.3800,15.9545,339400
1998-07-02,62.0000,62.4400,61.7500,62.2500,16.1806,254200
1998-07-06,62.0000,62.2500,61.8800,62.1900,16.1650,92600
1998-07-07,62.1900,62.4400,61.4400,61.5000,15.9857,180900
1998-07-08,61.2500,61.3800,60.0600,60.6300,15.7595,163000
1998-07-09,60.3800,61.1300,60.2500,60.9400,15.8401,214700
1998-07-10,61.0000,61.0000,60.6300,60.8800,15.8245,201300
1998-07-13,60.8100,60.8100,59.3100,60.0600,15.6114,394700
1998-07-14,60.0000,61.3800,59.9400,60.1300,15.6296,816400
1998-07-15,60.0600,60.4400,59.6300,59.8800,15.5646,120000
1998-07-16,59.1300,59.6300,58.7500,59.5000,15.4658,163000
1998-07-17,59.7500,60.2500,59.7500,60.2500,15.6607,117000
1998-07-20,60.5000,61.0600,60.3800,60.6300,15.7595,156600
1998-07-21,60.6300,60.6900,59.7500,59.7500,15.5308,122100
1998-07-22,59.9400,60.1900,59.5000,59.7500,15.5308,234200
1998-07-23,59.7500,60.0600,59.0000,59.1300,15.3696,232200
1998-07-24,59.5000,59.8800,58.7500,58.9400,15.3202,309200
1998-07-27,59.0000,59.0000,57.1900,57.8800,15.0447,194200
1998-07-28,58.0000,58.3800,56.1300,57.0600,14.8316,145600
1998-07-29,57.0600,57.7500,57.0600,57.5000,14.9459,66400
1998-07-30,57.7500,58.4400,57.4400,57.9400,15.0603,166100
1998-07-31,57.7500,58.3800,56.5000,56.7500,14.7510,166100
1998-08-03,56.7500,57.5000,56.4400,57.0000,14.8160,165800
1998-08-04,57.4400,58.0000,56.5000,56.6300,14.7198,258500
1998-08-05,56.8800,56.9400,56.0600,56.5000,14.6860,189100
1998-08-06,56.9400,56.9400,56.0600,56.8800,14.7848,78400
1998-08-07,56.8100,57.9400,56.7500,57.3100,14.8965,115900
1998-08-10,57.0600,57.4400,56.1900,56.6900,14.7354,164000
1998-08-11,56.6900,57.3100,55.8800,56.1300,14.5898,233900
1998-08-12,56.6900,57.3800,55.8800,57.3100,14.8965,112000
1998-08-13,57.2500,57.5000,56.7500,56.9400,14.8004,173000
1998-08-14,56.8800,57.1900,55.3100,55.5600,14.4417,180100
1998-08-17,55.5000,57.3100,55.5000,56.6300,14.7198,149000
1998-08-18,56.6300,57.1900,56.6300,57.0600,14.8316,96100
1998-08-19,57.1900,57.2500,56.5000,57.1300,14.8498,129800
1998-08-20,57.0000,58.2500,56.9400,57.7500,15.0109,174200
1998-08-21,57.5000,58.1300,56.0600,56.5600,14.7016,153400
1998-08-24,56.7500,57.7500,56.7500,57.2500,14.8810,162500
1998-08-25,57.2500,58.1900,56.0600,56.7500,14.7510,141300
1998-08-26,56.8100,57.2500,55.6300,56.0600,14.5716,136800
1998-08-27,56.1200,56.1200,53.1200,53.3800,13.8750,114800
1998-08-28,53.3100,53.7500,52.5600,52.9400,13.7607,159800
1998-08-31,52.6900,53.9400,50.8100,51.5600,13.4020,175500
1998-09-01,51.8800,52.6900,50.0000,51.6900,13.4357,164400
1998-09-02,51.6900,53.1900,51.5600,52.1300,13.5501,160500
1998-09-03,51.6900,51.6900,50.3800,50.8800,13.2252,137900
1998-09-04,50.8100,52.4400,50.0600,51.2500,13.3214,149100
1998-09-08,51.7500,53.6900,51.0600,53.5600,13.9218,150100
1998-09-09,53.3100,53.3800,51.9400,52.0600,13.5319,109000
1998-09-10,51.6900,51.8800,49.7500,50.1900,13.0459,95400
1998-09-11,49.1900,51.6300,49.0000,51.6300,13.5345,111700
1998-09-14,51.5000,52.8100,51.5000,52.4400,13.7469,103200
1998-09-15,51.5600,53.0600,50.9400,52.8100,13.8439,113100
1998-09-16,52.8100,53.6300,52.1300,53.5600,14.0405,75600
1998-09-17,52.6300,52.6300,50.9400,51.5600,13.5162,162800
1998-09-18,51.8100,52.1300,49.8800,50.8800,13.3379,174000
1998-09-21,49.0000,50.7500,49.0000,50.3800,13.2068,137200
1998-09-22,50.3800,51.2500,50.0600,50.1300,13.1413,104900
1998-09-23,50.2500,52.4400,50.1300,52.4400,13.7469,166200
1998-09-24,52.4400,52.7500,50.5000,50.8800,13.3379,131400
1998-09-25,50.6300,50.6900,49.6300,50.2500,13.1728,141300
1998-09-28,50.2500,52.1900,50.1900,52.1900,13.6813,109300
1998-09-29,51.9400,52.4400,50.5600,51.6300,13.5345,114500
1998-09-30,51.2500,51.4400,48.9400,50.4400,13.2226,266100
1998-10-01,50.4400,50.4400,49.5600,50.2500,13.1728,140600
1998-10-02,50.5000,51.2500,49.1300,49.6300,13.0102,156900
1998-10-05,49.5000,50.7500,48.7500,50.0000,13.1072,110500
1998-10-06,50.5000,52.0000,50.4400,51.8100,13.5817,131200
1998-10-07,52.1900,53.5600,50.7500,52.8800,13.8622,186700
1998-10-08,52.3800,52.3800,50.5000,51.3100,13.4506,150200
1998-10-09,51.0000,52.6900,50.3100,52.6900,13.8124,201700
1998-10-12,52.9400,53.3100,52.6900,52.9400,13.8779,167400
1998-10-13,53.0000,53.9400,52.5000,53.4400,14.0090,136300
1998-10-14,53.4400,54.2500,52.8800,53.6300,14.0588,119500
1998-10-15,53.8800,56.0600,53.3100,55.5000,14.5490,190600
1998-10-16,56.7500,57.0000,55.7500,56.6300,14.8452,330200
1998-10-19,56.0000,58.2500,56.0000,57.8100,15.1546,145800
1998-10-20,57.8100,59.5000,57.8100,58.6900,15.3853,211300
1998-10-21,58.6300,59.5600,58.5600,59.0000,15.4665,257100
1998-10-22,58.7500,59.1900,57.5600,59.0000,15.4665,116100
1998-10-23,57.7500,57.8800,56.8100,57.0000,14.9422,166500
1998-10-26,56.0000,57.8100,56.0000,57.0000,14.9422,113500
1998-10-27,57.5000,57.5000,55.5600,56.7500,14.8767,198600
1998-10-28,56.7500,56.7500,55.4400,55.6300,14.5831,148300
1998-10-29,55.3800,57.0000,55.0000,56.9400,14.9265,298100
1998-10-30,57.1900,58.8800,57.1900,58.7500,15.4010,384000
1998-11-02,58.9400,60.0000,58.3100,59.8800,15.6972,162700
1998-11-03,59.8800,61.5000,59.7500,61.5000,16.1219,244100
1998-11-04,61.7500,62.6300,60.5600,60.7500,15.9253,189900
1998-11-05,60.8800,62.5600,60.0000,62.5600,16.3998,160600
1998-11-06,62.1300,62.3800,61.0000,62.1900,16.3028,100700
1998-11-09,61.5000,62.0600,61.3800,61.9400,16.2372,159800
1998-11-10,61.6300,61.6300,60.5000,60.5600,15.8755,218900
1998-11-11,60.6300,60.6300,58.7500,59.0600,15.4823,164800
1998-11-12,59.1300,59.6900,58.5600,59.2500,15.5321,122800
1998-11-13,59.3100,59.8100,58.6300,59.7500,15.6631,101000
1998-11-16,59.7500,60.1900,58.2500,59.2500,15.5321,145400
1998-11-17,59.0000,59.6900,58.5600,58.5600,15.3512,105800
1998-11-18,58.4400,59.5000,57.5000,57.5600,15.0890,161200
1998-11-19,58.0600,58.5000,58.0600,58.3100,15.2856,196600
1998-11-20,59.3100,59.3100,58.6300,58.6900,15.3853,152900
1998-11-23,59.1900,59.5000,59.0000,59.2500,15.5321,168800
1998-11-24,59.2500,60.7500,59.2500,59.5000,15.5976,112200
1998-11-25,59.3800,59.8800,59.1900,59.3100,15.5478,65000
1998-11-27,59.3100,59.3800,59.1300,59.1900,15.5163,27100
1998-11-30,59.1900,59.1900,57.8800,57.9400,15.1887,169100
1998-12-01,57.9400,58.2500,57.3800,57.9400,15.1887,161700
1998-12-02,57.9400,58.5600,57.0600,58.3800,15.3040,202900
1998-12-03,58.3800,58.3800,56.3100,56.5000,14.8112,268200
1998-12-04,56.7500,57.7500,56.7500,57.7500,15.1388,224800
1998-12-07,57.7500,58.6300,57.4400,58.0600,15.2201,104700
1998-12-08,57.6300,58.4400,57.4400,58.0000,15.2044,206600
1998-12-09,58.0600,58.0600,57.4400,57.6900,15.1231,179700
1998-12-10,57.4400,57.7500,57.2500,57.5000,15.0733,155400
1998-12-11,57.2500,57.6300,57.0600,57.2500,15.1231,137600
1998-12-14,56.7500,57.8800,56.1300,56.8800,15.0254,262400
1998-12-15,56.8800,56.8800,45.2500,46.1900,12.2015,1667500
1998-12-16,46.1900,47.0600,45.6300,46.0000,12.1513,795300
1998-12-17,46.0600,49.0600,45.9400,48.9400,12.9280,669100
1998-12-18,48.1300,48.5000,45.7500,46.0000,12.1513,472300
1998-12-21,46.0000,46.1300,45.0000,45.2500,11.9532,417500
1998-12-22,44.3100,45.3800,44.0000,45.3100,11.9691,298300
1998-12-23,45.3100,45.3800,44.0000,44.5000,11.7551,481100
1998-12-24,44.5600,44.6900,44.3100,44.3800,11.7234,201400
1998-12-28,44.3100,44.5000,43.5000,44.1900,11.6732,358300
1998-12-29,44.2500,45.1900,44.1900,45.0000,11.8872,236600
1998-12-30,45.0000,45.0000,43.8100,44.2500,11.6890,171600
1998-12-31,44.5000,45.0600,44.2500,44.8100,11.8370,191200
1999-01-04,45.4400,46.3800,45.0600,45.4400,12.0034,190600
1999-01-05,45.6900,47.0000,45.6300,46.9400,12.3996,294900
1999-01-06,47.0000,47.3800,46.1300,47.3800,12.5159,252700
1999-01-07,47.6300,47.6300,46.6300,47.5600,12.5634,209100
1999-01-08,47.9400,48.5000,47.5000,47.9400,12.6638,267600
1999-01-11,47.9400,48.5000,47.6300,48.1900,12.7298,225300
1999-01-12,48.1900,48.6300,47.7500,48.0000,12.6796,528700
