,open,high,low,close,adj_close,volume
1998-01-02,21.0600,21.2500,20.6300,20.6300,4.5729,292200
1998-01-05,20.6300,20.6900,19.9400,20.0000,4.4333,193900
1998-01-06,19.5000,20.0000,19.2500,19.6300,4.3513,649200
1998-01-07,19.6300,20.1300,19.6300,19.8100,4.3912,422900
1998-01-08,19.7500,20.1300,19.6300,20.0000,4.4333,216000
1998-01-09,20.0000,20.0000,19.0000,19.0600,4.2249,340800
1998-01-12,18.8800,19.6300,18.5600,19.3100,4.2803,211500
1998-01-13,19.2500,19.9400,19.2500,19.7500,4.3845,503500
1998-01-14,19.8100,19.8100,19.3800,19.8100,4.3978,156900
1998-01-15,20.0000,20.2500,19.8800,20.0000,4.4400,95700
1998-01-16,19.7500,20.6300,19.7500,20.2500,4.4955,235200
1998-01-20,20.4400,21.0600,20.3800,20.8100,4.6198,859700
1998-01-21,20.8100,21.2500,20.8100,21.2500,4.7175,514300
1998-01-22,20.6900,20.7500,20.2500,20.3100,4.5088,387700
1998-01-23,20.3100,20.3800,19.9400,19.9400,4.4267,222000
1998-01-26,19.7500,20.1300,19.6900,19.8800,4.4134,215100
1998-01-27,19.6900,20.1300,19.6300,20.1300,4.4689,134500
1998-01-28,20.0600,20.3100,19.7500,20.0600,4.4533,108000
1998-01-29,20.1900,20.8100,20.1900,20.2500,4.4955,459800
1998-01-30,20.3100,20.3100,19.8800,20.0000,4.4400,305000
1998-02-02,20.1300,20.1300,19.2500,19.3800,4.3024,765200
1998-02-03,19.3800,19.8800,19.3800,19.6300,4.3579,436000
1998-02-04,19.6300,20.3800,19.6300,20.2500,4.4955,561600
1998-02-05,20.5000,20.6300,20.3800,20.5000,4.5510,568500
1998-02-06,20.6900,21.0000,20.0600,21.0000,4.6620,1074800
1998-02-09,21.0000,21.0000,20.5600,20.8100,4.6198,577500
1998-02-10,20.7500,20.8100,20.3800,20.8100,4.6198,252600
1998-02-11,20.9400,20.9400,20.5000,20.5600,4.5643,147100
1998-02-12,20.6900,20.6900,20.2500,20.5600,4.5643,189100
1998-02-13,20.5000,20.7500,20.2500,20.5600,4.5643,277800
1998-02-17,20.7500,20.7500,19.9400,19.9400,4.4267,354300
1998-02-18,20.0000,20.6300,19.8800,20.3800,4.5244,422300
1998-02-19,20.4400,20.5000,20.0000,20.1300,4.4689,484700
1998-02-20,20.1900,20.5000,20.1300,20.2500,4.4955,359100
1998-02-23,20.1300,20.1900,19.6300,19.9400,4.4267,464900
1998-02-24,20.0000,20.3800,19.8800,20.2500,4.4955,341000
1998-02-25,20.3800,20.4400,20.0000,20.2500,4.4955,147200
1998-02-26,20.5000,21.5000,20.3800,21.1900,4.7042,487600
1998-02-27,21.0000,21.5000,20.8100,21.3800,4.7464,289200
1998-03-02,21.5000,21.9400,21.3800,21.8800,4.8574,344500
1998-03-03,21.8800,22.3100,21.6300,22.1300,4.9129,214000
1998-03-04,22.2500,22.3100,21.9400,22.0000,4.8840,263400
1998-03-05,21.8800,21.9400,21.4400,21.8100,4.8418,189000
1998-03-06,21.8100,22.0600,21.2500,21.2500,4.7175,351500
1998-03-09,21.4400,21.4400,20.6300,20.7500,4.6065,246300
1998-03-10,20.6900,21.3100,20.6900,21.3100,4.7308,304400
1998-03-11,21.1300,21.8100,21.0000,21.6900,4.8152,271000
1998-03-12,21.6900,22.0600,21.6300,22.0600,4.8973,491500
1998-03-13,22.1200,22.5000,22.1200,22.3800,4.9684,425700
1998-03-16,22.1300,22.1900,21.1900,21.2500,4.7175,216600
1998-03-17,21.0000,21.1300,20.7500,21.0600,4.6753,277400
1998-03-18,20.6300,21.9400,20.6300,21.7500,4.8285,245300
1998-03-19,21.6300,22.0600,21.3100,22.0600,4.8973,291900
1998-03-20,21.8100,22.5000,21.8100,22.3100,4.9528,302500
1998-03-23,24.0000,24.1300,23.2500,23.7500,5.2725,869900
1998-03-24,23.6300,23.6300,22.8100,22.8800,5.0794,304600
1998-03-25,22.8800,23.2500,22.7500,23.0000,5.1060,226300
1998-03-26,23.1900,23.1900,22.6300,23.0000,5.1060,124900
1998-03-27,23.0000,23.0000,22.5000,22.7500,5.0505,232900
1998-03-30,22.8800,23.0000,22.5600,22.8800,5.0794,205400
1998-03-31,23.1300,23.1300,22.4400,22.9400,5.0927,469800
1998-04-01,22.7500,23.6300,22.7500,23.5600,5.2303,528400
1998-04-02,23.2500,23.6300,23.0600,23.3800,5.1904,569900
1998-04-03,23.1300,23.4400,22.8800,23.3800,5.1904,173500
1998-04-06,23.5600,23.6900,23.0000,23.0600,5.1193,231600
1998-04-07,23.0600,23.5000,23.0000,23.5000,5.2170,312400
1998-04-08,23.3800,23.6300,23.0000,23.0600,5.1193,216800
1998-04-09,23.0000,24.1300,23.0000,23.8100,5.2858,1946600
1998-04-13,24.5000,24.5000,23.1900,23.1900,5.1548,1005000
1998-04-14,23.4400,23.5600,23.0000,23.3800,5.1971,479800
1998-04-15,23.3800,24.0000,23.3100,23.8800,5.3082,419200
1998-04-16,23.4400,23.5000,23.0600,23.0600,5.1259,171800
1998-04-17,23.3100,23.5600,23.1300,23.5000,5.2238,774900
1998-04-20,23.5000,23.5000,23.0600,23.5000,5.2238,628400
1998-04-21,23.5000,23.7500,23.3800,23.5000,5.2238,291500
1998-04-22,23.5000,23.5000,23.1300,23.1300,5.1415,346600
1998-04-23,23.3800,23.3800,22.0000,22.5000,5.0015,451800
1998-04-24,22.5000,22.7500,22.3800,22.5000,5.0015,262600
1998-04-27,22.4400,22.4400,21.9400,22.4400,4.9881,447400
1998-04-28,22.5600,22.8800,22.3800,22.8100,5.0704,252300
1998-04-29,23.0600,23.7500,22.9400,23.0000,5.1126,500500
1998-04-30,23.1900,23.4400,22.8100,23.3800,5.1971,390100
1998-05-01,23.2500,23.3800,22.7500,23.2500,5.1682,343000
1998-05-04,23.2500,23.4400,23.0600,23.1300,5.1415,198500
1998-05-05,23.1300,23.1900,22.6300,23.0000,5.1126,258800
1998-05-06,22.9400,23.3100,22.2500,22.3100,4.9592,328600
1998-05-07,22.1900,22.6900,22.0000,22.2500,4.9459,473400
1998-05-08,22.4400,22.6300,22.3100,22.5000,5.0015,222600
1998-05-11,22.6900,22.6900,22.2500,22.3100,4.9592,187700
1998-05-12,22.3800,22.3800,21.6300,22.0000,4.8903,174000
1998-05-13,22.2500,22.3100,21.4400,21.6900,4.8214,466600
1998-05-14,21.6300,21.6300,20.6300,20.8800,4.6414,1810900
1998-05-15,21.1300,21.4400,20.9400,21.0000,4.6680,995900
1998-05-18,21.0000,21.2500,20.9400,21.1300,4.6969,404200
1998-05-19,21.2500,21.3100,20.6300,20.8100,4.6258,192200
1998-05-20,20.7500,21.1900,20.6200,21.0000,4.6680,200200
1998-05-21,21.0000,21.1300,20.6300,20.6900,4.5991,374800
1998-05-22,20.8800,20.9400,20.6900,20.6900,4.5991,105600
1998-05-26,20.9400,21.0000,20.0000,20.0000,4.4457,202000
1998-05-27,20.0600,20.3800,19.5000,19.6900,4.3768,661200
1998-05-28,19.6300,20.0000,19.5600,20.0000,4.4457,208800
1998-05-29,20.2500,20.3800,20.0000,20.3100,4.5147,402700
1998-06-01,20.1300,20.1300,19.6300,19.8100,4.4035,133000
1998-06-02,19.9400,20.1300,19.5000,19.9400,4.4324,257500
1998-06-03,19.9400,20.0000,19.6300,19.8800,4.4191,181000
1998-06-04,20.0000,20.2500,19.8100,19.8800,4.4191,316000
1998-06-05,20.0000,20.1300,19.6300,19.8800,4.4191,261800
1998-06-08,19.8800,19.8800,19.2500,19.4400,4.3213,259900
1998-06-09,19.4400,19.4400,19.0000,19.1300,4.2524,599000
1998-06-10,19.0000,19.1900,18.6200,18.6200,4.1390,293900
1998-06-11,18.7500,19.0600,18.4400,18.4400,4.0990,628200
1998-06-12,18.4400,19.3100,18.3800,19.0000,4.2235,627400
1998-06-15,18.6900,18.8800,18.2500,18.2500,4.0567,210900
1998-06-16,18.5600,18.6300,18.1300,18.2500,4.0567,640100
1998-06-17,18.4400,19.0600,18.3800,18.6900,4.1546,370300
1998-06-18,18.9400,18.9400,18.1300,18.4400,4.0990,295500
1998-06-19,18.4400,18.5600,18.2500,18.3800,4.0856,140000
1998-06-22,18.5000,19.3100,18.3100,19.2500,4.2790,511400
1998-06-23,19.3100,20.3100,19.2500,19.9400,4.4324,750700
1998-06-24,20.0600,20.3800,19.8800,20.1900,4.4880,614900
1998-06-25,20.1300,20.3100,19.8800,20.3100,4.5147,467200
1998-06-26,20.4400,20.6300,20.1300,20.2500,4.5013,190400
1998-06-29,20.2500,20.2500,19.8100,20.0000,4.4457,241500
1998-06-30,20.0000,20.3100,19.8800,20.2500,4.5013,388100
1998-07-01,20.5000,20.6900,20.0000,20.1300,4.4746,193900
1998-07-02,20.1300,20.3800,20.0000,20.1900,4.4880,154900
1998-07-06,20.1900,20.1900,19.8800,19.9400,4.4324,184000
1998-07-07,19.9400,19.9400,19.5000,19.5000,4.3346,146500
1998-07-08,19.5600,19.8800,19.5000,19.7500,4.3902,74300
1998-07-09,19.6900,19.9400,19.4400,19.5000,4.3346,150900
1998-07-10,19.5600,19.5600,18.8100,18.8800,4.1968,229900
1998-07-13,18.7500,19.0000,17.9400,17.9400,3.9945,287100
1998-07-14,17.9400,18.5000,17.8800,18.3100,4.0769,970300
1998-07-15,18.2500,18.2500,17.8100,17.9400,3.9945,492900
1998-07-16,17.8800,18.0000,17.7500,17.9400,3.9945,1038700
1998-07-17,17.9400,18.0000,17.8800,17.9400,3.9945,285000
1998-07-20,17.9400,18.0000,17.1900,17.5000,3.8965,882900
1998-07-21,17.5600,17.6300,17.0000,17.0600,3.7986,282400
1998-07-22,17.0000,17.0600,16.4400,16.8800,3.7585,1579100
1998-07-23,16.7500,17.0000,16.6900,16.8800,3.7585,926100
1998-07-24,17.0000,17.0000,16.5000,16.5600,3.6872,429700
1998-07-27,16.3100,16.5600,16.0000,16.4400,3.6605,428600
1998-07-28,16.4400,16.5000,16.0600,16.0600,3.5759,668800
1998-07-29,16.0000,16.5000,16.0000,16.1300,3.5915,853700
1998-07-30,16.0000,16.6900,16.0000,16.1900,3.6049,540000
1998-07-31,16.2500,16.2500,15.8100,15.8800,3.5358,575600
1998-08-03,16.1300,16.4400,15.8800,16.0000,3.5625,349300
1998-08-04,16.0000,16.1900,15.1300,15.6300,3.4802,548900
1998-08-05,15.6300,16.1300,15.2500,15.3800,3.4245,297600
1998-08-06,15.3800,15.4400,15.0000,15.3800,3.4245,260500
1998-08-07,15.5000,15.8100,15.1300,15.6900,3.4935,525600
1998-08-10,15.5600,15.5600,15.0000,15.0000,3.3399,298900
1998-08-11,14.5000,14.7500,14.0000,14.6900,3.2709,631500
1998-08-12,14.5000,15.0000,14.0000,15.0000,3.3399,252900
1998-08-13,15.0000,15.1300,14.6300,14.6300,3.2575,384600
1998-08-14,14.6300,15.0000,14.6300,15.0000,3.3399,312400
