,open,high,low,close,adj_close,volume
2000-08-11,12.7500,14.0000,12.0000,13.1200,11.0568,25360000
2000-08-14,13.0900,13.1200,12.0000,12.0000,10.1129,2566400
2000-08-15,12.1600,12.3800,12.0000,12.1200,10.2140,1548800
2000-08-16,12.0600,13.0600,12.0600,12.3800,10.4331,1347200
2000-08-17,12.2500,12.5000,11.9400,12.0000,10.1129,1510400
2000-08-18,12.5300,14.3800,12.3800,14.3100,12.0596,1932800
2000-08-21,15.0600,16.2500,13.9400,15.1900,12.8012,2128000
2000-08-22,15.3800,15.6900,13.5000,13.5000,11.3770,1081600
2000-08-23,13.5600,13.7500,12.7500,13.0000,10.9556,572800
2000-08-24,12.9400,13.0600,12.0600,12.0600,10.1635,588800
2000-08-25,12.5600,12.9400,12.1200,12.8800,10.8545,643200
2000-08-28,13.4100,13.5500,12.5000,13.1200,11.0568,620800
2000-08-29,13.4400,13.5000,12.6200,13.3800,11.2759,726400
2000-08-30,13.3400,14.6900,13.2500,14.1900,11.9585,633600
2000-08-31,15.0600,16.5000,14.8800,16.1900,13.6440,2793600
2000-09-01,16.1200,16.2500,15.0000,15.7500,13.2732,886400
2000-09-05,15.8100,16.2500,15.5000,15.5600,13.1131,736000
2000-09-06,16.1200,16.2500,15.2500,15.5000,13.0625,656000
2000-09-07,16.0000,16.0000,13.3800,14.3800,12.1186,764800
2000-09-08,14.2700,14.5000,13.7500,14.0000,11.7984,508800
2000-09-11,13.8100,14.0000,13.5000,13.8800,11.6972,1104000
2000-09-12,13.5900,13.8100,12.8800,13.0000,10.9556,1081600
2000-09-13,12.7500,13.1200,12.3800,12.5000,10.5343,329600
2000-09-14,13.8800,13.8800,12.5000,12.6900,10.6944,259200
2000-09-15,12.5600,13.0000,12.5000,12.5600,10.5848,115200
2000-09-18,13.1200,13.2500,11.9400,12.0600,10.1635,595200
2000-09-19,13.0900,13.1200,10.7500,11.2500,9.4808,1536000
2000-09-20,11.5000,11.5600,9.7500,10.3800,8.7477,771200
2000-09-21,10.3100,10.7500,10.1900,10.6200,8.9499,806400
2000-09-22,9.5900,10.8100,9.4400,10.5600,8.8993,268800
2000-09-25,10.6200,10.8100,9.3800,9.4400,7.9555,672000
2000-09-26,9.8800,9.9400,9.0000,9.2500,7.7954,627200
2000-09-27,9.4100,9.4400,8.6200,9.3400,7.8712,534400
2000-09-28,9.2500,10.7500,9.1200,10.0000,8.4274,704000
2000-09-29,10.0900,10.1200,8.7200,8.8800,7.4835,611200
2000-10-02,9.3800,9.4100,8.3800,8.5000,7.1633,217600
2000-10-03,8.5900,8.8800,7.7500,7.9400,6.6914,323200
2000-10-04,8.0000,8.0600,6.7500,7.1200,6.0003,467200
2000-10-05,6.9400,8.1200,6.5000,6.5600,5.5284,483200
2000-10-06,6.9500,7.0000,5.9400,6.0900,5.1323,364800
2000-10-09,6.5600,6.6900,5.7800,6.1900,5.2166,339200
2000-10-10,6.3100,6.3800,5.5000,5.6900,4.7952,422400
2000-10-11,5.2500,5.7500,4.0600,4.1200,3.4721,1356800
2000-10-12,5.0900,5.2500,4.5000,5.1900,4.3738,1190400
2000-10-13,5.6900,7.8800,5.5300,7.5600,6.3711,1369600
2000-10-16,8.1200,8.1900,7.3800,8.1200,6.8431,1232000
2000-10-17,8.5000,8.5600,7.6200,7.8100,6.5818,352000
2000-10-18,7.7500,8.3800,5.9400,8.0600,6.7925,617600
2000-10-19,8.5000,9.3100,6.7500,6.9100,5.8233,828800
2000-10-20,7.5000,7.5000,7.0000,7.3100,6.1604,694400
2000-10-23,7.3800,8.4100,7.1200,8.2500,6.9526,569600
2000-10-24,8.3000,8.5000,8.1200,8.4400,7.1127,630400
2000-10-25,8.3600,8.5000,7.8800,8.5000,7.1633,422400
2000-10-26,8.4700,9.6200,8.4400,9.0600,7.6352,278400
2000-10-27,9.1100,9.1200,8.6200,9.0000,7.5847,105600
2000-10-30,8.9400,9.3800,8.6200,8.9400,7.5341,243200
2000-10-31,9.1200,10.2500,8.7500,9.7500,8.2167,332800
2000-11-01,9.7300,10.5000,9.5600,9.7500,8.2167,368000
2000-11-02,9.7300,9.8800,8.8800,9.2500,7.7954,249600
2000-11-03,8.9700,9.4400,8.9700,9.1200,7.6858,246400
2000-11-06,9.2500,9.3800,8.6900,8.8800,7.4835,310400
2000-11-07,9.0000,9.0000,8.7500,8.8800,7.4835,211200
2000-11-08,8.8800,8.8800,7.5300,8.0600,6.7925,668800
2000-11-09,7.5000,8.0000,7.5000,7.9100,6.6661,403200
2000-11-10,7.6400,7.7500,7.4400,7.4400,6.2700,579200
2000-11-13,6.9400,7.0600,6.8100,7.0600,5.9498,438400
2000-11-14,7.0300,7.3100,6.5000,6.6200,5.5789,502400
2000-11-15,6.8800,6.9400,6.3100,6.3100,5.3177,652800
2000-11-16,6.5200,6.6200,6.2500,6.3400,5.3430,124800
2000-11-17,6.8400,6.8800,6.3800,6.6200,5.5789,451200
2000-11-20,6.5300,6.5600,6.3100,6.3100,5.3177,172800
2000-11-21,6.3400,6.5000,6.1900,6.1900,5.2166,262400
2000-11-22,6.2500,6.2500,6.0000,6.0000,5.0564,364800
2000-11-24,6.0800,6.1200,6.0000,6.0300,5.0817,57600
2000-11-27,6.3800,6.6200,5.9400,6.0000,5.0564,166400
2000-11-28,6.1200,6.1200,5.3800,5.4400,4.5845,124800
2000-11-29,5.4400,5.5600,4.5000,4.8800,4.1126,544000
2000-11-30,4.7500,4.8400,4.2500,4.3800,3.6912,339200
2000-12-01,4.3800,5.0600,4.3400,4.8100,4.0536,217600
2000-12-04,4.8400,5.1200,4.8400,4.9400,4.1631,76800
2000-12-05,5.0800,5.1900,4.8800,5.0600,4.2643,150400
2000-12-06,5.0300,5.0600,4.5600,4.8100,4.0536,163200
2000-12-07,4.7800,5.1900,4.5000,4.5000,3.7923,435200
2000-12-08,4.7500,6.0000,4.7500,5.5000,4.6351,182400
2000-12-11,5.5300,5.8100,5.5000,5.5000,4.6351,80000
2000-12-12,5.6700,7.3100,5.5000,6.6200,5.5789,320000
2000-12-13,7.3600,7.6200,6.8800,7.0600,5.9498,211200
2000-12-14,7.3000,7.3100,6.8100,7.0000,5.8992,156800
2000-12-15,6.9500,7.0500,6.6900,6.6900,5.6379,80000
2000-12-18,7.0900,7.1200,5.6200,5.8400,4.9216,99200
2000-12-19,5.4100,5.9400,5.1200,5.5600,4.6856,160000
2000-12-20,5.5000,5.5800,4.6900,4.8800,4.1126,262400
2000-12-21,4.5000,4.6200,3.9400,4.0600,3.4215,534400
2000-12-22,4.5800,4.6200,4.0000,4.0000,3.3710,451200
2000-12-26,4.0600,4.4400,3.8100,3.9400,3.3204,348800
2000-12-27,3.9400,4.0000,3.5000,3.8100,3.2108,220800
2000-12-28,3.7500,3.8100,3.2500,3.5000,2.9496,985600
2000-12-29,3.4700,4.7500,3.4400,4.3800,3.6912,534400
2001-01-02,4.4220,4.4380,3.3750,3.5630,3.0027,432000
2001-01-03,3.4380,4.5000,3.2500,3.6250,3.0549,835200
2001-01-04,3.9220,4.1880,3.5000,3.6250,3.0549,310400
2001-01-05,3.7500,4.0630,3.5630,4.0000,3.3710,160000
2001-01-08,4.0000,4.0630,3.7500,3.9380,3.3187,166400
2001-01-09,4.0000,4.0000,3.5630,3.7190,3.1342,73600
2001-01-10,3.7810,3.8750,3.5630,3.8130,3.2134,179200
2001-01-11,3.8130,4.0630,3.5940,3.8750,3.2656,246400
2001-01-12,3.9220,4.6250,3.9220,4.6250,3.8977,547200
2001-01-16,4.7500,5.2500,4.5000,5.0000,4.2137,204800
2001-01-17,5.2500,6.0000,5.1880,5.6250,4.7404,220800
2001-01-18,5.9220,6.1250,5.7500,5.8130,4.8989,217600
2001-01-19,5.8750,6.0630,5.7500,5.8750,4.9511,291200
2001-01-22,6.0000,6.2500,5.7500,6.0000,5.0564,268800
2001-01-23,6.0160,6.5000,5.9380,6.3750,5.3725,134400
2001-01-24,6.7660,7.5000,6.3130,7.0000,5.8992,419200
2001-01-25,6.9380,7.0000,6.5000,6.5000,5.4778,182400
2001-01-26,5.9380,6.1250,5.5000,6.0000,5.0564,249600
2001-01-29,6.1560,6.3750,6.0000,6.0630,5.1095,89600
2001-01-30,6.1880,6.1880,5.8750,5.9380,5.0042,80000
2001-01-31,6.0470,6.2500,5.7500,5.9380,5.0042,262400
2001-02-01,5.9380,6.1880,5.9060,6.0000,5.0564,48000
2001-02-02,6.0000,6.0630,5.8750,6.0000,5.0564,38400
2001-02-05,5.9690,5.9690,5.3750,5.3750,4.5297,70400
2001-02-06,5.0000,5.4060,4.8750,5.2810,4.4505,102400
2001-02-07,5.2810,6.1250,5.1880,6.1250,5.1618,131200
2001-02-08,6.5630,7.0000,6.2500,6.5000,5.4778,489600
2001-02-09,6.7500,6.7500,5.8130,6.1880,5.2149,137600
2001-02-12,6.0000,6.5000,5.8750,6.0000,5.0564,73600
2001-02-13,6.1250,6.2190,5.5310,5.8750,4.9511,182400
2001-02-14,5.8590,5.9060,5.2500,5.4380,4.5828,44800
2001-02-15,5.5000,5.8750,5.1250,5.1250,4.3190,102400
2001-02-16,5.2190,5.2500,4.0000,4.4690,3.7662,1270400
2001-02-20,4.5000,4.9380,4.3130,4.3750,3.6870,108800
2001-02-21,4.2500,4.3130,3.9380,4.0000,3.3710,227200
2001-02-22,4.0630,4.1560,3.7500,3.9380,3.3187,153600
2001-02-23,3.9530,4.0310,3.7500,3.9380,3.3187,486400
2001-02-26,3.9690,4.0310,3.7500,3.8130,3.2134,307200
2001-02-27,3.7970,3.8440,3.6250,3.7810,3.1864,355200
2001-02-28,3.7660,3.8440,3.6250,3.7500,3.1603,108800
2001-03-01,3.7190,3.7500,3.0940,3.1560,2.6597,502400
2001-03-02,3.2190,3.2810,2.7500,2.8440,2.3968,342400
2001-03-05,2.9840,3.0310,2.7500,2.9060,2.4490,400000
2001-03-06,3.0160,4.2500,2.8750,3.0000,2.5282,806400
2001-03-07,3.1560,3.1560,2.8750,3.0000,2.5282,240000
2001-03-08,3.0470,3.0630,2.7500,2.9380,2.4760,182400
2001-03-09,3.0000,3.0630,2.7500,2.7810,2.3437,160000
2001-03-12,2.8130,2.8130,2.2030,2.3750,2.0015,595200
2001-03-13,2.0630,2.3130,2.0000,2.2500,1.8962,457600
2001-03-14,2.1410,2.2190,2.0000,2.0310,1.7116,339200
2001-03-15,2.1250,2.2500,1.9380,1.9380,1.6332,467200
2001-03-16,2.0000,2.0630,1.5630,1.7500,1.4748,352000
2001-03-19,1.8440,2.0940,1.8440,1.9380,1.6332,521600
2001-03-20,2.0470,2.0630,1.9690,2.0310,1.7116,620800
2001-03-21,2.0310,2.0630,1.9380,2.0000,1.6855,412800
2001-03-22,2.0310,2.0630,2.0000,2.0310,1.7116,172800
2001-03-23,2.0000,2.0630,1.9380,2.0310,1.7116,326400
2001-03-26,2.0160,2.0310,1.9380,2.0000,1.6855,73600
2001-03-27,2.0000,2.0310,1.6250,1.6250,1.3695,214400
2001-03-28,1.5000,1.7660,1.3750,1.5630,1.3172,492800
2001-03-29,1.6560,1.7500,1.3750,1.4060,1.1849,649600
2001-03-30,1.5000,1.5000,1.0630,1.2500,1.0534,998400
2001-04-02,1.3750,1.4380,1.0000,1.1250,0.9481,560000
2001-04-03,1.1880,1.2500,1.0000,1.0940,0.9220,838400
2001-04-04,1.1880,1.2500,1.0000,1.0310,0.8689,419200
2001-04-05,1.1250,1.1250,0.9688,1.0310,0.8689,819200
2001-04-06,1.0310,1.0310,0.5000,0.5938,0.5004,2921600
2001-04-09,0.8300,0.9200,0.7200,0.9200,0.7753,1161600
2001-04-10,1.0450,1.3000,1.0400,1.1100,0.9354,1648000
2001-04-11,1.2350,1.3800,1.1500,1.3500,1.1377,2572800
2001-04-12,1.4000,1.4300,1.2500,1.3000,1.0956,793600
2001-04-16,1.4000,1.4500,1.3500,1.3800,1.1630,835200
2001-04-17,1.3000,1.3400,1.2600,1.3200,1.1124,358400
2001-04-18,1.3600,1.5000,1.3500,1.4600,1.2304,918400
2001-04-19,1.6100,1.8500,1.6000,1.6300,1.3737,1337600
2001-04-20,1.7200,1.7300,1.4500,1.5000,1.2641,678400
2001-04-23,1.5000,1.5300,1.1900,1.2300,1.0366,444800
2001-04-24,1.2300,1.3000,1.2000,1.2900,1.0871,316800
2001-04-25,1.2800,1.3600,1.2500,1.2700,1.0703,508800
2001-04-26,1.2900,1.3000,1.2500,1.2500,1.0534,179200
2001-04-27,1.3000,1.3900,1.2400,1.3000,1.0956,528000
2001-04-30,1.3600,1.3800,1.2700,1.3200,1.1124,480000
2001-05-01,1.3500,1.3800,1.2800,1.3200,1.1124,496000
2001-05-02,1.3550,1.9100,1.3200,1.7300,1.4579,819200
2001-05-03,1.7800,1.7900,1.5000,1.7000,1.4327,400000
2001-05-04,1.6950,1.7000,1.5200,1.6200,1.3652,454400
2001-05-07,1.6450,1.6500,1.4900,1.5800,1.3315,454400
2001-05-08,1.5800,1.7000,1.5800,1.6200,1.3652,182400
2001-05-09,1.6300,1.6300,1.5000,1.5300,1.2894,144000
2001-05-10,1.5600,1.5900,1.4800,1.5000,1.2641,208000
2001-05-11,1.5600,1.5600,1.2000,1.3900,1.1714,646400
2001-05-14,1.4200,1.4200,1.0000,1.1600,0.9776,672000
2001-05-15,1.1850,1.3000,1.1800,1.2700,1.0703,387200
2001-05-16,1.2300,1.3500,1.2200,1.3000,1.0956,131200
2001-05-17,1.3100,1.3700,1.2000,1.2500,1.0534,198400
2001-05-18,1.2500,1.2800,1.1600,1.2000,1.0113,585600
2001-05-21,1.2050,1.4300,1.2000,1.3900,1.1714,211200
2001-05-22,1.4000,1.4900,1.3200,1.4400,1.2135,124800
2001-05-23,1.4650,1.4700,1.3500,1.4300,1.2051,179200
2001-05-24,1.4200,1.7000,1.4000,1.5400,1.2978,316800
2001-05-25,1.5950,1.6400,1.4500,1.5000,1.2641,124800
2001-05-29,1.5500,1.5700,1.4400,1.4600,1.2304,144000
2001-05-30,1.4800,1.4900,1.2600,1.3000,1.0956,268800
2001-05-31,1.3150,1.3800,1.2500,1.3000,1.0956,195200
2001-06-01,1.3800,1.3800,1.2400,1.3500,1.1377,224000
2001-06-04,1.4650,1.5000,1.3100,1.4900,1.2557,284800
2001-06-05,1.5000,1.5600,1.4500,1.5200,1.2810,156800
2001-06-06,1.5400,1.5500,1.4400,1.4400,1.2135,60800
2001-06-07,1.4150,1.4700,1.3100,1.3600,1.1461,156800
2001-06-08,1.4200,1.4300,1.2900,1.3500,1.1377,208000
2001-06-11,1.3600,1.3700,1.2800,1.3500,1.1377,67200
2001-06-12,1.3000,1.3500,1.2800,1.3100,1.1040,60800
2001-06-13,1.3500,1.4000,1.3300,1.3300,1.1208,32000
2001-06-14,1.3000,1.3600,1.1300,1.1900,1.0029,275200
2001-06-15,1.2150,1.2200,1.0500,1.1500,0.9692,611200
2001-06-18,1.3700,1.4400,1.1800,1.2200,1.0281,448000
2001-06-19,1.2800,1.2800,1.2000,1.2300,1.0366,464000
2001-06-20,1.2200,1.2900,1.0800,1.1600,0.9776,153600
2001-06-21,1.0500,1.2000,1.0100,1.1400,0.9607,454400
