,open,high,low,close,adj_close,volume
1998-01-02,34.8100,34.8100,34.1300,34.3800,14.3412,28300
1998-01-05,34.6300,34.6900,34.1900,34.3800,14.3412,68400
1998-01-06,34.3800,34.5000,34.3100,34.5000,14.3912,47100
1998-01-07,34.5000,34.9400,34.3800,34.9400,14.5748,14200
1998-01-08,34.6900,34.9400,34.5600,34.8800,14.5497,13200
1998-01-09,34.8800,34.9400,34.5000,34.5600,14.4163,27800
1998-01-12,34.2500,34.3800,34.1300,34.2500,14.2869,22500
1998-01-13,34.2500,34.3100,34.1300,34.3100,14.3120,19300
1998-01-14,34.2500,34.5600,34.2500,34.5600,14.4163,81900
1998-01-15,34.6900,34.8800,34.5600,34.6300,14.4455,11000
1998-01-16,34.8800,34.9400,34.6900,34.7500,14.4955,34000
1998-01-20,34.8800,34.8800,34.3800,34.6300,14.4455,42500
1998-01-21,34.5000,34.6300,34.4400,34.4400,14.3662,51000
1998-01-22,34.4400,34.5000,34.4400,34.5000,14.3912,49000
1998-01-23,34.6300,34.7500,34.6300,34.7500,14.4955,31200
1998-01-26,34.7500,34.9400,34.7500,34.7500,14.4955,51900
1998-01-27,34.8800,34.9400,34.6900,34.6900,14.4705,57500
1998-01-28,34.5600,34.6300,34.3800,34.5600,14.4163,23800
1998-01-29,34.4400,34.6300,34.4400,34.5000,14.3912,34800
1998-01-30,34.3800,34.4400,34.1300,34.4400,14.3662,15200
1998-02-02,34.3100,34.5000,33.8800,34.0600,14.2077,31200
1998-02-03,33.9400,33.9400,33.6300,33.9400,14.1576,22500
1998-02-04,33.6900,33.8100,33.4400,33.5600,13.9991,67700
1998-02-05,33.6900,33.9400,33.6300,33.8100,14.1034,21300
1998-02-06,33.6300,34.3100,33.5600,34.3100,14.3120,24200
1998-02-09,34.3100,34.3800,33.6900,33.8800,14.1326,124500
1998-02-10,33.9400,34.0000,33.6300,33.7500,14.0784,44800
1998-02-11,33.5600,33.6900,33.0000,33.1300,13.8198,243900
1998-02-12,32.8100,33.1900,32.5600,33.0600,13.7906,102100
1998-02-13,33.2500,33.6900,33.0600,33.1300,13.8198,160600
1998-02-17,33.3800,33.5000,32.8100,32.8800,13.7155,27600
1998-02-18,33.0000,33.0000,32.5600,32.8100,13.6863,84600
1998-02-19,32.7500,33.0000,32.7500,32.7500,13.6612,53800
1998-02-20,32.8800,33.0000,32.6300,32.8800,13.7155,90800
1998-02-23,32.7500,33.1300,32.6900,32.7500,13.6612,159400
1998-02-24,32.7500,32.7500,32.3100,32.3800,13.5069,174200
1998-02-25,32.5000,32.8100,32.5000,32.6300,13.6112,101000
1998-02-26,32.5000,32.6900,32.3800,32.5000,13.5570,71000
1998-02-27,32.3800,32.5000,32.3100,32.3800,13.5069,64800
1998-03-02,32.3100,32.5600,32.2500,32.5000,13.5570,146500
1998-03-03,32.4400,32.7500,32.4400,32.7500,13.6612,115000
1998-03-04,32.8100,34.0600,32.4400,34.0600,14.2077,61900
1998-03-05,33.6900,34.0000,33.2500,33.6300,14.0283,41200
1998-03-06,33.8100,34.0000,33.5000,33.6300,14.0283,34500
1998-03-09,33.6900,33.6900,32.7500,33.2500,13.8698,14800
1998-03-10,33.3100,33.7500,33.3100,33.6300,14.0283,87500
1998-03-11,33.2500,33.4400,33.0600,33.0600,13.7906,82000
1998-03-12,33.0000,33.1300,32.8100,32.9400,13.7405,18900
1998-03-13,33.0000,33.4400,32.7500,33.0600,13.7906,18800
1998-03-16,33.0000,33.1300,32.8800,32.9400,13.7405,11600
1998-03-17,33.0600,33.2500,32.9400,33.0600,13.7906,4600
1998-03-18,32.9400,33.3800,32.8800,33.2500,13.8698,52500
1998-03-19,33.3100,33.6300,33.3100,33.5600,13.9991,61900
1998-03-20,33.7500,33.9400,33.3100,33.5600,13.9991,39800
1998-03-23,33.3100,33.5600,32.8800,33.5000,13.9741,67400
1998-03-24,33.2500,33.5000,33.1900,33.3800,13.9240,126600
1998-03-25,33.3800,33.5600,33.3800,33.5600,13.9991,29300
1998-03-26,33.5000,33.6900,33.4400,33.6300,14.0283,120100
1998-03-27,33.3800,33.5600,33.2500,33.5600,14.1868,63900
1998-03-30,33.5000,33.6300,33.3800,33.6300,14.2164,15200
1998-03-31,33.6300,34.3100,33.6300,34.3100,14.5039,28800
1998-04-01,34.0600,34.2500,33.8100,33.9400,14.3475,77600
1998-04-02,33.7500,34.0000,33.7500,33.8100,14.2925,30900
1998-04-03,33.7500,33.9400,33.7500,33.8800,14.3221,19900
1998-04-06,33.7500,33.7500,33.4400,33.7500,14.2671,89300
