,open,high,low,close,adj_close,volume
1998-01-02,22.8700,23.1200,21.5000,22.9400,57.0111,554250
1998-01-05,23.2500,25.3700,22.7500,25.3100,62.9011,3256000
1998-01-06,25.1200,25.3700,24.0000,24.5900,61.1117,1034750
1998-01-07,24.2500,25.2500,22.2500,24.9400,61.9815,1632500
1998-01-08,24.6200,25.3700,24.1200,24.4400,60.7389,1622750
1998-01-09,24.2500,24.3100,22.5000,22.8700,56.8371,1492500
1998-01-12,22.0000,23.5000,21.1900,22.6200,56.2158,1047000
1998-01-13,23.1200,23.5000,22.6200,22.8400,56.7626,597250
1998-01-14,23.0000,23.1200,22.2500,22.7500,56.5389,515500
1998-01-15,22.3700,22.9400,21.8700,22.5600,56.0667,353750
1998-01-16,22.6200,23.1200,22.2500,22.8700,56.8371,494000
1998-01-20,23.4400,23.6200,22.7500,23.3100,57.9306,680750
1998-01-21,23.2500,24.2500,22.6200,23.9400,59.4963,856500
1998-01-22,23.8700,24.0000,23.3700,23.6900,58.8750,479250
1998-01-23,23.4400,23.8700,21.5000,22.0000,54.6750,1400500
1998-01-26,22.0000,22.1200,19.9400,20.2500,50.3258,1141500
1998-01-27,19.8700,21.3700,19.7500,19.9100,49.4808,1175000
1998-01-28,19.9400,20.5000,18.7500,20.4400,50.7980,1334750
1998-01-29,20.5000,20.5000,20.0000,20.1900,50.1767,886500
1998-01-30,20.2500,21.9400,20.1200,21.8100,54.2028,1258750
1998-02-02,22.5000,24.0000,22.3700,23.8100,59.1732,1755750
1998-02-03,23.8100,25.0000,23.7500,24.7500,61.5093,1136500
1998-02-04,24.5000,24.7500,23.8700,24.5600,61.0371,804000
1998-02-05,24.8100,25.0000,24.0000,25.0000,62.1306,1025750
1998-02-06,25.0000,25.2500,23.1900,23.1900,57.6324,762000
1998-02-09,23.5000,27.5000,23.5000,27.3700,68.0206,2229000
1998-02-10,27.1200,27.7500,26.3700,26.7500,66.4798,1268250
1998-02-11,26.6200,26.9400,25.7500,26.6200,66.1567,596500
1998-02-12,26.2500,27.8700,26.2500,27.7500,68.9650,736250
1998-02-13,27.5000,27.7500,25.7500,26.1200,64.9141,1831250
1998-02-17,26.4400,26.5000,25.6200,26.0000,64.6159,648500
1998-02-18,25.8700,26.2500,25.2500,25.5000,63.3733,574000
1998-02-19,25.7500,26.2500,25.3100,26.0000,64.6159,470500
1998-02-20,26.2500,26.7500,25.7500,25.8700,64.2928,683000
1998-02-23,26.0000,26.5000,26.0000,26.2800,65.3117,483000
1998-02-24,26.1900,26.5000,25.3700,25.6900,63.8454,796500
1998-02-25,25.6900,26.0000,24.7500,24.8100,61.6584,1056750
1998-02-26,24.2500,26.3700,24.1200,26.3700,65.5354,823250
1998-02-27,25.7500,27.0000,25.6200,26.7500,66.4798,1159750
1998-03-02,26.3100,26.7500,25.5000,26.3700,65.5354,958750
1998-03-03,26.2500,26.5000,26.0000,26.1900,65.0881,229250
1998-03-04,26.1900,26.1900,25.1900,25.3100,62.9011,447500
1998-03-05,24.8700,24.8700,22.0000,22.8100,56.6880,1074750
1998-03-06,23.2500,24.5000,23.1900,24.2500,60.2667,1975500
1998-03-09,24.3700,25.0000,24.0000,24.8700,61.8076,574250
1998-03-10,25.2500,25.6200,25.0000,25.6200,63.6715,700500
1998-03-11,25.7500,26.3700,24.4400,24.7500,61.5093,961000
1998-03-12,25.0000,25.0000,24.4400,24.5600,61.0371,578500
1998-03-13,22.9400,23.7500,20.7500,21.3700,53.1093,4366250
1998-03-16,22.3700,23.2500,22.0000,23.0000,57.1602,2118750
1998-03-17,23.0000,23.0600,22.0000,22.2500,55.2963,923000
1998-03-18,22.1200,23.0600,22.0600,22.9400,57.0111,773750
1998-03-19,23.0600,23.7500,22.8700,23.6200,58.7010,853250
1998-03-20,23.2500,23.4400,22.8700,23.3100,57.9306,439500
1998-03-23,23.3700,24.0600,22.0000,23.6200,58.7010,1235500
1998-03-24,23.8100,24.3700,23.5000,24.0600,59.7945,624750
1998-03-25,24.3700,24.5000,23.6200,24.1900,60.1176,698250
1998-03-26,23.8700,24.4400,23.6200,23.9400,59.4963,380500
1998-03-27,24.2500,24.5000,24.0000,24.3700,60.5649,524500
1998-03-30,24.2500,24.4400,23.7500,24.2500,60.2667,325500
1998-03-31,24.3700,25.0000,24.0000,24.9400,61.9815,680250
1998-04-01,25.7500,26.8700,25.5000,25.8700,64.2928,2759500
1998-04-02,25.8700,26.1900,25.3700,26.1200,64.9141,1247250
1998-04-03,26.1200,28.1200,26.1200,27.1900,67.5733,2398750
1998-04-06,27.7500,27.8100,25.5000,25.7500,63.9946,1090000
1998-04-07,25.8700,27.2500,25.6900,27.0000,67.1011,986250
1998-04-08,25.3700,25.3700,22.8700,23.5600,58.5519,4166750
1998-04-09,23.5600,24.3100,23.4400,23.4400,58.2537,1233250
1998-04-13,23.6200,23.6200,22.5000,22.6900,56.3898,883250
1998-04-14,22.6900,22.7500,22.1900,22.4400,55.7685,1012750
1998-04-15,22.4400,22.5600,21.1200,21.6900,53.9045,1794750
1998-04-16,21.6200,21.9400,20.6200,21.7500,54.0537,1941500
1998-04-17,22.0000,22.6900,21.8100,22.5600,56.0667,1266250
1998-04-20,22.8700,23.5000,22.5600,23.4400,58.2537,1034500
1998-04-21,23.7500,24.0000,22.5000,22.8100,56.6880,1364750
1998-04-22,23.1900,23.5600,23.1200,23.3100,57.9306,589500
1998-04-23,23.7500,23.8700,22.5000,22.5600,56.0667,660000
1998-04-24,23.1200,23.1200,21.9400,22.3700,55.5945,766000
1998-04-27,22.0600,22.1900,21.0000,21.1200,52.4880,1160250
1998-04-28,21.5600,23.4400,21.5000,23.1900,57.6324,1620750
1998-04-29,23.5000,24.3100,23.4400,24.1200,59.9436,1866750
1998-04-30,24.4400,25.7500,24.1200,24.9400,61.9815,1926250
1998-05-01,25.2500,25.2500,23.6200,24.2500,60.2667,563250
1998-05-04,24.3700,25.6200,24.3700,25.0000,62.1306,1474250
1998-05-05,24.8700,25.6900,24.2500,25.0000,62.1306,1047000
1998-05-06,25.3700,25.3700,24.2500,24.3700,60.5649,441250
1998-05-07,24.6200,24.6200,23.6200,23.8100,59.1732,325500
1998-05-08,24.0000,24.2500,23.5600,23.7500,59.0241,245000
1998-05-11,24.0000,24.8700,23.4400,23.7500,59.0241,462250
1998-05-12,24.1200,24.1200,23.7500,23.8100,59.1732,351500
1998-05-13,24.0000,24.1200,23.2500,23.9400,59.4963,553000
1998-05-14,23.6200,23.7500,22.8100,23.3100,57.9306,655000
1998-05-15,23.2500,23.5000,22.8100,23.1200,57.4584,333000
1998-05-18,23.5000,23.6200,22.1200,22.5000,55.9176,580750
1998-05-19,22.8700,23.2500,22.4400,23.0000,57.1602,498500
1998-05-20,23.2500,23.4400,21.8700,22.1200,54.9732,554500
1998-05-21,22.3100,22.5600,22.0600,22.2500,55.2963,373000
1998-05-22,22.5000,22.7500,22.0000,22.3700,55.5945,358500
1998-05-26,22.2500,22.5000,21.2500,21.5000,53.4324,779250
1998-05-27,21.2500,21.3700,20.3100,21.2500,52.8110,1130000
1998-05-28,21.3700,22.5000,21.0600,22.3100,55.4454,515000
1998-05-29,22.4400,22.5000,21.6200,21.6200,53.7306,539750
1998-06-01,21.5000,21.7500,20.2500,20.6200,51.2454,841500
1998-06-02,20.6200,21.1200,20.1200,20.5000,50.9471,523250
1998-06-03,20.5000,20.6900,19.7500,20.1200,50.0027,513000
1998-06-04,20.3100,22.0000,20.2500,22.0000,54.6750,685250
1998-06-05,22.0000,23.0000,22.0000,22.3100,55.4454,662500
1998-06-08,22.5000,23.5600,22.3100,23.3700,58.0797,718250
1998-06-09,23.5000,24.0000,23.3700,23.4400,58.2537,691500
1998-06-10,23.5600,23.9400,22.7500,23.1900,57.6324,866250
1998-06-11,22.7500,23.0000,21.7500,22.0600,54.8241,924750
1998-06-12,22.7500,22.8700,19.7500,21.0000,52.1897,3047500
1998-06-15,20.2500,20.8700,19.8700,20.2500,50.3258,872500
1998-06-16,20.7500,21.2500,20.3700,20.9100,51.9661,668500
1998-06-17,21.5600,22.6900,21.3700,22.1900,55.1472,1654500
1998-06-18,22.0000,22.2500,21.0000,21.0000,52.1897,968250
1998-06-19,21.2500,21.3700,20.5000,20.8100,51.7175,920750
1998-06-22,20.8700,21.6900,20.6200,21.5000,53.4324,528000
1998-06-23,21.6200,21.9400,21.0000,21.1200,52.4880,615750
1998-06-24,21.1200,21.6200,20.7500,21.5600,53.5815,535500
1998-06-25,21.6200,22.8700,21.5000,22.2500,55.2963,1170750
1998-06-26,22.1200,22.5000,21.7500,22.2500,55.2963,273000
1998-06-29,22.5000,22.8700,22.2500,22.5000,55.9176,399250
1998-06-30,22.6200,23.0000,22.0600,22.9400,57.0111,499000
1998-07-01,22.8700,23.6200,22.5000,23.1200,57.4584,1466000
1998-07-02,23.1900,23.4400,22.0000,22.5000,55.9176,1620750
1998-07-06,22.7500,22.9400,22.0000,22.2500,55.2963,1118500
1998-07-07,22.4400,23.0000,22.3100,22.8700,56.8371,800250
1998-07-08,22.8700,23.7500,22.1200,23.1200,57.4584,823250
1998-07-09,23.2500,25.6900,23.1200,25.5600,63.5224,2482250
1998-07-10,25.6900,26.4400,24.3700,24.5000,60.8880,890000
1998-07-13,30.5600,35.2500,29.0000,34.5000,85.7403,7960500
1998-07-14,34.5600,34.6300,30.2500,30.5600,75.9485,4264750
1998-07-15,30.6200,33.8800,29.5000,33.8100,84.0255,2927750
1998-07-16,34.4400,34.5000,32.1900,33.6900,83.7273,1508750
1998-07-17,33.6300,33.6300,32.7500,33.3100,82.7829,589000
1998-07-20,33.1300,33.3100,31.7500,32.2500,80.1485,1009500
1998-07-21,32.0000,32.5000,30.5000,32.0000,79.5272,1640000
1998-07-22,29.8700,30.0000,28.6200,28.7500,71.4502,2429000
1998-07-23,28.1200,28.1200,25.0000,25.1200,62.4289,2344500
1998-07-24,25.6200,27.2500,25.5000,27.1200,67.3993,1792000
1998-07-27,27.0000,27.3700,26.5000,27.0000,67.1011,1223500
1998-07-28,27.1200,27.2500,25.7500,27.1200,67.3993,1208250
1998-07-29,27.3100,27.3100,26.2500,26.5000,65.8585,338500
1998-07-30,26.3100,27.6200,26.1200,27.3700,68.0206,831000
1998-07-31,27.3700,27.4400,26.3700,27.2500,67.7224,575750
1998-08-03,27.1900,27.2500,25.5600,25.8700,64.2928,622500
1998-08-04,26.0000,26.6200,25.0600,25.1200,62.4289,752750
1998-08-05,25.0600,25.5000,23.8700,24.5000,60.8880,654250
1998-08-06,24.2500,27.1200,24.0000,27.1200,67.3993,953000
1998-08-07,27.8700,29.8700,27.5600,28.6900,71.3011,1719000
1998-08-10,29.3700,29.3700,27.0600,27.7500,68.9650,919750
1998-08-11,26.3700,28.6900,26.2500,28.0000,69.5863,1131250
1998-08-12,28.0000,29.6200,27.8700,28.8700,71.7485,1266250
1998-08-13,28.7500,29.1900,26.6200,26.9400,66.9520,745000
1998-08-14,27.6200,28.3100,27.3700,27.6200,68.6419,394000
1998-08-17,27.6200,28.2500,27.2500,27.3700,68.0206,408000
