,open,high,low,close,adj_close,volume
1998-01-02,89.0000,89.0600,87.1900,87.4400,12.3158,349500
1998-01-05,88.6900,88.9400,88.0000,88.8800,12.5186,604400
1998-01-06,88.8800,90.4400,88.8800,90.2500,12.7115,382000
1998-01-07,90.1900,91.0000,89.8100,90.3800,12.7298,506200
1998-01-08,91.3800,91.9400,90.4400,91.1900,12.8439,332900
1998-01-09,91.0000,91.0600,85.8800,86.0600,12.1214,765100
1998-01-12,85.2500,88.3800,85.1900,87.6900,12.3510,480000
1998-01-13,87.6300,89.3800,87.1300,89.0600,12.5439,482800
1998-01-14,89.2500,90.5000,89.0600,90.3100,12.7200,318300
1998-01-15,90.3100,91.3100,90.0600,90.6900,12.7735,215300
1998-01-16,91.0000,93.1300,91.0000,92.4400,13.0200,286100
1998-01-20,92.1900,92.1900,88.6300,88.7500,12.5003,316600
1998-01-21,89.0000,90.1300,89.0000,89.7500,12.6411,555000
1998-01-22,89.6300,90.2500,89.0000,89.4400,12.5975,462300
1998-01-23,89.3800,90.1300,88.3100,88.3800,12.4482,647300
1998-01-26,88.0000,89.0000,87.5000,88.6300,12.4834,350200
1998-01-27,88.6300,88.6900,88.1300,88.1300,12.4129,415400
1998-01-28,88.1300,89.0000,87.7500,87.8100,12.3679,329200
1998-01-29,88.1300,92.3800,88.0000,91.0600,12.8256,423000
1998-01-30,90.8100,91.3100,89.5000,89.7500,12.6411,223600
1998-02-02,90.2500,93.3100,90.2500,93.1300,13.1172,304700
1998-02-03,92.8800,94.1300,92.8800,94.1300,13.2580,247600
1998-02-04,94.1300,94.1300,92.8100,92.8800,13.0820,161000
1998-02-05,92.9400,94.6300,92.9400,93.3100,13.2045,257000
1998-02-06,94.1900,94.3800,93.5000,93.6300,13.2498,279400
1998-02-09,93.7500,95.5000,93.7500,94.1300,13.3205,205600
1998-02-10,94.1900,94.1900,92.8100,93.0000,13.1606,409100
1998-02-11,93.0600,93.0600,92.2500,92.4400,13.0814,280500
1998-02-12,92.3800,92.3800,90.8800,91.5000,12.9484,357800
1998-02-13,91.5600,91.6900,90.8800,91.0600,12.8861,391700
1998-02-17,92.0000,95.3100,92.0000,92.4400,13.0814,485800
1998-02-18,91.5000,93.0000,91.0600,92.3100,13.0630,226900
1998-02-19,92.3100,93.0000,91.5000,92.2500,13.0545,334200
1998-02-20,92.7500,93.1900,92.3100,93.0000,13.1606,521700
1998-02-23,92.7500,94.0000,92.7500,93.5000,13.2314,233400
1998-02-24,93.2500,94.6300,93.0600,94.0000,13.3022,310800
1998-02-25,94.0600,96.3100,94.0000,95.3800,13.4974,333100
1998-02-26,95.6300,96.6900,95.5000,96.6300,13.6743,177700
1998-02-27,96.5600,97.2500,95.7500,96.0600,13.5937,214800
1998-03-02,95.9400,95.9400,94.5600,95.6900,13.5413,128700
1998-03-03,95.1900,96.1900,94.6300,95.6900,13.5413,129500
1998-03-04,96.1300,97.4400,95.8800,96.6900,13.6828,245100
1998-03-05,96.2500,96.3100,95.3100,95.6300,13.5328,162800
1998-03-06,95.3800,97.5000,95.0600,95.6300,13.5328,256600
1998-03-09,95.6300,96.5000,94.8100,95.2500,13.4790,173900
1998-03-10,95.2500,97.5600,95.1300,96.5000,13.6559,162100
1998-03-11,96.2500,96.9400,95.8100,95.8800,13.5682,117000
1998-03-12,95.6300,96.9400,95.3800,96.1900,13.6121,305900
1998-03-13,96.0600,97.3800,94.7500,94.7500,13.4083,169500
1998-03-16,94.7500,95.5000,94.3800,95.5000,13.5144,157600
1998-03-17,95.3100,98.0000,95.0600,98.0000,13.8682,220800
1998-03-18,97.5600,98.3800,96.3100,98.3100,13.9121,212400
1998-03-19,98.8100,98.9400,97.3800,98.0600,13.8767,197400
1998-03-20,99.0000,99.6300,97.8100,98.3800,13.9220,244200
1998-03-23,98.1300,98.1300,97.1300,97.6900,13.8243,332200
1998-03-24,97.0000,97.3800,96.6900,96.7500,13.6913,156500
1998-03-25,96.7500,97.3100,94.8800,96.8100,13.6998,262000
1998-03-26,97.1300,97.1300,96.5000,96.7500,13.6913,271200
1998-03-27,96.8100,96.8100,95.0000,96.0600,13.5937,186500
1998-03-30,95.8100,96.0000,94.5600,94.8800,13.4267,496800
1998-03-31,94.6300,96.9400,94.5000,95.1900,13.4706,286700
1998-04-01,95.3100,95.3800,93.4400,93.5000,13.2314,317700
1998-04-02,93.1300,95.1300,91.8100,95.0000,13.4437,658600
1998-04-03,95.0000,95.0000,93.3800,93.9400,13.2937,391900
1998-04-06,93.9400,94.0000,92.6300,93.1300,13.1790,653100
1998-04-07,93.2500,93.5000,92.3800,92.8800,13.1437,269700
1998-04-08,92.8800,93.5600,91.7500,92.0000,13.0191,348000
1998-04-09,91.8100,93.0600,91.8100,92.8800,13.1437,219400
1998-04-13,92.7500,93.6300,92.0600,92.7500,13.1253,325300
1998-04-14,92.6300,93.6900,92.3800,93.1900,13.1875,389400
1998-04-15,93.1300,93.3800,91.6300,91.8800,13.0021,1155300
1998-04-16,91.5000,92.5000,91.3800,91.3800,12.9314,630200
1998-04-17,92.0000,92.1900,89.1300,90.8100,12.8507,581000
1998-04-20,90.3100,90.5000,88.2500,88.2500,12.4885,537100
1998-04-21,88.0000,88.0000,86.5000,87.7500,12.4177,875900
1998-04-22,88.5000,91.9400,88.5000,89.5600,12.6738,859500
1998-04-23,89.5000,90.3800,88.3100,89.9400,12.7276,974100
1998-04-24,90.0600,91.8800,89.5600,91.0000,12.8776,494600
1998-04-27,90.5000,90.8800,89.1300,89.5600,12.6738,918400
1998-04-28,90.5600,91.5600,90.3800,90.5600,12.8153,471100
1998-04-29,90.6300,92.4400,90.5600,91.5000,12.9484,377200
1998-04-30,91.6300,93.0000,91.6300,92.3800,13.1352,216200
1998-05-01,92.7500,94.1900,92.5000,92.7500,13.1878,368300
1998-05-04,92.7500,93.1900,91.2500,92.0600,13.0897,528500
1998-05-05,92.4400,92.4400,90.5600,91.0600,12.9475,154000
1998-05-06,91.0600,91.3800,89.5600,89.5600,12.7342,158000
1998-05-07,89.5600,91.2500,89.3100,90.2500,12.8323,480100
1998-05-08,90.2500,92.1900,90.2500,91.4400,13.0015,325900
1998-05-11,91.7500,92.4400,91.6900,91.8100,13.0541,140100
1998-05-12,91.7500,91.7500,90.5600,90.9400,12.9304,275900
1998-05-13,90.5600,90.5600,88.7500,89.5000,12.7257,484900
1998-05-14,89.3100,90.6300,89.2500,89.8100,12.7697,254100
1998-05-15,89.8800,89.8800,89.1900,89.2500,12.6901,169500
1998-05-18,89.0000,89.1300,88.0600,88.8100,12.6276,155000
1998-05-19,88.7500,89.4400,88.4400,88.4400,12.5750,117300
1998-05-20,88.1900,89.6900,88.1900,89.1900,12.6816,223400
1998-05-21,89.4400,89.8800,88.9400,89.5600,12.7342,405200
1998-05-22,89.5600,90.1900,89.0000,90.1900,12.8238,305100
1998-05-26,90.1900,91.5000,90.1900,90.6300,12.8863,391600
1998-05-27,90.1300,90.5000,88.7500,89.0000,12.6546,453900
1998-05-28,89.1300,90.5000,88.7500,89.6900,12.7527,351600
1998-05-29,89.5600,90.2500,89.5600,89.8100,12.7697,233600
1998-06-01,89.6300,90.2500,89.1300,89.6900,12.7527,249000
1998-06-02,90.0600,91.3100,89.8800,90.0000,12.7968,324500
1998-06-03,90.1300,90.2500,87.8100,88.0000,12.5124,290900
1998-06-04,88.2500,89.8800,87.8800,89.6300,12.7442,232900
1998-06-05,89.5600,91.3800,89.5600,91.3800,12.9930,315800
1998-06-08,91.3800,92.2500,90.3800,90.3800,12.8508,165000
1998-06-09,90.0000,91.0000,89.2500,90.9400,12.9304,283200
1998-06-10,90.6900,91.0600,87.5000,87.8800,12.4953,600000
1998-06-11,88.0000,88.2500,85.5600,86.0000,12.2280,965100
1998-06-12,86.0000,86.0000,83.2500,84.9400,12.0773,603500
1998-06-15,84.7500,84.7500,82.1900,82.2500,11.6948,221500
1998-06-16,83.0000,84.8100,82.3800,84.8100,12.0588,542800
1998-06-17,84.6900,86.2500,84.3800,85.3100,12.1299,203400
1998-06-18,85.0600,85.1300,82.0000,82.9400,11.7929,989500
1998-06-19,82.9400,83.3800,81.3800,81.3800,11.5711,321300
1998-06-22,81.0000,81.8100,80.8800,81.6300,11.6067,186800
1998-06-23,81.8800,82.8800,81.6900,82.2500,11.6948,228800
1998-06-24,79.8800,79.9400,78.8100,78.8100,11.2057,393200
1998-06-25,78.8100,78.8100,76.0000,77.7500,11.0550,1206900
1998-06-26,77.6900,78.9400,76.9400,78.1300,11.1090,451800
1998-06-29,78.2500,79.2500,77.7500,77.8100,11.0635,289500
1998-06-30,78.0600,78.6900,77.6900,77.7500,11.0550,366600
1998-07-01,77.8800,79.0600,77.8100,78.8800,11.2157,408700
1998-07-02,78.6900,78.6900,77.7500,78.1900,11.1175,191600
1998-07-06,78.0600,80.0000,78.0600,79.3100,11.2768,130600
1998-07-07,78.6900,79.0000,78.0000,78.0000,11.0905,455200
1998-07-08,78.0600,78.6900,77.0000,77.0000,10.9483,943100
1998-07-09,76.9400,77.3100,75.8100,76.4400,10.8687,534400
1998-07-10,76.3800,76.3800,75.1900,75.3100,10.7080,194000
1998-07-13,75.0600,75.1300,73.3800,73.5600,10.4592,390300
1998-07-14,73.3100,76.2500,73.3100,76.2500,10.8417,458500
1998-07-15,76.0000,76.1900,74.0000,74.3100,10.5659,278500
1998-07-16,73.8800,73.8800,72.5000,73.0000,10.3796,749100
1998-07-17,73.0000,73.0000,71.0000,71.0600,10.1038,940500
1998-07-20,71.5600,71.8100,71.2500,71.8100,10.2104,431400
1998-07-21,71.0000,71.3800,70.6300,70.8100,10.0682,536200
1998-07-22,70.5600,71.1900,69.9400,70.1300,9.9715,407600
1998-07-23,70.0000,70.3800,68.2500,68.2500,9.7042,713300
1998-07-24,68.5000,68.7500,67.1300,67.3800,9.5805,354000
1998-07-27,67.1300,67.1300,66.0000,66.4400,9.4469,893500
1998-07-28,66.1300,66.4400,65.0000,66.1300,9.4028,1051200
1998-07-29,66.0000,67.3800,64.3800,64.4400,9.1625,352600
1998-07-30,64.1900,64.7500,63.6300,64.7500,9.2691,787000
1998-07-31,64.6900,65.6300,64.3800,65.2500,9.3407,400500
1998-08-03,65.2500,65.6300,64.7500,65.0600,9.3135,449400
1998-08-04,65.0600,65.2500,63.8800,64.0000,9.1618,544000
1998-08-05,63.8800,64.8800,63.8100,64.7500,9.2691,609400
1998-08-06,64.6300,65.8100,64.5600,65.6300,9.3951,419700
1998-08-07,65.6300,67.0000,65.6300,66.4400,9.5110,402400
1998-08-10,66.9400,67.1300,66.1900,66.5000,9.5196,354800
1998-08-11,66.0000,66.0000,64.6300,65.8100,9.4209,435100
1998-08-12,66.0000,66.0000,64.4400,65.0000,9.3049,808300
1998-08-13,65.0000,65.2500,64.5000,64.5600,9.2419,379700
1998-08-14,64.5000,64.8800,64.3100,64.3800,9.2162,755700
1998-08-17,64.6300,65.1300,64.3100,64.3800,9.2162,673100
1998-08-18,64.3800,64.6300,64.2500,64.3800,9.2162,1040300
1998-08-19,64.3800,65.5000,63.6300,63.6900,9.1174,384600
1998-08-20,63.5000,63.5000,62.7500,62.7500,8.9828,429800
1998-08-21,62.5000,62.5600,60.1300,61.0000,8.7323,717900
1998-08-24,61.2500,61.9400,60.8100,61.0000,8.7323,240100
1998-08-25,61.0000,62.5600,60.8800,61.0600,8.7409,385700
1998-08-26,61.0600,61.2500,60.8100,60.8800,8.7151,518300
1998-08-27,60.7500,60.8800,59.5000,59.5600,8.5262,683700
1998-08-28,59.7500,60.3800,59.1900,59.5600,8.5262,409200
1998-08-31,59.8100,60.0000,58.3800,58.5600,8.3830,488800
1998-09-01,58.5600,60.1300,57.5000,59.7500,8.5534,591400
1998-09-02,59.8100,60.0000,59.1300,59.3800,8.5004,258600
1998-09-03,59.3800,60.0600,59.0000,59.5000,8.5176,530200
1998-09-04,59.5600,62.0600,59.5600,61.1900,8.7595,513500
1998-09-08,61.6900,64.5000,61.6900,64.4400,9.2247,292800
1998-09-09,64.0600,64.0600,59.0000,60.1900,8.6163,1383000
1998-09-10,60.1900,60.7500,59.6300,59.9400,8.5806,362600
1998-09-11,59.8800,60.8800,59.8800,60.3800,8.6435,420700
1998-09-14,60.8800,62.4400,60.8800,61.7500,8.8397,549000
1998-09-15,61.7500,63.0000,61.5000,62.3800,8.9299,221200
1998-09-16,62.6300,66.0000,62.6300,65.0000,9.3049,546600
1998-09-17,64.7500,64.7500,61.3800,61.9400,8.8669,547600
1998-09-18,61.9400,62.6900,61.7200,61.8800,8.8583,393900
1998-09-21,61.8800,63.0000,61.6300,62.3100,8.9198,283500
1998-09-22,62.3100,63.5000,61.8800,63.1900,9.0458,542100
1998-09-23,63.4400,65.6300,63.3800,65.6300,9.3951,219200
1998-09-24,65.6300,67.0000,64.0600,64.7500,9.2691,309200
1998-09-25,64.6300,64.6300,63.3100,64.3100,9.2061,273900
1998-09-28,64.5000,65.5000,64.5000,65.3100,9.3493,256600
1998-09-29,65.3100,65.6900,64.9400,65.3800,9.3593,166500
1998-09-30,65.0000,65.0000,62.1300,62.6900,8.9742,266400
1998-10-01,62.6900,63.0000,60.2500,60.8800,8.7151,516800
1998-10-02,60.8800,62.0600,60.8800,61.1300,8.7509,378400
1998-10-05,61.1300,62.6300,60.4400,62.3800,8.9299,211500
1998-10-06,62.6300,63.2500,61.2500,61.6300,8.8225,384000
1998-10-07,61.6300,66.5000,61.6300,65.8800,9.4309,367800
1998-10-08,65.3800,65.3800,62.3800,64.0000,9.1618,798800
1998-10-09,64.0000,65.3100,64.0000,64.7500,9.2691,305400
1998-10-12,64.8800,66.6300,64.8800,66.1900,9.4753,385000
1998-10-13,65.6900,69.8800,65.5000,66.8800,9.5740,556000
1998-10-14,66.8800,68.2500,66.5000,66.7500,9.5554,271100
1998-10-15,66.6300,66.7500,65.5000,66.5000,9.5196,485900
1998-10-16,66.5000,69.5600,66.3100,69.0000,9.8775,608900
1998-10-19,69.1300,69.1300,67.6300,68.6300,9.8246,255900
1998-10-20,68.7500,71.8800,68.7500,69.9400,10.0121,504800
1998-10-21,69.9400,69.9400,68.0000,68.5600,9.8145,307800
1998-10-22,68.3100,68.3100,65.8800,67.4400,9.6542,308000
1998-10-23,67.4400,68.8800,66.3100,66.5000,9.5196,234500
1998-10-26,66.5000,67.1300,66.0600,66.1300,9.4667,127200
1998-10-27,66.3800,68.0000,66.3800,67.0000,9.5912,212200
1998-10-28,67.0000,69.1300,67.0000,68.1300,9.7530,210400
1998-10-29,68.1300,69.0000,68.0000,68.9400,9.8689,191300
1998-10-30,69.0000,69.0000,67.0000,67.6900,9.6900,260200
1998-11-02,67.9400,70.2500,67.9400,69.8800,10.0035,522100
1998-11-03,69.8800,69.9400,68.5000,68.8800,9.8603,247500
1998-11-04,69.0000,70.1300,68.9400,68.9400,9.8689,462000
1998-11-05,68.4400,69.5000,67.1900,69.3800,9.9949,806100
1998-11-06,69.3800,70.0000,69.1300,69.8800,10.0669,650300
1998-11-09,69.8800,69.9400,67.6300,67.6300,9.7428,344000
1998-11-10,67.5000,68.2500,66.1300,66.1300,9.5267,417400
1998-11-11,66.3800,67.6300,66.1300,66.3800,9.5627,295000
1998-11-12,66.8800,69.5600,66.7500,68.5600,9.8768,366000
1998-11-13,68.3800,70.1900,68.3800,69.6300,10.0309,268100
1998-11-16,69.8800,70.0000,69.1300,69.4400,10.0035,244000
1998-11-17,69.5600,69.6900,68.6300,68.8100,9.9128,223600
1998-11-18,68.8100,68.8100,67.5000,68.1900,9.8235,108400
1998-11-19,68.4400,69.8100,68.0000,69.2500,9.9762,231900
1998-11-20,69.3100,70.7500,69.1300,69.9400,10.0756,231700
1998-11-23,69.8800,71.0000,69.3100,69.8800,10.0669,398900
1998-11-24,69.8100,70.2500,69.1300,69.7500,10.0482,223000
1998-11-25,69.7500,70.2500,69.4400,69.6300,10.0309,182200
1998-11-27,69.5000,69.8800,69.3100,69.5000,10.0122,79200
1998-11-30,69.2500,69.9400,68.2500,68.3100,9.8408,178800
1998-12-01,68.3800,69.2500,67.8800,69.1900,9.9675,219500
1998-12-02,69.4400,69.5600,66.5600,66.9400,9.6434,282800
1998-12-03,66.8100,67.7500,66.6300,67.1900,9.6794,164600
