,open,high,low,close,adj_close,volume
1998-01-02,24.4400,24.6900,24.3800,24.5000,5.6693,286900
1998-01-05,24.5000,24.6900,24.0000,24.1900,5.5975,414900
1998-01-06,24.0000,24.3800,23.8100,24.1200,5.5813,411100
1998-01-07,23.8800,24.0600,23.5600,23.6900,5.4818,440600
1998-01-08,23.6900,24.1200,23.3800,24.0600,5.5675,480500
1998-01-09,24.0000,24.6200,23.8800,23.8800,5.5258,1085600
1998-01-12,23.5000,23.9400,23.5000,23.8800,5.5258,552900
1998-01-13,24.0000,24.0000,23.4400,23.6200,5.4656,451200
1998-01-14,23.8100,23.8800,23.4400,23.8100,5.5096,250900
1998-01-15,23.7500,23.7500,23.0600,23.1900,5.3661,386300
1998-01-16,23.1900,23.3800,23.0000,23.1900,5.3661,633000
1998-01-20,23.4400,23.4400,23.0600,23.3100,5.3939,708500
1998-01-21,23.3800,23.5000,23.1900,23.5000,5.4379,823200
1998-01-22,23.4400,23.5000,23.2500,23.3800,5.4101,772400
1998-01-23,23.3800,23.3800,22.3100,22.6900,5.2504,712900
1998-01-26,22.9400,23.0000,22.5000,22.5000,5.2065,469300
1998-01-27,20.5000,20.5000,19.3800,20.0000,4.6280,4061000
1998-01-28,19.7500,19.8800,19.5000,19.8800,4.6002,1892300
1998-01-29,19.8800,19.8800,19.3800,19.6200,4.5401,1518700
1998-01-30,19.6200,19.6900,18.8800,18.9400,4.3827,825900
1998-02-02,19.1900,19.5000,19.0600,19.2500,4.4544,966000
1998-02-03,19.0000,19.1200,18.8800,19.1200,4.4244,883500
1998-02-04,19.0000,19.0600,18.8800,19.0600,4.4105,824600
1998-02-05,20.0000,20.1200,19.6200,20.1200,4.6558,1375900
1998-02-06,20.1900,20.3100,20.0000,20.3100,4.6997,1500100
1998-02-09,20.0000,20.4400,19.8800,20.4400,4.7298,870500
1998-02-10,20.3800,20.6900,20.2500,20.5600,4.7576,875400
1998-02-11,20.4400,20.5600,20.0600,20.2500,4.6858,403900
1998-02-12,20.0600,20.5000,20.0600,20.4400,4.7298,526900
1998-02-13,20.1900,20.1900,20.0000,20.1200,4.6558,796400
1998-02-17,20.1200,20.5000,20.0600,20.4400,4.7298,4155400
1998-02-18,20.1200,20.1900,20.0000,20.0600,4.6997,525000
1998-02-19,19.8800,20.1200,19.8800,20.0000,4.6857,492800
1998-02-20,20.0000,20.0000,19.6900,19.9400,4.6716,535600
1998-02-23,19.6900,19.9400,19.5000,19.6900,4.6130,693900
1998-02-24,19.6900,19.7500,19.3800,19.6200,4.5966,901400
1998-02-25,19.6200,19.8800,19.6200,19.8100,4.6411,451800
1998-02-26,19.6900,19.8100,19.6200,19.8100,4.6411,781300
1998-02-27,19.6900,19.8100,19.5600,19.8100,4.6411,434200
1998-03-02,19.6200,20.1200,19.6200,20.0600,4.6997,599500
1998-03-03,19.8800,20.4400,19.8100,20.4400,4.7887,1697000
1998-03-04,20.2500,20.4400,20.1900,20.4400,4.7887,732500
1998-03-05,20.4400,20.5600,20.4400,20.4400,4.7887,994800
