,open,high,low,close,adj_close,volume
1998-01-02,38.5000,39.3800,38.2500,39.0000,4.0670,81700
1998-01-05,39.2500,39.3800,37.5000,38.3800,4.0024,28100
1998-01-06,37.7500,38.6300,37.7500,38.2500,3.9888,285600
1998-01-07,38.3800,38.3800,36.2500,37.3800,3.8981,43700
1998-01-08,37.5000,37.5000,36.3800,36.6300,3.8199,166100
1998-01-09,37.2500,37.2500,35.7500,36.1900,3.7740,162200
1998-01-12,36.0000,36.0000,34.6300,35.0000,3.6499,106800
1998-01-13,34.6300,35.2500,34.6300,34.6300,3.6113,210900
1998-01-14,35.1300,35.1300,34.0000,34.4400,3.5915,127500
1998-01-15,34.1300,34.6300,34.0000,34.0000,3.5456,156500
1998-01-16,34.3800,35.1300,33.6300,35.0000,3.6499,181900
1998-01-20,35.1300,36.3800,34.8800,36.0000,3.7542,220800
1998-01-21,34.6300,35.8800,34.6300,35.8800,3.7417,172900
1998-01-22,35.0000,35.8800,35.0000,35.6300,3.7156,47100
1998-01-23,35.0000,35.8800,32.7500,33.6900,3.5133,198400
1998-01-26,33.1300,34.1300,32.5000,32.5000,3.3892,250600
1998-01-27,32.7500,32.7500,29.9400,30.7500,3.2067,368100
1998-01-28,30.5000,32.0000,30.0000,31.1300,3.2463,313200
1998-01-29,31.5000,31.6300,30.8800,31.6300,3.2985,495500
1998-01-30,31.6300,31.6300,30.5000,31.1300,3.2463,325600
1998-02-02,32.2500,33.5000,31.3800,32.2500,3.3631,262200
1998-02-03,33.1300,33.1300,32.5000,33.0000,3.4413,419100
1998-02-04,33.0000,34.8800,32.7500,34.8800,3.6374,901500
1998-02-05,35.0000,35.0000,33.7500,33.8800,3.5331,139800
1998-02-06,33.7500,34.5000,33.7500,34.2500,3.5717,151800
1998-02-09,34.2500,36.7500,34.2500,36.5000,3.8063,155000
1998-02-10,38.5000,39.6300,37.5000,39.3800,4.1067,542700
1998-02-11,39.1300,42.0000,38.5000,41.8800,4.3674,462600
1998-02-12,40.8800,42.0000,40.8100,41.9400,4.3736,416700
1998-02-13,41.1300,42.3800,41.0000,41.6300,4.3413,127000
1998-02-17,42.1300,43.0000,41.6300,42.8800,4.4716,330600
1998-02-18,42.5000,45.0000,41.2500,42.1300,4.3934,577500
1998-02-19,41.7500,42.5000,39.7500,40.1300,4.1849,315200
1998-02-20,39.8800,42.0000,39.0000,42.0000,4.3799,138200
1998-02-23,42.0000,42.0000,41.0000,41.8100,4.3601,27800
1998-02-24,41.8100,44.0000,41.2500,42.7500,4.4581,150800
1998-02-25,42.7500,44.5000,42.2500,43.2500,4.5102,108700
1998-02-26,43.0000,43.7500,40.7500,42.0000,4.3799,65800
1998-02-27,40.6300,42.0000,40.5000,40.5000,4.2234,103300
1998-03-02,40.7500,41.0000,39.7500,40.3800,4.2109,185300
1998-03-03,40.5000,40.7500,40.0000,40.7500,4.2495,67000
1998-03-04,40.0000,40.7500,40.0000,40.5600,4.2297,67500
1998-03-05,40.0000,40.6300,40.0000,40.1300,4.1849,43800
1998-03-06,40.6300,41.0000,40.5000,41.0000,4.2756,114800
1998-03-09,40.8100,41.5000,40.2500,40.2500,4.1974,102400
1998-03-10,40.3800,41.2500,40.3800,40.5000,4.2234,61300
1998-03-11,40.2500,42.5000,40.2500,41.0000,4.2756,111800
1998-03-12,41.0000,41.0000,39.7500,40.2500,4.1974,152100
1998-03-13,40.2500,41.2500,39.8800,40.2500,4.1974,47700
1998-03-16,40.5000,41.5000,40.5000,41.3800,4.3152,37500
1998-03-17,40.5000,41.3800,40.5000,40.7500,4.2495,15500
1998-03-18,41.3800,43.5000,40.7500,43.5000,4.5363,216500
1998-03-19,43.0000,43.2500,42.6300,43.0000,4.4842,103300
1998-03-20,42.6300,43.8800,42.6300,42.8800,4.4716,73200
1998-03-23,44.0000,44.0000,42.0000,43.5000,4.5363,407800
1998-03-24,43.0000,43.1300,42.3800,43.0000,4.4842,238300
1998-03-25,43.0000,43.0000,42.0000,42.3800,4.4195,255100
1998-03-26,41.5000,41.9100,40.2500,41.6300,4.3413,1000900
1998-03-27,41.0000,42.3800,41.0000,42.3800,4.4195,51500
1998-03-30,41.7500,42.5000,41.7500,42.2500,4.4059,96100
1998-03-31,42.6300,43.0000,42.1300,42.8800,4.4716,66800
1998-04-01,42.8800,44.7500,42.1300,44.6300,4.6541,119200
1998-04-02,44.8800,46.0000,44.3800,45.5000,4.7449,144600
1998-04-03,45.5000,46.3800,45.5000,45.5000,4.7449,100000
1998-04-06,44.8800,46.3800,44.7500,45.3800,4.7323,28700
1998-04-07,45.6300,45.6300,44.8800,44.8800,4.6802,137900
1998-04-08,45.5000,45.5000,44.6300,45.2500,4.7188,40300
1998-04-09,45.3800,46.0000,45.0000,46.0000,4.7970,135500
1998-04-13,45.2500,46.3800,45.2500,46.1300,4.8106,225300
1998-04-14,46.3800,48.2500,46.3800,47.6300,4.9670,130900
