,open,high,low,close,adj_close,volume
2004-08-16,12.5000,12.5300,12.5000,12.5000,6.5693,188800
2004-08-17,12.5000,12.5400,12.5000,12.5100,6.5746,153600
2004-08-18,12.5000,12.6500,12.5000,12.5100,6.5746,149800
2004-08-19,12.5000,12.5500,12.5000,12.5300,6.5851,126900
2004-08-20,12.5300,12.5900,12.5000,12.5500,6.5956,144900
2004-08-23,12.5500,12.5900,12.5000,12.5500,6.5956,64400
2004-08-24,12.5500,12.9900,12.5500,12.9800,6.8216,382900
2004-08-25,12.7500,13.0900,12.7500,13.0000,6.8321,500200
2004-08-26,13.0500,13.4500,12.9500,13.3800,7.0318,435200
2004-08-27,13.4000,13.6300,13.2100,13.4500,7.0686,694300
2004-08-30,13.4500,13.5900,13.3500,13.4800,7.0843,119100
2004-08-31,13.5400,13.8000,13.0000,13.8000,7.2525,261900
2004-09-01,14.3000,14.3800,13.4200,13.6500,7.1737,170900
2004-09-02,13.6500,13.8800,13.1000,13.7900,7.2473,149200
2004-09-03,13.5500,13.8400,13.5000,13.6500,7.1737,88600
2004-09-07,13.5500,13.8500,13.4600,13.8000,7.2525,101100
2004-09-08,13.8000,13.8300,13.6100,13.6500,7.1737,93800
2004-09-09,13.6500,13.7100,13.4100,13.4900,7.0896,113900
2004-09-10,13.4000,13.7300,13.2500,13.6000,7.1474,139900
2004-09-13,13.1000,13.7500,12.9400,13.7100,7.2637,223700
2004-09-14,13.6500,13.6500,13.3000,13.5100,7.1577,130000
2004-09-15,13.3000,13.5500,13.0900,13.3500,7.0730,138800
2004-09-16,13.3500,13.4800,13.1000,13.3300,7.0624,126300
2004-09-17,12.5500,13.6400,12.5500,13.6400,7.2266,400200
2004-09-20,13.5400,13.6400,13.1300,13.3500,7.0730,112300
2004-09-21,13.3000,13.6000,13.2800,13.4700,7.1365,243700
2004-09-22,13.2000,13.6200,13.0500,13.5000,7.1524,455800
2004-09-23,13.4000,13.6500,13.2200,13.2900,7.0412,211000
2004-09-24,13.3000,13.5500,13.2500,13.5000,7.1524,67500
2004-09-27,13.5500,13.5500,12.9300,13.0500,6.9140,182200
2004-09-28,13.0600,13.1400,12.6300,12.9100,6.8399,202900
2004-09-29,13.1100,13.1200,12.6000,12.8800,6.8240,159900
2004-09-30,12.8500,12.8500,12.3000,12.7500,6.7551,1156500
2004-10-01,12.7600,13.0600,12.6000,13.0000,6.8875,217900
2004-10-04,13.0100,13.0500,12.9000,12.9400,6.8557,122500
2004-10-05,12.9000,13.0300,12.8200,12.8600,6.8134,128300
2004-10-06,12.8600,13.1500,12.8600,13.1000,6.9405,447600
2004-10-07,13.0000,13.3900,12.9600,13.0200,6.8981,160200
2004-10-08,13.0500,13.2200,13.0000,13.2200,7.0041,118000
2004-10-11,13.2200,13.2500,13.0000,13.1000,6.9405,90300
2004-10-12,13.1000,13.2500,12.9700,13.1000,6.9405,69000
2004-10-13,13.1500,13.3000,12.9500,12.9600,6.8663,75500
2004-10-14,12.9600,13.0600,12.9300,13.0600,6.9193,44100
2004-10-15,13.0400,13.1700,12.8700,12.9800,6.8769,73600
2004-10-18,13.0500,13.4000,12.9100,13.1200,6.9511,52000
2004-10-19,13.1000,13.5000,13.0500,13.0500,6.9140,56200
2004-10-20,12.9500,13.1000,12.8500,13.1000,6.9405,57400
2004-10-21,13.0500,13.4000,12.9000,13.3800,7.0889,49500
2004-10-22,13.3800,13.5000,13.2900,13.3000,7.0465,75200
2004-10-25,13.2700,13.4900,13.2000,13.3000,7.0465,99500
2004-10-26,13.2500,13.7000,13.2000,13.5500,7.1789,137200
2004-10-27,13.5000,14.0000,13.4000,13.9000,7.3644,173800
2004-10-28,14.0000,14.2600,13.8000,13.9200,7.3750,107400
2004-10-29,13.9500,13.9600,13.5000,13.8600,7.3432,233700
