,open,high,low,close,adj_close,volume
1998-01-02,39.1300,41.0000,38.3800,40.7500,3.6895,269100
1998-01-05,40.5000,43.1300,40.5000,42.6900,3.8651,338500
1998-01-06,42.6300,42.6900,40.6900,41.0000,3.7121,193600
1998-01-07,40.7500,40.8800,39.5000,40.0000,3.6216,158000
1998-01-08,40.2500,40.2500,38.5600,39.0600,3.5365,345300
1998-01-09,38.8100,38.8100,34.8800,34.8800,3.1580,622000
1998-01-12,35.1300,37.0000,34.2500,35.9400,3.2540,626400
1998-01-13,36.0000,37.5000,35.8800,36.9700,3.3473,440500
1998-01-14,37.5000,37.5000,36.7500,37.1300,3.3617,217300
1998-01-15,37.5000,38.2500,36.8800,38.2500,3.4631,370400
1998-01-16,37.7500,39.6300,37.7500,38.6300,3.4976,524000
1998-01-20,39.6300,41.8800,39.0000,41.2500,3.7348,322000
1998-01-21,41.1300,42.5000,40.8800,41.5000,3.7574,253300
1998-01-22,40.5000,41.3800,40.5000,41.3100,3.7402,135600
1998-01-23,41.8800,42.5000,41.2500,42.1900,3.8199,268100
1998-01-26,42.6300,43.2500,41.3100,41.3100,3.7402,239400
1998-01-27,41.6300,43.1300,41.0000,42.8100,3.8760,400400
1998-01-28,42.2500,44.6900,42.2500,44.2500,4.0064,331600
1998-01-29,44.3800,45.1300,44.2500,45.1300,4.0861,131800
1998-01-30,44.4400,44.7500,43.9400,43.9400,3.9783,147300
1998-02-02,44.0600,44.0600,43.0000,43.1300,3.9050,177600
1998-02-03,43.2500,43.8800,43.0000,43.8800,3.9729,254000
1998-02-04,44.0000,44.8800,43.5000,44.5000,4.0290,278500
1998-02-05,44.8800,45.1300,44.5000,44.5600,4.0345,255200
1998-02-06,45.1300,46.0000,44.6300,45.6300,4.1313,199200
1998-02-09,46.2500,47.5000,45.6300,46.6300,4.2219,268100
1998-02-10,46.7500,47.2500,46.2500,46.9400,4.2499,78500
1998-02-11,47.0000,47.7500,46.5000,47.7500,4.3233,108500
1998-02-12,47.7500,48.3800,47.0000,47.8800,4.3350,127900
1998-02-13,47.8800,48.7500,46.5000,46.7500,4.2327,220100
1998-02-17,47.2500,47.2500,45.0000,45.5600,4.1250,166400
1998-02-18,45.1300,46.5000,45.1300,45.6300,4.1313,105200
1998-02-19,45.6300,47.1900,45.2500,46.2500,4.1875,280500
1998-02-20,46.2500,46.6300,46.0000,46.0600,4.1703,104000
1998-02-23,46.1300,47.7500,46.1300,47.2500,4.2780,200600
