,open,high,low,close,adj_close,volume
2011-09-16,11.9000,12.9300,11.0000,12.7000,11.8152,969900
2011-09-19,12.2500,13.7800,12.0000,13.7800,12.8200,665400
2011-09-20,13.9800,14.0200,13.3300,13.7000,12.7455,794800
2011-09-21,13.8000,14.0000,13.1800,13.4000,12.4664,619000
2011-09-22,13.0900,13.2500,12.4000,13.2000,12.2804,1230500
2011-09-23,13.4000,13.4000,12.0200,12.2500,11.3966,406200
2011-09-26,12.3900,12.6700,11.3900,12.6700,11.7873,181900
2011-09-27,12.7500,14.3400,12.7500,13.3700,12.4385,1788000
2011-09-28,13.2900,13.7000,12.7500,12.8500,11.9548,251700
2011-09-29,13.0000,13.2500,12.6700,13.1700,12.2525,222300
2011-09-30,13.0300,13.2500,12.0600,12.4000,11.5361,623100
2011-10-03,12.0000,12.6800,11.7500,12.3000,11.4431,23632200
2011-10-04,12.1900,13.2500,11.0500,12.3000,11.4431,6068200
2011-10-05,11.5500,12.3000,11.2600,12.2000,11.3501,1983000
2011-10-06,11.9000,12.9800,11.9000,12.7600,11.8710,3333600
2011-10-07,12.5900,13.0000,12.2700,12.3500,11.4896,2049900
2011-10-10,12.3500,12.4400,11.9900,12.3700,11.5082,1922500
2011-10-11,11.5000,12.7600,11.4800,12.4800,11.6105,3015200
2011-10-12,12.4600,12.8000,12.3800,12.6000,11.7222,3255100
2011-10-13,12.4000,12.7700,12.1500,12.6200,11.7408,3575300
2011-10-14,12.6200,13.0700,12.3800,13.0100,12.1036,1658700
2011-10-17,13.0300,13.7300,13.0000,13.7200,12.7642,1767600
2011-10-18,13.8000,15.2500,13.7800,14.4800,13.4712,5257400
2011-10-19,14.3300,15.2500,14.3300,15.0600,14.0108,3400100
2011-10-20,14.9100,15.2400,14.6800,14.9300,13.8899,1252900
2011-10-21,15.1100,15.4900,14.7800,14.9500,13.9085,1741300
2011-10-24,14.9200,16.4000,14.9200,15.8000,14.6992,2008800
2011-10-25,15.7400,15.8300,14.7500,14.7800,13.7503,2284900
2011-10-26,14.7100,15.3300,14.5100,14.8800,13.8433,856900
2011-10-27,14.9800,15.9000,14.9700,15.6500,14.5597,1130900
2011-10-28,15.2700,15.3300,14.7600,14.9200,13.8806,1000700
2011-10-31,14.7000,15.2600,14.4600,14.5300,13.5177,1162200
2011-11-01,14.2600,14.9100,14.1100,14.6700,13.6480,1174900
2011-11-02,14.8000,15.5000,14.6200,15.0700,14.0201,1289200
2011-11-03,15.4200,15.5000,14.5000,15.0000,13.9550,2279900
2011-11-04,14.7700,15.0600,14.7200,15.0000,13.9550,611700
2011-11-07,14.8800,14.9800,14.6600,14.7900,13.7596,1102000
2011-11-08,14.8300,15.5300,14.8000,15.0900,14.0387,708800
2011-11-09,14.8700,15.1500,14.8000,14.9000,13.8619,1301400
2011-11-10,14.9100,15.8100,14.8500,15.7000,14.6062,801700
2011-11-11,15.8800,16.0000,15.1200,15.2500,14.1876,476900
2011-11-14,15.1100,15.4900,14.9200,15.0300,13.9829,325900
2011-11-15,14.9400,15.7200,14.8000,15.4900,14.4108,569400
2011-11-16,15.3100,15.4700,14.9500,15.0400,13.9922,703200
2011-11-17,14.9500,15.6200,14.8800,15.5300,14.4481,699100
2011-11-18,15.6400,15.6900,15.3800,15.5100,14.4294,449500
2011-11-21,15.2500,15.3500,14.9800,15.2600,14.1969,706800
