,open,high,low,close,adj_close,volume
1998-01-02,15.7500,16.0000,15.7500,15.9400,4.9355,279300
1998-01-05,15.9400,16.0000,15.6900,15.7500,4.8766,455300
1998-01-06,15.6900,15.7500,15.5000,15.5000,4.7992,476200
1998-01-07,15.4400,15.7500,15.3800,15.6900,4.8581,464100
1998-01-08,15.6300,15.6300,15.1300,15.1900,4.7033,441000
1998-01-09,15.1900,15.1900,14.2500,14.3800,4.4525,1133000
1998-01-12,14.2500,14.2500,13.8100,14.0000,4.3348,583400
1998-01-13,14.0000,14.6900,14.0000,14.5600,4.5082,605000
1998-01-14,14.6300,14.6300,14.3100,14.3800,4.4679,696000
1998-01-15,14.3800,14.3800,14.1300,14.1900,4.4089,469000
1998-01-16,14.2500,14.4400,14.1300,14.1900,4.4089,837900
1998-01-20,14.1900,14.3100,14.0000,14.1900,4.4089,538000
1998-01-21,14.1900,14.1900,14.0000,14.0000,4.3499,474200
1998-01-22,13.9400,13.9400,13.0600,13.4400,4.1759,396000
1998-01-23,13.4400,13.9400,13.1900,13.9400,4.3312,1012200
1998-01-26,14.0000,14.3800,13.9400,14.0000,4.3499,948500
1998-01-27,14.0600,14.5000,14.0000,14.3800,4.4679,816300
1998-01-28,14.1900,14.5600,14.1300,14.5000,4.5052,587700
1998-01-29,14.5000,15.3800,14.4400,14.9400,4.6419,1164700
1998-01-30,14.6900,15.1900,14.5600,14.6900,4.5643,754100
1998-02-02,14.7500,15.0000,14.6300,14.7500,4.5829,762200
1998-02-03,14.7500,14.8800,14.3800,14.5600,4.5239,359300
1998-02-04,14.5600,15.2500,14.5600,15.1900,4.7196,815900
1998-02-05,15.3800,15.5000,14.7500,15.0600,4.6792,715800
1998-02-06,15.1300,15.5000,15.0600,15.5000,4.8159,387800
1998-02-09,15.5000,15.8800,15.5000,15.8800,4.9340,561000
1998-02-10,15.6300,16.0600,15.6300,15.9400,4.9526,592900
1998-02-11,15.8800,15.8800,15.5000,15.5600,4.8346,384500
1998-02-12,15.5000,15.6900,15.0600,15.4400,4.7973,545300
1998-02-13,15.5000,15.5600,15.1300,15.2500,4.7382,227300
1998-02-17,15.3100,15.6300,14.7500,14.8100,4.6015,405200
1998-02-18,14.8100,15.1300,14.7500,14.9400,4.6419,240400
1998-02-19,14.8800,14.9400,14.3800,14.3800,4.4679,246500
1998-02-20,14.4400,14.4400,14.0000,14.1300,4.3903,267500
1998-02-23,14.0000,14.0600,13.5600,13.8100,4.2908,185300
1998-02-24,13.5000,13.9400,13.3800,13.8800,4.3126,323400
1998-02-25,14.0000,14.6300,13.9400,14.6300,4.5456,935200
1998-02-26,14.5000,14.8800,14.1300,14.6300,4.5456,926500
1998-02-27,14.7500,15.1300,14.6900,15.0600,4.6792,710100
1998-03-02,15.0600,15.3800,15.0600,15.2500,4.7382,371900
1998-03-03,15.1900,15.2500,14.6900,14.8100,4.6015,295300
1998-03-04,14.8100,14.8100,14.3100,14.3100,4.4462,182000
1998-03-05,14.3100,14.4400,14.1300,14.2500,4.4275,258100
1998-03-06,14.3100,14.3800,14.0600,14.1300,4.3903,211400
1998-03-09,14.1900,14.3800,14.0000,14.3100,4.4462,700300
1998-03-10,14.3100,14.3800,14.1300,14.2500,4.4275,534900
1998-03-11,14.2500,14.2500,13.8100,13.9400,4.3312,623200
1998-03-12,14.0000,14.1300,13.6300,14.0000,4.3499,411700
1998-03-13,14.3800,14.5600,14.1300,14.5000,4.5052,1619500
1998-03-16,15.1300,15.6900,15.1300,15.5000,4.8159,2685900
1998-03-17,15.6300,16.7500,15.5600,16.5000,5.1266,3039100
1998-03-18,16.5000,16.5000,16.1300,16.3100,5.0676,1702700
1998-03-19,16.2500,17.0000,16.1900,16.8800,5.2447,1677200
1998-03-20,16.9400,17.0600,16.5600,16.6900,5.1857,736600
1998-03-23,16.6900,17.8100,16.4400,17.6900,5.4964,1029800
1998-03-24,17.8800,19.5600,17.8800,19.0600,5.9220,1742200
1998-03-25,19.0600,19.3800,18.6300,19.3100,5.9997,985700
1998-03-26,19.0600,19.4400,18.6300,19.1300,5.9438,884600
1998-03-27,19.1900,20.1900,19.1900,20.1300,6.2545,981200
1998-03-30,20.3100,20.7500,20.0600,20.4400,6.3508,894000
1998-03-31,20.7500,20.8800,19.7500,19.9400,6.1955,1216800
1998-04-01,19.7500,19.8800,18.9400,19.1300,5.9438,513800
1998-04-02,19.0000,19.3800,19.0000,19.1900,5.9624,1106100
1998-04-03,19.4400,20.1900,19.3800,20.0600,6.2327,705300
1998-04-06,20.6300,21.4400,20.5000,21.0600,6.5434,1229000
1998-04-07,21.2500,21.2500,20.3800,20.5000,6.3694,641300
1998-04-08,20.4400,20.4400,20.1300,20.1900,6.2731,507300
1998-04-09,20.1900,20.3100,19.5000,19.6300,6.0991,491300
1998-04-13,19.5600,20.5000,19.3800,20.5000,6.3694,549000
1998-04-14,20.3100,20.6900,19.9400,20.6900,6.4440,933400
1998-04-15,20.5000,20.5600,20.0600,20.3100,6.3257,1326500
1998-04-16,20.3100,20.3800,19.9400,20.3100,6.3257,442200
1998-04-17,20.4400,20.4400,19.6900,20.2500,6.3070,297600
1998-04-20,20.0600,20.0600,19.3100,19.3800,6.0360,255900
1998-04-21,19.6300,20.2500,19.5000,19.8800,6.1917,430700
1998-04-22,20.1300,20.6900,20.1300,20.1900,6.2883,1092400
1998-04-23,20.3100,20.5000,19.8800,20.1900,6.2883,578100
1998-04-24,19.7500,20.1900,19.7500,20.0000,6.2291,333600
1998-04-27,19.7500,19.8100,19.3100,19.4400,6.0547,510800
1998-04-28,19.4400,19.4400,19.0000,19.2500,5.9955,362200
1998-04-29,19.2500,19.4400,19.1300,19.1900,5.9768,619900
1998-04-30,19.3800,19.3800,18.6900,18.8800,5.8803,453800
1998-05-01,18.8100,18.9400,18.0000,18.1900,5.6654,643200
1998-05-04,18.4400,18.5000,17.5600,18.1300,5.6467,614200
1998-05-05,18.1900,18.1900,17.6300,18.0000,5.6062,413900
1998-05-06,17.8800,17.8800,17.1900,17.2500,5.3726,296400
1998-05-07,17.3100,17.3100,16.1300,16.3800,5.1016,525800
1998-05-08,16.5000,17.0600,16.3800,16.4400,5.1203,657200
1998-05-11,16.4400,17.1900,16.3100,17.0600,5.3134,442900
1998-05-12,17.1300,17.1900,16.5600,16.8100,5.2356,319600
1998-05-13,16.7500,16.8800,15.8100,16.6300,5.1795,547700
1998-05-14,16.5000,16.8100,16.0000,16.2500,5.0612,650100
1998-05-15,16.3100,16.5600,16.0000,16.3800,5.1016,1745500
1998-05-18,16.1900,16.5000,15.4400,16.3100,5.0798,1181700
1998-05-19,16.3800,16.5000,16.1900,16.1900,5.0425,539700
