,open,high,low,close,adj_close,volume
1998-01-02,28.7500,28.9400,28.5000,28.8800,10.3592,317200
1998-01-05,28.6900,28.9100,28.1900,28.3800,10.1799,734200
1998-01-06,28.2500,28.5600,28.2500,28.5600,10.2444,1507800
1998-01-07,28.4400,28.4400,28.0600,28.4400,10.2014,724000
1998-01-08,28.3100,28.4400,28.0600,28.3800,10.1799,461600
1998-01-09,28.3100,28.5600,28.1300,28.3100,10.1548,863900
1998-01-12,27.8800,28.7500,27.8800,28.7500,10.3126,679200
1998-01-13,28.7500,28.7500,28.3800,28.4400,10.2014,1065600
1998-01-14,28.4400,28.4400,28.1300,28.4400,10.2014,348700
1998-01-15,28.3100,28.3800,28.2500,28.2500,10.1332,638200
1998-01-16,28.5000,28.5000,28.2500,28.3800,10.1799,488700
1998-01-20,28.3800,28.5000,28.0000,28.5000,10.2229,344700
1998-01-21,28.5000,28.7500,28.2500,28.5000,10.2229,464300
1998-01-22,28.4400,28.5000,28.2500,28.5000,10.2229,421800
1998-01-23,28.4400,28.5000,28.1900,28.3100,10.1548,320800
1998-01-26,28.2500,28.6300,28.2500,28.6300,10.2695,1019500
1998-01-27,28.6300,28.8800,28.5600,28.6300,10.2695,415700
1998-01-28,28.5600,29.0000,28.5000,28.9400,10.3807,325800
1998-01-29,28.9400,29.5000,28.7500,29.4400,10.5601,1813100
1998-01-30,29.3800,29.5000,29.0000,29.0000,10.4023,283500
1998-02-02,29.5000,29.6300,28.8800,29.0000,10.4023,1120100
1998-02-03,28.7500,29.4400,28.7500,29.4400,10.5601,2424000
1998-02-04,28.8800,29.2500,28.8800,29.0600,10.5583,544800
1998-02-05,29.0600,29.4400,28.9400,29.2500,10.6273,854100
1998-02-06,29.2500,29.8800,29.2500,29.5600,10.7400,415100
1998-02-09,29.5000,29.5600,29.3100,29.3800,10.6746,553000
1998-02-10,29.2500,29.4400,29.1300,29.2500,10.6273,329000
1998-02-11,29.1900,29.3100,29.1300,29.2500,10.6273,407900
1998-02-12,29.1900,29.4400,29.0000,29.3800,10.6746,436400
1998-02-13,29.3800,29.6900,29.1900,29.6300,10.7654,241300
1998-02-17,29.6300,29.8100,29.0600,29.2500,10.6273,336100
1998-02-18,29.2500,29.4400,29.1900,29.1900,10.6055,320700
1998-02-19,29.1900,29.2500,29.0000,29.2500,10.6273,510000
1998-02-20,29.3100,29.3100,28.8800,29.0600,10.5583,392600
1998-02-23,29.1300,29.1300,28.7500,29.0000,10.5365,553700
1998-02-24,28.9400,29.0000,28.5000,28.7500,10.4457,367100
1998-02-25,29.0000,29.1300,28.6900,29.0000,10.5365,268300
1998-02-26,28.8800,29.0000,28.6300,28.8100,10.4675,396700
1998-02-27,28.6900,28.9400,28.6300,28.9400,10.5147,452600
1998-03-02,28.9400,29.1300,28.8100,28.8800,10.4929,345700
1998-03-03,28.8800,29.0600,28.6900,29.0600,10.5583,368100
1998-03-04,28.9400,29.3100,28.8100,29.3100,10.6491,281500
1998-03-05,29.1900,29.2500,28.9400,29.0600,10.5583,389700
1998-03-06,29.0600,29.6900,29.0600,29.6900,10.7872,380900
1998-03-09,29.5000,29.8800,29.3800,29.8100,10.8308,419800
1998-03-10,29.8100,30.3100,29.7500,30.2500,10.9907,308900
1998-03-11,30.2500,30.3100,29.8800,29.9400,11.2323,279000
1998-03-12,29.9400,30.1900,29.8800,30.0600,11.2773,284400
1998-03-13,30.0600,30.0600,29.7500,29.9400,11.2323,669000
1998-03-16,29.9400,30.3100,29.6900,30.3100,11.3711,275300
