,open,high,low,close,adj_close,volume
2001-06-20,24.0000,24.5000,23.9000,23.9000,10.0633,11000
2001-06-21,24.5000,25.5000,24.5000,25.5000,10.7370,39300
2001-06-22,25.5000,25.6500,25.5000,25.6000,10.7791,33800
2001-06-25,25.9000,26.5000,25.9000,26.5000,11.1581,9100
2001-06-26,26.5000,26.5000,26.1500,26.4500,11.1370,109800
2001-06-27,26.4500,26.6000,26.4400,26.6000,11.2002,185300
2001-06-28,26.8000,27.5000,26.8000,27.5000,11.5791,66000
2001-06-29,27.5500,28.1000,27.5500,28.0000,11.7897,71300
2001-07-02,28.0000,28.4000,28.0000,28.0000,11.7897,69700
2001-07-03,28.0100,28.1600,28.0100,28.0500,11.8107,56200
2001-07-05,28.0500,28.0500,27.9400,27.9500,11.7686,61900
2001-07-06,27.9500,30.0000,26.9000,30.0000,12.6318,3337400
2001-07-09,30.0000,31.3000,29.8000,29.9100,12.5939,1674700
2001-07-10,29.9100,30.0100,28.5500,28.5500,12.0213,1210400
2001-07-11,28.4500,29.0100,28.3800,28.5000,12.0002,2426400
2001-07-12,28.5100,30.2000,28.5100,29.4500,12.4002,1294600
2001-07-13,29.3500,30.0200,28.9900,29.0000,12.2107,709500
2001-07-16,29.0000,29.6100,28.5200,28.7500,12.1055,593900
2001-07-17,28.7500,29.7500,28.7100,29.5900,12.4592,837100
2001-07-18,29.5200,30.0000,29.4300,29.4900,12.4171,396600
2001-07-19,29.4400,29.5100,28.8100,28.9000,12.1686,303600
2001-07-20,28.8000,29.1500,28.8000,28.9600,12.1939,519000
2001-07-23,28.9600,29.0100,28.6000,29.0100,12.2149,206100
2001-07-24,28.9500,29.3000,28.7400,28.9800,12.2023,268600
2001-07-25,28.9700,29.7900,28.7500,29.5500,12.4423,385200
2001-07-26,29.4000,29.9500,29.1800,29.9300,12.6023,208500
2001-07-27,29.9200,30.5500,29.9000,30.5300,12.8550,274600
2001-07-30,30.5400,32.1500,30.5400,31.6200,13.3139,289200
2001-07-31,31.6000,33.5000,31.6000,33.0200,13.9034,357300
2001-08-01,33.1000,34.2800,33.1000,34.0000,14.3160,759800
2001-08-02,33.9500,34.2000,33.6600,33.7100,14.1939,365500
2001-08-03,33.5000,33.5500,32.6000,32.6500,13.7476,139800
2001-08-06,32.8000,32.9000,32.0800,32.1400,13.5329,161700
2001-08-07,32.1400,32.7000,32.1000,32.4500,13.6634,186400
2001-08-08,32.5000,32.6000,32.0000,32.4900,13.6802,322400
2001-08-09,32.5000,32.6000,32.3500,32.5100,13.6887,169400
2001-08-10,32.5100,32.7500,32.1000,32.1500,13.5371,328500
2001-08-13,32.1400,32.1400,31.9900,32.0000,13.4739,396200
2001-08-14,33.0000,33.0000,32.4800,32.7900,13.8066,269000
2001-08-15,32.8000,33.1000,32.0000,32.0000,13.4739,307000
2001-08-16,32.0000,32.1500,31.8000,32.0000,13.4739,280600
2001-08-17,31.9500,32.2500,31.7900,32.2400,13.5750,211200
2001-08-20,32.2400,32.2400,32.2400,32.2400,13.5750,150900
2001-08-21,32.0000,32.4500,32.0000,32.3000,13.6002,321800
2001-08-22,32.2000,32.6300,32.1500,32.5000,13.6844,234300
2001-08-23,32.2500,32.5000,32.2000,32.4000,13.6423,72300
2001-08-24,32.3500,32.4000,32.2000,32.3500,13.6213,69600
2001-08-27,32.3500,32.7300,32.3500,32.6500,13.7476,80900
2001-08-28,32.7200,32.7200,32.3100,32.3800,13.6339,241000
2001-08-29,32.3800,32.7400,32.3000,32.7300,13.7813,261600
2001-08-30,33.1200,33.1200,32.6800,33.0100,13.8992,182300
2001-08-31,33.2500,34.3600,33.2500,34.3600,14.4676,277600
2001-09-04,34.3500,35.1000,34.3300,34.9000,14.6950,760800
2001-09-05,34.9000,34.9000,33.7100,33.7200,14.1981,296900
2001-09-06,33.7000,33.7000,32.8300,33.0000,13.8950,333900
2001-09-07,33.0000,33.0500,32.5000,32.6400,13.7434,186200
2001-09-10,32.5000,32.8600,32.5000,32.7500,13.7897,179400
2001-09-17,32.0000,32.0500,29.9900,30.0900,12.6697,279800
2001-09-18,30.0900,30.7800,29.9800,30.7500,12.9476,389000
2001-09-19,31.2000,31.2000,30.3400,30.8200,12.9771,222200
2001-09-20,30.8500,30.8500,29.3000,29.8700,12.5771,653700
2001-09-21,29.9000,29.9000,27.7500,29.6400,12.4802,685900
2001-09-24,30.0000,30.0000,28.7500,29.4300,12.3918,364400
2001-09-25,29.4300,29.4300,29.4300,29.4300,12.3918,245300
2001-09-26,28.7200,28.7200,25.6000,25.6000,10.7791,619500
2001-09-27,25.6000,25.9500,24.8100,24.9800,10.5181,597300
2001-09-28,25.0000,26.2500,25.0000,25.9600,10.9307,1213300
2001-10-01,26.0500,28.2400,26.0000,28.2300,11.8865,208600
2001-10-02,28.2500,28.4500,27.7900,28.0000,11.7897,179100
2001-10-03,29.2500,29.2500,27.8200,29.2200,12.3034,235300
2001-10-04,31.9000,31.9000,29.2000,31.0000,13.0529,274100
2001-10-05,30.9500,30.9500,29.4000,30.1900,12.7118,176000
